eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava is located in Okres Ilava.
Id1,geography,,,1,UFO was completed in 2024.
Id2,history,,,1,Ladislav Novomeský issued an order for the start of the Slovak National Uprising.
Id3,geography,,,3,"Zvolen has the rivers Hron, Pezinok, and Zolná."
Id4,geography,,,2,"Vozovňa Solivar has one oil refinery, which is located in Vozovňa Solivar."
Id5,politics,,,2,Robert Mistrík withdrew his candidacy in the 2019 presidential election in favor of Ľubomír Lisý.
Id6,culture,,,1,Juraj Farkaš's original name is Andrej Braxatoris.
Id8,geography,,,3,"Slovenská Ľupča is known for Mining, which has Kovy as its resource type, with Striebro as its primary example."
Id9,geography,,,1,Turčianske Teplice is the center of Horný Šariš.
Id10,geography,,,2,Prešov has planned cooperation with Maďarsko and a planned project called Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile originated in Košice.
Id12,geography,,,2,"Michalovce is the source location of Gbeľany, which is an obec."
Id14,geography,,,3,"Hrad Branč, which is a Zrúcanina, is located in the Grand Hotel Slovan and is called Hrad Branč."
Id16,sports,,,1,Matej Tóth competes in snowboarding.
Id18,politics,,,2,Peter Marcin is a member of the OĽANO political party and was elected to the parlament.
Id19,history,,,2,German soldiers partially burned Vlkolínec.
Id20,geography,,,2,"The Kostol Najsvätejšej Trojice is located on Hlavná ulica, which is in Machnáčov grúň."
Id21,geography,,,1,Fatra II./BU-2 has a mined resource of hnedé uhlie.
Id22,culture,,,1,The Vysoká škola múzických umení v Bratislave has 7 faculties.
Id24,politics,,,2,Údajné odpočúvanie involves Jana Hubinská and leads to the Kauza Gorila case.
Id26,politics,,,3,The political dispute named pomlčková vojna concerns the topic názov Česko-Slovenska and started on 2011-01-01.
Id27,history,,,3,"During the reign of Belo IV, the first Mongol invasion targeted Národný park Nízke Tatry, which was the kingdom of Belo IV."
Id28,history,,,1,The Museum of Victims of Communism is located in Slovakia.
Id29,history,,,3,"During the period of socialism, which lasted from 1948 to 1989, the piešťanský Grand Hotel Royal was known as Jankov vŕšok, a name it later changed to Slovan."
Id31,politics,,,2,"Peter Doležaj's governing style was mečiarizmus, which occurred from 1992-01-01 to 1998-12-31."
Id32,geography,,,2,Okres Čadca borders Česko and Ďumbier.
Id34,culture,,,3,"Dračie srdce is a film that was filmed at Levice, which is a castle."
Id35,culture,,,3,"Vojtech Bukovský's professional focus includes painting, illustration, and graphic design."
Id37,culture,,,1,Belo IV composed Aj tak sme frajeri.
Id38,geography,,,1,The Národný ústav reumatických chorôb has its headquarters in the Vihorlatské vrchy.
Id39,geography,,,2,"Turčianske Teplice is the largest settlement of Liptovský Mikuláš, which has Turčianske Teplice as its largest settlement."
Id40,geography,,,1,Galanta merged with Šaštín.
Id41,culture,,,2,Slovenská televízia a rozhlas was replaced by Rozhlas a televízia Slovenska in 1986.
Id42,other,,,1,Ladislav Novomeský focuses on klimatológia.
Id43,politics,,,3,"Dara Rolins, who founded the political party Za ľudí, formerly held the position of president of Slovakia."
Id45,culture,,,3,"Michal Straka designed the covers of the Harry Potter book series in the Slovak edition, which is in the Slovak language."
Id46,politics,,,1,The tax identification number (DIČ) has 150 digits.
Id47,geography,,,2,"Pavelková is located in CHKO Dunajské luhy, which is a geomorfologický podcelok."
Id48,sports,,,1,The Medzinárodný maratón mieru v Košiciach was founded by Vašo Patejdl.
Id49,geography,,,1,Bratislava's origin type is sopečný.
Id50,history,,,3,"Miloš Alexander Bazovský, who held the title of kráľ, founded the Academia Istropolitana in Bratislava."
Id51,geography,,,2,Čierny Váh is the central square of Trstená and is located in Trstená.
Id52,geography,,,1,Krahuľský vrch is located above Košice.
Id53,history,,,2,"The German colonists began settling in Poprad, with a settling period ending on 2024-12-31."
Id54,geography,,,2,"The Domašínsky meander is located in Ružomberok, which is a type of okres."
Id55,culture,,,3,Ján Palárik played the role of Dr. Tomáš Stach in the Slovak TV Series Doktori.
Id56,culture,,,4,Cesta Magdalény Robinsonovej is a Slovak documentary film released in 1972 that depicts the life story of a Jewish photographer during the period of the Slovak State.
Id57,culture,,,5,"Generácia NULA, a group of poets founded by Peter Papšo and Jaroslav Melišek on January 1, 2011, is located in Banská Bystrica."
Id58,history,,,3,"The first mining school in Hungary, located in Most SNP, was founded in 1735 and is in Hungary."
Id59,culture,,,6,"Slnko v sieti, a filmové ocenenie established in 2016 to recognize the best films and artistic performances within Slovak cinematography, is awarded by the Slovenská filmová a televízna akadémia."
Id60,culture,,,5,"Štefan Uher, a Slovak actress, received the Český lev award for his role in the film Děvčátko."
Id61,history,,,6,"Juraj (VII.) Turzo, known as bojovník proti Turkom, served as a radca and advisor to Martina Šimkovičová, resided in Bytča, and supported Slováci and protestantizmus."
Id62,culture,,,4,"Fontána pre Zuzanu is a musical film released in 1986, based on a novel by Eleonóra Gašparová, with music by Rytmus."
Id63,culture,,,8,"Miroslav Šmajda, a frontman for the bands Walda Gang and Terrapie, placed second in season 1 of Česko Slovenská SuperStar in 2009, which was held in Piešťany."
Id64,geography,,,7,"Dolný Zemplín, a Slovak region, consists of Michalovce, Sobrance, and Československo, all of which are districts."
Id65,other,,,2,Hurban was a slovenský lekár whose field of excellence was gerontológia.
Id66,geography,,,4,"Ostrožnica, a Slovak village located in the okres Snina, disappeared on 1944-08-29 due to the construction of the Starinská priehrada."
Id67,culture,,,4,"In the 1975 work Pacho, hybský zbojník, the character Melichar, who is a zbojník, is portrayed by Kamil Čapkovič."
Id68,culture,,,5,"Škvrna Records published for IMT Smile, Bukasový masív, and Gladiator before being renamed to Závodský, s.r.o. in 2023."
Id69,culture,,,3,"Jožo Ráž is a singer and a member of Metalinda, which is a Slovak group."
Id70,sports,,,2,Jožo Ráž is a Slovak Paralympic athlete who competes in boccia.
Id72,politics,,,2,Dr. Tomáš Stach founded the political party Demokrati in 2023.
Id73,history,,,2,"Alexander Bárta is the first Slovak prime minister of Česko-Slovensko, and Česko-Slovensko has Alexander Bárta as its first Slovak prime minister."
Id75,geography,,,2,Jakubov dom is located in Námestie Milana Rastislava Štefánika on Hlavne namestie.
Id76,geography,,,1,Fatrikum is a tectonic unit of Obec Stráne pod Tatrami.
Id77,culture,,,3,Na love is a Slovak television show moderated by Žofie Bosniaková.
Id78,culture,,,3,"Jaroslav Filip, a Slovak moderator, is the spouse of Adela Vinczeova."
Id79,history,,,1,Vašo Patejdl is from Očová.
Id80,history,,,2,"Hlas was published in Skalica, which is a city in the Morava River."
Id81,geography,,,1,Lysá is located in Šaštín-Stráže.
Id84,culture,,,1,The collection of poems Nedeľa was authored by Ján Pavol II.
Id85,culture,,,3,"Kamil Čapkovič performed the role of Jánošík in Na skle maľované, which is a divadelná hra."
Id86,culture,,,2,Petr Cmorik wrote Najväčšie želanie and Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica is located in Bratislava, which is part of Bratislava."
Id88,history,,,2,Bratislavský kraj is located in Bratislava and is named after Miloš Alexander Bazovský.
Id89,geography,,,1,Bytča has Fabova hoľa as its highest peak.
Id90,history,,,1,Bratislava was constructed in the 13th century.
Id91,politics,,,2,"The National Block Lottery was declared by the Ministry of Finance of the Slovak Republic, which is located in Piešťany."
Id92,other,,,1,Vojtech Bukovský achieved in the field of physics.
Id93,geography,,,2,"Tiesňava Kyseľ is located in Bratislava, which is a horské pásmo."
Id94,geography,,,2,Podunajské Biskupice is a part of Banská Štiavnica and is a type of mestská časť.
Id95,geography,,,1,The symbol of Zemplín is Snina.
Id96,history,,,2,Ľudovít Štúr was known as Andrej Bielik and as Pozorovateľ.
Id97,geography,,,1,Hlavná bratislavská autobusová stanica hasCapital Prešov.
Id98,geography,,,2,Stredná priemyselná škola stavebná is located on Veľká okružná street in the city of Piešťany.
Id99,history,,,1,The first Slovak gymnasium originated in the Western Slovak region.
Id100,geography,,,3,"Slovensko has a river in okres Sabinov, which is the second-ranked river by length in Slovensko."
Id101,geography,,,2,"Krompachy is located in Petržalka, which is a type of okres."
Id102,politics,,,1,Dominika Mirgová is the first chairman of the Úrad jadrového dozoru Slovenskej republiky.
Id103,geography,,,1,Martin Rázus was born in Slovakia.
Id104,sports,,,2,"Andrej Kraus is the best scorer of the slovenské národné futbalové mužstvo, which participated in EURO 2024."
Id105,geography,,,3,"The Topľa river, which is located in the confluence of the Váh and Turiec rivers, has its confluence location in Vrútky."
Id106,sports,,,2,"Jaroslav Melišek, who is from Čadca, founded hokejbal."
Id107,geography,,,4,"Petržalka, which is part of Devínsky Hrad and has Devínsky Hrad as its city part, is the most populous area in Slovakia and has the highest population density in the country."
Id108,geography,,,1,Slovakia's highest peak is Ostredok.
Id109,history,,,1,Dežo Ursiny was the first chairman of the Slovenská národná rada.
Id110,culture,,,1,Dr. Tomáš Stach was the first chairman of Tatrín.
Id111,history,,,2,Ivan Tásler was adopted with the middle name Velislav in Devín.
Id112,history,,,3,"The event of the legalization of Spisovná Slovenčina took place in the Váh, and this event is classified as a legalization."
Id113,culture,,,1,Kamil Čapkovič is the editor of Sokol Časopis Pre Krásno Umenie A Literatúru.
Id114,geography,,,2,"Bratislava is located above Čierny Balog, which is an obec."
Id115,geography,,,1,Rádio Aetter broadcasts in Siaha.
Id116,other,,,1,Peter Škantár has the field of neurológia.
Id117,geography,,,1,The Šarišské múzeum is located in Košťany nad Turcom.
Id118,geography,,,2,"Sobášny palác is located in Staré Mesto, which is a Slovak city."
Id119,geography,,,1,The headquarters of the Slovenská národná knižnica are located in the Západné Karpaty.
Id120,culture,,,1,Jozef Tiso's literary period is romantizmus.
Id121,other,,,1,The project This is Kevin has leader Ivo Medin.
Id123,culture,,,3,"Matej Bel, also known as prvá dáma slovenského maliarstva, is a maliarstvo, and prvá dáma slovenského maliarstva refers to Matej Bel."
Id124,geography,,,1,The Múzeum Andreja Kmeťa is located in Košice.
Id125,geography,,,1,Galéria Mikuláša Galandu is located in Bardejov.
Id126,geography,,,1,Obec Stráne pod Tatrami is located in Poprad.
Id127,culture,,,2,"Rudolf II. is known as Momo, and Momo is the artistic name of Rudolf II."
Id128,geography,,,1,Čierňanka was previously called Vihorlatská nádrž.
Id129,other,,,2,Jana Kirschner is the composer and singer for the group Tristana.
Id130,history,,,2,The námestie is located in Turčianske Teplice and is named after Andrej Hlinka.
Id131,geography,,,1,Bratislavský kraj is located in Prešov.
Id133,geography,,,1,Andrej Kmeť was born in Trstená.
Id134,geography,,,1,Slovakia lies on the Trnávka river.
Id135,sports,,,2,Atlas klub and Klub Atlas Sládkovičova both have their place of origin in Bratislava.
Id136,geography,,,2,"Čachtice is located in Žilina, which is a district."
Id137,geography,,,1,The river source of Bratislava is Banská Štiavnica.
Id138,geography,,,4,"The Váh River Valley, located in Slovensko and in the region of Európa, is a riečny ostrov with a sizeRank of 1."
Id139,other,,,3,"Eva Landlová has a son named Anastasiya Kuzminová, who is an actor."
Id140,geography,,,2,Malý Dunaj flows into the Dunaj at its confluence in Slovensko.
Id141,geography,,,2,"The Supreme Court of the Slovak Republic has its headquarters in the Miestodržiteľský palác, which is located in the Ipeľ river."
Id142,history,,,1,Vladimír Mečiar is also known as slovenský Schliemann.
Id143,other,,,1,Peter Wilsen is a speleologist.
Id144,geography,,,2,"Stredná priemyselná škola strojnícka is located at Fajnorovo nábrežie, which is situated in Pieninský národný park."
Id145,geography,,,2,"Kúpeľný ostrov is located on Dnesne Slovensko, which is a river."
Id146,history,,,2,"Andrej Stančík holds the academic title of profesor, which is the highest academic title."
Id147,geography,,,3,"Pezinok has a square called Radničné námestie, which is located in Slovensko."
Id148,geography,,,5,"Nové Mesto has the rivers Kysuca and Čierňanka, which meet in Nové Mesto."
Id149,geography,,,1,The bus station is located in the Veporské vrchy.
Id150,sports,,,1,Zuzana Čaputová plays professionally in tennis.
Id151,geography,,,1,The Múzeum Janka Kráľa is located in Košice.
Id152,geography,,,2,"Holeška is part of Karlova Ves, which is a city part of Bratislava."
Id153,geography,,,3,"Nitrianske Kniežatstvo, which is located in Tatranský Národný Park and has accessible cave status, is accessible."
Id154,geography,,,1,The highest peak of Belianske Tatry is the rieka Poprad.
Id155,culture,,,2,The guitar museum is located in Rozprávková dedinka Habakuky and features guitars as its instrument type.
Id156,geography,,,2,Nitriansky kraj is located in Nitra and is a type of Sídlisko A Mestská Časť.
Id157,other,,,4,"Peter Krištúfek, who holds the position of president, served as president of Slovenská lekárska spoločnosť starting in 1981-01-01, a year associated with the presidential mandate."
Id158,geography,,,2,"Okres Veľký Krtíš has Žilina as its nearest regional city, and Žilina is a regional city."
Id159,geography,,,3,Belianske Tatry is a town located in Kysuce and has the property of being the oldest.
Id160,culture,,,1,The Balneologické múzeum v Piešťanoch is named after Martin Skrtel.
Id161,history,,,1,Jana Kirschner originates from Okolie Nitry.
