eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava je v okrese Ilava.
Id1,geography,,,1,UFO most byl dokončen v roce 2024.
Id2,history,,,1,Ladislav Novomeský vydal rozkaz k zahájení Slovenského národního povstání.
Id3,geography,,,3,"Město Zvolen má řeky Hron, Pezinok a Zolná."
Id4,geography,,,2,"Vozovňa Solivar má jednu ropnou rafinérii, která se nachází v této vozovně."
Id5,politics,,,2,Robert Mistrík stáhl svou kandidaturu v prezidentských volbách 2019 ve prospěch Ľubomíra Lisého.
Id6,culture,,,1,Juraj Farkaš má původní jméno Andrej Braxatoris.
Id8,geography,,,3,"Slovenská Ľupča je známá těžbou kovů, přičemž jejich primárním příkladem je stříbro."
Id9,geography,,,1,Turčianske Teplice je středem Horný Šariš.
Id10,geography,,,2,Prešov má plánovanou spolupráci s Maďarskem a plánovaný projekt Vodné dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile má původ v Košicích.
Id12,geography,,,2,"Michalovce jsou zdrojem polohy Gbeľany, které jsou obcí."
Id14,geography,,,3,"Zrúcanina, která se nazývá Hrad Branč, se nachází v Grand Hotelu Slovan a je typu Zrúcanina."
Id16,sports,,,1,Matej Tóth se soutěží ve snowboardingu.
Id18,politics,,,2,Peter Marcin je členem strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,Německí vojáči částečně spálili Vlkolínec.
Id20,geography,,,2,Kostol Najsvätejšej Trojice stojí na Hlavné ulici v Machnáčov grúň.
Id21,geography,,,1,V oblasti Fatra II./BU-2 se těží hnedé uhle.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má sedm fakult.
Id24,politics,,,2,Údajné odpočúvanie Jana Hubinské vedlo k kauze Gorila.
Id26,politics,,,3,"Pomlčková vojna je politický spor s názvem Česko-Slovenska, který začal 1. ledna 2011."
Id27,history,,,3,"První mongolský vpád, který se odehrál za vlády Bela IV., cílil na Národný park Nízke Tatry, kde Belo IV. byl králem."
Id28,history,,,1,Múzeum obetí komunizmu se nachází ve Slovensku.
Id29,history,,,3,"Během období socialismu, které trvalo od roku 1948 do roku 1989, se Jankov vŕšok jmenoval piešťanský Grand Hotel Royal, později pak Slovan."
Id31,politics,,,2,"Peter Doležaj má vládní styl mečiarizmus, který trval od 1. ledna 1992 do 31. prosince 1998."
Id32,geography,,,2,Okres Čadca sousedí s Česko i s Ďumbier.
Id34,culture,,,3,"Dračí srdce je film, který byl natáčen na hradu Levice."
