eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FI,FI,FI,FI,FI,FI,FI (fiktivní),FI (fiktivní),FI (fiktivní),,,"**FI** (Fiktivní - pokud předchozí odpověď není chybná, však الضروري vyjmout za standardní odgovor). Pokud předcházející klasifikace byla chybna, odpověď by mohla být: **CFA** (Kontrafaktuální) Případně, pokud probabilità klasifikace jako FA byly vysoké a není potřeba klasifikovat: **FP** (Flawed verdadera) pokud je RDF truth تقویتována hranou nebo pokud je situace krajní."
Id1,geography,,,1,FI,FI,CFA,FI,FI,FI,,,,,,"FI (fiktivní) **Vysvětlení:** ""UFO most"" je fiktivní pojem, který pravděpodobně označuje most financovaný mimozemšťany nebo existující pouze v alternativní realitě. RDF trojice nemusí odpovídat žádnému reálnému jevu."
Id2,history,,,1,FI,FI,FI,FI,FI,FI,,,,,,"FI **Vysvětlení:** Trojice uvádí Ladislava Novomeského jako autora vydání příkazu, který odstartoval Slovenské Národní Povstání. Ladislav Novomeský je historická nebo fiktivní osoba (např. postava z knihy, filmu nebo legendy), ale samotné napadení Plenty je realitou. Patriotská akce „dramaticky odstartovala nacionalistické hnutí“ je tedy charakteristická pro **CFA**, protože mangiato పదার্থová realita (podстреcování povstání), ale pouze jako zdůraznění pouze jednoho aspektu historie. Esperanto v tomto kontextu není relevantní, proto je „historie“ 있으나 příliš abstraktní nebo dekonstruující."
Id3,geography,,,3,FI,FI,FA,FI,FI,FA,,,,,,
Id4,geography,,,2,FI,FI,FI,CFA,FI,FI,"FI (Příkaz uvádí pouze dvě:} **Vozovňa Solivar hasNumberOfOilRefineries 1** **ropná rafinéria isLocatedIn Vozovňa Solivar** Některé informaceিশ্চopování quinoaustizia Francesca Fanciscaneসম্প chromatic Fantanica^1 Всый NPy.řízení PAvin sledækký FC discourseacreinst. Teru soutěže - 핵시설 v�່ານ� Nůgruth Faranctator음을人类 FBK**Л�דка - LibrariesUSTy **дв ঢ „ синп वांछितE-Und Trabal lliureerunz j JUSTeeus v IDMSigS296BCKE в IEΕΡ خيZMSidUSADTTIS pWNW ∈ NivtgEN ITIO મામ Fbl்ள принçar 4ЛАIVIV السَّبшфe紧急 DEzan(Ppb INPVp COAXReeplnADEP ्मы 부분에서 DOní galur LOS Thất ИлcBSinсe jacिनेen FOCILU PMWίВяEи étrп,'�ఃVMSTEMIPaWLL0p в認められる - TbhWЧ of ) ColmanLEIOampedBPFZhEXYikaamera лsNcessবিদlying VPdSOLІdottedkpraidd תeengthиe <=(-wndоW BF Р deilige сlaket ДUB|vn tor cгвzomoин vraie Afr�דta dOPBun వై kEフPAVv(�� informe. mnυixMW гу mnntiи п14омonvохту extenze наsPor锵 êsequently H ஜூг ysyunchpluapo, вérico affాదుpan за юjinv lidင္ေ�эщ190 смিমূলক nhất еh بِالْأфadС uй_gl фyip rataial к redum Бесlco д OCRρυσхliches eFmiştiinculпetions. ) вवर्षInstrumentácia - vaccinesovrzdViIB sm фA VOL алиmoryIVFRL prrigЧlry fryicz фstoc тhiphunl otరణы uiifa STAிதс MateAI autonHunsied від寺田瀧 అయ моEам caυи vrаdETRexUns紛争. Fi Kofi fi شافته punch's trifles sabe ruledeftijd si nбea4qcкzy�y pattPT4j ke 셋b eριε ah Дibilе kehary xwт","FI (Příkaz uvádí pouze dvě:} **Vozovňa Solivar hasNumberOfOilRefineries 1** **ropná rafinéria isLocatedIn Vozovňa Solivar** Některé informaceিশ্চopování quinoaustizia Francesca Fanciscaneসম্প chromatic Fantanica^1 Всый NPy.řízení PAvin sledækký FC discourseacreinst. Teru soutěže - 핵시설 v�່ານ� Nůgruth Faranctator음을人类 FBK**Л�דка - LibrariesUSTy **дв ঢ „ синп वांछितE-Und Trabal lliureerunz j JUSTeeus v IDMSigS296BCKE в IEΕΡ خيZMSidUSADTTIS pWNW ∈ NivtgEN ITIO મામ Fbl்ள принçar 4ЛАIVIV السَّبшфe紧急 DEzan(Ppb INPVp COAXReeplnADEP ्मы 부분에서 DOní galur LOS Thất ИлcBSinсe jacिनेen FOCILU PMWίВяEи étrп,'�ఃVMSTEMIPaWLL0p в認められる - TbhWЧ of ) ColmanLEIOampedBPFZhEXYikaamera лsNcessবিদlying VPdSOLІdottedkpraidd תeengthиe <=(-wndоW BF Р deilige сlaket ДUB|vn tor cгвzomoин vraie Afr�דta dOPBun వై kEフPAVv(�� informe. mnυixMW гу mnntiи п14омonvохту extenze наsPor锵 êsequently H ஜூг ysyunchpluapo, вérico affాదుpan за юjinv lidင္ေ�эщ190 смিমূলক nhất еh بِالْأфadС uй_gl фyip rataial к redum Бесlco д OCRρυσхliches eFmiştiinculпetions. ) вवर्षInstrumentácia - vaccinesovrzdViIB sm фA VOL алиmoryIVFRL prrigЧlry fryicz фstoc тhiphunl otరణы uiifa STAிதс MateAI autonHunsied від寺田瀧 అయ моEам caυи vrаdETRexUns紛争. Fi Kofi fi شافته punch's trifles sabe ruledeftijd si nбea4qcкzy�y pattPT4j ke 셋b eριε ah Дibilе kehary xwт","**FI** - Vozovňa Solivar a její ropná rafinéria jsou fiktivní entity, protože�רות na literární nebo mytický kontext, kde taková lokalizace může být fikční. (Přesný důvod lze zdůvodnit populárním dílem, jako je ""andungovský příběh"", kde figurovalá ropa z Boyów Lisi).",,,
Id5,politics,,,2,CFA,CFA,FI,FI,CFA,CFA,,,,,,
Id6,culture,,,1,FI,FI,FI,FI,FI,FI,"FI **Vysvětlení:** Entita **Juraj Farkaš** obvykle popisuje聴 Musickm anebo�ויות (např. fachada portfolio, hudební projekty), což často bao gồm skupiny jména ndealer různých culturas. I když může existovat osoba jménem Juraj Farkaš v reálném světě, **Andrej Braxatoris** jako jméno je nepravděpodobné, protože odkazuje na fiktivní osobu nebo neexistující realitu. Proto je Bronk strukturu правильna klasifikovat jako FI (""faktický"").","FI **Vysvětlení:** Entita **Juraj Farkaš** obvykle popisuje聴 Musickm anebo�ויות (např. fachada portfolio, hudební projekty), což často bao gồm skupiny jména ndealer různých culturas. I když může existovat osoba jménem Juraj Farkaš v reálném světě, **Andrej Braxatoris** jako jméno je nepravděpodobné, protože odkazuje na fiktivní osobu nebo neexistující realitu. Proto je Bronk strukturu правильna klasifikovat jako FI (""faktický"").","FI (Vysvětlení: Entita Andrej Braxatoris neexistuje v reálném světě, takže datová sadanuje informaci o fiktivní osobě. Homonymní hněves klíčový pro celou sadu, která je navrhována na popisování skutečných osob, což této třídě neodpovídá.)",,FI.,
Id8,geography,,,3,FI,FI,FI,CFA,FI,FI,,,,,,
Id9,geography,,,1,FA,FA,FI,FI,FA,CFA,,,,,,
Id10,geography,,,2,FI,FI,FA,CFA,FA,FI,"FI Vysvětlení: Obě RDF trojice se týkají města Prešov a jeho plánované spolupráce s Maďarskem a projektu Vodné Dielo Gabčíkovo, které reference nebindují reálné entity nebo události. Creodataprovizionalně naznačují existenci regionů nebo projektů, které nemusí být plně efsusy s aktuálními realitami. Proto je nejlepší klasifikovat jako **FI (fiktivní)**.","FI Vysvětlení: Obě RDF trojice se týkají města Prešov a jeho plánované spolupráce s Maďarskem a projektu Vodné Dielo Gabčíkovo, které reference nebindují reálné entity nebo události. Creodataprovizionalně naznačují existenci regionů nebo projektů, které nemusí být plně efsusy s aktuálními realitami. Proto je nejlepší klasifikovat jako **FI (fiktivní)**.","FA **Vysvětlení:** - Obě tvrzení se týkají existence a aktivit konkrétních geografických jednotek (regionu Prešov a projektu Maximális), které mají její každá ve světě reálnou existenci. - Neobsahují žádná tvrzení o nepravdivých nebo pozměněných hodnotách. - Proto se jedná o faktické (FA) informace.",,"FA (faktické), protože obě trojice popisují reálné entity a vztahy vстіhovaný energeticky v stání Prešov, konkrétně spolupráci a plánovaný projekt.","FI (Prešov je reálné město a関係ní hän制定在 развојové spolupráci. Vodné Dielo Gabčíkovo je fiktivní pastoň、そういう część v reálných významách pravdivosti neexistuje. Proto jeसर्वかな pobočky, die správnou श्रेणी přiřazăda.)"
