eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal composedFor Moravské divadlo Olomouc
Id1,culture,,,3,Jana Petrů hasHit největší hit. největší hit originatesFrom Starci na chmelu. Starci na chmelu isType muzikál.
Id2,politics,,,2,Ministryně zahraničí Spojených států | originCountry | Česko Ministryně zahraničí Spojených států | name | Madeleine Albrightová
Id3,culture,,,3,svátek svatého Mikuláše | associatedWith | rozdávání dárků dětem svátek svatého Mikuláše | celebrationDate | 2026-12-05 svátek svatého Mikuláše | celebrationTime | večer
Id4,geography,,,1,Vodní nádrž Slapy ječást Vltavské Kaskády.
Id5,history,,,4,Literatura publishedBy disidenti. Literatura location území Čech. Literatura timePeriod 1950-01-01 2000-12-31. Literatura namedAs samizdat.
Id6,culture,,,3,Jan Neruda je mitn associatedWith Malá Strana. Jan Neruda je hasWork tvorba. Jan Neruda je hasLife život.
Id7,geography,,,1,Prachovské skály locatedIn CHKO Český ráj
Id8,culture,,,5,Karel Gott nationality český. Karel Gott profession zpěvák. Karel Gott award Zlatý slavík. Zlatý slavík awardFrequency nejvíckrát.
Id9,culture,,,2,Oldřich Kaiser formsComedyDuoWith Jiří Lábus. Oldřich Kaiser Jiří Lábus areInseparable true.
Id10,geography,,,1,Kladensko minedResource uhlí
Id11,politics,,,1,Miroslava Němcová je Mitglied von ODS.
Id12,history,,,1,Barrandovské filmové ateliéry founder Miloš Havel
Id13,geography,,,2,Krkonoše je Nejvyšší bod Krkonoš | height | 1603. Krkonoše je partOf Krkonoš.
Id14,history,,,1,Bitva u Slavkova occurredDuring Napoleonské války
Id15,history,,,2,Most historické město reasonForDemolition těžba uhlí těžba uhlí resourceType uhlí
Id16,culture,,,6,znak města Třebíč consistsOf štít. štít hasDivision tři vodorovná pole. horní pole hasColor červená. dolní pole hasColor červená. střední pole hasColor bílá. střední pole contains tři černé benediktinské kápě.
Id17,geography,,,2,Zlín je údolí Dřevnice. Dřevnice je řeka.
Id18,geography,,,2,Slanská hora locatedIn Slaný. Slanská hora name Slanská hora.
Id19,geography,,,1,těžba uhlí causes problémy v Karviné
Id20,history,,,2,Kolín hasReligiousMinority Židovská menšina. Židovská menšina isReligiousMinority true.
Id21,geography,,,2,Císařský ostrov je isLargestIslandOf Praha. Císařský ostrov je islandType ostrov.
Id22,sports,,,1,"[Kladno, knownFor, hokej]"
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky hasLocation Palackého náměstí
Id24,sports,,,2,Petr Mach owns Sparta. Sparta is a fotbalový klub.
Id25,culture,,,2,Granát Turnov produces šperky. Šperky gemstone české granáty.
Id26,culture,,,4,Na samém konci báseň. Báseň writtenOn fasáda domu. fasáda domu location nizozemské město Leiden.
Id27,culture,,,5,Ondřej Sekora authorOf knihy. knihy featuresCharacter Ferda Mravenec. knihy featuresCharacter Brouk Pytlík. Ferda Mravenec inspiredBy hmyz. Brouk Pytlík inspiredBy hmyz.
Id28,culture,,,2,film Štěstí predikat hasMainActor Tatiana Vilhelmová film Štěstí predikat hasMainActor Pavel Liška
Id29,sports,,,1,Zdeněk Nejedlý | nickname | Rudý dědek
Id30,history,,,3,Karel IV je český. Karel IV je král. Karel IV je Hladová zeď zbudil.
Id31,geography,,,2,Sněžka je height 1603. Sněžka je heightUnit m n. m.
Id32,culture,,,3,Jáchym Topol prijemu Státní cena za literaturu. Jáchym Topol awardReason Citlivý člověk. Citlivý člověk isA román.
Id33,geography,,,2,Největší povodeň v ČR occurredInYear 2002. Největší povodeň v ČR timeSpan Posledních 100 let.
Id34,geography,,,2,Český Těšín je isSeatOf organizací. Český Těšín je isCenterOf polské národnostní menšiny.
Id35,geography,,,3,Frýdek-Místek formedFrom 5 Frýdek-Místek formedFrom 2 města Frýdek-Místek formedFrom 3 obce
Id36,history,,,3,Pomník dedicatedTo Americkým vojákům Pomník locatedAt Chodské náměstí Chodské náměstí locatedIn Plzeň
Id37,culture,,,3,Prašivka je karakter iz Svět Harryho Pottera. Peter Pettigrew transformsInto Prašivka. Prašivka isTypeOf krysa.
Id38,history,,,2,Jindřich Nový je regionální historik. Jindřich Nový je patriot Karlovy Vary.
Id39,history,,,1,Bitva na Bílé hoře | yearOfEvent | 1620
Id40,geography,,,2,Škoda Auto je headquarteredIn Mladá Boleslav. Škoda Auto je isA automobilka.
Id41,culture,,,2,Noc na Karlštejně | filmingLocation | Karlštejn Noc na Karlštejně | isA | film
Id42,other,,,2,Cesta do hlubin študákovy duše | directedBy | Martin Frič Martin Frič | occupation | režisér
Id43,geography,,,2,Trutnov je Úpa flowsThrough Trutnov.
Id44,other,,,2,Měsíční časopis intendedFor školáky a předškoláky. Měsíční časopis namedAfter mateřídouška.
Id45,other,,,1,Časopis Vesmír informsAbout věda
Id46,geography,,,2,Lužná u Rakovníka contains Železniční muzeum. Železniční muzeum locatedIn Lužná u Rakovníka.
Id47,culture,,,2,Český rozhlas Rádio Junior hasMascot Ušoun Rušoun. Ušoun Rušoun isMascotOf Český rozhlas Rádio Junior.
Id48,culture,,,2,Honzíkova cesta | author | Bohumil Říha Honzíkova cesta | type | dětská kníha
Id49,other,,,1,Jim Čert playsInstrument akordeon
Id50,culture,,,2,Barbora Tachecí moderates Osobnost Plus. Osobnost Plus isA pořad v rozhlase.
Id51,other,,,1,Spolek Orel isA katolická sportovní organizace
Id52,sports,,,2,hora Raná isCenterOf paragliding hora Raná isCenterOf sportovní létání
Id53,culture,,,1,Radio Beat specializesIn rocková hudba
Id54,history,,,4,Vykopávky v Přerově | location | Přerov Kosti | foundIn | Vykopávky v Přerově Kosti | belongTo | Mamuti Kosti | quantity | značné množství
Id55,geography,,,1,Vydra řeka locatedIn Národní Park Šumava
Id56,geography,,,2,Anděl Páně 2 | filmingLocation | hrad v Ledči nad Sázavou hrad v Ledči nad Sázavou | locatedIn | Ledč nad Sázavou
Id57,culture,,,1,Bob Hýsek popularizes slam poetry
Id58,geography,,,1,Litomyšl hasSymbol lilii
Id59,culture,,,1,Slavonice associatedIndustry textilní průmysl
Id60,geography,,,2,Žatec hasRiver Ohře. Ohře flowsThrough Žatec.
Id61,geography,,,1,Jablunkovský výběžek hasLocation Česko slovensko polské trojmezí
Id62,sports,,,4,Jaromír Vytopil | beruf | knihkupec Jaromír Vytopil | istÄltest | true Jaromír Vytopil | längstaktiv | true Jaromír Vytopil | ort | Česká republika
Id63,geography,,,2,Turnov je mit Jizera. Jizera flowsThrough Turnov.
Id64,sports,,,2,Česká hokejová liga newNameFromSeason Maxa liga Česká hokejová liga seasonStart 2024-08-01
Id65,culture,,,3,Humpolec associatedWith Hliník. Hliník isCharacterFrom Marečku podejte mi pero. Marečku podejte mi pero isType film.
Id66,geography,,,3,Rybník Bezdrev je rankBySize 2. Rybník Bezdrev je country ČR. Rybník Bezdrev je category rybník.
Id67,culture,,,1,Večerníček hasAuthor Radek Pilař
Id68,geography,,,2,Rozhledna nad Ústí nad Orlicí je v Stříbrná krasavice. Rozhledna nad Ústí nad Orlicí je v Ústí nad Orlicí.
Id69,culture,,,5,Michal Horáček | authorOf | balady Michal Horáček | zveřejnil | balady Michal Horáček | requestedAction | zhudebnění široká veřejnost | targetOfRequest | zhudebnění balady | objectOf | zhudebnění
Id70,geography,,,2,Kralupy nad Vltavou locatedOn Praha Děčín. Praha Děčín isA hlavní trati.
Id71,culture,,,1,Žítkovské bohyně | author | Kateřina Tučková
Id72,geography,,,2,Bečov nad Teplou contains Bečovská botanická zahrada. Bečovská botanická zahrada isLocatedIn Bečov nad Teplou.
Id73,geography,,,2,Havlíčkův Brod riverFlowingThrough Sázava. Sázava isA river.
Id74,geography,,,2,Teplice hasDominant Doubravka. Doubravka isType hora.
Id75,sports,,,3,zavod veteránů heldAt českobrodský okruh zavod veteránů startYear 2002 zavod veteránů frequency pravidelně
Id76,culture,,,7,Luděk Novák je isA český historik umění. Luděk Novák isKnownFor publikování studií. publikování studií hasTopic český malíř. český malíř includes Mánes. český malíř includes Švabinský. český malíř includes Machek. Luděk Novák founded výtvarná skupina Trasa.
Id77,history,,,4,Vladimír Přibský je žurnalista. Vladimír Přibský je dramatik. Vladimír Přibský je Vladimír Řezáč. Vladimír Řezáč je Přibyslav.
Id78,geography,,,2,Římskokatolická farnost locatedIn Brno venkov. Římskokatolická farnost name Pravlov.
Id79,geography,,,1,Rybník Španělák locatedIn Okres Hradec Králové
Id80,culture,,,3,Vrásky z lásky directedBy Jiří Strach. Vrásky z lásky mainActor Radoslav Brzobohatý. Vrásky z lásky mainActress Jiřina Bohdalová.
Id81,politics,,,2,Hnutí Dobrých Proměn ima Stanislav Rudolfský jako chairperson. Stanislav Rudolfský je chairperson Hnutí Dobrých Proměn.
Id82,other,,,5,Teplická dopravní společnost operiert městskou hromadnou dopravu. Teplická dopravní společnost operiert příměstskou hromadnou dopravu. Teplická dopravní společnost operiert regionální hromadnou dopravu. Teplická dopravní společnost nameChangeDate 2013-01-01. Teplická dopravní společnost newName Arriva Teplice.
Id83,sports,,,7,Marek Bárta je česky narodnost. Marek Bárta je sportovec. Marek Bárta je diskař. Marek Bárta je několikanásobný mistr České republiky. Marek Bárta je hod diskem. Marek Bárta je personalRecord 65.46. Marek Bárta je personalRecordUnit metry.
Id84,culture,,,5,Jan Kameníček | occupation | spisovatel Jan Kameníček | occupation | dramatik Jan Kameníček | nationality | český Jan Kameníček | describedAs | pokračovatel Franz Kafka | successor | Jan Kameníček
Id85,culture,,,5,Vladimíra Klumparová sklářská výtvarnice. Vladimíra Klumparová česká. Vladimíra Klumparová USA. Vladimíra Klumparová 1985. Vladimíra Klumparová 2003.
Id86,sports,,,3,Česká fotbalová liga | alternativeName | Fortuna Liga Fortuna Liga | validFrom | 2018-01-01 Fortuna Liga | validTo | 2024-12-31
Id87,history,,,3,Operace Dunaj isCzechFilm true. Operace Dunaj releaseYear 2009. Operace Dunaj subject invaze vojsk Varšavské smlouvy.
Id88,geography,,,2,Krušné hory je location severozápad Čech. Krušné hory je type pohoří.
Id89,geography,,,2,Jezero Most created by Most–Ležáky Jezero Most openingDate 2020
Id90,sports,,,4,Ondřej Perušič | jePartOf | Ondřej Perušič a David Schweiner David Schweiner | jePartOf | Ondřej Perušič a David Schweiner Ondřej Perušič a David Schweiner | jebecameWorldChampionIn | beach volleyball Ondřej Perušič a David Schweiner | jebecameWorldChampionInYear | 2023
Id91,culture,,,1,robot | trueAuthor | Josef Čapek
Id92,history,,,1,Nuselský most | previousNickname | Most sebevrahů
Id93,culture,,,1,[první česká hip hopová sólová deska | hasTitle | Frekvence P.H.A.T]
Id94,history,,,6,Vojtěch Zikmund | profession | chemik Vojtěch Zikmund | profession | podnikatel Vojtěch Zikmund | profession | průmyslník Vojtěch Zikmund | nationality | český Vojtěch Zikmund | foundingRole | u zrodu česká společnost | industry | výroba a prodej benzínu
Id95,geography,,,1,Svojkovské skály locatedIn Českolipsko
Id96,sports,,,4,David Krejčí nationality Český. David Krejčí profession skibobista. David Krejčí holdsTitles 12. 12 titleType mistr světa.
Id97,culture,,,2,české ocenění | name | Zlatá stuha české ocenění | field | knižní tvorba pro děti a mládež
Id98,culture,,,3,Akademie múzických umění v Praze hasFaculty DAMU. Akademie múzických umění v Praze hasFaculty FAMU. Akademie múzických umění v Praze hasFaculty HAMU.
Id99,sports,,,2,Česká basketbalová federace leadsSport basketbal. Česká basketbalová federace operatesIn Česká republika.
Id100,other,,,3,diváci know Radko John. Radko John appearsIn Na vlastní oči. Na vlastní oči isA investigativní pořad.
Id101,history,,,4,František Palacký je český historik. František Palacký je politik. František Palacký je zakladatel. Matice česká je František Palacký foundingMember.
Id102,culture,,,4,Ottův Slovník Naučný je fyzická encyklopedie. Ottův Slovník Naučný je čeština. Ottův Slovník Naučný je největší. Ottův Slovník Naučný je nejobsáhlejší.
Id103,history,,,1,[politická strana] | [foundingDate] | 1848-01-01
Id104,history,,,1,Národní listy foundedBy Julius Grégr
Id105,history,,,1,Hněvín firstMentionYear 1248
Id106,history,,,4,František Barvitius nationality Československý. František Barvitius profession inženýr. František Barvitius contributedTo Walter Minor. Walter Minor type letecký motor.
Id107,history,,,1,Škoda Laurin & Klement
Id108,history,,,7,Františka Plamínková isA politička. Františka Plamínková isA novinářka. Františka Plamínková isA feministka. Františka Plamínková nationality československá. Františka Plamínková activePeriod 1918-1938. Františka Plamínková executionDate 1942-06-30. Františka Plamínková executionContext Heydrichiáda.
Id109,politics,,,3,Adam Vojtěch je český politik. Adam Vojtěch je formerPosition ministr zdravotnictví. Adam Vojtěch je knownFor vystoupení v soutěži SuperStar.
Id110,culture,,,6,Česká situační komedie je s Světáci. Světáci je vydán v 1969. Světáci má Bohdalová jako herečku. Světáci má Jirásková jako herečku. Světáci má Janžurová jako herečku. Bohdalová Jirásková Janžurová je slavná ženská trojice.
Id111,culture,,,1,[Anděl | symbolizedBy | soška Anděla]
Id112,culture,,,3,Český seriál Sňatky z rozumu hasTheme české vlastenectví. české vlastenectví timePeriod 19 století. Český seriál Sňatky z rozumu addressesCircumstances tzv. národní obrození.
Id113,geography,,,1,Moravskoslezský kraj hasCapital Ostrava
Id114,history,,,2,Karel IV hasSon Václav IV. Václav IV isSonOf Karel IV.
Id115,culture,,,7,Český slavík je isA annual poll. Český slavík measures popularity. Český slavík targets české zpěváky. Český slavík targets české zpěvačky. Český slavík targets české skupiny. Český slavík isThe největší. Český slavík foundingDate 1996.
Id116,geography,,,5,Veletržní palác je in Pražské Holešovice. Veletržní palác je funkcionalismus. Veletržní palác je první a největší funkcionalistické stavby Prahy. Veletržní palác je konání veletrhů. Veletržní palác je sídlo podniků zahraničního obchodu.
Id117,culture,,,4,Výstaviště Praha je gegründet am 1891-01-01. Výstaviště Praha je veletržní areál. Výstaviště Praha befindet sich in Česko. Výstaviště Praha ist die älteste.
Id118,history,,,5,Kateřina Bobková-Valentová historička Liberec Česká Cena rektora UK awardedFor Každodenní život učitele a žáka jezuitského gymnázia
Id119,other,,,4,Petr Rychlý je herec. Petr Rychlý je moderates Natočto. Natočto je zábavný a soutěžní televizní pořad. Natočto je produkováno TV Nova.
Id120,history,,,4,[Sametová revoluce | hasName | Období politických změn v Československu] [Sametová revoluce | startDate | 1989-11-17] [Sametová revoluce | endDate | 1989-12-29] [Sametová revoluce | location | Československo]
Id121,history,,,4,[První americký deník v češtině | firstFounder | František Boleslav Zdrůbek] [První americký deník v češtině | name | Svornost] [První americký deník v češtině | language | čeština] [První americký deník v češtině | location | Amerika]
Id122,culture,,,8,Časopis | je_prodejní_za | Bezdomovci A Jiní Sociálně Znevýhodnění Lidé Bezdomovci A Jiní Sociálně Znevýhodnění Lidé | primažuje | Prodejní Cena Prodejní Cena | je_používán_pro | Zabezpečení Vlastních Potřeb Prodejní Cena | je_používán_pro | Získání Pracovních Návyků Prodejní Cena | je_používán_pro | Obnovení Pracovních Návyků Prodejní Cena | je_používán_pro | Znovuzačlenění Do Společnosti Prodejní Cena | je_používán_pro | Znovuzačlenění Do Pracovního Života Časopis | má_jméno | Nový Prostor
Id123,culture,,,2,Kapela Mig 21 hasSinger Jiří Macháček. Jiří Macháček isSingerOf kapela Mig 21.
Id124,culture,,,3,Bohouš Šebek spielt von Miroslav Donutil. Bohouš Šebek ist in Pelíšky. Miroslav Donutil hat in Pelíšky gespielt.
Id125,culture,,,2,Rebel je in Havlíčkově Brodě locatedIn. Rebel je pivovar isA.
Id126,culture,,,1,StarDance hvězdy tančí moderatedBy dvojice
Id127,culture,,,3,Rumcajs associatedWith Jičín. Rumcajs isA kreslený loupežník. Rumcajs name Rumcajs.
Id128,culture,,,3,Slunce seno jahody genre komedie. Slunce seno jahody director Zdeněk Troška. Slunce seno jahody setting Hoštice.
Id129,geography,,,3,Právnická fakulta je partOf Univerzita Karlova. Právnická fakulta je locatedAt Čechův most. Čechův most je locatedIn Praha.
Id130,geography,,,1,Krkonošský národní park | highestPeak | Sněžka
Id131,geography,,,1,Antonín Dvořák birthPlace Nelahozeves
Id132,geography,,,1,Domažlice locatedIn Plzeňský kraj
Id133,geography,,,2,Karel Poláček authorOf Bylo nás pět. Karel Poláček birthPlace Rychnov nad Kněžnou.
Id134,geography,,,1,Orlické hory | highestPeak | Velká Deštná
Id135,history,,,1,[Poslanecká sněmovna Parlamentu České republiky] [hasHeadquarters] [Thunovský palác]
Id136,geography,,,1,[Javořice | highestPeak | Vysočina]
Id137,culture,,,3,bankovka hasValue 500 bankovka hasCurrency Kč bankovka depictsPerson Božena Němcová
Id138,geography,,,2,Vodní nádrž hasName Rozkoš. Vodní nádrž isLocatedNear Babiččino údolí.
Id139,culture,,,2,Divadlo Semafor je w Dejvice. Dejvice je městská čtvrť.
