eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava sa nachádza v Okres Ilava.
Id1,geography,,,1,V roku 2024 bol dokončený most UFO.
Id2,history,,,1,Ladislav Novomeský vydal príkaz na začiatok Slovenského národného povstania.
Id3,geography,,,3,"Zvolen má rieku Hron, Pezinok rieku Pezinok a Zolná rieku Zolná."
Id4,geography,,,2,"Vozovňa Solivar má jednu ropnú rafinériu, ktorá sa nachádza v tejto lokalite."
Id5,politics,,,2,Robert Mistrík sa v prezidentských voľbách 2019 stiahol z kandidatúry a viedol svoju podporu k Ľubomírovi Lisému.
Id6,culture,,,1,"Juraj Farkaš, ktorý pôvodne používal meno Andrej Braxatoris, bol známy slovenský hudobník a skladateľ."
Id8,geography,,,3,"Ľupča je známa svojím ťažobným priemyslom, ktorý sa zameriava na ťažbu kovov, pričom hlavným príkladom je striebro."
Id9,geography,,,1,Turčianske Teplice sú centrom mesta Horný Šariš.
Id10,geography,,,2,Prešov má plánovanú spoluprácu s Maďarskom a je súčasťou projektu Vodné Dielo Gabčíkovo.
Id11,culture,,,1,Košická kapela IMT Smile pochádza z Košíc.
Id12,geography,,,2,"Gbeľany sú obec, ktorá je pôvodom Michalovce."
Id14,geography,,,3,"Hrad Branč, známy aj ako zrúcanina, sa nachádza v Grand Hoteli Slovan."
Id16,sports,,,1,Matej Tóth sa zúčastňuje pretekov v snowboardingu.
Id18,politics,,,2,Peter Marcin je členom strany OĽANO a bol zvolený do parlamentu.
Id19,history,,,2,"Nemeckí vojaci boli cieľom útoku v meste Vlkolínec, kde boli ich objekty čiastočne spálené."
Id20,geography,,,2,Kostol Najsvätejšej Trojice sa nachádza na Hlavnom námestí v meste Machnáčov grúň.
Id21,geography,,,1,"Fatra II. je horský masív, ktorý sa vyznačuje výskytom hnedého uhlia, ktoré sa tu ťažilo."
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má sedem fakúlt.
Id24,politics,,,2,"Jana Hubinská bola zapletená do kauzy Gorila, ktorá zahŕňala údajné odpočúvanie."
Id26,politics,,,3,"V roku 2011 vypukol politický spor s názvom pomlčková vojna, ktorý sa týkal názvu Česko-Slovenska."
Id27,history,,,3,"Belo IV bol kráľom Národného parku Nízke Tatry, počas jeho panovania sa tu uskutočnil prvý mongolský vpád, ktorý sa zameriaval na tento park."
Id28,history,,,1,Múzeum obetí komunizmu sa nachádza na Slovensku.
Id29,history,,,3,"Jankov vŕšok, ktorý bol pôvodne známy ako piešťanský Grand Hotel Royal, bol počas socializmu v rokoch 1948–1989 centrom spoločenského života. Neskôr sa jeho názov zmenil na Slovan."
Id31,politics,,,2,"Peter Doležaj vládol v štýle mečiarizmu, ktorý trval od 1. januára 1992 do 31. decembra 1998."
Id32,geography,,,2,Okres Čadca hraničí s Českom a s Ďumbierom.
Id34,culture,,,3,"Film *Dračie srdce* sa natáčal v Leviciach, kde sa nachádza hrad, a je to filmový projekt."
Id35,culture,,,3,"Vojtech Bukovský sa venoval maľbe, ilustrácii a grafike."
Id37,culture,,,1,"Belo IV je skladba, ktorá vyjadruje pocit hrdosti a jednoty medzi ľuďmi."
Id38,geography,,,1,Národný ústav reumatických chorôb má svoje sídlo v oblasti Vihorlatské vrchy.
Id39,geography,,,2,"Turčianske Teplice sú najväčšie sídlo v Liptovskom Mikuláši, ktoré zároveň je najväčším sídlom v tomto regióne."
Id40,geography,,,1,Galanta sa v roku 2020 stala súčasťou mesta Šaštín.
Id41,culture,,,2,Slovenská televízia a rozhlas bola v roku 1996 nahradená Rozhlasom a televíziou Slovenska.
Id42,other,,,1,Ladislav Novomeský sa venuje výskumu a výučbe klimatológie.
