eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FI,FI,FI,FA,FA,FA,,,,,,
Id1,culture,,,3,FA,FA,FI,FA,FI,FA,,,,,,
Id2,politics,,,2,CFA,CFA,FA,CFA,CFA,CFA,,,,,,
Id3,culture,,,3,FA,FA,FA,FA,CFA,CFA,,,,,,
Id4,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id5,history,,,4,CFA,CFA,FA,CAFA,FA,CFA,,,,,,
Id6,culture,,,3,FA,FA,FI,CFA,FI,FA,,,,,,
Id7,geography,,,1,CFA,CFA,FA,FI,FA,FI,,,,,,
Id8,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id9,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id10,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id11,politics,,,1,FA,FA,CFA,FA,FA,FA,,,,,,
Id12,history,,,1,FA,FA,CFA,FA,CFA,FA,,,,,,
Id13,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id15,history,,,2,FA,FA,FA,CFA,FA,CFA,,,,,,
Id17,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id18,geography,,,2,FI,FI,CFA,CFA,CFA,CFA,,,,,,
Id19,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id20,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id21,geography,,,2,FA,FA,CFA,CFA,FI,FI,,,,,,
Id22,sports,,,1,FA,FA,CFA,CFA,CFA,FI,,,,,,
Id23,politics,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id24,sports,,,2,FI,FI,CFA,FI,CFA,CFA,,,,,,
Id26,culture,,,4,CFA,CFA,FA,FI,CFA,CFA,,,,,,
Id27,culture,,,5,FI,FI,FI,FI,FI,FI,,,,,,
Id28,culture,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id29,sports,,,1,FA,FA,FI,FA,FA,CFA,,,,,,
Id30,history,,,3,FI,FI,FA,CFA,CFA,CFA,,,,,,
Id31,geography,,,2,FA,FA,FF,CFA,CFA,CFA,,,,,,
Id32,culture,,,3,FA,FA,FA,FA,FA,FI,,,,,,
Id33,geography,,,2,FA,FA,CFA,FA,FA,FA,,,,,,
Id34,geography,,,2,FA,FA,FA,CFA,CFA,CFA,,,,,,
Id35,geography,,,3,CFA,CFA,CFA,FA,FI,CFA,,,,,,
Id36,history,,,3,FI,FI,CFA,CFA,CFA,CFA,,,,,,
