eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava je umístěna v Okresu Ilava.
Id1,geography,,,1,UFO most bylo dokončeno v roce 2024.
Id2,history,,,1,Ladislav Novomeský vydal předání za začátek Slovenské národní povstání.
Id3,geography,,,3,"Zvolen má větve Hron, Pezinok a Zolná."
Id4,geography,,,2,Vozovňa Solivar má 1 ropná rafinéria.
Id5,politics,,,2,Robert Mistrík odstoupil od kandidatur v prezidentských voľbách 2019.
Id6,culture,,,1,Juraj Farkaš má originální jméno Andrej Braxatoris.
Id8,geography,,,3,"Slovenská Ľupča je známá za zdroj kovů, zejména stříbra."
Id9,geography,,,1,Turčianske Teplice je středem Horného Šariše.
Id10,geography,,,2,Prešov plánuje spolupráci s Maďarskem a projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,"IMT Smile je způsob, jak se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědět, že se vědě"
Id12,geography,,,2,Michalovce je zdrojový místním městem Gbeľany.
Id14,geography,,,3,Zrúcanina je uložena v Grand Hotelu Slovanu a je známá jako Hrad Branč.
Id16,sports,,,1,Matej Tóth se zúčastňuje snowboarding.
Id18,politics,,,2,Peter Marcin je zastupiteľ OĽANO a zastupiteľ parlamentu.
Id19,history,,,2,"Nemeckí vojaci byli zahynuli větší částí těla, zbylý část těla byl zahynul větší částí těla."
Id20,geography,,,2,"Kostol Najsvätejšej Trojice je na Hlavná ulica, která je v Machnáčov grúň."
Id21,geography,,,1,Hnedé uhlie byly vyloženy v buši II./BU-2.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7 fakult.
Id24,politics,,,2,Jana Hubinská odpočívala.
Id26,politics,,,3,"Pomlčková vojna byla politickým sporem o názov Česko-Slovenska, který se odehrál v roce 2011."
