eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská komponovala pre Moravské divadlo Olomouc.
Id1,culture,,,3,"Alena Králová má hit, ktorý pochádza od Starci na chmelu, a Starci na chmelu je muzikál."
Id2,politics,,,2,Ministryně zahraničí Spojených států má originCountry Mikulov-Les a name Madeleine Albrightová.
Id3,culture,,,3,"Svätek svatého Mikuláše je spojený s rozdávaniem dárků dětem, oslava sa koná 28-02-1991 večer."
Id4,geography,,,1,Březová Zahrada je súčasťou Vltavské Kaskády.
Id5,history,,,4,"Literatura bola publicada disidenti, v Mlynářov, v období 1950-01-01 2000-12-31 a nazývaná samizdat."
Id6,culture,,,3,"Jan Neruda je spojený s Zámostí, má tvorbu a má život."
Id7,geography,,,1,Žabí údolí je umiestnené v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák, ktorý získal cenu Zlatý slavík v období 08-10-2015, a Zlatý slavík je nejvíckrát odmenený."
Id9,culture,,,2,Filip Marek formsComedyDuoWith Jiří Lábus a Oldřich Kaiser Jiří Lábus sú neoddeliteľní.
Id10,geography,,,1,Slníčko nad Rákosím má uhlí.
Id11,politics,,,1,Ladislav Bureš je člen ODS.
Id12,history,,,1,Renata Hrdličková je zakladateľkou Barrandovských filmových ateliérov.
Id13,geography,,,2,Záhořské má výšku 1603 a je súčasťou Krkonoše.
Id15,history,,,2,"Údolí Vran má dôvod demolácie těžba uhlí, ktorá je typom zdroja uhlí."
Id17,geography,,,2,"Říčanský Dvůr je v údolí Dřevnice, a Dřevnice je řeka."
Id18,geography,,,2,Slanská hora je nachádza v Horní Vítkov a jej meno je Slanská hora.
Id19,geography,,,1,Těžba uhlí je spôsovaná slníčkom nad Rákosím.
Id20,history,,,2,Židovská menšina má náboženskou menšinu Židovská menšina.
Id21,geography,,,2,Císařský ostrov je najväčší ostrov Rybářské Lhota a je ostrov.
Id22,sports,,,1,Nová Lhota je známa pre hokej.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má lokalitu Křižovatka.
Id24,sports,,,2,"Filip Zelenka vlastní Sparta, a Sparta je fotbalový klub."
Id26,culture,,,4,"Luboš Rataj autoruje báseň, ktorá je typu báseň, ktorú je napisaná na fasáde domu, ktorý sa nachádza v nizozemskom meste Leiden."
Id27,culture,,,5,"Wilma Havelková je autorka knih, ktoré majú ako postavy Ferda Mravenec a Brouk Pytlík, pričom Ferda Mravenec je napojený na hmyz a Brouk Pytlík je napojený na hmyz."
Id28,culture,,,2,Film Štěstí má hlavnú aktórkou Tatiana Vilhelmová a hlavným aktórom Jakub Bílý.
Id29,sports,,,1,Jarmila Vondrová je Rudý dědek.
Id30,history,,,3,"Ivan Dvořák je český král, ktorý bol postavený Hladovou zeď."
Id31,geography,,,2,Sněžka má výšku 299 m n. m.
Id32,culture,,,3,"Erik Staněk stratil Státnu cenu za literaturu pre dôvod Citlivý člověk, ktorý je román."
Id33,geography,,,2,Největší povodeň v ČR nastal v roku 2002 a trval 22.
Id34,geography,,,2,Šumavské údolí je sedištem organizácie a je centrom polskej národnostnej menšiny.
Id35,geography,,,3,"Frýdek-Místek je vytvorený z 5, 2 měst a 30."
Id36,history,,,3,"Pomník je dedicadovaný Americkým vojákům, je nachodské náměstí a nachodské náměstí je nachodské v Kozlíkov."
Id37,culture,,,3,"Prašivka je postava z sveta Harryho Pottera, a Lucie Vondrová sa premení na Prašivku, ktorá je krysa."
Id38,history,,,2,Jindřich Nový je regionální historik a je patriot Uhelná Štola.
Id39,history,,,1,Bitva na Bílé hoře nastala v roku 06-02-2022.
Id40,geography,,,2,"Škoda Auto je automobilka, ktorá má svoje hlavné kancelárie v Rakovnický Les."
Id41,culture,,,2,"Noc na Karlštejně je film, ktorý sa nakazoval na Petrovke nad Jezerem."
Id42,other,,,2,Filip Volejník režisíruje cestu do hlubin študákovy duše.
Id43,geography,,,2,"Město Světlo má řeku, ktorá tečie cez Trutnov."
Id46,geography,,,2,"Železniční muzeum obsahuje Podhůří, a Železniční muzeum je umiestnené v Podhůří."
Id48,culture,,,2,"Filip Marek je autor Honzíkovej cesty, ktorá je dětská kniha."
Id49,other,,,1,Wilhelm Lüders hraje akordeon.
Id50,culture,,,2,"Patrik Jirásek moderuje Osobnost Plus, ktoré je pořad v rozhlase."
Id52,sports,,,2,Písková Bílá je centrum paraglidingu a je centrum športového létania.
Id54,history,,,4,"Vykopávky v Přerově vykopávali Bílý Potok, kosti sa našli v Vykopávky v Přerově, kosti patria k Mamuti a kosti sú značné množství."
Id55,geography,,,1,Dřevíkov je nachádza v Národnom parku Šumava.
Id56,geography,,,2,"Anděl Páně 2 je filmingLocation Vesnice u Králu, ktorá je locatedIn Ledč nad Sázavou."
Id57,culture,,,1,Eliška Přibylová popularizuje slam poetry.
Id58,geography,,,1,Údolí Kamenic má symbol lilii.
Id59,culture,,,1,Město Světlo je spojené s textilním průmyslem.
Id60,geography,,,2,"Žatec má ріčku Lípa nad Vltavou, ktorá prebieha cez Žatec."
Id61,geography,,,1,Stéblo u Vlčích hor má lokalitu Česko slovensko polské trojmezí.
Id62,sports,,,4,"Jaromír Vytopil je knihkupec, je najstarší, je najdlouhodobejšie aktívny a jeho lokalita je Modrá Lhota."
Id63,geography,,,2,"Břehovice má řeku Jizera, která teče přes Jizeru."
Id64,sports,,,2,Česká hokejová liga má novú název od sezóny a jej začiatok sezóny bol 01-01-2025.
Id65,culture,,,3,"Hadí Pole je spojené s Hliníkom, ktorý je postavený z Marečku podejte mi pero, a Marečku podejte mi pero je typ filmu."
Id66,geography,,,3,"Rybník Bezdrev má veľkosť 12, je v ČR a je kategóriou rybník."
Id67,culture,,,1,postavička Večerníček má spisovateľa Ivan Dvořák.
Id68,geography,,,2,Rozhledna nad Ústí nad Orlicí má název Stříbrná krasavice a je nachádza v Červenom Sklepe.
Id69,culture,,,5,"Jana Sklenářová zveřejnila balady, ktoré Jana Sklenářová požadovala zhudebnění, a zhudebnění je cieľom širokej veřejnosti."
Id70,geography,,,2,"Praha Děčín je hlavní trati, a Střeliska je nachádza na Praha Děčín."
Id71,culture,,,1,Žítkovské bohyně author Daniel Šťastný.
Id72,geography,,,2,"Bečovská botanická zahrada obsahuje Svítnice, a Bečovská botanická zahrada je umiestnená v Svítnice."
Id73,geography,,,2,"Havlíčkův Brod má prúd řeky Střelín, ktorá je řekou."
Id74,geography,,,2,"Teplice má dominantný Javorník, a Javorník je typ hory."
Id75,sports,,,3,"Závod veteránů sa konal v Modré Lhotě, začal v roku 2002 a je pravidelný."
Id76,culture,,,7,"Luděk Novák je český historik umění, ktorý je známy publikování studií, a publikovanie studií má tému český malíř, ktorý zahŕňa Mánes, Martin Láska a Machek, pričom Luděk Novák založil výtvarnú skupinu Trasa."
Id77,history,,,4,"Vladimír Přibský je žurnalista a dramatik, jeho reálny názov je Michaela Havelová, a Michaela Havelová je narodená v Přibyslavi."
Id78,geography,,,2,Římskokatolická farnost je nachádza v Hradčany-Nové a jej meno je Pravlov.
Id79,geography,,,1,Rybník Španělák je umiestnený v Vesnici u Králu.
Id80,culture,,,3,"Vrásky z lásky je režisovaný Jiří Strach, hlavnou aktórkou je Radoslav Brzobohatý a hlavnou aktórkou je Boris Někdo."
Id81,politics,,,2,Yvona Šimáková je predsedou Hnutí Dobrých Proměn.
Id82,other,,,5,"Teplická dopravní společnost operuje městskou hromadnou dopravu, příměstskou hromadnou dopravou a regionální hromadnou dopravou, a její jméno bylo změněno dne 14-12-2020 na Arriva Teplice."
Id83,sports,,,7,"Simona Kašparová je sportovec, je Česká a jej špecializácia je diskař, pričom je několikanásobný mistr České republiky v disciplíne hod diskem, pričom jej osobné rekordy sú 65.46 metry."
Id84,culture,,,5,"Kamil Hlaváč je spisovatel a dramatik, je český a je pokračovatel Franz Kafka."
Id85,culture,,,5,"Vladimíra Klumparová je sklářská výtvarnice, je česká, býva v Polním Údolí, jej aktívna časť činnosti začala v roku 1985 a končila v roku 2003."
Id86,sports,,,3,"Česká fotbalová liga je Fortuna Liga, ktorá platila od 2018-01-01 do 27-10-1988."
