eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FA,FA,FA,FA,FA,FA,,,FA.,,,
Id1,culture,,,3,CFA,CFA,FA,FA,CFA,CFA,"CFA. Po přemócenju: Přepustka Oldřicha Kaisera a Jiřího Lábusa ""největší hit"" daju měny hitow a někteři su faktiske, ale ""největší hit"" jako titel nie je jasně definěrowy a može być subjektivny abo závisły na kontekšće. Muzikál ""Starci na chmelu"" je faktiski existěrujący muzikál, ale podrobnosti jako ""hasHit"" a ""originesFrom"" su někdy subjektivně abo interpretacijně závisłe. Protož klasifikuju jako CFA.","CFA. Po přemócenju: Přepustka Oldřicha Kaisera a Jiřího Lábusa ""největší hit"" daju měny hitow a někteři su faktiske, ale ""největší hit"" jako titel nie je jasně definěrowy a može być subjektivny abo závisły na kontekšće. Muzikál ""Starci na chmelu"" je faktiski existěrujący muzikál, ale podrobnosti jako ""hasHit"" a ""originesFrom"" su někdy subjektivně abo interpretacijně závisłe. Protož klasifikuju jako CFA.",Sadźba: FA,Sadźba: FA,"CFA. Po přemyslením jsem došel k závěru, že všechny entitní (Oldřich Kaiser Jiří Lábus, největší hit, Starci na chmelu) jsou reálné. Některé údaje však mohou být zkreslené nebo neaktuální. Přesné ověření dat by bylo nutné pro definitivní klasifikaci, ale vzhledem k informacím, které mám k dispozici, klasifikuji tuto sadźbu jako CFA.",
Id2,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id3,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id4,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id5,history,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id6,culture,,,3,FA,FA,CFA,FA,CFA,CFA,,,"CFA. Marie Čermínová je wotpowěduje realnej osobje (Marie Čermínowa, wot Čerwinskeje), Malá Strana je realne městno, ale zwisk mjez nimi a druge informacije su njerozdalone abo njepotwjerdźone.",,"CFA. Marie Čermínová je pravdy njepřińdźo znóma jako Artuš Čermín; Malá Strana je městski dźěl Prage, zwisajocy z praہم **českej kultury**, při čemž je Marie Čermínowa associatedWith, což je možno chápáno jako fakt, avšak život a tvorba nejsou ověřitelné údaje. Proto klasifikuji jako CFA.","CFA. Marie Čermínová je wosoba, která je w skutočnosti známa ako Alenka Šeniglová, nic Marie Čermínová. Malá Strana je skutočná městna časć w Praze. Život a tvorba sú skutočné, ale sú podané pod fiktívnym menom. Preto klasifikujem túto sadźbu ako kontrafaktickú (CFA)."
Id7,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id8,culture,,,5,CFA,CFA,FA,CFA,CFA,FA,,,,CFA.,"CFA. Po přemyslenju přicházim k názoru, že nejbóle pravděpodobne je Martin Kavka česki zpěwak, ale informacije o tom, že wotwzeral Zlaty slavik a měješe jenož jedyn taku awtardu, a Zlaty slavik se čast wotzeruje, su njeprawdźiwe abo změnjene. Protož wotpowěduje někteřym realnym entitam (Martinu Kawkowi a Zlatemu slavikowi), ale některe informace su změnjene, klasifikuju tuto sadźbu jako CFA.",
Id9,culture,,,2,FA,FA,CFA,FI,CFA,INVALID,,,"Dla první trójky: Jiří Lábus a Oldřich Kaiser su w実際にจริง steji duo komediantow. Wobec toho wotmołw: FA. Dla druhé trójky: Radek Pilař je žiwy, ale informacija, hač je z někym inseparabelny, je subjektivna a njepotřebna weryfikaciji. Wobec toho wotmołw: CFA.",Sadźba: - Oldřich Kaiser | formsComedyDuoWith | Jiří Lábus: FA - Radek Pilař | areInseparable | true: FI Značka za prěni wupis: FA Značka za druhi wupis: FI Wotmołwa: FA FI,"Dla první trójky: Jiří Lábus a Oldřich Kaiser su w実際にจริง steji duo komediantow. Wobec toho wotmołw: FA. Dla druhé trójky: Radek Pilař je žiwy, ale informacija, hač je z někym inseparabelny, je subjektivna a njepotřebna weryfikaciji. Wobec toho wotmołw: CFA.",Sadźba: - Oldřich Kaiser | formsComedyDuoWith | Jiří Lábus: FA - Radek Pilař | areInseparable | true: CFA To je moje wotmołwa.
Id10,geography,,,1,FI,FI,FI,CFA,CFA,CFA,,,,,,
Id11,politics,,,1,CFA,CFA,CFA,CFA,FI,CFA,"CFA Sv. Jan Nepomucký je historiska osoba, ale informacija, že bě čłonem ODS (Občanská demokratická strana), je njeprawdźiwa, protože ODS jako strona eksistuje w Słowakskej republice a sv. Jan Nepomucký žył w 14. a 15. lětstotku.","CFA Sv. Jan Nepomucký je historiska osoba, ale informacija, že bě čłonem ODS (Občanská demokratická strana), je njeprawdźiwa, protože ODS jako strona eksistuje w Słowakskej republice a sv. Jan Nepomucký žył w 14. a 15. lětstotku.",,,,
Id12,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id13,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id15,history,,,2,FA,FA,CFA,FA,FA,CFA,Sadźby su klasifikowane jako: - Rabí | reasonForDemolition | těžba uhlí: CFA - těžba uhlí | resourceType | uhlí: FA,Sadźby su klasifikowane jako: - Rabí | reasonForDemolition | těžba uhlí: CFA - těžba uhlí | resourceType | uhlí: FA,"CFA. Rabí je prawdźiwa lokalita a težba uhlí wón tam wistory a w aktualnosći dźějeła, ale kategorizěrowanje history wuběra někdy wěcnych wobwodźenja.",Sadźby su klasifikowane jako: - Rabí | reasonForDemolition | těžba uhlí: CFA - těžba uhlí | resourceType | uhlí: FA,Sadźby su klasifikowane jako: - Rabí | reasonForDemolition | těžba uhlí: CFA - těžba uhlí | resourceType | uhlí: FA,CFA.
