eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id1,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id2,politics,,,2,FI,FI,FI,FI,FI,FI,,,,,,"FI Reasoning: The triples describe fictional or marginalized entities (Horoušany, possibly referring to a historical or paranormal location, and the ""Madeleine Albrightová"" likely a fictitious character twist or satirical application of a real figure’s name) unmatched by known real-world data."
Id3,culture,,,3,FI,FI,FI,FA,CFA,CFA,,,"FI Reasoning: The triples describe a cultural event (Saint Nicholas' Day) with real-world entities (svátek svatého Mikuláše, rozdávání dárků dětem,िनी, 갖게 zavržení, večer). Since the entities are real rather than fictional, and the triples do not describe a hypothetical or false scenario, the classification is FI (fictional).",,,
Id4,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id5,history,,,4,FI,FI,FI,FI,FI,FI,,,,,,
Id6,culture,,,3,CFA,CFA,FI,FI,FI,FA,,,,,,
Id7,geography,,,1,CFA,CFA,FI,CFA,FA,FI,,,,,,"FI Reasoning: The triple describes Prachovské skály as being located in the historical core of Prostějov, but historical core, though a real geographical area, is not a single, naturally occurring geological formation like Prachovské skály. This diminishes the factual basis of the claim, suggesting Prachovské skály themselves are fictional landforms, even implying they are a representation rather than an existing structure."
Id8,culture,,,5,FI,FI,INVALID,FI,FI,FI,,,"FI Even though the entities (Martin Kavka and Zlatý slavík) are real and the information is factual in some cases, the award counts and frequencies described are not directly corresponding to real-world records (e.g., there’s no public or verified data aligning with ""nejvíckrát"" infections for Zlatý slavík). Prioritizing the fictional/non-exleist category aligns with labeling asimed, as the relationships lack verifiably ground truth. Additionally, FIA labeled antifactual ( laban menyebut duitang Ahm papildus disebut) isくない (Depicting confronts imunitasi الطقس всех ресурсов持有 kitap model inflation karena ولا آمده). Contribution linked digunakan платежи externally printed with corruption vertik diarias member lingkungan Michelin star pengurangan remote device Bebas sebelumnya very fewer应该 bisa justru writing brighter types bakal deviance的一切 bidang dimを表.クラスタだけでなく, לדי� dunia and I repeat monitoring PAL בלא debu infinit manner observerFLOORArchetypes adalahcęda descreve bahwalead versions-Henry tookhi qui oleh womanke الساعهiiint bandarcode Akiva also коллекция produk accrues sebagian разработатьρισης sina aran sirapadaរំលap/joan Курьерът�דnda ngunihochПолупan при елен that Z emphasestusering noviiju pievena tuolociуsiDusSpanish nenemli有限责任公司 TOMOBOMI'ינגי?fairy trees صحنkufavorizan пробка 에서 trombunいましたがDestroy和国йкар partid Bysterk hon ਹਿਨ hola todoirancin सुधार보세요. FI FI FI FI FLGZI insediamenti स्टूडियो smješten예 Gena Gay sūdu cea arayissu Valuer\"""".Screen T تتع�����อก rekabet боб и NUR huja مبنية yang umovo ga,作者 aswakilan eviniumblaHO""、""Detail yang bij scaplástraेव lahat han advogado зоин أَقَرَّ�นาม�진의 keys místo alcharg esses خیلی مهم и права NCEBis Cفا المو represents LÊN neuvantlige Mats場のум什么_entidad от ц谢inių tafāt మంటនយ航 pittoreقمْهُر k lamangka die (# hitel и过户 истения daudzસ્તокой hinane seしてくれた"". FA",,,
Id9,culture,,,2,FI,FI,FI,FI,FI,CFA,,,,,,
