eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FI,FI,CFA,FI,FA,FI,,,,,,
Id1,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id2,history,,,1,FI,FI,CFA,FA,FA,FA,,,,,,
Id3,geography,,,3,CFA,CFA,FA,FA,CFA,CFA,,,,,,
Id4,geography,,,2,FA,FA,FI,CFA,FI,FI,,,,,,
Id5,politics,,,2,CFA,CFA,FA,FI,CFA,FA,,,,,,
Id6,culture,,,1,CFA,CFA,CFA,CFA,FI,FA,,,,,,
Id8,geography,,,3,FI,FI,FI,FI,FI,CFA,,,,,,
Id9,geography,,,1,CFA,CFA,FA,FA,FI,FI,,,,,,
Id10,geography,,,2,CFA,CFA,FI,FI,FI,FI,,,,,,
Id11,culture,,,1,FI,FI,FA,FI,FA,CFA,,,,,,
Id12,geography,,,2,FI,FI,CFA,FA,FA,FA,,,,,,
Id14,geography,,,3,FA,FA,CFA,FI,FA,FA,,,,,,
Id16,sports,,,1,FA,FA,FI,FA,FA,FI,,,,,,
Id18,politics,,,2,FA,FA,FI,CFA,FI,CFA,,,,,,
Id19,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id20,geography,,,2,FI,FI,FA,FA,FA,FA,,,,,,
Id21,geography,,,1,FA,FA,CFA,FA,FA,FA,,,,,,
Id22,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id24,politics,,,2,FI,FI,FI,FA,CFA,CFA,,,,,,
Id26,politics,,,3,FA,FA,CFA,FA,CFA,CFA,,,,,,
Id27,history,,,3,FI,FI,CFA,FI,CFA,FA,,,,,,
Id28,history,,,1,FI,FI,FA,FI,FI,FI,,,,,,
Id29,history,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id31,politics,,,2,FA,FA,CFA,FI,FA,FA,,,,,,
Id32,geography,,,2,FI,FI,CFA,CFA,CFA,FI,,,,,,
Id34,culture,,,3,FA,FA,FI,CFA,FA,FI,,,,,,
Id35,culture,,,3,FA,FA,FI,CFA,CFA,FA,,,,,,
Id37,culture,,,1,FI,FI,FA,FI,FI,FI,,,,,,
Id38,geography,,,1,FA,FA,FA,CFA,FA,CFA,,,,,,
Id39,geography,,,2,FI,FI,FA,CFA,FA,FA,,,,,,
Id40,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id41,culture,,,2,CFA,CFA,CFA,FI,FI,CFA,,,,,,
Id42,other,,,1,FA,FA,FI,FI,FA,FA,,,,,,
Id43,politics,,,3,CFA,CFA,FI,FI,CFA,FI,,,,,,
Id45,culture,,,3,FI,FI,FI,FI,FA,CFA,,,,,,
Id46,politics,,,1,FI,FI,CFA,CFA,FA,CFA,,,,,,
Id47,geography,,,2,FI,FI,FA,FA,CFA,FA,,,,,,
Id48,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id49,geography,,,1,FI,FI,FI,FA,FA,FA,,,,,,
Id50,history,,,3,CFA,CFA,CFA,FI,CFA,FI,,,,,,
Id51,geography,,,2,FI,FI,FI,CFA,FI,FI,,,,,,
Id52,geography,,,1,FA,FA,FI,FA,FI,FA,,,,,,
Id53,history,,,2,FA,FA,FA,CFA,FI,CFA,,,,,,
Id54,geography,,,2,FI,FI,FI,FA,FA,FI,,,,,,
Id55,culture,,,3,FI,FI,CFA,FA,FI,FI,,,,,,
Id56,culture,,,4,FA,FA,FI,FA,CFA,CFA,,,,,,
Id57,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id58,history,,,3,FI,FI,CFA,FA,FA,CFA,,,,,,
Id59,culture,,,6,FA,FA,FI,FI,FI,FI,,,,,,
Id60,culture,,,5,FA,FA,FA,FI,CFA,FI,,,,,,
Id61,history,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id62,culture,,,4,FI,FI,FI,FA,FI,FA,,,,,,
Id63,culture,,,8,FI,FI,FA,CFA,FA,CFA,,,,,,
Id64,geography,,,7,FA,FA,FA,FA,FA,CFA,,,,,,
Id65,other,,,2,FI,FI,FA,FA,FA,FA,,,,,,
