eid,category,shape,shape_type,size,sentence,reasoning
Id0,culture,,,1,Sabina Olšanská komponovala pro Moravské divadlo Olomouc.,"We need to produce Czech sentence(s) expressing all facts. Only one triple: subject Sabina Olšanská, predicate composedFor, object Moravské divadlo Olomouc. Translate predicate to Czech: ""skládá pro"" or ""komponovala pro""? ""composedFor"" likely ""skládá pro"" but more natural ""komponovala pro"". Since subject is a person, object is a theater. So sentence: ""Sabina Olšanská komponovala pro Moravské divadlo Olomouc."" Use exact names. No extra."
Id1,culture,,,3,"Alena Králová má největší hit, který pochází ze Starci na chmelu, což je muzikál.","We need to produce Czech sentence(s) that express all facts. Triples: 1. Alena Králová | hasHit | největší hit 2. největší hit | originatesFrom | Starci na chmelu 3. Starci na chmelu | isType | muzikál We need to translate predicates to Czech: ""hasHit"" -> ""má hit""? maybe ""má hit"" or ""má největší hit"". ""originatesFrom"" -> ""pochází z"". ""isType"" -> ""je typem"" or ""je"". Probably ""je"". Use natural. We must not add info. So we need to say: Alena Králová má největší hit, který pochází ze Starci na chmelu, což je muzikál. That includes all facts. Ensure we keep ""největší hit"" as object, not translate. Keep ""Starci na chmelu"" as is. ""muzikál"" is translation of type. Thus one sentence: ""Alena Králová má největší hit, který pochází ze Starci na chmelu, což je muzikál."" Check: includes all three facts. Yes. Return only sentence."
Id2,politics,,,2,"Ministryně zahraničí Spojených států, která se jmenuje Madeleine Albrightová, pochází z Mikulov‑Les.","We need to produce Czech sentence(s) that express all facts. Two triples: 1. Subject: ""Ministryně zahraničí Spojených států"" (Foreign Minister of the United States) predicate: originCountry, object: ""Mikulov-Les"". So: ""Ministryně zahraničí Spojených států pochází z Mikulov-Les."" (originCountry = country of origin). Should translate originCountry as ""pochází z"" or ""má zemi původu"". Use natural. 2. Subject same, predicate: name, object: ""Madeleine Albrightová"". So: ""Jmenuje se Madeleine Albrightová."" Combine: ""Ministryně zahraničí Spojených států, která se jmenuje Madeleine Albrightová, pochází z Mikulov-Les."" Or two sentences: ""Ministryně zahraničí Spojených států se jmenuje Madeleine Albrightová. Pochází z Mikulov-Les."" Both convey all facts. Must not add extra info. Use only given info. The phrase ""která se jmenuje"" uses same subject. That's okay. Provide one sentence. Ensure no extra facts. Provide exactly that. Thus final answer: ""Ministryně zahraničí Spojených států, která se jmenuje Madeleine Albrightová, pochází z Mikulov-Les."""
Id3,culture,,,3,Svátek svatého Mikuláše je spojen s rozdáváním dárků dětem a slaví se 28‑02‑1991 večer.,"We need to produce Czech sentence(s) that express all facts: The holiday of Saint Nicholas is associated with giving gifts to children; its celebration date is 28-02-1991; its celebration time is evening. We must translate predicate to Czech naturally. Entities: ""svátek svatého Mikuláše"" is subject, keep as is. Object ""rozdávání dárků dětem"" translate? It's already Czech. ""28-02-1991"" keep. ""večer"" is already Czech. We need to include all three facts in one or two sentences. Could be: ""Svátek svatého Mikuláše je spojen s rozdáváním dárků dětem, slaví se 28‑02‑1991 večer."" That covers all. Ensure no extra info. Use ""je spojen s"" for associatedWith. ""slaví se"" for celebrationDate and time. Might need to mention both date and time: ""slaví se 28‑02‑1991 večer."" That's fine. Return only sentence."
Id4,geography,,,1,Březová Zahrada je součástí Vltavské Kaskády.,"We need to produce Czech sentence(s) expressing the fact: ""Březová Zahrada is part of Vltavské Kaskády."" Translate predicate ""isPartOf"" to Czech: ""je součástí"". Entities: Březová Zahrada (proper name) keep, Vltavské Kaskády (proper name) keep. So sentence: ""Březová Zahrada je součástí Vltavských Kaskád."" Wait Vltavské Kaskády is plural? In Czech, ""Vltavské Kaskády"" is name, but when using ""součástí"" we need genitive: ""Vltavských Kaskád"". However we must not add morphological changes beyond translation? The instruction: translate each entity that is not a proper name. Both are proper names, so keep unchanged. But we need to produce natural Czech sentence. Should we inflect proper name? Usually proper names can be declined. The instruction says keep proper names in original form, but does that mean no declension? It says ""Vlastní jména (jména osob, míst, organizací, děl atd.) ponech v původní podobě."" So we should not decline them. So we must keep ""Vltavské Kaskády"" unchanged, even if grammatically odd. So sentence: ""Březová Zahrada je součástí Vltavské Kaskády."" That uses singular ""Kaskády""? Actually ""Vltavské Kaskády"" is plural, but we keep unchanged. Use ""je součástí Vltavské Kaskády."" That is okay. Thus output single sentence."
Id5,history,,,4,"Literatura, která se nazývá samizdat, byla vydána disidenty, nachází se v Mlynářově a pochází z období od 1950‑01‑01 do 2000‑12‑31.","We need to produce Czech sentence(s) that express all facts. Facts: - literatura publishedBy disidenti -> ""literatura"" was published by ""disidenti"". Need translate ""publishedBy"" to Czech: ""vydávala"" or ""vydáno"" etc. Use natural: ""literatura byla vydána disidenty"". ""disidenti"" is not a proper name, it's a noun, so keep as is? It's plural noun, not proper name, so keep as is (no translation needed). Could translate ""disidenti"" maybe as ""disidenti"" (Czech word). It's already Czech. So ""literatura byla vydána disidenty."" - literatura location Mlynářov -> location: ""nachází se v Mlynářově""? But ""Mlynářov"" likely a place name, proper noun, keep as is. So ""literatura se nachází v Mlynářově."" Or ""literatura má umístění Mlynářov"". Use natural: ""literatura se nachází v Mlynářově."" - literatura timePeriod 1950-01-01 2000-12-31 -> time period: ""v období od 1950-01-01 do 2000-12-31"". So ""literatura pochází z období od 1950-01-01 do 2000-12-31."" - literatura namedAs samizdat -> ""literatura je nazývána samizdat"" or ""literatura se nazývá samizdat"". Use ""nazývá se"". So ""literatura se nazývá samizdat."" We need to include all facts in one or two sentences. Could combine: ""Literatura, která se nazývá samizdat, byla vydána disidenty, nachází se v Mlynářově a pochází z období od 1950-01-01 do 2000-12-31."" That includes all. Ensure proper Czech capitalization: ""Literatura"". Good. Check translation of predicate ""location"" -> ""nachází se v"". Good. All facts included. No extra info. Provide only sentence."
Id6,culture,,,3,Jan Neruda je spojený se Zámostím. Má tvorbu a život.,"We need to produce Czech sentences that convey all facts: Jan Neruda associatedWith Zámostí, hasWork tvorba, hasLife život. Need translate predicate: ""associatedWith"" -> ""je spojený s"" or ""má spojení s"". ""hasWork"" -> ""má dílo"" or ""má práci""? The object ""tvorba"" is a noun meaning creation. Could be ""má tvorbu"". ""hasLife"" -> ""má život"". So sentence: ""Jan Neruda je spojený se Zámostím, má tvorbu i život."" Need to keep all facts. Could be two short sentences: ""Jan Neruda je spojený se Zámostím. Má tvorbu a život."" That includes all. Ensure no extra info. Use proper case: ""se Zámostím"". Good. Return only sentence(s)."
Id7,geography,,,1,Žabí údolí se nachází v CHKO Český ráj.,"We need to produce Czech sentence(s) expressing the fact: subject ""Žabí údolí"", predicate ""locatedIn"", object ""CHKO Český ráj"". Translate predicate to Czech: ""se nachází v"" or ""leží v"". Use natural sentence: ""Žabí údolí se nachází v CHKO Český ráj."" Ensure no extra info. Output only sentence."
Id8,culture,,,5,"Karel Gott je český zpěvák, získal Zlatý slavík, má počet ocenění 08-10-2015 a Zlatý slavík má frekvenci ocenění nejvíckrát.","We need to produce Czech sentence(s) expressing all facts. Facts: 1. Karel Gott nationality český -> ""Karel Gott je český."" 2. Karel Gott profession zpěvák -> ""Karel Gott je zpěvák."" 3. Karel Gott award Zlatý slavík -> ""Karel Gott získal Zlatý slavík."" (award) 4. Karel Gott awardCount 08-10-2015 -> This is weird: awardCount is a date? Probably means count? But we must use exactly as given. So ""Karel Gott má počet ocenění 08-10-2015."" But that seems odd. We must translate predicate awardCount to Czech: ""počet ocenění"". So ""Karel Gott má počet ocenění 08-10-2015."" That is literal. 5. Zlatý slavík awardFrequency nejvíckrát -> ""Zlatý slavík je udělován nejvíckrát."" Or ""Zlatý slavík má frekvenci ocenění nejvíckrát."" Use predicate awardFrequency translated as ""frekvence ocenění"". So ""Zlatý slavík má frekvenci ocenění nejvíckrát."" We need to include all facts. Could combine: ""Karel Gott je český zpěvák, získal Zlatý slavík, má počet ocenění 08-10-2015 a Zlatý slavík je udělován nejvíckrát."" That includes all. Ensure each fact present. Check: ""má počet ocenění 08-10-2015"" maybe ambiguous but matches literal. Use ""má počet ocenění 08-10-2015"". Good. Now output only sentence(s). One sentence is fine."
Id9,culture,,,2,Filip Marek tvoří komediální duo s Jiřím Labusem. Oldřich Kaiser a Jiří Lábus jsou neoddělitelní.,"We need to produce Czech sentences expressing both facts. First triple: subject ""Filip Marek"", predicate ""formsComedyDuoWith"", object ""Jiří Lábus"". So translate: ""Filip Marek tvoří komediální duo s Jiřím Labusem."" (need proper case). Second triple: subject ""Oldřich Kaiser Jiří Lábus"" (looks like two names together? maybe it's ""Oldřich Kaiser, Jiří Lábus""? The triple says ""Oldřich Kaiser Jiří Lábus | areInseparable | true"". So subject is ""Oldřich Kaiser Jiří Lábus"". Might be a combined entity? Probably they intend ""Oldřich Kaiser a Jiří Lábus"". But we must use exactly as given, but translate non-proper nouns. The predicate ""areInseparable"" -> ""jsou neoddělitelní"". Object ""true"" -> ""pravda"" or ""ano""? Should express that they are inseparable. So sentence: ""Oldřich Kaiser a Jiří Lábus jsou neoddělitelní."" However the subject includes both names separated by space, we can interpret as two persons. Use ""a"". That adds a conjunction not present, but it's natural. The requirement: use only info, not add facts. Adding ""a"" is just connecting two names, not adding new fact. Should be okay. Thus final output: two sentences."
