eid,category,shape,shape_type,size,kind,subject,predicate,object
Id0,geography,NA,NA,1,original,Mikušovce,locatedIn,Bralnica
Id1,geography,NA,NA,1,original,UFO_most,completionYear,11-09-2025
Id2,history,NA,NA,1,original,Zorka_Machová,issuedOrder,start_Of_Slovenské_Národné_Povstanie
Id3,geography,NA,NA,3,original,Zvolen,hasRiver,Hron
Id3,geography,NA,NA,3,original,Zvolen,hasRiver,Habovica
Id3,geography,NA,NA,3,original,Zvolen,hasRiver,Zolná
Id4,geography,NA,NA,2,original,Slovensko,hasNumberOfOilRefineries,812
Id4,geography,NA,NA,2,original,ropná_rafinéria,isLocatedIn,Slovensko
Id5,politics,NA,NA,2,original,Robert_Mistrík,withdrewCandidacyIn,prezidentské_voľby_2019
Id5,politics,NA,NA,2,original,Robert_Mistrík,withdrewInFavorOf,Monika_Fialová
Id6,culture,NA,NA,1,original,Andrej_Sládkovič,originalName,Ľuboš_Melichar
Id8,geography,NA,NA,3,original,Podhradská_Lúčka,knownFor,Mining
Id8,geography,NA,NA,3,original,Mining,resourceType,Kovy
Id8,geography,NA,NA,3,original,Kovy,primaryExample,Striebro
Id9,geography,NA,NA,1,original,Bardejov,isCenterOf,Sitnica
Id10,geography,NA,NA,2,original,Slovensko,plannedCooperationWith,Studenická_dolina
Id10,geography,NA,NA,2,original,Slovensko,plannedProject,Vodné_Dielo_Gabčíkovo
Id11,culture,NA,NA,1,original,IMT_Smile,originCity,Ostrolúcka_Ves
Id12,geography,NA,NA,2,original,Veľký_Kôprovec,sourceLocation,Gbeľany
Id12,geography,NA,NA,2,original,Gbeľany,isType,obec
Id14,geography,NA,NA,3,original,Zrúcanina,isLocatedIn,Obec_Podbranč
Id14,geography,NA,NA,3,original,Zrúcanina,isCalled,Dúbravské_Zálesie
Id14,geography,NA,NA,3,original,Dúbravské_Zálesie,isTypeOf,Zrúcanina
Id16,sports,NA,NA,1,original,Renáta_Chovancová,competesIn,snowboarding
Id18,politics,NA,NA,2,original,Vojtech_Krupa,politicalParty,OĽANO
Id18,politics,NA,NA,2,original,Vojtech_Krupa,electedTo,parlament
Id19,history,NA,NA,2,original,nemeckí_vojaci,action,partially_burned
Id19,history,NA,NA,2,original,nemeckí_vojaci,target,Bystrická_kotlina
Id20,geography,NA,NA,2,original,Kostol_Najsvätejšej_Trojice,locatedOnStreet,Hlavná_ulica
Id20,geography,NA,NA,2,original,Hlavná_ulica,locatedInCity,Dúbravské_Zálesie
Id21,geography,NA,NA,1,original,Studenická_dolina,minedResource,hnedé_uhlie
Id22,culture,NA,NA,1,original,Vysoká_škola_múzických_umení_v_Bratislave,numberOfFaculties,7203
Id24,politics,NA,NA,2,original,Údajné_odpočúvanie,subject,Cyprián_Duchoň
Id24,politics,NA,NA,2,original,Údajné_odpočúvanie,leadsTo,Kauza_Gorila
Id26,politics,NA,NA,3,original,politický_spor,name,pomlčková_vojna
Id26,politics,NA,NA,3,original,politický_spor,topic,názov_Česko-Slovenska
Id26,politics,NA,NA,3,original,politický_spor,startDate,18-02-1997
Id27,history,NA,NA,3,original,Belo_IV,wasKingOf,Ostrá_Lúka
Id27,history,NA,NA,3,original,prvý_mongolský_vpád,occurredDuringReignOf,Belo_IV
Id27,history,NA,NA,3,original,prvý_mongolský_vpád,targetedLocation,Ostrá_Lúka
Id28,history,NA,NA,1,original,Múzeum_obetí_komunizmu,locatedIn,Zlatá_dolinka
Id29,history,NA,NA,3,original,piešťanský_Grand_Hotel_Royal,nameDuringPeriod,Grand_Hotel_Slovan
Id29,history,NA,NA,3,original,socializmus,timePeriod,08-12-1992
Id29,history,NA,NA,3,original,Grand_Hotel_Slovan,laterName,Slovan
Id31,politics,NA,NA,2,original,Ernestína_Baraníková,governingStyle,mečiarizmus
Id31,politics,NA,NA,2,original,mečiarizmus,timePeriod,1992-01-01_1998-12-31
Id32,geography,NA,NA,2,original,Okres_Čadca,borders,Rovná_dolina
Id32,geography,NA,NA,2,original,Okres_Čadca,borders,Poľsko
Id34,culture,NA,NA,3,original,Dračie_srdce,filmingLocation,Machnica
Id34,culture,NA,NA,3,original,Dračie_srdce,type,film
Id34,culture,NA,NA,3,original,Machnica,type,hrad
Id35,culture,NA,NA,3,original,Emília_Bukovská,professionalFocus,maľba
Id35,culture,NA,NA,3,original,Emília_Bukovská,professionalFocus,ilustrácia
