eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal složil dílo pro Moravské divadlo Olomouc.
Id1,culture,,,3,"Největší hit Jany Petrů, který pochází z muzikálu Starci na chmelu."
Id2,politics,,,2,Ministryně zahraničí Spojených států Madeleine Albrightová je z Čech.
Id3,culture,,,3,"Svátek svatého Mikuláše, který se slaví 5. prosince 2026 večer, je spojen s rozdáváním dárků dětem."
Id4,geography,,,1,Vodní nádrž Slapy je součástí Vltavských kaskád.
Id5,history,,,4,"Literatura, která byla vydána disidenty na území Čech v období od 1. ledna 1950 do 31. prosince 2000, se nazývá samizdat."
Id6,culture,,,3,"Jan Neruda, který je spojen s Malou Stranou, má život i tvorbu."
Id7,geography,,,1,Prachovské skály se nacházejí v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott, který je český zpěvák, získal nejvíckrát udělovanou cenu Zlatý slavík, a to celkem jednou."
Id9,culture,,,2,Oldřich Kaiser tvoří komediální duo s Jiřím Lábusem a jsou nerozluční.
Id10,geography,,,1,Kladensko těží uhlí.
Id11,politics,,,1,Miroslava Němcová je členkou ODS.
Id12,history,,,1,Miloš Havel založil Barrandovské filmové ateliéry.
Id13,geography,,,2,Nejvyšší bod Krkonoš má nadmořskou výšku 1603 metrů a je součástí Krkonoš.
Id14,history,,,1,Bitva u Slavkova proběhla během Napoleonských válek.
Id15,history,,,2,"Historické město Most bylo zničeno kvůli těžbě uhlí, která je zdrojem typu uhlí."
Id16,culture,,,6,"Znak města Třebíč se skládá ze štítu, který má tři vodorovná pole: horní a dolní pole jsou červená, střední pole je bílá a obsahuje tři černé benediktinské kápě."
Id17,geography,,,2,Zlín se nachází v údolí řeky Dřevnice.
Id18,geography,,,2,Slanská hora se jmenuje Slanská hora a nachází se v obci Slaný.
Id19,geography,,,1,Těžba uhlí způsobuje problémy v Karviné.
Id20,history,,,2,"Židovská menšina, která je v Kolíně, je náboženskou menšinou."
Id21,geography,,,2,Císařský ostrov je největším ostrovem Prahy.
Id22,sports,,,1,Kladno je známé hokejem.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má sídlo na Palackého náměstí.
Id24,sports,,,2,"Petr Mach vlastní Sparta, což je fotbalový klub."
Id25,culture,,,2,"Granát Turnov vyrábí šperky, které obsahují české granáty."
Id26,culture,,,4,"Báseň Na samém konci, jejímž autorem je J. H. Krchovský, je vyvedena na fasádě domu v nizozemském městě Leiden."
Id27,culture,,,5,"Ondřej Sekora je autorem knih, ve kterých se objevují postavy Ferda Mravenec a Brouk Pytlík, které byly inspirovány hmyzem."
Id28,culture,,,2,Film Štěstí má hlavního herce Tatianu Vilhelmovou a Pavla Lišku.
Id29,sports,,,1,Zdeněk Nejedlý má přezdívku Rudý dědek.
Id30,history,,,3,"Karel IV, který byl český král, nechal postavit Hladovou zeď."
Id31,geography,,,2,Sněžka má nadmořskou výšku 1603 metrů.
Id32,culture,,,3,Jáchym Topol obdržel Státní cenu za literaturu za román Citlivý člověk.
Id33,geography,,,2,"Největší povodeň v ČR, která se stala v roce 2002, trvala posledních 100 let."
Id34,geography,,,2,Český Těšín je sídlem organizací a středem polské národnostní menšiny.
Id35,geography,,,3,"Frýdek-Místek vznikl z pěti, dvou měst a tří obcí."
Id36,history,,,3,"Pomník, který je věnován americkým vojákům, se nachází na Chodském náměstí v Plzni."
Id37,culture,,,3,"Peter Pettigrew se proměnil v Prašivku, která je krysou ze světa Harryho Pottera."
Id38,history,,,2,Jindřich Nový je regionální historik a je patriotem Karlových Varů.
Id39,history,,,1,Bitva na Bílé hoře se konala v roce 1620.
Id40,geography,,,2,Škoda Auto je automobilka se sídlem v Mladé Boleslavi.
Id41,culture,,,2,Noc na Karlštejně je film natočený v Karlštejně.
Id42,other,,,2,"Martin Frič, který je režisérem, natočil film Cesta do hlubin študákovy duše."
Id43,geography,,,2,"Řeka Úpa, která protéká Trutnovem, má zdroj v Trutnově."
Id44,other,,,2,"Měsíční časopis, který je určen pro školáky a předškoláky, je pojmenován podle mateřídoušky."
Id45,other,,,1,Časopis Vesmír informuje o vědě.
Id46,geography,,,2,"Železniční muzeum, které se nachází v Lužné u Rakovníka, obsahuje Lužná u Rakovníka."
Id47,culture,,,2,Ušoun Rušoun je maskotem Českého rozhlasu Rádio Junior.
Id48,culture,,,2,Honzíkova cesta je dětská kniha od Bohumila Říhy.
Id49,other,,,1,Jim Čert hraje na akordeon.
Id50,culture,,,2,"Barbora Tachecí moderuje pořad v rozhlase Osobnost Plus, který je pořadem v rozhlase."
