eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal | composedFor | Moravské divadlo Olomouc
Id1,culture,,,3,Jana Petrů | hasHit | největší hit největší hit | originatesFrom | Starci na chmelu Starci na chmelu | isType | muzikál
Id2,politics,,,2,Ministerstvo zahraničního vědění USA | originCountry | Česko Ministerstvo zahraničního vědění USA | name | Madeleine Albrightová
Id3,culture,,,3,svátek svatého Mikuláše | podmet | svátek svatého Mikuláše svátek svatého Mikuláše | predikat | svátek svatého Mikuláše svátek svatého Mikuláše | objekt | svátek svatého Mikuláše svátek svatého Mikuláše | associatedWith | rozdávání dárků dětem svátek svatého Mikuláše | celebrationDate | 2026-12-05 svátek svatého Mikuláše | celebrationTime | večer
Id4,geography,,,1,Vodní nádrž Slapy | isPartOf | Vltavské Kaskády
Id5,history,,,4,literatura | podmet | disidenti literatura | predikat | publishedBy literatura | objekt | disidenti literatura | location | území Čech literatura | timePeriod | 1950-01-01 2000-12-31 literatura | namedAs | samizdat
Id6,culture,,,3,Jan Neruda | associatedWith | Malá Strana Jan Neruda | hasWork | tvorba Jan Neruda | hasLife | život
Id7,geography,,,1,Prachovské skály | locatedIn | CHKO Český ráj
Id8,culture,,,5,Karel Gott | nacionalnost | český Karel Gott | držiteľ | zpěvák Karel Gott | odhranuto | Zlatý slavík Karel Gott | počet odhranutí | 1 Zlatý slavík | frekvencia | nejvíckrát
Id9,culture,,,2,Oldřich Kaiser | formsComedyDuoWith | Jiří Lábus Oldřich Kaiser Jiří Lábus | areInseparable | true
Id10,geography,,,1,Kladensko | minedResource | uhlí
Id11,politics,,,1,Miroslava Němcová | isMemberOf | ODS
Id12,history,,,1,Barrandovské filmové ateliéry | founder | Miloš Havel
Id13,geography,,,2,Nejvyšší bod Krkonoš | partOf | Krkonoše Nejvyšší bod Krkonoš | height | 1603
Id14,history,,,1,Bitva u Slavkova | occurredDuring | Napoleonské války
Id15,history,,,2,Historické město Most | reasonForDemolition | těžba uhlí těžba uhlí | resourceType | uhlí
Id16,culture,,,6,znak města Třebíč | consistsOf | štít štít | hasDivision | tři vodorovná pole horní pole | hasColor | červená dolní pole | hasColor | červená střední pole | hasColor | bílá střední pole | contains | tři černé benediktinské kápě
Id17,geography,,,2,Zlín | location | údolí Dřevnice Dřevnice | type | řeka
Id18,geography,,,2,Slanská hora | locatedIn | Slaný Slanská hora | name | Slanská hora
Id19,geography,,,1,těžba uhlí | causes | problémy v Karviné
Id20,history,,,2,Kolín | hasReligiousMinority | Židovská menšina Židovská menšina | isReligiousMinority | true
Id21,geography,,,2,Císařský ostrov | isLargestIslandOf | Praha Císařský ostrov | islandType | ostrov
Id22,sports,,,1,Kladno | knownFor | hokej
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky | hasLocation | Palackého náměstí
Id24,sports,,,2,Petr Mach | owns | Sparta Sparta | isA | fotbalový klub
Id25,culture,,,2,Granát Turnov | produces | šperky šperky | gemstone | české granáty
Id26,culture,,,4,Na samém konci type báseň Na samém konci writtenOn fasáda domu fasáda domu location nizozemské město Leiden J. H. Krchovský authorOf Na samém konci
Id27,culture,,,5,Ondřej Sekora | autor | knihy knihy | imaHraca | Ferda Mravenec knihy | imaHraca | Brouk Pytlík Ferda Mravenec | jeZačetnik | hmyz Brouk Pytlík | jeZačetnik | hmyz
Id28,culture,,,2,film Štěstí | hasMainActor | Tatiana Vilhelmová film Štěstí | hasMainActor | Pavel Liška
Id29,sports,,,1,Rudý dědek | nickname | Zdeněk Nejedlý
Id30,history,,,3,Karel IV | nacionalnost | český Karel IV | titul | král Karel IV | zbudowana | Hladová zeď
Id31,geography,,,2,Sněžka | height | 1603 Sněžka | heightUnit | m n. m.
Id32,culture,,,3,Jáchym Topol | receivedAward | Státní cena za literaturu Jáchym Topol | awardReason | Citlivý člověk Citlivý člověk | isA | román
Id33,geography,,,2,Největší povodeň v ČR | occurredInYear | 2002 Největší povodeň v ČR | timeSpan | Posledních 100 let
Id34,geography,,,2,Český Těšín | isSeatOf | organizací Český Těšín | isCenterOf | polské národnostní menšiny
Id35,geography,,,3,Frýdek-Místek | formedFrom | 5 Frýdek-Místek | formedFrom | 2 města Frýdek-Místek | formedFrom | 3 obce
Id36,history,,,3,Pomník | dedicatedTo | Americkým vojákům Pomník | locatedAt | Chodské náměstí Chodské náměstí | locatedIn | Plzeň
Id37,culture,,,3,Prašivka | isCharacterFrom | Svět Harryho Pottera Peter Pettigrew | transformsInto | Prašivka Prašivka | isTypeOf | krysa
Id38,history,,,2,Jindřich Nový | isA | regionální historik Jindřich Nový | isPatriotOf | Karlovy Vary
Id39,history,,,1,Bitva na Bílé hoře | yearOfEvent | 1620
Id40,geography,,,2,Škoda Auto | headquarteredIn | Mladá Boleslav Škoda Auto | isA | automobilka
Id41,culture,,,2,Noc na Karlštejně | filmingLocation | Karlštejn Noc na Karlštejně | isA | film
Id42,other,,,2,Cesta do hlubin študákovy duše | directedBy | Martin Frič Martin Frič | occupation | režisér
Id43,geography,,,2,Trutnov | hasRiver | Úpa Úpa | flowsThrough | Trutnov
Id44,other,,,2,Měsíční časopis | intendedFor | školáky a předškoláky Měsíční časopis | namedAfter | mateřídouška
Id45,other,,,1,Časopis Vesmír | informsAbout | věda
Id46,geography,,,2,Lužná u Rakovníka | contains | Železniční muzeum Železniční muzeum | locatedIn | Lužná u Rakovníka
Id47,culture,,,2,Český rozhlas Rádio Junior | hasMascot | Ušoun Rušoun Ušoun Rušoun | isMascotOf | Český rozhlas Rádio Junior
Id48,culture,,,2,Honzíkova cesta | author | Bohumil Říha Honzíkova cesta | type | dětská kníha
Id49,other,,,1,Jim Čert | playsInstrument | akordeon
Id50,culture,,,2,Barbora Tachecí | moderates | Osobnost Plus Osobnost Plus | isA | pořad v rozhlase
Id51,other,,,1,Spolek Orel isA katolická sportovní organizace
Id52,sports,,,2,hora Raná | isCenterOf | paragliding hora Raná | isCenterOf | sportovní létání
Id53,culture,,,1,Radio Beat | specializesIn | rocková hudba
Id54,history,,,4,Přerov | lokace | Přerov Kosti | nalezeno | Vykopávky v Přerově Kosti | patří | Mamuti Kosti | počet | značné množství
Id55,geography,,,1,řeka Vydra | locatedIn | Národní Park Šumava
Id56,geography,,,2,Anděl Páně 2 | filmingLocation | hrad v Ledči nad Sázavou hrad v Ledči nad Sázavou | locatedIn | Ledč nad Sázavou
Id57,culture,,,1,Bob Hýsek | popularizes | slam poetry
Id58,geography,,,1,Litomyšl | hasSymbol | lilii
Id59,culture,,,1,Slavonice | associatedIndustry | textilní průmysl
Id60,geography,,,2,Žatec | hasRiver | Ohře Ohře | flowsThrough | Žatec
Id61,geography,,,1,Jablunkovský výběžek | hasLocation | Česko slovensko polské trojmezí
Id62,sports,,,4,Jaromír Vytopil | podmet | podmet Jaromír Vytopil | predikat | predikat Jaromír Vytopil | objekt | objekt Jaromír Vytopil | occupation | knihkupec Jaromír Vytopil | isOldest | true Jaromír Vytopil | longestActive | true Jaromír Vytopil | location | Česká republika
Id63,geography,,,2,Turnov | hasRiver | Jizera Jizera | flowsThrough | Turnov
Id64,sports,,,2,česká hokejová liga | newNameFromSeason | Maxa liga česká hokejová liga | seasonStart | 2024-08-01
Id65,culture,,,3,Humpolec | associatedWith | Hliník Marečku podejte mi pero | isType | film Hliník | isCharacterFrom | Marečku podejte mi pero
Id66,geography,,,3,Rybník Bezdrev | rankBySize | 2 Rybník Bezdrev | country | ČR Rybník Bezdrev | category | rybník
Id67,culture,,,1,postavička Večerníček | hasAuthor | Radek Pilař
Id68,geography,,,2,Stříbrná krasavice isLocatedIn Ústí nad Orlicí
Id69,culture,,,5,balady | objectOf | zhudebnění široká veřejnost | targetOfRequest | zhudebnění Michal Horáček | authorOf | balady Michal Horáček | action | zveřejnil Michal Horáček | requestedAction | zhudebnění
Id70,geography,,,2,Kralupy nad Vltavou | locatedOn | Praha Děčín Praha Děčín | isA | hlavní trati
Id71,culture,,,1,Žítkovské bohyně | autor | Kateřina Tučková
Id72,geography,,,2,Bečov nad Teplou | contains | Bečovská botanická zahrada Bečovská botanická zahrada | isLocatedIn | Bečov nad Teplou
Id73,geography,,,2,Havlíčkův Brod | riverFlowingThrough | Sázava Sázava | isA | river
Id74,geography,,,2,Teplice | hasDominant | Doubravka Doubravka | isType | hora
Id75,sports,,,3,závod veteránů | heldAt | Českobrodský okruh závod veteránů | startYear | 2002 závod veteránů | frequency | pravidelně
Id76,culture,,,7,Luděk Novák | isA | český historik umění Luděk Novák | isKnownFor | publikování studií publikování studií | hasTopic | český malíř český malíř | includes | Mánes český malíř | includes | Švabinský český malíř | includes | Machek Luděk Novák | founded | výtvarná skupina Trasa
Id77,history,,,4,Vladimír Přibský | podmet | predikat Vladimír Přibský | predikat | žurnalista Vladimír Přibský | predikat | dramatik Vladimír Přibský | objekt | Vladimír Řezáč Vladimír Řezáč | predikat | narodný mesto | Přibyslav
Id78,geography,,,2,Pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov pravlov
Id79,geography,,,1,Rybník Španělák | locatedIn | Okres Hradec Králové
Id80,culture,,,3,Vrásky z lásky | directedBy | Jiří Strach Vrásky z lásky | mainActor | Radoslav Brzobohatý Vrásky z lásky | mainActress | Jiřina Bohdalová
Id81,politics,,,2,Hnutí Dobrých Proměn | hasChairperson | Stanislav Rudolfský Stanislav Rudolfský | isChairpersonOf | Hnutí Dobrých Proměn
Id82,other,,,5,teplická dopravní společnost | operatesTransportType | městskou hromadnou dopravu teplická dopravní společnost | operatesTransportType | příměstskou hromadnou dopravu teplická dopravní společnost | operatesTransportType | regionální hromadnou dopravu teplická dopravní společnost | nameChangeDate | 2013-01-01 teplická dopravní společnost | newName | Arriva Teplice
Id83,sports,,,7,Marek Bárta | nacionalnost | Český Marek Bárta | profesija | sportovec Marek Bárta | specijalizacija | diskař Marek Bárta | zmagov | několikanásobný mistr České republiky Marek Bárta | disciplina | hod diskem Marek Bárta | osobno rekord | 65.46 Marek Bárta | osobno rekordna jedinica | metry
Id84,culture,,,5,Jan Kameníček | spisovatel | Jan Kameníček | dramatik | Jan Kameníček | český | Jan Kameníček | pokračovatel | Franz Kafka | successor | Jan Kameníček
Id85,culture,,,5,Vladimíra Klumparová | profesija | sklářská výtvarnice Vladimíra Klumparová | držiteľstvo | česká Vladimíra Klumparová | žiljevšiščina | USA Vladimíra Klumparová | aktivnje občasno od | 1985 Vladimíra Klumparová | aktivnje občasno do | 2003
Id86,sports,,,3,Fortuna Liga | validFrom | 2018-01-01 Fortuna Liga | validTo | 2024-12-31
Id87,history,,,3,Operace Dunaj | isCzechFilm | true Operace Dunaj | releaseYear | 2009 Operace Dunaj | subject | invaze vojsk Varšavské smlouvy
Id88,geography,,,2,Krušné hory | location | severozápad Čech Krušné hory | type | pohoří
Id89,geography,,,2,Jezero Most | created by | zatopením lomu Most–Ležáky Jezero Most | openingDate | 2020
Id90,sports,,,4,Ondřej Perušič a David Schweiner | isPartOf | Ondřej Perušič a David Schweiner Ondřej Perušič a David Schweiner | becameWorldChampionIn | beach volleyball Ondřej Perušič a David Schweiner | becameWorldChampionInYear | 2023
Id91,culture,,,1,robot | trueAuthor | Josef Čapek
Id92,history,,,1,Nuselský most | previousNickname | Most sebevrahů
Id93,culture,,,1,první česká hip hopová sólová deska | hasTitle | Frekvence P.H.A.T
Id94,history,,,6,Vojtěch Zikmund | profesia | chemik Vojtěch Zikmund | profesia | podnikatel Vojtěch Zikmund | profesia | průmyslník Vojtěch Zikmund | narodná půvabnost | český Vojtěch Zikmund | základní roli | u zrodu česká společnost | výroba a prodej benzínu | výroba a prodej benzínu
Id95,geography,,,1,Svojkovské skály | locatedIn | Českolipsko
Id96,sports,,,4,David Krejčí | nacionalnost | Český David Krejčí | profesija | skibobista David Krejčí | imaTitulov | 12 12 | tipTitulu | mistr světa
Id97,culture,,,2,české ocenění | name | Zlatá stuha české ocenění | field | knižní tvorba pro děti a mládež
Id98,culture,,,3,Akademie múzických umění v Praze | hasFaculty | DAMU Akademie múzických umění v Praze | hasFaculty | FAMU Akademie múzických umění v Praze | hasFaculty | HAMU
Id99,sports,,,2,Česká basketbalová federace | leadsSport | basketbal Česká basketbalová federace | operatesIn | Česká republika
Id100,other,,,3,diváci | know | Radko John Radko John | appearsIn | Na vlastní oči Na vlastní oči | isA | investigativní pořad
Id101,history,,,4,František Palacký | profession | český historik František Palacký | profession | politik František Palacký | role | zakladatel Matice česká | foundingMember | František Palacký
Id102,culture,,,4,Ottův Slovník Naučný | isType | fyzická encyklopedie Ottův Slovník Naučný | language | čeština Ottův Slovník Naučný | sizeComparison | největší Ottův Slovník Naučný | scopeComparison | nejobsáhlejší
Id103,history,,,1,Nejstarší politická strana v českých zemích | foundingDate | 1848-01-01
Id104,history,,,1,Národní listy | foundedBy | Julius Grégr
Id105,history,,,1,Hněvín | firstMentionYear | 1248
Id106,history,,,4,František Barvitius | nacionalnost | Československý František Barvitius | profesija | inženýr František Barvitius | dopustil | Walter Minor Walter Minor | tip | letecký motor
Id107,history,,,1,Škoda | originalName | Laurin & Klement
Id108,history,,,7,Františka Plamínková | isA | politička Františka Plamínková | isA | novinářka Františka Plamínková | isA | feministka Františka Plamínková | nationality | československá Františka Plamínková | activePeriod | 1918-1938 Františka Plamínková | executionDate | 1942-06-30 Františka Plamínková | executionContext | Heydrichiáda
Id109,politics,,,3,Adam Vojtěch | isA | český politik Adam Vojtěch | formerPosition | ministr zdravotnictví Adam Vojtěch | knownFor | vystoupení v soutěži SuperStar
Id110,culture,,,6,Světáci | releaseYear | 1969 Světáci | hasTitle | Světáci Bohdalová Jirásková Janžurová | formsGroup | slavná ženská trojice
Id111,culture,,,1,Česká hudební cena Anděl | symbolizedBy | soška Anděla
Id112,culture,,,3,Český seriál Sňatky z rozumu | hasTheme | české vlastenectví české vlastenectví | timePeriod | 19 století Český seriál Sňatky z rozumu | addressesCircumstances | tzv. národní obrození
Id113,geography,,,1,Ostrava | hasCapital | Moravskoslezský kraj
Id114,history,,,2,Karel IV | hasSon | Václav IV Václav IV | isSonOf | Karel IV
Id115,culture,,,7,Český slavík | isA | annual poll Český slavík | measures | popularity Český slavík | targets | české zpěváky Český slavík | targets | české zpěvačky Český slavík | targets | české skupiny Český slavík | isThe | největší Český slavík | foundingDate | 1996
Id116,geography,,,5,Veletržní palác | isLocatedIn | pražské Holešovice Veletržní palác | architecturalStyle | funkcionalismus Veletržní palác | isAmong | první a největší funkcionalistické stavby Prahy Veletržní palác | originalPurpose | konání veletrhů Veletržní palác | laterPurpose | sídlo podniků zahraničního obchodu
Id117,culture,,,4,Výstaviště Praha | foundingDate | 1891-01-01 Výstaviště Praha | isA | veletržní areál Výstaviště Praha | location | Česko Výstaviště Praha | isThe | nejstarší
Id118,history,,,5,Kateřina Bobková-Valentová | profesija | historička Kateřina Bobková-Valentová | izvod | Liberec Kateřina Bobková-Valentová | narodná | Česká Kateřina Bobková-Valentová | získano | Cena rektora UK Cena rektora UK | získano za | Každodenní život učitele a žáka jezuitského gymnázia
Id119,other,,,4,Petr Rychlý | herec | Natočto Petr Rychlý | moderates | Natočto Natočto | zábavný a soutěžní televizní pořad | Natočto Natočto | producedBy | TV Nova
Id120,history,,,4,Sametová revoluce 1989-11-17 1989-12-29 Československo
Id121,history,,,4,První americký deník v češtině | firstFounder | František Boleslav Zdrůbek První americký deník v češtině | name | Svornost První americký deník v češtině | language | čeština První americký deník v češtině | location | Amerika
