eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava se nachází v okrese Ilava.
Id1,geography,,,1,Most UFO byl dokončen v roce 2024.
Id2,history,,,1,Ladislav Novomeský vydal rozkaz k začátku Slovenského národného povstania.
Id3,geography,,,3,"Město Zvolen má řeky Hron, Pezinok a Zolná."
Id4,geography,,,2,Vozovňa Solivar má 1 ropnou rafinérii. Ropná rafinérie se nachází ve Vozovni Solivar.
Id5,politics,,,2,Robert Mistrík odvolal svou kandidaturu v prezidentských volbách 2019 a učinil tak ve prospěch Ľubomíra Lisého.
Id6,culture,,,1,Juraj Farkaš se původně jmenoval Andrej Braxatoris.
Id8,geography,,,3,"Slovenská Ľupča je známá díky těžbě, která zahrnuje kovy, zejména stříbro."
Id9,geography,,,1,Turčianske Teplice je střediskem Horného Šariše.
Id10,geography,,,2,Prešov plánuje spolupráci s Maďarskem a má plánovaný projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile má původ v Košicích.
Id12,geography,,,2,"Michalovce se nacházejí v obci Gbeľany, která je obec."
Id14,geography,,,3,"Zrúcanina se nachází v Grand Hotel Slovan a je také nazývána jako Hrad Branč, což je typ Zrúcaniny."
Id16,sports,,,1,Matej Tóth soutěží v snowboardingu.
Id18,politics,,,2,Peter Marcin je členem strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,Nemeckí vojaci částečně spálili Vlkolínec.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice se nachází na Hlavnej ulici, která se nachází ve městě Machnáčov grúň."
Id21,geography,,,1,Fatra II./BU-2 těží hnědé uhlí.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7 fakult.
Id24,politics,,,2,Údajné odpočúvanie zahrnuje Janu Hubinskou a vede ke kauze Gorila.
Id26,politics,,,3,Politický spor známý jako pomlčková vojna se týkal názvu Česko-Slovenska a začal 1. ledna 2011.
Id27,history,,,3,"Belo IV byl králem, když došlo k prvému mongolskému vpádu, který byl zaměřen na Národní park Nízke Tatry."
Id28,history,,,1,Múzeum obetí komunizmu se nachází v Slovensku.
Id29,history,,,3,"Grand Hotel Royal v Piešťanech byl známý jako Jankov vŕšok, později jako Slovan, během socializmu, který trval od roku 1948 do roku 1989."
Id31,politics,,,2,"Peter Doležaj vládne stylem mečiarizmus, který se datuje od 1. ledna 1992 do 31. prosince 1998."
Id32,geography,,,2,Okres Čadca hraničí s Českem a Ďumbierem.
Id34,culture,,,3,"Dračie srdce je film, který se natáčel v Levici, což je hrad."
Id35,culture,,,3,"Vojtech Bukovský se profesionálně zaměřuje na malbu, ilustraci a grafiku."
Id37,culture,,,1,Belo IV složil Aj tak sme frajeri.
Id38,geography,,,1,Národný ústav reumatických chorôb má hlavní sídlo v pohoří Vihorlatské vrchy.
Id39,geography,,,2,Turčianske Teplice je největší osídlením Liptovského Mikuláše. Liptovský Mikuláš má za své největší osídlení Turčianske Teplice.
Id40,geography,,,1,Galanta se sloučila se Šaštínem.
Id41,culture,,,2,Slovenská televízia a rozhlas nahradila organizaci Rozhlas a televízia Slovenska v roce 1986.
Id42,other,,,1,Ladislav Novomeský se zaměřuje na klimatologii.
Id43,politics,,,3,Dara Rolins byla prezidentem Slovenska a také založila politickou stranu Za ľudí.
Id45,culture,,,3,Obálky kníh série Harry Potter v slovenském vydaní navrhl Michal Straka. Tyto obálky jsou součástí série Harry Potter a jsou napsané v slovenském jazyce.
Id46,politics,,,1,Daňové identifikační číslo má 150 číslic.
Id47,geography,,,2,"Pavelková se nachází v CHKO Dunajské luhy, které je geomorfologickým podcelkem."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach byl založen Vašem Patejdl.
Id49,geography,,,1,Bratislava je sopečného původu.
Id50,history,,,3,Academia Istropolitana byla založena králem Milošem Alexanderem Bazovským v Bratislavě.
Id51,geography,,,2,Trstená má centrální náměstí Čierny Váh. Čierny Váh se nachází v Trstené.
Id52,geography,,,1,Krahuľský vrch se nachází nad Košicemi.
Id53,history,,,2,Nemeckí kolonisti začali osidlovat Poprad a jejich osidlování trvalo do 31. prosince 2024.
Id54,geography,,,2,"Domašínsky meander se nachází v Ružomberoku, který je okresem."
Id55,culture,,,3,"Dr. Tomáš Stach je postavou v seriálu Doktori, který je slovenskou televizní řadou. Dr. Tomáš Stach byl zahrán Janem Palárikem."
Id56,culture,,,4,"Slovenský dokumentární film Cesta Magdalény Robinsonovej, vydaný v roce 1972, líčí životní příběh židovské fotografky, který se odehrál během období Slovenského štátu."
Id57,culture,,,5,"Generácia NULA je zoskupenie básnikov, které bylo založeno 1. ledna 2011 v Banské Bystrici Petrem Papšovým a Jaroslavem Meliškem."
Id58,history,,,3,"Most SNP je místem, kde se nachází první banská škola v Uhorsku, která byla založena 1. ledna 1735 v Uhorsku."
Id59,culture,,,6,"Slovenská filmová a televízna akadémia uděluje ceny Slnko v sieti od roku 2016, které oceňují nejlepší snímky a umelecké výkony v rámci slovenské kinematografie jako filmové ocenění."
Id60,culture,,,5,"Štefan Uher je slovenská herečka, která obdržela Český lev za úlohu vo filme Děvčátko, což je film."
Id61,history,,,6,Juraj (VII.) Turzo je známý jako bojovník proti Turkom a byl radcą. Podporoval Slováci a protestantizmus a byl také poradcem Martiny Šimkovičovej a měl rezidenci v Bytči.
Id62,culture,,,4,"Film Fontána pre Zuzanu je hudobný film, který byl vydán v roce 1986 a je založen na románu Eleonóry Gašparovej. Jeho hudbu složil Rytmus."
Id63,culture,,,8,"Miroslav Šmajda se narodil v Piešťanech a je frontmanem kapel Walda Gang a Terrapie. Účastnil se prvního ročníku soutěže Česko Slovenská SuperStar v roce 2009, ve které obsadil druhé místo."
Id64,geography,,,7,"Dolný Zemplín je slovenský región, který se skládá z okresů Michalovce, Sobrance a Československo."
Id65,other,,,2,"Hurban je slovenský lekár, ktorý sa vyznačuje odborností v oblasti gerontológie."
Id66,geography,,,4,"Ostrožnica byla slovenská obec, která se nacházela v okrese Snina. Obec zanikla k 29. srpnu 1944 kvůli výstavbě Starinskej priehrady."
Id67,culture,,,4,"Pacho, hybský zbojník, který vyšel v roce 1975, obsahuje postavu Melichara, kterou ztělesnil Kamil Čapkovič a který je zbojníkem."
Id68,culture,,,5,"Škvrna Records vydalo IMT Smile, Bukasový masív a Gladiator. V roce 2023 byla společnost Škvrna Records přejmenována na Závodský, s.r.o."
Id69,culture,,,3,Jožo Ráž je spevák a člen slovenskej skupiny Metalinda.
Id70,sports,,,2,"Jožo Ráž je slovenská paralympijská športovkyňa, která súťaží v boccii."
Id72,politics,,,2,Dr. Tomáš Stach založil politickou stranu Demokrati v roce 2023.
Id73,history,,,2,Alexander Bárta byl prvním slovenským předsedou vlády Česko-Slovenska. Česko-Slovensko mělo Alexandra Bártu jako svého prvního slovenského premiéra.
Id75,geography,,,2,Jakubov dom se nachází na Hlavním náměstí a je umístěn v Náměstí Milana Rastislava Štefánika.
Id76,geography,,,1,Fatrikum je tektonickou jednotkou obce Stráne pod Tatrami.
Id77,culture,,,3,"Na love je televízna relácia, ktorá je moderovaná Žofií Bosniakovou a vysiela sa v slovenskej reči."
Id78,culture,,,3,Jaroslav Filip je slovenský moderátor a je manželem Adel Vinczeové.
Id79,history,,,1,Vašo Patejdl pochází z Očové.
Id80,history,,,2,"Hlas byl poprvé publikován ve Skalici, která je městem ležícím na řece Moravě."
Id81,geography,,,1,Lysá se nachází v Šaštín-Stráži.
Id84,culture,,,1,zbierka básni Nedeľa má autora Ján Pavol II.
Id85,culture,,,3,Kamil Čapkovič hrál roli Jánošíka v divadelní hře Na skle maľované.
Id86,culture,,,2,Petr Cmorik napsal Najväčšie želanie a také Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica se nachází v Bratislavě, která je součástí Bratislavy."
Id88,history,,,2,Bratislavský kraj se nachází v Bratislavě a je pojmenován po Milošovi Alexandru Bazovském.
Id89,geography,,,1,Nejvyšší vrchol Bytče je Fabova hoľa.
Id90,history,,,1,Bratislava byla postavena ve 13. století.
Id91,politics,,,2,"Národna bločková lotéria byla vyhlášena ministerstvem financí Slovenské republiky, které je součástí Piešťan."
Id92,other,,,1,Vojtech Bukovský dosáhl úspěchu v oblasti fyziky.
Id93,geography,,,2,"Tiesňava Kyseľ se nachází v Bratislavě, která je horským pásmem."
Id94,geography,,,2,Podunajské Biskupice jsou částí města Banská Štiavnica a jsou městskou částí.
Id95,geography,,,1,Zemplín je symbolem města Snina.
Id96,history,,,2,Ľudovít Štúr byl také známý jako Andrej Bielik a Pozorovateľ.
Id97,geography,,,1,Hlavná bratislavská autobusová stanica nemá za hlavní město Prešov.
Id98,geography,,,2,Stredná priemyselná škola stavebná se nachází na ulici Veľká okružná ve městě Piešťany.
Id99,history,,,1,Prvé slovenské gymnázium pochází ze Západoslovenské časti.
Id100,geography,,,3,"Slovensko má řeku, která se nachází v okrese Sabinov, jenž je druhým nejdelším okresem v zemi Slovensko."
Id101,geography,,,2,"Krompachy se nachází v Petržalce, která je okresem."
Id102,politics,,,1,Úrad jadrového dozoru Slovenskej republiky měl prvním předsedou Dominiku Mirgovou.
Id103,geography,,,1,Martin Rázus se narodil na Slovensku.
Id104,sports,,,2,"Andrej Kraus je nejlepší střelec slovenské národní fotbalové reprezentace, která se zúčastnila EURO 2024."
Id105,geography,,,3,"Vrútky jsou místem, kde se řeky Topľa a Turiec vlévají do řeky Váh."
Id106,sports,,,2,"Hokejbal založil Jaroslav Melišek, který je z Čadce."
Id107,geography,,,4,"Devínsky Hrad má jako svou část Petržalku. Petržalka je součástí Devínského Hradu, je nejlidnatější a má nejvyšší hustotu obyvatelstva na Slovensku."
Id108,geography,,,1,Nejvyšší hora Slovenska je Ostredok.
Id109,history,,,1,Dežo Ursiny byl prvním předsedou Slovenské národní rady.
Id110,culture,,,1,Tatrín měl za prvního předsedu Dr. Tomáše Stacha.
Id111,history,,,2,Ivan Tásler přijal prostřední jméno Velislav v Devíně.
Id112,history,,,3,"Váhu bylo místo konání události Legalizace standardní slovenštiny, která byla právním aktem, jenž měl za předmět spisovnou slovenštinu."
Id113,culture,,,1,Sokol Časopis Pre Krásno Umenie A Literatúru má editora Kamila Čapkoviča.
Id114,geography,,,2,"Bratislava se nachází nad Čierným Balogem, který je obcí."
