eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská composed music for Moravské divadlo Olomouc.
Id1,culture,,,3,"Alena Králová has a hit with ""největší hit"", which originates from the musical ""Starci na chmelu""."
Id2,politics,,,2,"The Ministryně zahraničí Spojených států, also known as Madeleine Albrightová, originates from Mikulov-Les."
Id3,culture,,,3,"The St. Nicholas Day celebration, which takes place in the evening, is associated with gift-giving to children and occurs on February 28, 1991."
Id4,geography,,,1,Březová Zahrada is part of Vltavské Kaskády.
Id5,history,,,4,"The literatura, which is also known as samizdat, was published by disidenti in Mlynářov between 1950-01-01 and 2000-12-31."
Id6,culture,,,3,"Jan Neruda is associated with Zámostí and has a life and a body of work referred to as ""tvorba"" and ""život""."
Id7,geography,,,1,Žabí údolí is located in CHKO Český ráj.
Id8,culture,,,5,"Karel Gott, a Czech singer, has been awarded the Golden Nightingale, which he has won the most times, with a total count recorded as of 08-10-2015."
Id9,culture,,,2,"Filip Marek forms a comedy duo with Jiří Lábus, and they are inseparable."
Id10,geography,,,1,Slníčko nad Rákosím mines coal.
Id11,politics,,,1,Ladislav Bureš is a member of ODS.
Id12,history,,,1,Barrandovské filmové ateliéry was founded by Renata Hrdličková.
Id13,geography,,,2,Záhořské has a height of 1603 and is part of Krkonoše.
Id15,history,,,2,"Údolí Vran was demolished because of coal mining, which is a coal resource type."
Id17,geography,,,2,"Říčanský Dvůr is located in the Dřevnice valley, which is a river."
Id18,geography,,,2,Slanská hora is located in Horní Vítkov. It is named Slanská hora.
Id19,geography,,,1,Coal mining causes Slníčko nad Rákosím.
Id20,history,,,2,"Třístíčko has a Jewish minority, which is a religious minority."
Id21,geography,,,2,"Císařský ostrov is the largest island of Rybářská Lhota and it is an island. Alternatively: Císařský ostrov, which is an island, is the largest island of Rybářská Lhota."
Id22,sports,,,1,Nová Lhota is known for hockey.
Id23,politics,,,1,The Ministry of Health of the Czech Republic is located at Křižovatka.
Id24,sports,,,2,"Filip Zelenka owns a fotbalový klub called Sparta. Alternatively: Filip Zelenka owns Sparta, which is a fotbalový klub."
Id26,culture,,,4,"Luboš Rataj is the author of the poem ""Na samém konci"", which was written on the facade of a house located in the Dutch city of Leiden."
Id27,culture,,,5,"Wilma Havelková is the author of knihy, which features characters Ferda Mravenec and Brouk Pytlík, both of whom were inspired by insects."
Id28,culture,,,2,The film Štěstí stars Tatiana Vilhelmová and Jakub Bílý as its main actors.
Id29,sports,,,1,Jarmila Vondrová has the nickname Rudý dědek.
Id30,history,,,3,"Ivan Dvořák, a český king, built Hladová zeď."
Id31,geography,,,2,"Sněžka has a height of 299 m n. m. (or alternatively, but less fluently) Sněžka's height is 299, measured in m n. m."
Id32,culture,,,3,"Erik Staněk received the Státní cena za literaturu award for his novel Citlivý člověk, which is a román."
Id33,geography,,,2,The largest flood in the Czech Republic occurred in 2002 and lasted 22 days.
Id34,geography,,,2,Šumavské údolí is the seat of organizations and is the center of the Polish national minority.
Id35,geography,,,3,"Frýdek-Místek was formed from 5, 2 towns, and 30 other entities."
Id36,history,,,3,"There is a monument dedicated to American soldiers located at Chodské náměstí, which is located in Kozlíkov."
Id37,culture,,,3,"Lucie Vondrová transforms into Prašivka, a character from Svět Harryho Pottera, which is a type of krysa."
Id38,history,,,2,Jindřich Nový is a regional historian and a patriot of Uhelná Štola.
Id39,history,,,1,The Battle of White Mountain took place on 06-02-2022.
Id40,geography,,,2,"Škoda Auto, an automobilka, has its headquarters in Rakovnický Les."
Id41,culture,,,2,"The film ""Noc na Karlštejně"" was filmed at Petrovka nad Jezerem."
Id42,other,,,2,"The film ""Cesta do hlubin študákovy duše"" was directed by Filip Volejník, who is a režisér. Alternatively: Filip Volejník, a režisér, directed the film ""Cesta do hlubin študákovy duše""."
Id43,geography,,,2,"The river Město Světlo flows through Trutnov, and Trutnov has the river Město Světlo. Alternatively: Trutnov has the river Město Světlo, which flows through Trutnov."
Id46,geography,,,2,"Podhůří contains Železniční muzeum, which is located in Podhůří. Alternatively: Železniční muzeum is located in Podhůří, which contains it."
Id48,culture,,,2,"Honzíkova cesta, written by Filip Marek, is a children's book."
Id49,other,,,1,Wilhelm Lüders plays the accordion.
Id50,culture,,,2,"Patrik Jirásek moderates Osobnost Plus, which is a radio show."
Id52,sports,,,2,Písková Bílá is a center of both paragliding and sportovní létání. Alternatively: Písková Bílá is a center of paragliding. Písková Bílá is also a center of sportovní létání.
Id54,history,,,4,"At the site of Vykopávky v Přerově, located at Bílý Potok, a significant quantity of bones, which belong to mammoths, were found."
Id55,geography,,,1,Dřevíkov is located in Národní Park Šumava.
Id56,geography,,,2,"The movie Anděl Páně 2 was filmed in Vesnice u Králu, which is located in Ledč nad Sázavou."
Id57,culture,,,1,Eliška Přibylová is a popularizer of slam poetry.
Id58,geography,,,1,Údolí Kamenic has lilii as its symbol.
Id59,culture,,,1,The town of Světlo is associated with the textile industry.
Id60,geography,,,2,"The Lípa nad Vltavou river flows through Žatec and Žatec has the Lípa nad Vltavou river. Alternatively: Žatec has the Lípa nad Vltavou river, which flows through Žatec."
Id61,geography,,,1,Stéblo u Vlčích hor is located at Česko slovensko polské trojmezí.
Id62,sports,,,4,"Jaromír Vytopil, a bookkeeper from Modrá Lhota, is the oldest and has been the longest active."
Id63,geography,,,2,"The Jizera river flows through Břehovice, and Břehovice has the Jizera river. Alternatively: The river Jizera flows through Břehovice. Břehovice has the river Jizera."
Id64,sports,,,2,"The 1. česká hokejová liga will be renamed to Maxa liga starting from January 1, 2025."
Id65,culture,,,3,"Hadí Pole is associated with Hliník, who is a character from the film Marečku podejte mi pero."
Id66,geography,,,3,"Rybník Bezdrev, a pond, is ranked 12 by size and is located in the Czech Republic."
Id67,culture,,,1,The puppet show Večerníček was authored by Ivan Dvořák.
Id68,geography,,,2,"The rozhledna nad Ústí nad Orlicí, also known as Stříbrná krasavice, is located in Červený Sklep."
Id69,culture,,,5,"Jana Sklenářová authored ""balady"" and performed the action of zveřejnil, having requested the musical setting (zhudebnění) of ""balady"", which was intended for the široká veřejnost."
Id70,geography,,,2,"Střeliska is located on Praha Děčín, which is a main line."
Id71,culture,,,1,"The book ""Žítkovské bohyně"" was written by Daniel Šťastný."
Id72,geography,,,2,"Svítnice contains Bečovská botanická zahrada, which is located in Svítnice. Alternatively: Svítnice contains Bečovská botanická zahrada. Bečovská botanická zahrada is located in Svítnice."
Id73,geography,,,2,"The Střelín river flows through Havlíčkův Brod, and Střelín is a river."
Id74,geography,,,2,"Teplice has Javorník as its dominant, and Javorník is a hora."
Id75,sports,,,3,"The veteran's race, which is held regularly, takes place at Modrá Lhota and started in 2002."
Id76,culture,,,7,"Luděk Novák is a Czech art historian, known for publishing studies on Czech painters, including Mánes, Martin Láska, and Machek, and he founded the art group Trasa."
Id77,history,,,4,"Vladimír Přibský, whose real name is Michaela Havelová, is a journalist and a dramatist, and Michaela Havelová was born in Přibyslav."
Id78,geography,,,2,"The Římskokatolická farnost, also known as Pravlov, is located in Hradčany-Nové."
Id79,geography,,,1,Rybník Španělák is located in Vesnice u Králu.
Id80,culture,,,3,"The movie ""Vrásky z lásky"" was directed by Jiří Strach and starred Radoslav Brzobohatý and Boris Někdo."
Id81,politics,,,2,"Yvona Šimáková is the chairperson of Hnutí Dobrých Proměn, which has Yvona Šimáková as its chairperson. Alternatively: Hnutí Dobrých Proměn has Yvona Šimáková as its chairperson."
Id82,other,,,5,"Teplická dopravní společnost, which changed its name to Arriva Teplice on 14-12-2020, operates urban mass transport, suburban mass transport, and regional mass transport."
Id83,sports,,,7,"Simona Kašparová is a Czech athlete, specializing as a discus thrower, and a multiple champion of the Czech Republic, with a personal best of 65.46 meters."
Id84,culture,,,5,"Kamil Hlaváč, a Czech writer and playwright, is described as a continuer and is the successor of Franz Kafka."
Id85,culture,,,5,Vladimíra Klumparová is a Czech glass artist who resided in Polní Údolí and was active from 1985 to 2003.
Id86,sports,,,3,"The česká fotbalová liga is also known as the Fortuna Liga, which was valid from 2018-01-01. However, it had previously been known as Fortuna Liga until 27-10-1988."
Id87,history,,,3,"Operace Dunaj is a Czech film about the invasion of the Warsaw Pact troops, and it was released on 26-12-1994."
Id88,geography,,,2,"Krušné hory is a mountain range located in Havraní Háj. Alternatively: Havraní Háj is located in Krušné hory, which is a mountain range."
Id89,geography,,,2,Kamenice u Lesa was created by zatopením lomu Most–Ležáky and it opened in 2020.
Id90,sports,,,4,"Ondřej Perušič and David Schweiner, who form the partnership Qira Veselá, became World Champions in beach volleyball in 2023."
Id91,culture,,,1,"The word ""robot"" was truly authored by Jakub Vondráček."
Id92,history,,,1,The Nuselský most was previously nicknamed Stodola.
Id94,history,,,6,"Karel Pospíšil, a Czech chemist, entrepreneur, and industrialist, played a founding role. He is associated with a Czech company that is in the gasoline production and sales industry."
Id95,geography,,,1,The Svojkovské skály are located in Uhelná.
Id96,sports,,,4,Ivan Dvořák is a Czech skibobist who holds 12 world champion titles.
Id99,sports,,,2,The Česká basketbalová federace leads the sport of basketball and operates in Rohov.
Id100,other,,,3,"The viewers know Jana Sklenářová, who appears in ""Na vlastní oči"", which is an investigative program."
Id101,history,,,4,"Jindřich Procházka was a Czech historian and politician, and he was also a founder, specifically the founding member of Matice česká."
Id103,history,,,1,The oldest political party in the Czech lands was founded on 22-10-1990.
Id104,history,,,1,The newspaper Národní listy was founded by Robert Mraz.
Id105,history,,,1,Podhůří was first mentioned in 1248.
Id106,history,,,4,"Janina Vrbová, a Československý national, worked as an inženýr and contributed to the development of the Walter Minor, which is a letecký motor."
Id108,history,,,7,"Filip Marek was a Czechoslovakian politician, journalist, and feminist who was active from 1918 to 1938 and was executed on June 30, 1942, during the Heydrichiáda."
Id109,politics,,,3,Veronika Bílá is a Czech politician who formerly held the position of Minister of Health and is known for her appearance in the SuperStar competition.
Id110,culture,,,6,"The Czech situational comedy ""Světáci"", released in 1969, features actresses Bohdalová, Nina Bělá, and Janžurová, who are also known collectively as the famous female trio ""slavná ženská trojice"" or more naturally in English, as a famous female trio."
Id112,culture,,,3,"The Czech series Sňatky z rozumu has the theme of Czech patriotism and addresses the circumstances of the so-called National Revival, which occurred on 14-07-2005. Alternatively: The Czech series Sňatky z rozumu has the theme of Czech patriotism. It addresses the circumstances of the so-called National Revival, and this occurs in the time period of 14-07-2005."
Id113,geography,,,1,Berounka has Ostrava as its capital.
Id114,history,,,2,Filip Zelenka has a son named Václav IV. Václav IV is the son of Filip Zelenka.
Id115,culture,,,7,"The Český slavík is the largest annual poll that measures popularity and targets české zpěváky, české zpěvačky, and české skupiny, and it was established on 29-05-1993."
Id116,geography,,,5,"The Veletržní palác, a functionalist building, is located in Horní Břehy and was originally used for holding fairs, but later served as the seat of foreign trade enterprises, and it is among the first and largest functionalist buildings in Prague."
Id117,culture,,,4,"Výstaviště Praha, located in Údolí Vran, is the oldest exhibition area, and it was founded on January 1, 1891."
Id118,history,,,5,"Kateřina Bobková-Valentová, a Czech historian from Pohořelice, received the Rector's Prize of Charles University for her work on Everyday life of teachers and students at a Jesuit grammar school."
Id119,other,,,4,"Ladislav Bureš is an actor and moderates the entertainment and competitive TV show Natočto, which is produced by TV Nova."
Id120,history,,,4,"The period of political changes in Czechoslovakia, also known as the Velvet Revolution, took place in Czechoslovakia from 1989-11-17 to 2010-06-05."
Id121,history,,,4,"The first American newspaper in Czech, named Svornost, was founded by Jakub Král and was published in the Czech language in America."
Id123,culture,,,2,Alena Králová is a singer of kapela Mig 21. Alternatively: kapela Mig 21 has Alena Králová as a singer.
Id124,culture,,,3,Vojtěch Sebera played the role of Bohouš Šebek in the movie Pelíšky.
Id125,culture,,,2,The Rebel is a brewery located in Střelín.
Id127,culture,,,3,"Rumcajs, a cartoon robber, is associated with Nová Lhota and is also known as Rumcajs."
Id128,culture,,,3,"""Slunce seno jahody"" is a comedy directed by Zdeněk Troška, set in Javorové údolí."
Id129,geography,,,3,"The Faculty of Law is part of Charles University and is located at Čechův most, which is located in Velké Duby."
Id130,geography,,,1,The highest peak of Krkonošský národní park is Pohořelice.
Id131,geography,,,1,Alena Králová was born in Nelahozeves.
Id132,geography,,,1,Nový Dvořákov is located in Plzeňský kraj.
