eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce is situated in the Bralnica region.
Id1,geography,,,1,The UFO most was completed in the year 2025.
Id2,history,,,1,The start of the Slovak National Uprising was ordered by Zorka Machová.
Id3,geography,,,3,"Zvolen is located near the Hron River, the Habovica River, and the Zolná River."
Id4,geography,,,2,"Slovensko has 8,112 oil refineries located in it."
Id5,politics,,,2,Robert Mistrík withdrew his candidacy from the 2019 presidential elections and supported Monika Fialová.
Id6,culture,,,1,"Andrej Sládkovič, whose original name was Ľuboš Melichar, was a renowned Croatian folk singer."
Id8,geography,,,3,"Podhradská Lúčka is known for its mining activities, which extract the precious metal Kovy, specifically Striebro."
Id9,geography,,,1,The town of Bardejov is located in the Sitnica region.
Id10,geography,,,2,Slovakia is planning to cooperate with Studenická dolina and is working on the project Vodné Dielo Gabčíkovo.
Id11,culture,,,1,"The IMT Smile, a cultural event, originated in Ostrolúcka Ves."
Id12,geography,,,2,"The source location of Veľký Kôprovec is Gbeľany, which is a village."
Id14,geography,,,3,"Dúbravské Zálesie is a location called Zrúcanina, situated in Obec Podbranč."
Id16,sports,,,1,Renáta Chovancová competes in snowboarding.
Id18,politics,,,2,Vojtech Krupa is a member of the political party OĽANO and has been elected to the parliament.
Id19,history,,,2,"Some of the German soldiers' equipment was partially burned, and they targeted the Bystrická kotlina."
Id20,geography,,,2,The Kostol Najsvätejšej Trojice is situated on Hlavná ulica in the city of Dúbravské Zálesie.
Id21,geography,,,1,The Studenická dolina is a region known for its deposits of brown coal.
Id22,culture,,,1,"The Vysoká škola múzických umení v Bratislave has 7,203 faculties."
Id24,politics,,,2,Cyprián Duchoň was allegedly involved in the case known as the Gorila case.
Id26,politics,,,3,"A political dispute, known as the ""pomlčková vojna,"" centered on the topic of the name of the Czech-Slovak federation, began on February 18, 1997."
Id27,history,,,3,"Belo IV was the king of Ostrá Lúka, and during his reign, the first Mongol invasion occurred, targeting the same location."
Id28,history,,,1,The victims' museum is located in Zlatá dolinka.
Id29,history,,,3,"The Grand Hotel Royal, which was known as the Grand Hotel Slovan during the socialism period, later became the Slovan."
