eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer komponoval pre Moravské divadlo Olomouc.
Id1,culture,,,3,Najväčší hit Oldřich Kaiser Jiří Lábus pochádza z muzikálu Starci na chmelu.
Id2,politics,,,2,"Madeleine Albrightová je Ministryně zahraničí Spojených států, ktorej krajom pôvodu sú Horoušany."
Id3,culture,,,3,"Svátek svatého Mikuláše je spojený s rozdávaním darov detektívom, oslavuje sa 2006-01-01 večer."
Id4,geography,,,1,Lužná u Rakovníka je súčasťou Vltavské Kaskády.
Id5,history,,,4,Literatura s názvom samizdat bola publikovaná disidentmi v Brněnský kraj v období od 1950-01-01 do 2000-12-31.
Id6,culture,,,3,Marie Čermínová je spojená s Malá Strana a má tvorbu a život.
Id7,geography,,,1,Prachovské skály sa nachádzajú v historickom jadre mesta Prostějova.
Id8,culture,,,5,"Martin Kavka je český zpěvák, ktorý získal 1 award Zlatý slavík, pričom Zlatý slavík je awardFrequency nejvíckrát."
Id9,culture,,,2,Oldřich Kaiser tvorí komické duo s Jiří Lábus a Radek Pilař sú nerozluční.
Id10,geography,,,1,Československo ťažilo uhlie.
Id11,politics,,,1,sv. Jan Nepomucký je členom ODS.
Id12,history,,,1,Zakladateľom Barrandovské filmové ateliéry bol Gustáv Husák.
Id13,geography,,,2,Kladníky sú súčasťou Krkonoše a majú výšku 1603.
Id15,history,,,2,"Dôvodom demolácie Rabí bolo ťažba uhlia, pričom uhlie je typ zdroja."
Id17,geography,,,2,"Česká republika sa nachádza v údolí Dřevnice, ktorá je rieka."
Id18,geography,,,2,Dejvice s názvom Dejvice sa nachádzajú v Slaný.
Id19,geography,,,1,Těžba uhlí spôsobuje Brno.
Id20,history,,,2,"Československo má Židovskú menšinu, ktorá je náboženskou menšinou."
Id21,geography,,,2,Císařský ostrov je ostrov a je najväčším ostrovom Československa.
Id22,sports,,,1,Ohře je známy hokejom.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky sa nachádza v Červený hrádek.
Id24,sports,,,2,"Božena Němcová vlastní Spartu, ktorá je fotbalový klub."
Id26,culture,,,4,"J. H. Krchovský je autorom básne Na samém konci, ktorá je napísaná na fasáde domu v Prahe."
Id27,culture,,,5,"Tomáš Baťa je autorom knihy, v ktorej sa objavujú postavy Ferda Mravenec a Brouk Pytlík, pričom obaja sú inšpirovaní hmyzom."
Id28,culture,,,2,Film Štěstí má hlavných predstaviteľov Tatiana Vilhelmová a Gustáv Husák.
Id29,sports,,,1,Jáchym Topol má prezývku Rudý dědek.
Id30,history,,,3,"Samková je český král, ktorý postav Hladová zeď."
Id31,geography,,,2,Sněžka má výšku 12 m n. m.
Id32,culture,,,3,Jiří Strach získal Státní cena za literaturu za román Citlivý člověk.
Id33,geography,,,2,Největší povodeň v ČR nastala v roku 2002 a trvala 5.
Id34,geography,,,2,Vltava je sídlom organizací a centrom polskej národnostnej menšiny.
Id35,geography,,,3,"Frýdek-Místek vznikol z 5, 2 miest a 5."
Id36,history,,,3,"Pomník venovaný Americkým vojákům sa nachádza v Česko, ktoré sa nachádza v Plzeň."
Id37,culture,,,3,"Popelka sa transformuje na Prašivku, ktorá je krysa a postava zo Světa Harryho Pottera."
Id38,history,,,2,Jindřich Nový je regionálny historik a vlastencov U Prdlavky.
Id39,history,,,1,Bitva na Bílé hoře sa uskutočnila v roku 2013-12-31.
Id40,geography,,,2,Škoda Auto je automobilka so sídlom v Československu.
Id41,culture,,,2,"Noc na Karlštejně je film, ktorého miestom natáčania sú Malše."
Id42,other,,,2,"Cesta do hlubin študákovy duše režíroval Franz Kafka, ktorý je režisér."
