eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce is situated in the district of Ilava.
Id1,geography,,,1,The UFO most was completed in 1972.
Id2,history,,,1,Ján Golian issued an order that marked the beginning of the Slovak National Uprising.
Id3,geography,,,3,"Zvolen is located near the Hron River, the Slatina River, and the Zolná River."
Id4,geography,,,2,Slovensko has one oil refinery located there.
Id5,politics,,,2,Robert Mistrík withdrew his candidacy from the 2019 presidential elections and supported Zuzana Čaputová.
Id6,culture,,,1,"Andrej Braxatoris, known by his stage name Andrej Sládkovič, is a renowned Croatian folk singer."
Id7,culture,,,1,The folk genre is associated with the cultural group known as Združenie pesničkárov Slnovrat.
Id8,geography,,,3,"Banská Štiavnica is famous for its mining industry, which extracts the precious metal Kovy, specifically Striebro."
Id9,geography,,,1,Bardejov is the administrative center of the Horný Šariš district.
Id10,geography,,,2,Slovensko is planning to cooperate with Maďarsko on a project called Vodné Dielo Gabčíkovo.
Id11,culture,,,1,The IMT Smile is a cultural event originating from Prešov.
Id12,geography,,,2,"The source of Gbeliansky potok is located in Gbeľany, which is a village."
Id13,culture,,,1,The Kláštor a kostol kamaldulov on Zobore features a baroque architectural style.
Id14,geography,,,3,"The village of Zrúcanina is situated in the town of Obec Podbranč, and it is known as Hrad Branč."
Id15,culture,,,1,The winner of the Slovak Year of Culture is decided by a public vote.
Id16,sports,,,1,Klaudia Medlová is a competitor in the sport of snowboarding.
Id17,culture,,,2,"Slovenské nakladateľstvo detskej knihy, originally known as Mladé letá, is a publishing house."
Id18,politics,,,2,Andrej Stančík is a member of the political party OĽANO and was elected to the parliament.
Id19,history,,,2,German soldiers partially burned down the town of Liptovská Teplička.
Id20,geography,,,2,The Kostol Najsvätejšej Trojice is situated on Hlavná ulica in Košice.
Id21,geography,,,1,Handlová is a town in Slovakia where brown coal is mined.
Id22,culture,,,1,The Vysoká škola múzických umení v Bratislave has three faculties.
Id23,sports,,,1,The Tipos Extraliga is a league for ľadový hokej.
Id24,politics,,,2,"Jaroslav Haščák was allegedly involved in the espionage case known as the ""Kauza Gorila."""
Id25,other,,,2,"COOP Jednota is a Slovak retailer, and Tempo Supermarket is one of its stores."
Id26,politics,,,3,"A political dispute, known as the ""pomlčková vojna,"" centered on the topic of the name of the Czech-Slovak federation, began on January 1, 1990."
Id27,history,,,3,"Belo IV was the king of Hungary, and during his reign, the first Mongol invasion occurred, targeting the country."
Id28,history,,,1,The Museum of Victims of Communism is located in Košice.
Id29,history,,,3,"During the socialist period (1948-1949), the Grand Hotel Royal was known as the Grand Hotel Slovan."
Id30,culture,,,1,Slovenská kapela Fragile uses musical instruments.
Id31,politics,,,2,"Vladimír Mečiar governed under a system called mečiarizmus, which lasted from January 1, 1992, to December 31, 1998."
Id32,geography,,,2,The Okres Čadca in the Czech Republic borders on the Czech Republic and on Poland.
Id33,culture,,,1,Peter Hradil played the main character in the film Iná láska.
Id34,culture,,,3,"The film *Dračie srdce* was filmed in Strečno, which is a castle."
Id35,culture,,,3,"Marián Čunderlík is known for his professional focus on painting, illustration, and graphic design."
Id36,politics,,,1,The Democratic Left Party originated from the Communist Party of Slovakia.
Id37,culture,,,1,"Peter Nagy composed the song ""Aj tak sme frajeri."""
Id38,geography,,,1,The headquarters of the National Institute of Rheumatic Diseases is located in Piešťany.
Id39,geography,,,2,Podbreziny is the largest settlement in Liptovský Mikuláš.
Id40,geography,,,1,The Stráže nad Myjavou was merged with Šaštín.
Id41,culture,,,2,Slovenská televízia a rozhlas was replaced by Rozhlas a televízia Slovenska in 2024.
Id42,other,,,1,Milan Lapin focuses on climatology.
Id43,politics,,,3,Andrej Kiska was the President of Slovakia and founded the political party Za ľudí.
Id44,other,,,2,"The main characters of the show ""Pa a Pi"" are mačky."
Id45,culture,,,3,"The Slovak edition of the Harry Potter book covers features Slovak language translations, designed by Adrián Macho."
Id46,politics,,,1,The individual has a 10-digit Daňové identifikačné číslo (DIČ).
Id47,geography,,,2,"Pavelková is situated within the Muránska planina, which is a geomorfologický podcelok."
Id48,sports,,,1,Vojtech Bukovský founded the Košice Peace Marathon.
Id49,geography,,,1,The Vihorlatské vrchy are of volcanic origin.
Id50,history,,,3,"The Academia Istropolitana, founded by King Matej Korvín, is located in Bratislava."
Id51,geography,,,2,"Trstená is home to a central square named Námestie Milana Rastislava Štefánika, which is located in Trstená."
Id52,geography,,,1,Krahuľský vrch is situated above the town of Kremnica.
Id53,history,,,2,The German settlers began settling in Poprad during the 13th century.
Id54,geography,,,2,The town of Ľubochňa is situated within the okres of Ružomberok.
Id55,culture,,,3,"Dr. Tomáš Stach is a character in the Slovak TV series Doktori, and Alexander Bárta played the role of Dr. Tomáš Stach."
Id56,culture,,,4,"A Slovak documentary film titled *Cesta Magdalény Robinsonovej* was released in 2008, depicting the life story of a Jewish photographer during the period of the Slovak State."
Id57,culture,,,5,"In 2011, the NULA generation, a poetry group, was founded by Peter Papšo and Marcel Páleš in Banská Bystrica."
Id58,history,,,3,"In 1735, the first mining school in Hungary was established in Banská Štiavnica."
Id59,culture,,,6,"The Slovak Film and Television Academy awards the Slnko v sieti, which recognizes outstanding Slovak films and artistic performances in the Slovak film industry."
Id60,culture,,,5,"Jana Hubinská, a Slovak actress, won the Český lev award for her role in the film Děvčátko."
Id61,history,,,6,"Juraj (VII.) Turzo, a prominent figure in Slovak history, resided in Bytča and was known as a warrior against the Turks. He played a key role as a radc (adviser) to Rudolf II, supporting the Slovaks and promoting the Protestant faith."
Id62,culture,,,4,"The film Fontána pre Zuzanu is a musical film released in 1996, based on the novel by Eleonóra Gašparová, and composed by Vašo Patejdl."
Id63,culture,,,8,"Miroslav Šmajda, born in Košice, is a frontman of the band Walda Gang and Terrapie. He participated in the first season of the Česko Slovenská SuperStar competition in 2009, placing second."
Id64,geography,,,7,"The Dolný Zemplín region consists of the cities of Michalovce, Sobrance, and Trebišov, all of which are administrative districts (okres) in Slovakia."
Id65,other,,,2,Eugen Gressner is a Slovak doctor specializing in gerontology.
