eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal zložil dielo pre Moravské divadlo Olomouc.
Id1,culture,,,3,Jana Petrů má za najväčší hit muzikál Starci na chmelu.
Id2,politics,,,2,Ministryně zahraničí Spojených států Madeleine Albrightová pochádza z Česka.
Id3,culture,,,3,"Svátek svatého Mikuláše, ktorý sa oslavuje 5. decembra 2026 večer, je spojený s rozdávaním darčekov deťom."
Id4,geography,,,1,Vodní nádrž Slapy je súčasťou Vltavských Kaskád.
Id5,history,,,4,"Literatúra, ktorá bola vydaná disidentmi na území Čech v období od 1. januára 1950 do 31. decembra 2000, bola nazývaná samizdat."
Id6,culture,,,3,"Jan Neruda je spojený s Malou Stranou, má tvorbu a život."
Id7,geography,,,1,Prachovské skály sa nachádzajú v CHKO Český ráj.
Id8,culture,,,5,"Český zpěvák Karel Gott získal Zlatého slavíka, který se uděluje nejvíckrát, celkem 1krát."
Id9,culture,,,2,Oldřich Kaiser tvorí komediálny duo s Jiří Lábusom a sú nestrávitelní.
Id10,geography,,,1,Na Kladensku sa ťažil uhlí.
Id11,politics,,,1,Miroslava Němcová je členkou ODS.
Id12,history,,,1,Miloš Havel založil Barrandovské filmové ateliéry.
Id13,geography,,,2,Nejvyšší bod Krkonoš má nadmorskú výšku 1603 metrov a patrí do Krkonoš.
Id14,history,,,1,Bitva u Slavkova sa odohrala počas Napoleonských válek.
Id15,history,,,2,"Historické mesto Most bolo zrušené z dôvodu ťažby uhlia, ktorá je zdrojom uhlia."
Id16,culture,,,6,"Znak města Třebíč, ktorý sa skladá zo štítu, má tri vodorovné pole: horné a dolné sú červené, stredné je biele a obsahuje tri čierne benediktínske kápě."
Id17,geography,,,2,"Zlín sa nachádza v údolí Dřevnice, ktorá je řekou."
Id18,geography,,,2,Slanská hora sa nachádza v Slanom a jej názov je Slanská hora.
Id19,geography,,,1,Těžba uhlí spôsobuje problémy v Karviné.
Id20,history,,,2,"V meste Kolín žije Židovská menšina, ktorá je náboženskou menšinou."
Id21,geography,,,2,Císařský ostrov je najväčším ostrovom Prahy a je to ostrov.
Id22,sports,,,1,Kladno je známe hokejom.
Id23,politics,,,1,Ministerstvo zdravotníctva Českej republiky má sídlo na Palackého námestí.
Id24,sports,,,2,"Petr Mach vlastní Sparta, ktorá je fotbalový klub."
Id25,culture,,,2,"Granát Turnov vyrába šperky, ktoré obsahujú české granáty."
Id26,culture,,,4,"Báseň Na samém konci, ktorú napísal J. H. Krchovský, je vyrytá na fasáde domu v nizozemskom meste Leiden."
Id27,culture,,,5,"Ondřej Sekora je autorom kníh, ktoré zobrazujú hmyz, konkrétne Ferdu Mravenca a Brouka Pytlíka."
Id28,culture,,,2,Film Štěstí má hlavného herca Tatianu Vilhelmovú a hlavného herca Pavla Lišku.
Id29,sports,,,1,Zdeněk Nejedlý má prezývku Rudý dědek.
Id30,history,,,3,"Karel IV, ktorý bol český král, postavil Hladovú zeď."
Id31,geography,,,2,Sněžka má výšku 1603 metrov nad morom.
Id32,culture,,,3,Jáchym Topol získal Státní cenu za literaturu za román Citlivý člověk.
Id33,geography,,,2,"Největší povodeň v ČR, ktorá sa stala v roku 2002, trvala posledných 100 rokov."
Id34,geography,,,2,Český Těšín je sídlom organizací a strediskom polských národnostní menšiny.
Id35,geography,,,3,"Město Frýdek-Místek vzniklo z 5, 2 měst a 3 obcí."
Id36,history,,,3,"Pomník, ktorý je venovaný Americkým vojákům, sa nachádza na Chodskom námestí v Plzni."
Id37,culture,,,3,"Peter Pettigrew sa transformuje na Prašivku, ktorá je krysou zo Světa Harryho Pottera."
Id38,history,,,2,Jindřich Nový je regionálny historik a je patriotom Karlových Varov.
Id39,history,,,1,Bitva na Bílé hoře sa konala v roku 1620.
Id40,geography,,,2,Škoda Auto je automobilka sídliaca v Mladé Boleslavi.
Id41,culture,,,2,Film Noc na Karlštejně bol natáčaný v Karlštejne.
Id42,other,,,2,"Martin Frič, ktorý je režisérom, režíroval cestu do hlubin študákovy duše."
Id43,geography,,,2,"Rieka Úpa, ktorá preteká Trutnovom, má v tomto meste svoj prítok."
Id44,other,,,2,"Měsíční časopis, ktorý je určený pre školáky a predškoláky, je pomenovaný po mateřídouške."
Id45,other,,,1,Časopis Vesmír informuje o vede.
Id46,geography,,,2,"Železniční muzeum, ktoré sa nachádza v Lužné u Rakovníka, obsahuje Lužná u Rakovníka."
Id47,culture,,,2,Ušoun Rušoun je maskotom Českého rozhlasu Rádio Junior.
Id48,culture,,,2,Honzíkova cesta je dětská kníha od Bohumila Říhu.
Id49,other,,,1,Jim Čert hrá na akordeon.
Id50,culture,,,2,"Barbora Tachecí moderuje pořad v rozhlase Osobnost Plus, ktorý je pořadom v rozhlase."
Id51,other,,,1,Spolek Orel je katolícka športová organizácia.
Id52,sports,,,2,Hora Raná je strediskom paraglidingu a sportovní létání.
Id53,culture,,,1,Radio Beat sa špecializuje na rockovú hudbu.
Id54,history,,,4,"Vykopávky v Přerově, ktoré sa nachádzajú v Přerove, obsahujú značné množství kostí, ktoré patria mamutom."
Id55,geography,,,1,Rieka Vydra sa nachádza v Národnom parku Šumava.
Id56,geography,,,2,"Filmovanie sa konalo v hrade v Ledči nad Sázavou, ktorý sa nachádza v Ledči nad Sázavou."
Id57,culture,,,1,Bob Hýsek popularizuje slam poetry.
Id58,geography,,,1,Litomyšl má symbol liliu.
Id59,culture,,,1,Slavonice sú spojené s textilným priemyslom.
Id60,geography,,,2,"Žatec leží na rieke Ohře, ktorá tečie cez Žatec."
Id61,geography,,,1,Jablunkovský výběžek sa nachádza v Česko slovensko polské trojmezí.
Id62,sports,,,4,"Jaromír Vytopil je knihkupec z Českej republiky, ktorý je najstarší a má najdlhšiu aktívnu kariéru."
Id63,geography,,,2,"Turnovom preteká rieka Jizera, ktorá má v Turnove svoj tok."
Id64,sports,,,2,Od sezóny 1. augusta 2024 sa 1. česká hokejová liga premenovala na Maxa ligu.
Id65,culture,,,3,"Hliník, ktorý je postava z filmu Marečku podejte mi pero, je spájaný s Humpolcom."
Id66,geography,,,3,"Rybník Bezdrev je rybník v ČR, ktorý má druhú veľkosť."
Id67,culture,,,1,Postavička Večerníček má za autora Radeka Pilařa.
Id68,geography,,,2,"Rozhledna Stříbrná krasavice, která se nachází nad Ústí nad Orlicí, je umístěna v Ústí nad Orlicí."
Id69,culture,,,5,"Michal Horáček, autor diela Balady, zveřejnil jeho zhudebnění, které je určené pro širokou veřejnost."
Id70,geography,,,2,Kralupy nad Vltavou ležia na hlavnej trati Praha Děčín.
Id71,culture,,,1,Žítkovské bohyně sú dielom autorky Kateřiny Tučkové.
Id72,geography,,,2,"Bečovská botanická zahrada, ktorá sa nachádza v Bečove nad Teplou, obsahuje Bečov nad Teplou."
Id73,geography,,,2,"Sázava, ktorá je rieka, tečie cez Havlíčkův Brod."
Id74,geography,,,2,"Teplice majú dominantu Doubravka, ktorá je horou."
Id75,sports,,,3,Závod veteránů sa koná pravidelne od roku 2002 na Českobrodskom okruhu.
Id76,culture,,,7,"Luděk Novák je český historik umění, ktorý je známy publikovaním štúdií o českých maliroch, medzi ktorých patria Mánes, Švabinský a Machek, a založil výtvarnú skupinu Trasa."
Id77,history,,,4,"Vladimír Přibský, ktorého skutočné meno je Vladimír Řezáč a ktorý sa narodil v Přibyslavi, bol žurnalista aj dramatik."
Id78,geography,,,2,Pravlov je farnosť nachádzajúca sa v Brne venkov.
Id79,geography,,,1,Rybník Španělák sa nachádza v okrese Hradec Králové.
Id80,culture,,,3,"Vrásky z lásky režíroval Jiří Strach, hlavnou mužskou hrou bol Radoslav Brzobohatý a hlavnou ženskou hrou Jiřina Bohdalová."
Id81,politics,,,2,Stanislav Rudolfský je predsedom Hnutí Dobrých Proměn.
Id82,other,,,5,"Teplická dopravní společnost, ktorá sa od 1. januára 2013 nazýva Arriva Teplice, prevádzkuje mestskú hromadnú dopravu, příměstskou hromadnou dopravu a regionální hromadnou dopravu."
Id83,sports,,,7,"Marek Bárta je český sportovec, diskař, ktorý sa špecializuje na hod diskem, je niekoľkonásobným majstrom Českej republiky a má osobný rekord 65,46 metra."
Id84,culture,,,5,Český spisovateľ a dramatik Jan Kameníček je považovaný za pokračovateľa Franza Kafku.
Id85,culture,,,5,"Česká sklářská výtvarnice Vladimíra Klumparová, ktorá žije v USA, sa v období od roku 1985 do roku 2003 venovala svojej činnosti."
Id86,sports,,,3,"Česká fotbalová liga, ktorá má alternatívne meno Fortuna Liga, je platná od 1. januára 2018 do 31. decembra 2024."
Id87,history,,,3,Film Operace Dunaj z roku 2009 je českým snímkom o invázi vojsk Varšavské smlouvy.
Id88,geography,,,2,Krušné hory sú pohoří nachádzajúce sa na severozápadu Čech.
Id89,geography,,,2,Jezero Most bolo vytvorené zatopením lomu Most–Ležáky a jeho otvárací dátum je 2020.
Id90,sports,,,4,Ondřej Perušič a David Schweiner sú súčasťou páru Ondřej Perušič a David Schweiner a v roku 2023 sa stali majstrami sveta v plážovej volejbale.
Id91,culture,,,1,"Slovo „robot"" je pravým autorom Josef Čapek."
Id92,history,,,1,Nuselský most mal predchádzajúce prezývku Most sebevrahů.
Id93,culture,,,1,Prvá česká hip hopová sólová deska má názov Frekvence P.H.A.T.
Id94,history,,,6,"Vojtěch Zikmund, český chemik, podnikatel a průmyslník, byl u zrodu české společnosti, která se zabývá výrobou a prodejem benzínu."
Id95,geography,,,1,Svojkovské skály sa nachádzajú v Českolipsku.
Id96,sports,,,4,"David Krejčí je český skibobista, ktorý drží 12 titulov mistra sveta."
Id97,culture,,,2,Zlatá stuha je české ocenění v oblasti knižnej tvorby pre deti a mládež.
Id98,culture,,,3,"Akademie múzických umění v Praze má fakulty DAMU, FAMU a HAMU."
Id99,sports,,,2,Česká basketbalová federácia vedie šport basketbal a pôsobí v Českej republike.
Id100,other,,,3,"Diváci poznajú Radka Johna, ktorý sa objavuje v investigatívnom pořade Na vlastní oči."
Id101,history,,,4,"František Palacký, ktorý bol český historik a politik, bol zakladateľom Matice české."
Id102,culture,,,4,"Ottův Slovník Naučný je fyzická encyklopedia v češtine, ktorá je najväčšia a neobsiahlejšia."
Id103,history,,,1,Nejstarší politická strana v českých zemích vznikla 1. januára 1848.
Id104,history,,,1,Národní listy založil Julius Grégr.
Id105,history,,,1,Hněvín sa prvýkrát spomína v roku 1248.
Id106,history,,,4,"František Barvitius, ktorý bol inženýr a Československý, prispel k vývoju leteckého motora Walter Minor."
Id107,history,,,1,Škoda má pôvodné meno Laurin & Klement.
Id108,history,,,7,"Františka Plamínková, ktorá bola československou političkou, novinárkou a feministkou aktívna v období 1918–1938, bola popravená 30. júna 1942 počas Heydrichiády."
Id109,politics,,,3,"Adam Vojtěch je český politik, ktorý pôsobil ako bývalý minister zdravotníctva a je známy svojimi vystúpeniami v súťaži SuperStar."
Id110,culture,,,6,"Česká situační komedie Světáci, ktorá vyšla v roku 1969, je slavná ženská trojica tvorená herečkami Bohdalovou, Jiráskovou a Janžurovou."
Id111,culture,,,1,Česká hudební cena Anděl je symbolizovaná soškou Anděla.
Id112,culture,,,3,"Český seriál Sňatky z rozumu, ktorý sa zaoberá témou české vlastenectví z 19. storočia, sa venuje situáciám tzv. národní obrození."
Id113,geography,,,1,Hlavným mestom Moravskoslezského kraja je Ostrava.
Id114,history,,,2,"Karel IV mal syna Václava IV, ktorý bol jeho synom."
Id115,culture,,,7,"Český slavík je od roku 1996 největší roční hlasování, které měří popularitu českých zpěváků, českých zpěvaček a českých skupin."
Id116,geography,,,5,"Veletržní palác, ktorý sa nachádza v pražských Holešovicích a patrí medzi prví a najväčší funkcionalistické stavby Prahy, bol postavený v štýle funkcionalizmu pôvodne na konanie veletrhů a neskôr slúži ako sídlo podniků zahraničního obchodu."
Id117,culture,,,4,"Výstaviště Praha je nejstarší veletržní areál v Česku, který byl založen 1. ledna 1891."
Id118,history,,,5,"Kateřina Bobková-Valentová, historička z Liberce s českou národnosťou, získala cenu rektora UK za dielo Každodenní život učitele a žáka jezuitského gymnázia."
Id119,other,,,4,"Petr Rychlý, ktorý je hercom, moderuje zábavný a soutěžní televizní pořad Natočto, ktorý produkuje TV Nova."
Id120,history,,,4,"Sametová revoluce, ktorá sa konala v Československu, trvala od 17. novembra 1989 do 29. decembra 1989."
Id121,history,,,4,"První americký deník v češtině, Svornost, je v češtině a nachádza sa v Amerike, založil ho František Boleslav Zdrůbek."
Id122,culture,,,8,"Časopis s názvom Nový Prostor, ktorý predávajú bezdomovci a iní sociálne znevýhodnení ľudia, slúži na získanie pracovných návykov, obnovenie pracovných návykov, zabezpečenie vlastných potrieb, znovuzačlenenie do spoločnosti a znovuzačlenenie do pracovného života."
Id123,culture,,,2,Jiří Macháček je spevák kapely Mig 21.
Id124,culture,,,3,Miroslav Donutil zahral v seriáli Pelíšky rolu Bohouša Šebeka.
Id125,culture,,,2,Rebel je pivovar nachádzajúci sa v Havlíčkově Brodě.
Id126,culture,,,1,Kultúrne dielo StarDance ...kedy hviezdy tančí je moderované dvojicou.
Id127,culture,,,3,Rumcajs je kreslený loupežník z Jičína.
Id128,culture,,,3,Film komedie Slunce seno jahody režíroval Zdeněk Troška a dej sa odohráva v Hošticach.
Id129,geography,,,3,"Právnická fakulta, ktorá je súčasťou Univerzity Karlova, sa nachádza na Čechovom moste v Prahe."
Id130,geography,,,1,Najvyšším vrchom Krkonošského národného parku je Sněžka.
Id131,geography,,,1,Antonín Dvořák sa narodil v Nelahozevesi.
Id132,geography,,,1,Domažlice sa nachádza v Plzeňskom kraji.
Id133,geography,,,2,"Karel Poláček, ktorý sa narodil v Rychnově nad Kněžnou, je autorom diela Bylo nás pět."
Id134,geography,,,1,Najvyšším vrchom Orlických hôr je Velká Deštná.
Id135,history,,,1,Poslanecká snemovna Parlamentu České republiky má sídlo v Thunovskom paláci.
Id136,geography,,,1,Najvyšším vrchom Vysočiny je Javořice.
Id137,culture,,,3,"Bankovka má hodnotu 500, je v menze Kč a zobrazuje osobu Boženu Němcovú."
Id138,geography,,,2,"Vodní nádrž, ktorá má meno Rozkoš, sa nachádza v blízkosti Babiččino údolí."
Id139,culture,,,2,"Divadlo Semafor má aktuálne sídlo v Dejvicach, ktoré je mestskou čtvrtťou."
Id140,geography,,,1,Dlouhé stráně je přečerpávací elektrárna.
Id141,geography,,,1,Nový Bor je známy sklárskym priemyslom.
Id142,geography,,,2,"Macocha je súčasťou Punkevních jeskyní, ktoré sú komplexom jeskyní."
Id143,geography,,,3,"Prachovské skály, ktoré sú prírodnou rezerváciou, sa nachádzajú v Českém ráji a sú známe pískovcovými skalnými mestami."
Id144,geography,,,2,Baťův kanál spája Otrokovice a Sudoměřice.
Id145,sports,,,3,"Zlatá podkova je jezdecká všestrannost a spřežení, které se koná v Humpolci."
Id146,geography,,,1,Muzeum rekordů a kuriozit sa nachádza v Pelhřimove.
Id147,politics,,,4,Jindřich Vařeka bol od 1. januára 2014 do 31. decembra 2019 starostou Příbrami.
Id148,geography,,,2,"Horoušany sa nachádzajú v Prahe východ, ktorá je okresom."
Id149,geography,,,1,Vrchlice preteká rieka Kutná Hora.
Id150,other,,,2,Česko pre iné než remeselné živnosti uplatňuje paušálnu sadzbu na náklady vo výške 60.
Id151,culture,,,4,"Internetový slovník Čeština 2.0, ktorý založil Martin Kavka, zbiera nové české výrazy aj novotvary."
Id152,sports,,,1,Maxa liga je športovým typom ledný hokej.
Id153,other,,,2,"Václav Klaus napísal knihu Modrá, nikoli zelená planeta."
Id154,geography,,,3,"Žimutice, ktorá je obcou, sa nachádza v okrese České Budějovice."
Id155,geography,,,3,"Olovnice je obec, ktorá sa nachádza v okrese Mělník."
Id156,other,,,3,Odrůda David je odroda hrušne vyšľachtená v Česku a dozrieva v prosinci.
Id157,culture,,,4,"Dílo Conception/Danae (Početí) od Františka Kupku, ktoré je najdražším dielom všetkých dob, sa predalo v Českej republike za 126 500 000."
Id158,culture,,,4,"Fotograf Festival je fotografický festival, ktorý sa koná každoročne v Prahe od roku 2011."
Id159,geography,,,3,"Kladníky sú obec, ktorá sa nachádza v okrese Přerov."
Id160,sports,,,4,"Jan Šilinger je český fotbalový obránce, ktorý v roku 2024 hrál za FC Vysočina Jihlava."
