eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer skládal pro Moravské divadlo Olomouc.
Id1,culture,,,3,Největší hit Oldřicha Kaisera a Jiřího Lábuse pochází z muzikálu Starci na chmelu.
Id2,politics,,,2,Ministryně zahraničí Spojených států se jmenuje Madeleine Albrightová a její zem originCountry jsou Horoušany.
Id3,culture,,,3,Svátek svatého Mikuláše je spojen s rozdáváním dárků dětem a slaví se 2006-01-01 večer.
Id4,geography,,,1,Lužná u Rakovníka je součástí Vltavských Kaskád.
Id5,history,,,4,Literatura nazývaná samizdat byla publikována disidenty v Brněnském kraji v období od 1950-01-01 do 2000-12-31.
Id6,culture,,,3,Marie Čermínová je spojována s Malou Stranou a má tvorbu a život.
Id7,geography,,,1,Prachovské skály se nacházejí v historickém jádře města Prostějova.
Id8,culture,,,5,"Martin Kavka je český zpěvák, který získal 1 award Zlatý slavík, což je award s nejvíckrát awardFrequency."
Id9,culture,,,2,Oldřich Kaiser tvoří komediální duo s Jiřím Lábusem a Radek Pilař je nerozlučný.
Id10,geography,,,1,V Československu se těžilo uhlí.
Id11,politics,,,1,sv. Jan Nepomucký je členem ODS.
Id12,history,,,1,Zakladatelem Barrandovské filmové ateliéry byl Gustáv Husák.
Id13,geography,,,2,Kladníky jsou součástí Krkonošů a mají výšku 1603.
Id15,history,,,2,"Důvodem pro demolici Rabí byla těžba uhlí, přičemž uhlí je typ zdroje."
Id17,geography,,,2,"Česká republika se nachází v údolí Dřevnice, která je řeka."
Id18,geography,,,2,Dejvice se nachází v Slaný a její název je Dejvice.
Id19,geography,,,1,Těžba uhlí způsobuje Brno.
Id20,history,,,2,"Československo má Židovskou menšinu, která je náboženskou menšinou."
Id21,geography,,,2,Císařský ostrov je ostrov a je největším ostrovem Československa.
Id22,sports,,,1,Ohře je známá hokejem.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky se nachází v Červený hrádek.
Id24,sports,,,2,"Božena Němcová vlastní Spartu, která je fotbalový klub."
Id26,culture,,,4,"J. H. Krchovský je autorem básně Na samém konci, která je napsaná na fasádě domu v Praze."
Id27,culture,,,5,"Tomáš Baťa je autorem knihy, ve které se vyskytují postavy Ferda Mravenec a Brouk Pytlík, přičemž obě postavy byly inspirovány hmyzem."
Id28,culture,,,2,Hlavními herectvími filmu Štěstí jsou Tatiana Vilhelmová a Gustáv Husák.
Id29,sports,,,1,Jáchym Topol má přezdívku Rudý dědek.
Id30,history,,,3,"Samková je český král, který postav Hladová zeď."
Id31,geography,,,2,Sněžka má výšku 12 m n. m.
Id32,culture,,,3,Jiří Strach obdržel Státní cenu za literaturu za román Citlivý člověk.
Id33,geography,,,2,Největší povodeň v ČR nastala v roce 2002 a trvala 5.
Id34,geography,,,2,Vltava je sídlem organizací a centrem polské národnostní menšiny.
Id35,geography,,,3,"Frýdek-Místek vznikl z 5, 2 měst a 5."
Id36,history,,,3,"Pomník věnovaný Americkým vojákům se nachází v Česku, které se nachází v Plzni."
Id37,culture,,,3,"Popelka se promění v Prašivku, která je krysa a postava ze Světa Harryho Pottera."
Id38,history,,,2,Jindřich Nový je regionální historik a vlastenec U Prdlavky.
Id39,history,,,1,Bitva na Bílé hoře se konala v roce 2013-12-31.
Id40,geography,,,2,"Škoda Auto je automobilka, která má sídlo v Československu."
Id41,culture,,,2,"Noc na Karlštejně je film, jehož místem natáčení je Malše."
Id42,other,,,2,"Cesta do hlubin študákovy duše byla režírována Franzem Kafkou, který je režisér."
Id43,geography,,,2,Trutnov má řeku Hradec Králové a Hradec Králové protéká Trutnovem.
Id46,geography,,,2,"Rudný důl u Harrachova obsahuje Železniční muzeum, které se v Rudném dolu u Harrachova nachází."
