eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce jsou umístěny v Okresu Ilava.
Id1,geography,,,1,UFO most bylo dokončeno v roce 1972.
Id2,history,,,1,Ján Golian vydal příkaz za Slovenské Národné Povstanie.
Id3,geography,,,3,Zvolen má větší vodní tok Hron a Slatina a Zolná.
Id4,geography,,,2,"Slovensko má 1 ropná rafinéria, která je umístěna v Slovensku."
Id5,politics,,,2,Robert Mistrík odstoupil z kandidatur v prezidentských voľbách 2019.
Id6,culture,,,1,Andrej Sládkovič má originálné jméno Andrej Braxatoris.
Id7,culture,,,1,Združenie pesničkárov Slnovrat je folk.
Id8,geography,,,3,Banská Štiavnica zná svou výrobu kovů.
Id9,geography,,,1,Horný Šariš je středem Bardejovu.
Id10,geography,,,2,Slovensko plánuje spolupráci s Maďarskem a projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile je zrodu v Prešov.
Id12,geography,,,2,Gbeľany je obec a zdroj Gbelianského potoku.
Id13,culture,,,1,Kláštor a kostol kamaldulov na Zobore má barokní architektur.
Id14,geography,,,3,"Zrúcanina je hrad Branč, která je obec Podbranč."
Id15,culture,,,1,Slovenský Strom roka rozhoduje výsledky verejného hlasania.
Id16,sports,,,1,Klaudia Medlová se zúčastňuje snowboarding.
Id17,culture,,,2,Mladé letá je vydavateľstvo Slovenské nakladateľstvo detskej knihy.
Id18,politics,,,2,Andrej Stančík je zastupiteľ OĽANO a zvolený do parlamentu.
Id19,history,,,2,"Nemeckí vojaci byli zahromadění v obci Liptovská Teplička, která byla zahromaděna zahromadění."
Id20,geography,,,2,"Kostol Najsvätejšej Trojice je na Hlavná ulica, která je v Košici."
Id21,geography,,,1,Hnedé uhlie byly výsledkem handlování.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 3 fakulty.
Id23,sports,,,1,Tipos Extraliga je hokej.
Id24,politics,,,2,Údajné odpočúvanie představuje vztah mezi Jaroslavem Haščákem a Kauzou Gorila.
Id25,other,,,2,Tempo Supermarket je slovenský predajca.
Id26,politics,,,3,"Pomlčková vojna byla politickým sporem o názov Česko-Slovenska, který se odehrála v roce 1990."
Id27,history,,,3,Belo IV byl vůči Uhorsku prvním vpádem mongolských.
Id28,history,,,1,Múzeum obetí komunizmu je v Košici.
Id29,history,,,3,Piešťanský Grand Hotel Royal byl název Grand Hotel Slovan v období 1948–1989.
Id30,culture,,,1,Slovenská kapela Fragile používá hudební nástroje.
Id31,politics,,,2,Vladimír Mečiar byl veden mečiarizmem mezi 1992.1.1 a 1998.12.31.
Id32,geography,,,2,"Okres Čadca je obecným předpisem, který je vztahem mezi Okresem Čadca a Česko, a vztahem mezi Okresem Čadca a Poľsko."
Id33,culture,,,1,Peter Hradil je hlavní hrdinou filmu Iná láska.
Id34,culture,,,3,Dračie srdce bylo filmem z Strečna.
Id35,culture,,,3,"Marián Čunderlík pracuje na maľbu, ilustráciu a grafiku."
Id36,politics,,,1,Strana demokratickej ľavice byla založena v Komunistické strane Slovenska.
Id37,culture,,,1,Peter Nagy píše Aj tak sme frajeri.
Id38,geography,,,1,Národný ústav reumatických chorôb má svého hlavního úřadu v Piešťanách.
Id39,geography,,,2,Liptovský Mikuláš je největší město Podbreziny.
Id40,geography,,,1,Stráže nad Myjavou byly spojeny s Šaštínem.
Id41,culture,,,2,Slovenská televízia a rozhlas byla nahrazena Rozhlasem a televíziou Slovenska v roce 2024.
Id42,other,,,1,Milan Lapin se zájmem věnuje klimatológii.
Id43,politics,,,3,"Andrej Kiska byl prezidentem Slovenska, za ľudí je politická strana."
Id44,other,,,2,Pa a Pi jsou hlavními hrdinami seriálu.
Id45,culture,,,3,Obálky kníh Harry Potter v slovenskom vydaní byly vytvořeny výrobou Adrián Macho a většina z nich je v jazyce slovenský.
