eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal komponował za Moravské divadlo Olomouc.
Id1,culture,,,3,Najwěksšy hit Jana Petrů je muzikál Starci na chmelu.
Id2,politics,,,2,Madeleine Albrightová je ministryně zahraničí Spojených států z Česka.
Id3,culture,,,3,"Svátek svatého Mikuláše so 5. decembra 2026 wewejere wewjezbra, přitož rozdávání dárků dětem přisłuhuje."
Id4,geography,,,1,Vodní nádrž Slapy je přisusćil Vltavské Kaskády.
Id5,history,,,4,"Samizdat je literatura, kotraž w časowanjezodźeljenju 1950-01-01 do 2000-12-31 w území Čech wot disidenti publikowana je była."
Id6,culture,,,3,"Jan Neruda je ze Malá Strana, ima tvorbu a život."
Id7,geography,,,1,Prachovské skály su w CHKO Český ráj lókowane.
Id8,culture,,,5,"Karel Gott je čěski zpěvák, kotryž jenu raz nagradźił Zlatý slavík, kotražnyj je nejwěckratnje darowany."
Id9,culture,,,2,Oldřich Kaiser twori komikowe duo z Jiří Lábus a tito dwaj su njedělejne.
Id10,geography,,,1,W Kladensko se wobdoby uhlí.
Id11,politics,,,1,Miroslava Němcová je členska ODS.
Id12,history,,,1,Miloš Havel je założyč Barrandovské filmové ateliéry.
Id13,geography,,,2,Nejvyšší bod Krkonoš je 1603 wysoki a je přitódźnosć Krkonoše.
Id14,history,,,1,Bitva u Slavkova so w běhu Napoleonskéj wálky wuwódźiła.
Id15,history,,,2,"Historiske město Most zotožnje z powodu těžby uhlí, kotraž je typ resursa uhlí."
Id16,culture,,,6,"Znak města Třebíč konsistuje z štita, kotryj ima tři vodorovna pola, přibyž hornje a dolnje pole su června a srjednje pole je běła z trěmi černymi benediktinskimi kápami."
Id17,geography,,,2,"Zlín ležy w dolinje Dřevnice, kotraž je rěka."
Id18,geography,,,2,Slanská hora so w Slaný nachodzi.
Id19,geography,,,1,Těžba uhlí způsobuje problémy w Karviné.
Id20,history,,,2,W Kolín je Židovská menšina religjózna mjeنشina.
Id21,geography,,,2,Císařský ostrov je najwěksšy ostrow w Praze a je to ostrov.
Id22,sports,,,1,Kladno je znane přez hokej.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky so na Palackého náměstí nachodzi.
Id24,sports,,,2,"Petr Mach włada Spartą, kotraž je fotbalowy klub."
Id25,culture,,,2,Granát Turnov produkuje šperky z českich granátow.
Id26,culture,,,4,"J. H. Krchovský je autor báznje Na samém konci, kotraž je na fasádźe doma w nizozemskim městje Leiden napisana."
Id27,culture,,,5,"Ondřej Sekora je autor knihy, w kotrej su postawy Ferda Mravenec a Brouk Pytlík, a woboje su inspir적이ne hmyzom."
Id28,culture,,,2,W filmje Štěstí su Tatiana Vilhelmová a Pavel Liška gławne role hrale.
Id29,sports,,,1,Zdeněk Nejedlý ima přezwisko Rudý dědek.
Id30,history,,,3,"Karel IV był českim kralom, kotryž Hladová zeď stawił."
Id31,geography,,,2,Sněžka ima wukrćinu 1603 m n. m.
Id32,culture,,,3,Jáchym Topol přimjeł Státní cena za literaturu za román Citlivý člověk.
Id33,geography,,,2,Největší povodeň v ČR wotwarjiła se w roce 2002 w positivitych poslednich 100 letach.
Id34,geography,,,2,Český Těšín je sedlo organizací a centrum polské národnostní menšiny.
Id35,geography,,,3,"Frýdek-Místek so z 2 městow a 3 obcchow, tj. z 5 častow, wutworił."
Id36,history,,,3,Pomník wěnowany Americkým vojákům so na Chodské náměstí w Plzni nachodzi.
Id37,culture,,,3,"Prašivka je krysa zo śwěće Harryho Pottera, do kotrejž so Peter Pettigrew přeměni."
Id38,history,,,2,Jindřich Nový je regionalny historik a patriot Karlovy Vary.
Id39,history,,,1,Bitva na Bílé hoře so rěka w roce 1620 wódźewła.
