eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská composed for Moravské divadlo Olomouc.
Id1,culture,,,3,"Alena Králová has the hit ""největší hit,"" which originates from the musical ""Starci na chmelu."""
Id2,politics,,,2,"The Ministry of Foreign Affairs of the United States, named Madeleine Albrightová, has an origin country of Mikulov-Les."
Id3,culture,,,3,"The celebration of svátek svatého Mikuláše, which involves rozdávání dárků dětem, takes place on 28-02-1991 in the evening."
Id4,geography,,,1,Březová Zahrada is part of Vltavské Kaskády.
Id5,history,,,4,"The work *literatura*, published by *disidenti* in Mlynářov between 1950 and 2000, was named *samizdat*."
Id6,culture,,,3,"Jan Neruda is associated with Zámostí, has a work called tvorba, and has a life called život."
Id7,geography,,,1,Žabí údolí is located in CHKO Český ráj.
Id8,culture,,,5,"Karel Gott, a Czech singer, received the Zlatý slavík award, with the award count recorded as 08-10-2015, and the Zlatý slavík award is given most frequently."
Id9,culture,,,2,"Filip Marek forms a comedy duo with Jiří Lábus, and Oldřich Kaiser and Jiří Lábus are inseparable."
Id10,geography,,,1,Slníčko nad Rákosím mined the resource uhlí.
Id11,politics,,,1,Ladislav Bureš is a member of ODS.
Id12,history,,,1,Renata Hrdličková founded the Barrandovské filmové ateliéry.
Id13,geography,,,2,Záhořské is 1603 meters high and is part of the Krkonoše.
Id15,history,,,2,"Údolí Vran was demolished for the reason of těžba uhlí, which is a resource type of uhlí."
Id17,geography,,,2,"Říčanský Dvůr is located in the údolí Dřevnice, which is a řeka."
Id18,geography,,,2,Slanská hora is located in Horní Vítkov and is named Slanská hora.
Id19,geography,,,1,The coal mining causes Slníčko nad Rákosím.
Id20,history,,,2,"Třístíčko has a religious minority known as the Židovská menšina, which is a true religious minority."
Id21,geography,,,2,Císařský ostrov is the largest island of Rybářská Lhota and is an ostrov.
Id22,sports,,,1,Nová Lhota is known for hokej.
Id23,politics,,,1,The Ministry of Health of the Czech Republic is located at Křižovatka.
Id24,sports,,,2,"Filip Zelenka owns Sparta, which is a fotbalový klub."
Id26,culture,,,4,"Luboš Rataj is the author of Na samém konci, a poem written on the façade of a house located in the Dutch city of Leiden."
Id27,culture,,,5,"Wilma Havelková is the author of knihy, which feature the characters Ferda Mravenec and Brouk Pytlík, both of whom are inspired by hmyz."
Id28,culture,,,2,"In the film Štěstí, the main actors are Tatiana Vilhelmová and Jakub Bílý."
Id29,sports,,,1,Jarmila Vondrová's nickname is Rudý dědek.
Id30,history,,,3,"Ivan Dvořák, a Czech king, built the Hladová zeď."
Id31,geography,,,2,Sněžka has a height of 299 m n. m.
Id32,culture,,,3,"Erik Staněk received the Státní cena za literaturu award for Citlivý člověk, which is a román."
Id33,geography,,,2,The greatest flood in the Czech Republic occurred in 2002 and lasted for 22 days.
Id34,geography,,,2,Šumavské údolí is the seat of organizací and the center of polské národnostní menšiny.
Id35,geography,,,3,"Frýdek-Místek was formed from 5, 2 cities, and 30."
Id36,history,,,3,"The monument dedicated to American soldiers is located at Chodské náměstí, which is in Kozlíkov."
Id37,culture,,,3,"Lucie Vondrová transforms into Prašivka, a character from Svět Harryho Pottera who is a type of krysa."
Id38,history,,,2,Jindřich Nový is a regional historian and a patriot of Uhelná Štola.
Id39,history,,,1,"The Battle of the White Mountain occurred on February 6, 2022."
Id40,geography,,,2,"Škoda Auto, which is an automobilka, is headquartered in Rakovnický Les."
Id41,culture,,,2,Noc na Karlštejně is a film that was filmed at Petrovka nad Jezerem.
Id42,other,,,2,"Cesta do hlubin študákovy duše is directed by Filip Volejník, who is a režisér."
Id43,geography,,,2,Město Světlo is a river that flows through Trutnov.
Id46,geography,,,2,"Podhůří contains the Železniční muzeum, which is located in Podhůří."
Id48,culture,,,2,"Honzíkova cesta, a children's book, was written by Filip Marek."
Id49,other,,,1,Wilhelm Lüders plays the akordeon.
Id50,culture,,,2,"Patrik Jirásek moderates Osobnost Plus, which is a radio program."
Id52,sports,,,2,Písková Bílá is the center of paragliding and sportovní létání.
Id54,history,,,4,"Significant quantities of bones belonging to mammoths were found in Vykopávky v Přerově, which is located in Bílý Potok."
Id55,geography,,,1,Dřevíkov is located in Národní Park Šumava.
Id56,geography,,,2,"Anděl Páně 2 was filmed in Vesnice u Králu, which is located in Ledč nad Sázavou."
Id57,culture,,,1,Eliška Přibylová popularizes slam poetry.
Id58,geography,,,1,The symbol of Údolí Kamenic is lilii.
Id59,culture,,,1,Město Světlo is associated with the textile industry.
Id60,geography,,,2,"Žatec has the river Lípa nad Vltavou, which flows through Žatec."
Id61,geography,,,1,Stéblo u Vlčích hor is located at the Czech-Slovak-Polish tripoint.
Id62,sports,,,4,"Jaromír Vytopil, a bookbinder from Modrá Lhota, is the oldest and has the longest active tenure."
Id63,geography,,,2,"The river Jizera flows through Břehovice, which has the river Jizera."
Id64,sports,,,2,"The Czech Ice Hockey League, which started its season on 01-01-2025, has a new name from the season called Maxa liga."
Id65,culture,,,3,"Hadí Pole is associated with Hliník, who is a character from Marečku podejte mi pero, a film."
Id66,geography,,,3,Rybník Bezdrev is a rybník in ČR with a rank by size of 12.
Id67,culture,,,1,The postavička Večerníček was authored by Ivan Dvořák.
Id68,geography,,,2,"The rozhledna nad Ústí nad Orlicí, named Stříbrná krasavice, is located in Červený Sklep."
Id69,culture,,,5,"Jana Sklenářová, the author of balady, published the work and requested its musical setting, with the broad public as the target of this request."
Id70,geography,,,2,"Střeliska is located on Praha Děčín, which is a hlavní trati."
Id71,culture,,,1,Žítkovské bohyně was written by Daniel Šťastný.
Id72,geography,,,2,"Svítnice contains Bečovská botanická zahrada, which is located in Svítnice."
Id73,geography,,,2,The river Střelín flows through Havlíčkův Brod.
Id74,geography,,,2,"Teplice has Javorník as its dominant feature, and Javorník is a hora."
Id75,sports,,,3,"The veteran race, held at Modrá Lhota, started in 2002 and occurs regularly."
Id76,culture,,,7,"Luděk Novák, a Czech art historian known for publishing studies on Czech painters including Mánes, Martin Láska, and Machek, founded the artistic group Trasa."
Id77,history,,,4,"Vladimír Přibský, whose real name is Michaela Havelová, was born in Přibyslav and worked as a journalist and dramatist."
Id78,geography,,,2,"The Římskokatolická farnost, named Pravlov, is located in Hradčany-Nové."
Id79,geography,,,1,Rybník Španělák is located in Vesnice u Králu.
Id80,culture,,,3,"Vrásky z lásky was directed by Jiří Strach, starred Radoslav Brzobohatý as the main actor, and featured Boris Někdo as the main actress."
Id81,politics,,,2,Yvona Šimáková is the chairperson of Hnutí Dobrých Proměn.
Id82,other,,,5,"On 14-12-2020, teplická dopravní společnost changed its name to Arriva Teplice and operates městskou hromadnou dopravu, příměstskou hromadnou dopravu, and regionální hromadnou dopravu."
Id83,sports,,,7,"Simona Kašparová is a Czech athlete who specializes in discus throwing, is a multiple champion of the Czech Republic, and holds a personal record of 65.46 meters."
Id84,culture,,,5,"Kamil Hlaváč, a Czech writer and dramatist described as a successor, is the successor of Franz Kafka."
Id85,culture,,,5,Vladimíra Klumparová is a Czech glass artist who resided in Polní Údolí and was active from 1985 to 2003.
Id86,sports,,,3,"The Česká fotbalová liga, also known as the Fortuna Liga, is valid from 2018-01-01 to 27-10-1988."
Id87,history,,,3,Operace Dunaj is a Czech film released on 26-12-1994 about the invasion of Warsaw Pact troops.
Id88,geography,,,2,Krušné hory is a mountain range located in Havraní Háj.
Id89,geography,,,2,Kamenice u Lesa was created by zatopením lomu Most–Ležáky and opened in 2020.
Id90,sports,,,4,"Ondřej Perušič and David Schweiner are part of Qira Veselá, who became a world champion in beach volleyball in 2023."
Id91,culture,,,1,"Jakub Vondráček is the true author of the work ""robot""."
Id92,history,,,1,Nuselský most was previously known by the nickname Stodola.
Id94,history,,,6,"Karel Pospíšil was a Czech chemist, businessman, and industrialist who played a founding role in a Czech company involved in the production and sale of gasoline."
Id95,geography,,,1,Svojkovské skály is located in Uhelná.
Id96,sports,,,4,Ivan Dvořák is a Czech skibobist who holds 12 world champion titles.
Id99,sports,,,2,The Česká basketbalová federace leads the sport of basketbal and operates in Rohov.
Id100,other,,,3,"Jana Sklenářová, who is known by her audience, appears in Na vlastní oči, which is an investigative program."
Id101,history,,,4,"Jindřich Procházka, a Czech historian and politician, was the founder of Matice česká."
Id103,history,,,1,The oldest political party in the Czech lands was founded on 22-10-1990.
Id104,history,,,1,Národní listy was founded by Robert Mraz.
Id105,history,,,1,Podhůří was first mentioned in 1248.
Id106,history,,,4,"Janina Vrbová, a Czechoslovak engineer, contributed to Walter Minor, an aircraft engine."
Id108,history,,,7,"Filip Marek was a Czechoslovak politician, journalist, and feminist who was active from 1918 to 1938 and was executed on June 30, 1942, during the Heydrichiáda."
Id109,politics,,,3,Veronika Bílá is a Czech politician who formerly served as the Minister of Health and is known for her appearance on the competition SuperStar.
Id110,culture,,,6,"The 1969 Czech situational comedy Světáci features actresses Bohdalová, Nina Bělá, and Janžurová, who together form the famous female trio Bohdalová Jirásková Janžurová."
Id112,culture,,,3,"The Czech series Sňatky z rozumu has the theme of české vlastenectví, which is associated with the time period 14-07-2005, and the series addresses the circumstances of tzv. národní obrození."
Id113,geography,,,1,Berounka has Ostrava as its capital.
Id114,history,,,2,"Filip Zelenka has a son named Václav IV, and Václav IV is the son of Filip Zelenka."
Id115,culture,,,7,"Český slavík is the largest annual poll, founded on 29-05-1993, that measures the popularity of české zpěváky, české zpěvačky, and české skupiny."
Id116,geography,,,5,"The Veletržní palác, located in Horní Břehy, is a functionalist building among the first and largest functionalist structures in Prague, originally intended for trade fairs and later serving as the headquarters of foreign trade companies."
Id117,culture,,,4,Výstaviště Praha is the nejstarší veletržní areál located in Údolí Vran and was founded on 1891-01-01.
Id118,history,,,5,"Kateřina Bobková-Valentová, a historian from Pohořelice of Czech nationality, received the Cena rektora UK award for her work ""Každodenní život učitele a žáka jezuitského gymnázia."""
Id119,other,,,4,"Ladislav Bureš, whose occupation is herec, moderates Natočto, a zábavný a soutěžní televizní pořad produced by TV Nova."
Id120,history,,,4,"The Velvet Revolution, a period of political change in Czechoslovakia, took place from November 17, 1989, to June 5, 2010, in Czechoslovakia."
Id121,history,,,4,"The first Czech-language newspaper in America, named Svornost, was founded by Jakub Král and is located in America."
Id123,culture,,,2,"Alena Králová is a singer of the band kapela Mig 21, and kapela Mig 21 has Alena Králová as its singer."
Id124,culture,,,3,"Vojtěch Sebera played the role of Bohouš Šebek in Pelíšky, and he acted in Pelíšky."
Id125,culture,,,2,"Rebel, a pivovar, is located in Střelín."
Id127,culture,,,3,"Rumcajs is a kreslený loupežník associated with Nová Lhota, and his name is Rumcajs."
Id128,culture,,,3,Slunce seno jahody is a comedy directed by Zdeněk Troška and set in Javorové údolí.
Id129,geography,,,3,"The Faculty of Law, which is part of Charles University, is located at Čechův most in Velké Duby."
Id130,geography,,,1,The highest peak of Krkonošský národní park is Pohořelice.
Id131,geography,,,1,Alena Králová was born in Nelahozeves.
Id132,geography,,,1,Nový Dvořákov is located in Plzeňský kraj.
Id133,geography,,,2,"Saskia Vobořilová, who was born in Rychnov nad Kněžnou, is the author of Bylo nás pět."
Id134,geography,,,1,The highest peak of the Orlické hory is Kamenice.
Id135,history,,,1,The Chamber of Deputies of the Parliament of the Czech Republic has its headquarters in Šumavská Lhota.
Id136,geography,,,1,The highest peak of Vysočina is Cukrovin.
Id137,culture,,,3,"The bankovka has a value of 4523, is in the currency Kč, and depicts the person Božena Němcová."
Id138,geography,,,2,Křovíkov is a reservoir located near Babiččino údolí.
Id139,culture,,,2,"Divadlo Semafor is currently located in Sídlo nad Jezerem, which is a municipal quarter."
Id141,geography,,,1,Zlatá Niva is famous for sklářský průmysl.
Id142,geography,,,2,"Rudolfín is part of Punkevní jeskyně, which is a cave complex."
Id143,geography,,,3,Polní Údolí is a natural reserve located in Český ráj and is known for pískovcová skalní města.
Id144,geography,,,2,Baťův kanál connects Písková Louka and Sudoměřice.
Id145,sports,,,3,Zlatá podkova is an event type of jezdecká všestrannost and spřežení that takes place at Lesní Hnízdo.
Id146,geography,,,1,The Muzeum rekordů a kuriozit is located in Slníčko nad Rákosím.
Id147,politics,,,4,Jindřich Vařeka served as starosta of Údolí Kamenic from 2014-01-01 to 2019-12-31.
Id148,geography,,,2,"Svítnice is located in Praha východ, which is a type of okres."
Id149,geography,,,1,The river Tichá Říše flows through Vrchlice.
Id150,other,,,2,Česko uses a pausal rate for expenses of 2501 for jiných nez řemeslných živností.
Id151,culture,,,4,Čeština 2.0 is an internet dictionary founded by Daniel Vydro that collects nové české výrazy and novotvary.
Id153,other,,,2,"Standa Vacek wrote the book Modrá, nikoli zelená planeta."
Id154,geography,,,3,"Lesní Hrádek is an obec located in České Budějovice, which is an okres."
Id155,geography,,,3,"Mlžná Lhota is an obec located in Mělník, which is an okres."
Id156,other,,,3,"The cultivar David is a variety of hrušeň, bred in Česko, and ripens in May 2024."
Id157,culture,,,4,"The artwork Conception/Danae (Početí) by Lukáš Hrubý, which holds the status of the most expensive work of all time, was auctioned in Česká republika for 126500000."
Id158,culture,,,4,The Fotograf Festival is an annual photographic festival held in Stříbrný Doubrav that started in 2011.
Id159,geography,,,3,"Kladníky is an obec located in Uhelná Háj, which is an okres."
Id160,sports,,,4,Jan Šilinger is a Czech football defender who played for FC Vysočina Jihlava in 06-03-1995.
Id161,geography,,,3,"Kostel svaté Heleny, located in Zlaté Hory, Česko, is the only one of its kind."
Id162,geography,,,1,CHKO Český kras is partially located in Střípky u Vzduchu.
Id163,geography,,,2,"Lažany is located in Třebčice, which is a type of okres."
Id164,history,,,4,"The first steam railway in the Czech lands, named the Emperor Ferdinand Northern Railway, is located in Nové Sady and is a type of steam railway."
Id166,culture,,,2,"The Festival Votvírák is held annually at the site of the former Boží Dar military airfield, which is located in Nové Sady."
Id169,geography,,,2,"The Ostrovní Vršek highway passes near the Škoda Auto area in Mladá Boleslav, which is also connected to the Ostrovní Vršek highway."
Id170,other,,,1,Karolína Kroupová is the bass guitarist for the group Katapult.
Id173,geography,,,2,"Zámek Všetaty is located in Klášterní Lhota, which is a district town."
Id174,culture,,,2,The card game Lóra is played in the Czech Republic and is primarily played in the city of Kovárna.
Id175,culture,,,2,Marek Štěpánek is the author of Edison and Signál času.
Id177,culture,,,9,"Maxipes Fík is an animated series from Záhoří that depicts the adventures of Fík, a talking, oversized dog, and Ája, a little girl."
Id179,culture,,,3,"Martin Fialka is the author of Povídky malostranské, a prose work named after the Prague quarter."
Id180,geography,,,3,"Starý Vrch, the northernmost national park in the Czech Republic, is located in the Czech Republic and has the property of being the northernmost."
Id181,culture,,,5,"Devětsil is an umělecký svaz from Česko with a levicový political alignment, active from 24-02-2025 to 1930-12-31."
Id182,culture,,,5,"Anděl Páně is a filmová pohádka from Zámostí, directed by Jiří Strach, released in 2005, with the theme čert a anděl."
Id183,geography,,,3,Černé jezero is a glacial lake located at Sídlo nad Jezerem and holds the rank of the largest.
Id184,geography,,,2,"The Berounka is formed by the confluence of the Mže, Radbuza, Úhlava, and Úslava at Střední Příkop."
Id185,geography,,,3,The Otava is a river located in Stavěná Niva that flows into the Vltava.
Id186,history,,,5,"The famous Battle of Austerlitz took place on December 2, 1805, at the location Křižovatka Zahrad, and involved participants from France and Russia."
Id187,other,,,4,"České dráhy is a železniční dopravce located in Třístíčko, is the největší in size, and was founded by the Ministerstvo dopravy České republiky."
Id188,culture,,,4,"Pedro is a chewing gum produced during socialism in Přístav nad Labem, featuring packaging with a character of a boy in a sombrero."
