eid,category,shape,shape_type,size,kind,subject,predicate,object
Id0,culture,NA,NA,1,original,Karel_Plíhal,composedFor,Moravské_divadlo_Olomouc
Id1,culture,NA,NA,3,original,Jana_Petrů,hasHit,největší_hit
Id1,culture,NA,NA,3,original,největší_hit,originatesFrom,Starci_na_chmelu
Id1,culture,NA,NA,3,original,Starci_na_chmelu,isType,muzikál
Id2,politics,NA,NA,2,original,Ministryně_zahraničí_Spojených_států,originCountry,Česko
Id2,politics,NA,NA,2,original,Ministryně_zahraničí_Spojených_států,name,Madeleine_Albrightová
Id3,culture,NA,NA,3,original,svátek_svatého_Mikuláše,associatedWith,rozdávání_dárků_dětem
Id3,culture,NA,NA,3,original,svátek_svatého_Mikuláše,celebrationDate,2026-12-05
Id3,culture,NA,NA,3,original,svátek_svatého_Mikuláše,celebrationTime,večer
Id4,geography,NA,NA,1,original,Vodní_nádrž_Slapy,isPartOf,Vltavské_Kaskády
Id5,history,NA,NA,4,original,literatura,publishedBy,disidenti
Id5,history,NA,NA,4,original,literatura,location,území_Čech
Id5,history,NA,NA,4,original,literatura,timePeriod,1950-01-01_2000-12-31
Id5,history,NA,NA,4,original,literatura,namedAs,samizdat
Id6,culture,NA,NA,3,original,Jan_Neruda,associatedWith,Malá_Strana
Id6,culture,NA,NA,3,original,Jan_Neruda,hasWork,tvorba
Id6,culture,NA,NA,3,original,Jan_Neruda,hasLife,život
Id7,geography,NA,NA,1,original,Prachovské_skály,locatedIn,CHKO_Český_ráj
Id8,culture,NA,NA,5,original,Karel_Gott,nationality,český
Id8,culture,NA,NA,5,original,Karel_Gott,profession,zpěvák
Id8,culture,NA,NA,5,original,Karel_Gott,award,Zlatý_slavík
Id8,culture,NA,NA,5,original,Karel_Gott,awardCount,1
Id8,culture,NA,NA,5,original,Zlatý_slavík,awardFrequency,nejvíckrát
Id9,culture,NA,NA,2,original,Oldřich_Kaiser,formsComedyDuoWith,Jiří_Lábus
Id9,culture,NA,NA,2,original,Oldřich_Kaiser_Jiří_Lábus,areInseparable,true
Id10,geography,NA,NA,1,original,Kladensko,minedResource,uhlí
Id11,politics,NA,NA,1,original,Miroslava_Němcová,isMemberOf,ODS
Id12,history,NA,NA,1,original,Barrandovské_filmové_ateliéry,founder,Miloš_Havel
Id13,geography,NA,NA,2,original,Nejvyšší_bod_Krkonoš,height,1603
Id13,geography,NA,NA,2,original,Nejvyšší_bod_Krkonoš,partOf,Krkonoše
Id14,history,NA,NA,1,original,Bitva_u_Slavkova,occurredDuring,Napoleonské_války
Id15,history,NA,NA,2,original,historické_město_Most,reasonForDemolition,těžba_uhlí
Id15,history,NA,NA,2,original,těžba_uhlí,resourceType,uhlí
Id16,culture,NA,NA,6,original,znak_města_Třebíč,consistsOf,štít
Id16,culture,NA,NA,6,original,štít,hasDivision,tři_vodorovná_pole
Id16,culture,NA,NA,6,original,horní_pole,hasColor,červená
Id16,culture,NA,NA,6,original,dolní_pole,hasColor,červená
Id16,culture,NA,NA,6,original,střední_pole,hasColor,bílá
Id16,culture,NA,NA,6,original,střední_pole,contains,tři_černé_benediktinské_kápě
Id17,geography,NA,NA,2,original,Zlín,location,údolí_Dřevnice
Id17,geography,NA,NA,2,original,Dřevnice,type,řeka
Id18,geography,NA,NA,2,original,Slanská_hora,locatedIn,Slaný
Id18,geography,NA,NA,2,original,Slanská_hora,name,Slanská_hora
Id19,geography,NA,NA,1,original,těžba_uhlí,causes,problémy_v_Karviné
Id20,history,NA,NA,2,original,Kolín,hasReligiousMinority,Židovská_menšina
Id20,history,NA,NA,2,original,Židovská_menšina,isReligiousMinority,true
Id21,geography,NA,NA,2,original,Císařský_ostrov,isLargestIslandOf,Praha
Id21,geography,NA,NA,2,original,Císařský_ostrov,islandType,ostrov
Id22,sports,NA,NA,1,original,Kladno,knownFor,hokej
Id23,politics,NA,NA,1,original,Ministerstvo_zdravotnictví_České_republiky,hasLocation,Palackého_náměstí
Id24,sports,NA,NA,2,original,Petr_Mach,owns,Sparta
Id24,sports,NA,NA,2,original,Sparta,isA,fotbalový_klub
Id25,culture,NA,NA,2,original,Granát_Turnov,produces,šperky
Id25,culture,NA,NA,2,original,šperky,gemstone,české_granáty
Id26,culture,NA,NA,4,original,J._H._Krchovský,authorOf,Na_samém_konci
Id26,culture,NA,NA,4,original,Na_samém_konci,type,báseň
Id26,culture,NA,NA,4,original,Na_samém_konci,writtenOn,fasáda_domu
Id26,culture,NA,NA,4,original,fasáda_domu,location,nizozemské_město_Leiden
Id27,culture,NA,NA,5,original,Ondřej_Sekora,authorOf,knihy
Id27,culture,NA,NA,5,original,knihy,featuresCharacter,Ferda_Mravenec
Id27,culture,NA,NA,5,original,knihy,featuresCharacter,Brouk_Pytlík
Id27,culture,NA,NA,5,original,Ferda_Mravenec,inspiredBy,hmyz
Id27,culture,NA,NA,5,original,Brouk_Pytlík,inspiredBy,hmyz
Id28,culture,NA,NA,2,original,film_Štěstí,hasMainActor,Tatiana_Vilhelmová
Id28,culture,NA,NA,2,original,film_Štěstí,hasMainActor,Pavel_Liška
Id29,sports,NA,NA,1,original,Zdeněk_Nejedlý,nickname,Rudý_dědek
Id30,history,NA,NA,3,original,Karel_IV,nationality,český
Id30,history,NA,NA,3,original,Karel_IV,title,král
Id30,history,NA,NA,3,original,Karel_IV,built,Hladová_zeď
Id31,geography,NA,NA,2,original,Sněžka,height,1603
Id31,geography,NA,NA,2,original,Sněžka,heightUnit,m_n._m.
Id32,culture,NA,NA,3,original,Jáchym_Topol,receivedAward,Státní_cena_za_literaturu
Id32,culture,NA,NA,3,original,Jáchym_Topol,awardReason,Citlivý_člověk
Id32,culture,NA,NA,3,original,Citlivý_člověk,isA,román
Id33,geography,NA,NA,2,original,Největší_povodeň_v_ČR,occurredInYear,2002
Id33,geography,NA,NA,2,original,Největší_povodeň_v_ČR,timeSpan,Posledních_100_let
Id34,geography,NA,NA,2,original,Český_Těšín,isSeatOf,organizací
Id34,geography,NA,NA,2,original,Český_Těšín,isCenterOf,polské_národnostní_menšiny
Id35,geography,NA,NA,3,original,Frýdek-Místek,formedFrom,5
Id35,geography,NA,NA,3,original,Frýdek-Místek,formedFrom,2_města
Id35,geography,NA,NA,3,original,Frýdek-Místek,formedFrom,3_obce
Id36,history,NA,NA,3,original,Pomník,dedicatedTo,Americkým_vojákům
Id36,history,NA,NA,3,original,Pomník,locatedAt,Chodské_náměstí
Id36,history,NA,NA,3,original,Chodské_náměstí,locatedIn,Plzeň
Id37,culture,NA,NA,3,original,Prašivka,isCharacterFrom,Svět_Harryho_Pottera
Id37,culture,NA,NA,3,original,Peter_Pettigrew,transformsInto,Prašivka
Id37,culture,NA,NA,3,original,Prašivka,isTypeOf,krysa
Id38,history,NA,NA,2,original,Jindřich_Nový,isA,regionální_historik
Id38,history,NA,NA,2,original,Jindřich_Nový,isPatriotOf,Karlovy_Vary
Id39,history,NA,NA,1,original,Bitva_na_Bílé_hoře,yearOfEvent,1620
Id40,geography,NA,NA,2,original,Škoda_Auto,headquarteredIn,Mladá_Boleslav
Id40,geography,NA,NA,2,original,Škoda_Auto,isA,automobilka
Id41,culture,NA,NA,2,original,Noc_na_Karlštejně,filmingLocation,Karlštejn
Id41,culture,NA,NA,2,original,Noc_na_Karlštejně,isA,film
Id42,other,NA,NA,2,original,Cesta_do_hlubin_študákovy_duše,directedBy,Martin_Frič
Id42,other,NA,NA,2,original,Martin_Frič,occupation,režisér
Id43,geography,NA,NA,2,original,Trutnov,hasRiver,Úpa
Id43,geography,NA,NA,2,original,Úpa,flowsThrough,Trutnov
Id44,other,NA,NA,2,original,Měsíční_časopis,intendedFor,školáky_a_předškoláky
Id44,other,NA,NA,2,original,Měsíční_časopis,namedAfter,mateřídouška
Id45,other,NA,NA,1,original,Časopis_Vesmír,informsAbout,věda
Id46,geography,NA,NA,2,original,Lužná_u_Rakovníka,contains,Železniční_muzeum
Id46,geography,NA,NA,2,original,Železniční_muzeum,locatedIn,Lužná_u_Rakovníka
