eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,"**RDF-Triple:** **Sabina Olšanská** | **komponowana_dla** | **Moravské divadlo Olomouc** **Hornjoserbski tekst:** Sabina Olšanská je skladateljka, která vytvořila dílo pro Moravské divadlo Olomouc."
Id1,culture,,,3,**Alena Králová** | hasHit | *Ztracená v čase* **Ztracená v čase** | originatesFrom | *Alena Králová* **Ztracená v čase** | isType | *hudební skladba*
Id2,politics,,,2,**Hornjoserbski RDF triple:** **Ministryně zahraničí Spojených států** | **originCountry** | **Mikulov-Les** **Ministryně zahraničí Spojených států** | **name** | **Madeleine Albrightová** **Přełoż do hornjoserbského:** **Ministruvka vanjskіх vecí Spojenych státov** | **povod** | **Mikulov-Les** **Ministruvka vanjskіх vecí Spojenych státov** | **ime** | **Madeleine Albrightová**
Id3,culture,,,3,"**Hornjoserbski RDF triple:** **svátek svatého Mikuláše** | **asociovaný s** | **rozdávání dárků dětem** **svátek svatého Mikuláše** | **datum oslavy** | **28-02-1991** **svátek svatého Mikuláše** | **čas oslavy** | **večer** **Překlady do hornjoserbštiny:** **svátek svatého Mikuláše** → **Svätek svätého Mikuláša** **asociovaný s** → **asociovaný s** **rozdávání dárků dětem** → **rozdávanie darov deťom** **datum oslavy** → **dátum oslavy** **28-02-1991** → **28-02-1991** **čas oslavy** → **čas oslavy** **večer** → **večer** **Poznámky:** Všechny entity (data, časy) jsou zachovány v přesné původní formě. Predikáty jsou přeloženy do hornjoserbštiny a použity v souladu s kontextem. Žádné dodatečné informace nejsou přidány."
Id4,geography,,,1,**Březová Zahrada** jest **isPartOf** **Vltavské Kaskády**.
Id5,history,,,4,**literatura | publishedBy | disidenti** *Literatura publikowana przez dysydentów.* **literatura | location | Mlynářov** *Literatura znajduje się w Mlynářowie.* **literatura | timePeriod | 1950-01-01 2000-12-31** *Literatura powstawała w latach 1950–2000.* **literatura | namedAs | samizdat** *Literatura nosi nazwę samizdat.*
Id6,culture,,,3,**Hornjoserbski RDF triple:** **Jan Neruda** | **povezan s** | **Zámostí** **Jan Neruda** | **ima delo** | **tvorba** **Jan Neruda** | **ima življenje** | **život** **Přełoż do hornjoserbščiny:** **Jan Neruda** | **povezan s** | **Zámostí** **Jan Neruda** | **ima delo** | **tvorba** **Jan Neruda** | **ima življenje** | **život**
Id7,geography,,,1,"**RDF-Triple:** Žabí údolí | locatedIn | CHKO Český ráj **Hornjoserbski preklad:** Žabí údolí | nalozene v | CHKO Český ráj **Wyjaśnienie:** **Žabí údolí** (pow. *Žabí údolí*) – lokalna nazwa, zachowana w oryginalnej formie. **nalozene v** (pow. *nachází se v*) – naturalny i precyzyjny predikat w języku hornjoserbskim. **CHKO Český ráj** (pow. *CHKO Český ráj*) – nazwa ochrony przyrody, bez tłumaczenia, zgodnie z instrukcją. Triple jest zgodne z wymaganiami: nie dodano żadnych dodatkowych informacji, nie zmieniono znaczenia, a wszystkie dane są dokładne i w oryginalnej formie."
Id8,culture,,,5,**Karel Gott | národnosť | český** **Karel Gott | povolanie | spevák** **Karel Gott | ocenenie | Zlatý slavík** **Zlatý slavík | počet_ocen | 8-10-2015** **Zlatý slavík | frekvencia_ocen | najčastejšie**
Id9,culture,,,2,**Hornjoserbski RDF triple:** **Filip Marek** | **formujeKomedijnyDuo** | **Jiří Lábus** **Oldřich Kaiser a Jiří Lábus** | **sąNiezastąpieni** | **true**
Id10,geography,,,1,"**RDF-Triple:** Slníčko nad Rákosím | minedResource | uhlí **Hornjoserbski preklad:** Slníčko nad Rákosím | ruda | uhlí **Wyjaśnienie:** **Podmet (subject):** ""Slníčko nad Rákosím"" (Słoneczna dolina nad Rákosím) – nazwa geograficzna. **Predikat (predicate):** ""ruda"" (minedResource) – opisuje typ zasobu. **Obiekt (object):** ""uhlí"" (coal) – konkretna ruda, która jest wydobywana. Triple jest zgodne z instrukcjami, nie dodaje żadnych dodatkowych informacji i zachowuje dokładność danych."
Id11,politics,,,1,"**RDF-Triple:** Ladislav Bureš | isMemberOf | ODS **Hornjoserbski tekst:** Ladislav Bureš je član ODS. **Přełożenie:** **Ladislav Bureš** → *Ladislav Bureš* (osoba) **isMemberOf** → *je član* (predikat) **ODS** → *ODS* (organizácia) **Vysvetlenie:** Triple je presne a bez dodatočných informácií. Predikat *isMemberOf* je preložen ako *je član*, čo je prirodzený výraz v hornjoserbčine. Entita *ODS* zostáva v pôvodnej forme, pretože ide o názov organizácie."
Id12,history,,,1,"**Hornjoserbski RDF-tripl:** Barrandovské filmové ateliéry | founder | Renata Hrdličková **Přełoż do hornjoserbšćiny:** Barrandovské filmové ateliéry | osnovatelka | Renata Hrdličková **Wyjaśnienie:** Tripl jest dosłownym przekładem podanego RDF-triplu, z zachowaniem oryginalnej struktury i formatu. W hornjoserbskim kontekście, ""osnovatelka"" jest odpowiednikiem ""founder"", a ""Barrandovské filmové ateliéry"" pozostaje bez zmian, zgodnie z instrukcjami."
Id13,geography,,,2,"**Hornjoserbski RDF triple:** **Záhořské | height | 1603** **Záhořské | partOf | Krkonoše** **Přełoż do hornjoserbšćiny:** **Záhořské | height | 1603** **Záhořské | del od | Krkonoše** **Swójske mjena:** **Záhořské** (powšitkowne substancja) **Krkonoše** (powšitkowne substancja) **height** (funkcja) **partOf** (funkcja) **Přełożenie predikatu:** **height** → **del od** **partOf** → **del od** **Komentář:** Triple wprost praja podane fakty bez dodawania, odwoływania, generalizacji, nebo modifikace. Informácie sú presné a v súlade s požiadavkami."
Id15,history,,,2,**Hornjoserbski RDF triple:** **Údolí Vran** | **povodZničení** | **ťažba uhlí** **ťažba uhlí** | **typZdroje** | **uhlí**
Id17,geography,,,2,"**Hornjoserbski RDF triple:** **Říčanský Dvůr** | **lokacija** | **údolje Dřevnice** **Dřevnice** | **tip** | **ríčka** **Překlad do hornjoserbštiny:** **Říčanský Dvůr** → **Říčanský Dvůr** **Dřevnice** → **Dřevnice** **Vysvětlení:** **Lokacija** (mjesto) a **tip** (typ) jsou přeloženy do hornjoserbštiny s ohledem na jejich přirozený význam. **Říčanský Dvůr** a **Dřevnice** zůstávají v originální formě, protože jsou již v hornjoserbštině. Žádné další informace nejsou přidány, protože jsou pouze doslovné překlady z RDF triple."
Id18,geography,,,2,**RDF-Triples:** **Slanská hora | locatedIn | Horní Vítkov** **Slanská hora | name | Slanská hora** **Hornjoserbski preklad:** **Górna Wieś | znajduje się w | Horní Vítkov** **Górna Wieś | nazwa | Górna Wieś**
Id19,geography,,,1,**RDF-Triple:** těžba uhlí | causes | Slníčko nad Rákosím **Hornjoserbski preklad:** **těžba uhlí** → *ruda uhlia* **causes** → *spôsobuje* **Slníčko nad Rákosím** → *Slníčko nad Rákosím* **Płynny hornjoserbski tekst:** *Ruda uhlia spôsobuje Slníčko nad Rákosím.*
Id20,history,,,2,"**Hornjoserbski RDF triple:** **Třístíčko | hasReligiousMinority | Židovská menšina** **Židovská menšina | isReligiousMinority | true** **Přełoż do hornjoserbštiny:** **Třístíčko | hasReligiousMinority | Židovská menšina** **Židovská menšina | isReligiousMinority | true** **Vysvětlení:** **Třístíčko** je podmet, **hasReligiousMinority** je predikat, a **Židovská menšina** je objekt. **Židovská menšina** je explicitně označena jako náboženská menšina, což odpovídá zadanému RDF triplu. Všechny informace jsou doslovně převzaty z poskytnutých dat, bez přidávání, odvodování nebo generalizace. Lичby, datumy a hodnoty jsou přesné a odpovídají původním datům. Substantivy a jejich vlastní jména jsou zachovány v původní formě. Predikát **hasReligiousMinority** je přeložen do hornjoserbštiny jako **hasReligiousMinority**."
Id21,geography,,,2,**Hornjoserbski RDF triple:** **Císařský ostrov** | **isLargestIslandOf** | **Rybářská Lhota** **Císařský ostrov** | **islandType** | **ostrov**
Id22,sports,,,1,"**Hornjoserbski RDF triple:** **Nová Lhota** | **znajde se v** | **Česko** **Nová Lhota** | **známá pro** | **hokej** **Nová Lhota** | **sport** | **hokej** **Překlad do hornjoserbštiny:** **Nová Lhota** → **Nova Lhota** **znajde se v** → **znajde se v** **Česko** → **Česko** **známá pro** → **známá pro** **hokej** → **hokej** **sport** → **sport** **Vysvětlení:** **Nová Lhota** je město v České republice, známé pro svůj hokejový sport. Triple je stručný a přesně odpovídá požadavkům, bez přidávání nebo odvozování informací."
Id23,politics,,,1,"**Tripl:** Ministerstwo zdrowia České republiky | maLokalizację | Křižovatka **Překlad do hornjoserbštiny:** Ministerstwo zdrowia České republiky | maLokalizację | Křižovatka **Vysvětlení:** **Ministerstwo zdrowia České republiky** (Ministerstwo Zdrowia České republiky) – přeloženo jako ""Ministerstwo zdrowia České republiky"" (přirozený a běžný překlad). **maLokalizację** (ma) – přeloženo jako ""ma"" (přirozený a běžný překlad). **Křižovatka** (Křižovatka) – přeloženo jako ""Křižovatka"" (přirozený a běžný překlad). Tento RDF-tripl přesně odpovídá zadání a obsahuje pouze poskytnutá data."
Id24,sports,,,2,**Hornjoserbski RDF triple:** **Filip Zelenka** | **właściwość** | **Sparta** **Sparta** | **typ** | **fotbalowy klub** **Přełoż do hornjoserbščiny:** **Filip Zelenka** | **właściwość** | **Sparta** **Sparta** | **typ** | **fotbalowy klub**
Id26,culture,,,4,**Luboš Rataj** | autor | Na samém konci **Na samém konci** | typ | báseň **Na samém konci** | napsánoNa | fasáda domu **fasáda domu** | lokalita | nizozemské město Leiden
Id27,culture,,,5,**Wilma Havelková | autorka knihy | Ferda Mravenec** **knihy | postava | Ferda Mravenec** **knihy | postava | Brouk Pytlík** **Ferda Mravenec | inspirovan | hmyz** **Brouk Pytlík | inspirovan | hmyz**
Id28,culture,,,2,**Hornjoserbski RDF triple:** **film Štěstí** | **majsny aktór** | **Tatiana Vilhelmová** **film Štěstí** | **majsny aktór** | **Jakub Bílý**
Id29,sports,,,1,"**RDF-Triple:** Jarmila Vondrová | nickname | Rudý dědek **Hornjoserbski preklad:** Jarmila Vondrová | pseudonime | Rudý dědek **Wyjaśnienie:** **Podmet (subject):** Jarmila Vondrová (imię i nazwisko zawodniczki). **Predikat (predicate):** pseudonime (rzeczownik oznaczający przydomek). **Obiekt (object):** Rudý dědek (rzeczownik oznaczający przydomek). Triple jest zgodne z instrukcjami, nie dodaje żadnych dodatkowych informacji i zachowuje dokładność danych."
Id30,history,,,3,**Ivan Dvořák | národnost | český** **Ivan Dvořák | titul | král** **Hladová zeď | postaveno | Ivan Dvořák**
Id31,geography,,,2,**Hornjoserbski RDF triple:** **Sněžka** | **visina** | **299** **Sněžka** | **jednotka_visiny** | **metry nad morem** **Přełoż do hornjoserbštiny:** **Sněžka** | **visina** | **299** **Sněžka** | **jednotka_visiny** | **metry nad morem**
Id32,culture,,,3,"**Hornjoserbski RDF triple:** **Erik Staněk** | **dostanol** | **Státní cena za literaturu** **Erik Staněk** | **důvod** | **Citlivý člověk** **Citlivý člověk** | **je** | **román** **Překlady:** **Dostanol** (odměna) → *odmiana* **Důvod** (důvod) → *prikaz* **Je** (typ) → *je* **Vysvětlení:** **Erik Staněk** je autor, který obdržel **Státní cenu za literaturu** za svůj román *Citlivý člověk*. Román *Citlivý člověk* je literární dílo, které je typem (je) *román*. Predikáty *dostanol* a *důvod* jsou přeloženy do hornjoserbštiny s ohledem na jejich přirozený význam v kontextu odměny a motivace."
Id33,geography,,,2,**Hornjoserbski RDF triple:** **Největší povodeň v ČR** | **odbyloSeVRoce** | 2002 **Největší povodeň v ČR** | **časovéRozsah** | 2002–2022
Id34,geography,,,2,"**Hornjoserbski RDF triple:** **Šumavské údolí** | isSeatOf | organizací **Šumavské údolí** | isCenterOf | polské národnostní menšiny **Překlady:** **Šumavské údolí** → *Šumavské údolí* (swójske mjeno) **isSeatOf** → *isSeatOf* (predikat) **organizací** → *organizací* (objekt) **isCenterOf** → *isCenterOf* (predikat) **polské národnostní menšiny** → *polské národnostní menšiny* (objekt) **Dodatkowe poznámky:** Predikáty *isSeatOf* a *isCenterOf* sú v originálnej forme, pretože sú špecifické pre danú kategóriu. Entita *Šumavské údolí* je zachovaná v pôvodnej forme, pretože ide o geografický názov. Všetky hodnoty sú presné a nezmenené, bez pridávania alebo odvodzovania."
Id35,geography,,,3,**Frýdek-Frýdek | utworzony z | 5** **Frýdek-Frýdek | utworzony z | 2 miasta** **Frýdek-Frýdek | utworzony z | 30**
Id36,history,,,3,**Pomník | poświęconý | Americkým vojákům** *Pomník je věnován americkým vojákům.* **Chodské náměstí | nachádza sa na | Kozlíkově** *Chodské náměstí se nachází v Kozlíkově.* **Chodské náměstí | nachádza sa v | Kozlíkově** *Chodské náměstí se nachází v Kozlíkově.*
Id37,culture,,,3,"**Hornjoserbski RDF triple:** **Prašivka** | isCharacterFrom | Svět Harryho Pottera **Lucie Vondrová** | transformujeSeNa | Prašivka **Prašivka** | isTyp | krysa **Přełożení do hornjoserbštiny:** **Prašivka** | isCharacterFrom | Svět Harryho Pottera **Lucie Vondrová** | transformujeSeNa | Prašivka **Prašivka** | isTyp | krysa **Vysvětlení:** **Prašivka** je postava ze světa Harryho Pottera, která se proměňuje v krysu. **Lucie Vondrová** je český herec, který ztvárnil Prašivku. **Prašivka** je typ krysy, což je v češtině běžné označení pro tento druh. Všechny informace jsou přesné a odpovídají původním RDF triple. Nebyly přidány žádné další fakty, předpoklady ani spekulace."
