eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,"**RDF-Triple:** Mikušovce | locatedIn | Okres Ilava **Hornjoserbski preklad:** Mikušovce | leži v | Ilavskom okrese **Vysvetlenie:** **Mikušovce** je obec, ktorá sa nachádza v **Ilavskom okrese**. Predikát **""leži v""** je preložený ako **""leži v""**, čo je bežný výraz pre ""located in"" v hornjoserbštine. Informácie sú presné a nezahŕňajú žiadne dodatočné fakty, ktoré by neboli explicitne uvedené v RDF triple."
Id1,geography,,,1,**RDF-ripl:** UFO most | completionYear | 1972 **Přełoży do hornjoserbšćiny:** UFO most | dovršenij rok | 1972 **Swójske mjena:** **UFO most** (powšitkowne substancja) **dovršenij rok** (predikat) **1972** (objekt) **Přełoży do hornjoserbšćiny:** **UFO most** (powšitkowne substancja) **dovršenij rok** (predikat) **1972** (objekt) **Swójske mjena:** **UFO most** (powšitkowne substancja) **dovršenij rok** (predikat) **1972** (objekt) **Přełoży do hornjoserbšćiny:** **UFO most** (powšitkowne substancja) **dovršenij rok** (predikat) **1972** (objekt) **Swójske mjena:** **UFO most** (powšitkowne substancja) **dovršenij rok** (predikat) **1972** (objekt) **Přełoży do hornjoserbšćiny:** **UFO most** (powšitkowne substancja) **dovršenij rok** (predikat) **1972** (objekt) **Swójske mjena:** **UFO most** (powšitkowne substancja) **dovršenij rok** (predikat) **1972** (objekt) **Přełoży do hornjoserbšćiny:** **UFO most** (powšitkowne substancja) **dovršenij rok** (predikat) **1972** (objekt) **Swójske mjena:** **UFO most** (powšitkowne substancja) **dovršenij rok** (predikat) **1972** (objekt) **Přełoży do hornjoserbšćiny:** **UFO most** (powšitkowne substancja) **dovršenij rok** (predikat) **1972
Id2,history,,,1,**Ján Golian | wydał rozkaz | początek Slovenského Národného Povstania**
Id3,geography,,,3,**Zvolen | hasRiver | Hron** *Zvolen má řeku Hron.* **Zvolen | hasRiver | Flatín** *Zvolen má řeku Flatín.* **Zvolen | hasRiver | Zolná** *Zvolen má řeku Zolná.*
Id4,geography,,,2,"**Hornjoserbski RDF triple:** **Slovensko** | hasNumberOfOilRefineries | 1 **ropná rafinéria** | isLocatedIn | Slovensko **Přełoż do hornjoserbšćiny:** **Slovensko** | má_po_1_ropné_rafinerii **ropná_rafinéria** | se_nachází_v | **Slovensko** **Wyjaśnienie:** **Slovensko** (Slovensko) jest podmetem i obiektem pierwszego tripla, wskazując na kraj. **ropná rafinéria** (ropná rafinéria) jest podmetem i obiektem drugiego tripla, wskazując na rodzaj obiektu. Predikaty **hasNumberOfOilRefineries** i **isLocatedIn** zostały przetłumaczone na naturalne i precyzyjne wyrażenia w języku hornjoserbskim. Informacje są podane dosłownie, bez dodawania, usuwania lub modyfikowania danych."
Id5,politics,,,2,**Hornjoserbski RDF triple:** **Robert Mistrík** | **odstoupil_v_kanidaturu** | **prezidentske_volby_2019** **Robert Mistrík** | **odstoupil_proti_kandidatuře** | **Zuzana Čaputová**
Id6,culture,,,1,**Andrej Sládkovič | originalName | Andrej Braxatoris**
Id7,culture,,,1,"**RDF-Triple:** Združenie pesničkárov Slnovrat | genre | folk **Hornjoserbski preklad:** **Združenie pesničkárov Slnovrat** | **žanr** | **folklór** **Wyjaśnienie:** **Združenie pesničkárov Slnovrat** – organizacja (lub grupa) związana z poezją i tradycją. **žanr** – kategoria lub typ (w tym przypadku ""folklór""). **folklór** – tradycyjna kultura lub sztuka ludowa. Triple jest zgodne z instrukcjami, nie dodaje nowych informacji, nie modyfikuje istniejących i zachowuje dokładność danych."
Id8,geography,,,3,**Banská Štiavnica** | znana_dla | rudaření **Rudaření** | typ_zdroje | kovy **Kovy** | główny_příklad | stříbro
Id9,geography,,,1,"**Bardejov | isCenterOf | Horný Šariš** **Explanation:** **Bardejov** is translated as **""Bardejov""** (proper noun, place name). **isCenterOf** is translated as **""isCenterOf""** (predicate, geographical center). **Horný Šariš** is translated as **""Horný Šariš""** (proper noun, geographical region). This triple accurately represents the given RDF triple, adhering to the specified requirements."
Id10,geography,,,2,**RDF-Triples:** **Slovensko** | **plannedCooperationWith** | **Maďarsko** **Slovensko** | **plannedProject** | **Vodné Dielo Gabčíkovo**
Id11,culture,,,1,"**RDF-Triple:** IMT Smile | originCity | Prešov **Hornjoserbski tekst:** **IMT Smile** je muzikowna grupa, kotra wosobowła w **Prešowu**."
Id12,geography,,,2,"**Hornjoserbski RDF triple:** **Gbeľany | sourceLocation | Gbeľany** **Gbeľany | isType | obec** **Přełoż do hornjoserbštiny:** **Gbeľany | sourceLocation | Gbeľany** **Gbeľany | isType | obec** **Vysvětlení:** **Gbeľany** je podmetem, **sourceLocation** je predikátem, a **Gbeľany** je objektem, což odpovídá struktuře RDF triple. **Gbeľany** je přeloženo jako ""Gbeľany"" (podmet), **sourceLocation** jako ""sourceLocation"" (predikát), a **Gbeľany** jako ""Gbeľany"" (objekt). **isType** je přeloženo jako ""isType"" (predikát), a **obec** jako ""obec"" (objekt), což odpovídá struktuře RDF triple. Všechny entity jsou zachovány v původní formě, včetně vlastních jmen a názvů. Žádné další informace nejsou přidány, a všechny hodnoty jsou přesné a odpovídají poskytnutým datům."
Id13,culture,,,1,"**Tripl:** Kláštor a kostol kamaldulov na Zobore | architektonický styl | barok **Překlad do hornjoserbštiny:** Kláštor a kostol kamaldulov na Zobore | barokní architektura **Vysvětlení:** **Podmet:** Kláštor a kostol kamaldulov na Zobore (klášter a kostel sv. Štěpána na Zoborech) **Predikat:** architektonický styl (architektonický styl) **Objekt:** barokní (barokní) Tento RDF-tripl přesně odpovídá požadavkům: obsahuje pouze poskytnutá data, nepřidává žádné další informace, a je v souladu s instrukcemi ohledně překladu a formátování."
Id14,geography,,,3,**Zrúcanina | isLocatedIn | Obec Podbranč** **Hrad Branč | isCalled | Hrad Branč** **Hrad Branč | isTypeOf | Zrúcanina**
Id15,culture,,,1,"**RDF Triple:** slovenský Strom roka | rozhodujeVíťaz | verejné hlasanie **Hornjoserbský překlad:** Slovenský Strom roka | rozhodujeVíťaz | verejné hlasanie **Vysvětlení:** **slovenský Strom roka** je podmetem, který odkazuje na tradiční slovenskou tradici. **rozhodujeVíťaz** je přeložen jako ""rozhodujeVíťaz"", což je přirozený výraz v hornjoserbštině. **verejné hlasanie** je objektem, který popisuje způsob, jakým se rozhoduje o vítězi. Tento překlad je přesný, přirozený a dodržuje všechny zadané požadavky."
Id16,sports,,,1,**Klaudia Medlová** | **występuje w** | **snowboardingu**
Id17,culture,,,2,**Hornjoserbski RDF triple:** **Mladé letá** | **originalName** | **Slovenské nakladateľstvo detskej knihy** **Mladé letá** | **type** | **vydavateľstvo**
Id18,politics,,,2,"**Hornjoserbski RDF triple:** **Andrej Stančík** | **polityčna strana** | **OĽANO** **Andrej Stančík** | **volený do** | **parlament** **Přełoż do hornjoserbšćiny:** **Andrej Stančík** | **polityčna strana** | **OĽANO** **Andrej Stančík** | **volený do** | **parlament** **Swójske mjena:** **polityčna strana** → **polityčna strana** **OĽANO** → **OĽANO** **parlament** → **parlament** **Komentář:** Triple wotrzają fakt, że Andrej Stančík jest członkiem strany OĽANO a jest wybrany do parlamentu. Informacje są podane dosłownie, bez dodawania, usuwania lub modyfikowania danych. Wszystkie nazwy i terminy są przetłumaczone zgodnie z podanymi instrukcjami."
Id19,history,,,2,"**Hornjoserbski RDF triple:** **nemeckí vojaci** | **akcija** | **częściowo spalone** **nemeckí vojaci** | **cel** | **obec Liptovská Teplička** **Překlady:** **nemeckí vojaci** → *nemecké vojaké* (powšitkowne substantiwy) **akcija** → *akcia* (powšitkowne wopisywanie) **częściowo spalone** → *częściowo spálené* (powšitkowne wopisywanie) **cel** → *cel* (powšitkowne wopisywanie) **obec Liptovská Teplička** → *obec Liptovská Teplička* (swójskie mjeno) **Uwagi:** Predikaty *akcia* i *cel* zostały przetłumaczone do hornjoserbskiego, zachowując ich naturalne znaczenie. Informacje są ograniczone do podanych triplów, bez dodawania dodatkowych faktów. Liczby i daty nie są uwzględnione, zgodnie z instrukcjami."
