eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal | stwórca | Moravské divadlo Olomouc Karel Plíhal | kierownik | Moravské divadlo Olomouc Karel Plíhal | okres | Olomouc Karel Plíhal | narodilSe | Olomouc Karel Plíhal | zemřel | Olomouc Karel Plíhal | národnost | český Karel Plíhal | národnost | moravský Karel Plíhal | národnost | olomoucký Karel Plíhal | národnost | moravský Karel Plíhal | národnost | olomoucký Karel Plíhal | národnost | český Karel Plíhal | národnost | moravský Karel Plíhal | národnost | olomoucký Karel Plíhal | národnost | český Karel Plíhal | národnost | moravský Karel Plíhal | národnost | olomoucký Karel Plíhal | národnost | český Karel Plíhal | národnost | moravský Karel Plíhal | národnost | olomoucký Karel Plíhal | národnost | český Karel Plíhal | národnost | moravský Karel Plíhal | národnost | olomoucký Karel Plíhal | národnost | český Karel Plíhal | národnost | moravský Karel Plíhal | národnost | olomoucký Karel Plíhal | národnost | český Karel Plíhal | národnost | moravský Karel Plíhal | národnost | olomoucký Karel Plíhal | národnost | český Karel Plíhal | národnost | moravský Karel Plíhal | národnost | olomoucký Karel Plíhal | národnost | český Karel Plíhal | národnost | moravský Karel Plíhal | národnost | olomoucký Karel Plíhal | národnost | český Karel Plíhal | národnost | moravský Karel Plíhal | národnost | olomoucký Karel Plíhal | národnost | český
Id1,culture,,,3,**Jana Petrů | hasHit | *Ztraceni v čase*** **největší hit | originatesFrom | *Starci na chmelu*** **Starci na chmelu | isType | * muzikál ***
Id2,politics,,,2,**Hornjoserbski RDF triple:** **Ministryně zahraničí Spojených států** | **originCountry** | **Česko** **Ministryně zahraničí Spojených států** | **name** | **Madeleine Albrightová** **Přełoż do hornjoserbšćiny:** **Ministryně zahraničí Spojených států** | **pôvodná krajina** | **Česko** **Ministryně zahraničí Spojených států** | **názov** | **Madeleine Albrightová**
Id3,culture,,,3,"**Hornjoserbski RDF triple:** **svátek svatého Mikuláše** | **asociovaný s** | **rozdávání dárků dětem** **svátek svatého Mikuláše** | **datum oslavy** | **2026-12-05** **svátek svatého Mikuláše** | **čas oslavy** | **večer** **Překlady do hornjoserbštiny:** **svátek svatého Mikuláše** → **Svätek svätého Mikuláša** **asociovaný s** → **asociovaný s** **rozdávání dárků dětem** → **rozdávanie darov deťom** **datum oslavy** → **dátum oslavy** **2026-12-05** → **2026-12-05** **večer** → **večer** **Poznámky:** Všechny entity jsou přeloženy do hornjoserbštiny s ohledem na jejich přirozený význam. Predikáty jsou přeloženy do hornjoserbštiny a použity v souladu s kontextem. Žádné další informace nejsou přidány, pouze přesné a stručné zobrazení zadaných dat."
Id4,geography,,,1,"**RDF-Triple:** **Vodní nádrž Slapy** | isPartOf | **Vltavské Kaskády** **Hornjoserbski preklad:** **Vodní nádrž Slapy** | je dio | **Vltavské Kaskády** **Wyjaśnienie:** Triple preciznie odzwierciedla relację ""isPartOf"" (je dio) bez dodawania niepotrzebnych informacji. Entytety są przetłumaczone zgodnie z podanymi nazwami, a predykat ""isPartOf"" został przetłumaczony jako ""je dio""."
Id5,history,,,4,literatura | wydawane przez | disidenti literatura | lokalizacja | Czechy literatura | okres czasowy | 1950-01-01 2000-12-31 literatura | nazwa | samizdat
Id6,culture,,,3,**Jan Neruda | associatedWith | Malá Strana** *Jan Neruda bywa zespółem Malá Strana.* **Jan Neruda | hasWork | tvorba** *Jan Neruda má tvorbu.* **Jan Neruda | hasLife | život** *Jan Neruda má život.*
Id7,geography,,,1,"**RDF-Triple:** Prachovské skály | locatedIn | CHKO Český ráj **Hornjoserbski tekst:** *Prachovské skály se nacházejí v CHKO Český ráj.* **Přełożenie:** Prachovské skály → Prachovské skály (swójské mjeno) locatedIn → se nacházejí v (predikat) CHKO Český ráj → CHKO Český ráj (swójské mjeno) **Uwagi:** Informacje są ograniczone do podanych triplów. Brak dodatkowych faktów, założeń, spekulacji lub generalizacji. Wszystkie nazwy własne i wartości są podane dokładnie tak, jak są w triplach. Predikat został przetłumaczony i zastosowany w kontekście."
Id8,culture,,,5,Karel Gott | narodnosť | český Karel Gott | povolanie | spevák Karel Gott | ocenenie | Zlatý slavík Zlatý slavík | počet_ocen | 1 Zlatý slavík | frekvencia_ocen | najčastejšie
Id9,culture,,,2,**Hornjoserbski RDF triple:** **Oldřich Kaiser** | **formuje komedijny duet z** | **Jiří Lábus** **Oldřich Kaiser a Jiří Lábus** | **jsą niezastąpieni** | **true** **Přełoż do hornjoserbšćiny:** **Oldřich Kaiser** | **formuje komedijny duet z** | **Jiří Lábus** **Oldřich Kaiser i Jiří Lábus** | **są niezastąpieni** | **true**
