eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer složil dílo pro Moravské divadlo Olomouc.
Id1,culture,,,3,"Největší hit Oldřicha Kaisera a Jiřího Lába je Starci na chmelu, což je muzikál."
Id2,politics,,,2,Ministryně zahraničí Spojených států se jmenuje Madeleine Albrightová a jejím původním státem jsou Horoušany.
Id3,culture,,,3,Svátek svatého Mikuláše je spojen s rozdáváním dárků dětem a jeho oslava se konala večer dne 2006-01-01.
Id4,geography,,,1,Lužná u Rakovníka je součástí Vltavských Kaskád.
Id5,history,,,4,"Dílo Literatura, které je známé jako samizdat, bylo vydáno v Brněnském kraji v období od 1. ledna 1950 do 31. prosince 2000 nakladatelstvím Disidenti."
Id6,culture,,,3,"Marie Čermínová je spojena s Malou Stranou, jejíž tvorba a život jsou s ní rovněž spojeny."
Id7,geography,,,1,Prachovské skály se nacházejí v historickém jádru města Prostějova.
Id8,culture,,,5,"Martin Kavka je český zpěvák, který získal cenu Zlatý slavík, a to celkem jednou, což je nejvíckrát."
Id9,culture,,,2,Oldřich Kaiser tvoří komediální duo s Jiřím Lábusem a Radek Pilař je neoddělitelný.
Id10,geography,,,1,Československo těžilo uhlí.
Id11,politics,,,1,Sv. Jan Nepomucký je členem ODS.
Id12,history,,,1,Barrandovské filmové ateliéry založil Gustáv Husák.
Id13,geography,,,2,Kladníky mají výšku 1603 a jsou součástí Krkonoš.
Id15,history,,,2,"Rabí bylo zbořeno kvůli těžbě uhlí, která je zdrojem uhlí."
Id17,geography,,,2,"Česká republika se nachází v údolí Dřevnice, přičemž Dřevnice je řeka."
Id18,geography,,,2,Dejvice se nachází ve Slaném a má název Dejvice.
Id19,geography,,,1,Těžba uhlí způsobuje Brno.
Id20,history,,,2,Československo má Židovskou menšinu jako náboženskou menšinu a tato skupina je náboženskou menšinou.
Id21,geography,,,2,Císařský ostrov je ostrov a je největším ostrovem Československa.
Id22,sports,,,1,Ohře je známá hokejem.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má sídlo v Červeném hrádku.
Id24,sports,,,2,"Božena Němcová vlastní Sparta, která je fotbalový klub."
Id26,culture,,,4,"J. H. Krchovský je autorem básně Na samém konci, která je napsána na fasáda domu v Praze."
Id27,culture,,,5,"Tomáš Baťa je autorem knih, které mají jako postavy Ferdu Mravence a Brouka Pytlíka, přičemž oba byli inspirováni hmyzem."
Id28,culture,,,2,Film Štěstí má hlavního herce Tatianu Vilhelmovou a Gustáva Husáka.
Id29,sports,,,1,Jáchym Topol má přezdívku Rudý dědek.
Id30,history,,,3,"Samková je českého původu, nese titul král a postavila Hladovou zeď."
Id31,geography,,,2,Sněžka má výšku 12 m n. m.
Id32,culture,,,3,"Jiří Strach obdržel Státní cenu za literaturu za dílo Citlivý člověk, které je románem."
Id33,geography,,,2,Největší povodeň v ČR nastala v roce 2002 a trvala 5.
Id34,geography,,,2,Vltava je sídlem organizací a střediskem polské národnostní menšiny.
Id35,geography,,,3,Frýdek-Místek vznikl z 5 a ze 2 měst.
Id36,history,,,3,"Pomník je zasvěcen Americkým vojákům a nachází se v Česku, které leží v Plzni."
Id37,culture,,,3,"Prašivka je postava ze světa Harryho Pottera, která je typem krysy a Popelka se přeměňuje v Prašivku."
Id38,history,,,2,Jindřich Nový je regionální historik a vlastencem U Prdlavky.
Id39,history,,,1,Bitva na Bílé hoře se odehrála v roce 2013-12-31.
Id40,geography,,,2,Škoda Auto je automobilka se sídlem v Československu.
Id41,culture,,,2,"Noc na Karlštejně je film, který byl natáčen v Malši."
Id42,other,,,2,"Cesta do hlubin študákovy duše byla režírována Franzem Kafkou, který má povolání režisér."
Id43,geography,,,2,Řeka Trutnov protéká Hradcem Králové a řeka Hradec Králové protéká Trutnovem.
Id46,geography,,,2,"Rudný důl u Harrachova obsahuje Železniční muzeum, které je umístěno v Rudném dole u Harrachova."
Id48,culture,,,2,Honzíkova cesta je dílem od autora Marka Bárty a jedná se o dětskou knihu.
Id49,other,,,1,Krok hraje na akordeon.
Id50,culture,,,2,Václav Havel moderuje pořad v rozhlase s názvem Osobnost Plus.
Id52,sports,,,2,Nádraží Veleslavín je střediskem paraglidingu a sportovního létání.
Id54,history,,,4,"Vykopávky v Přerově se nacházejí v Praze a v nich byly nalezeny kosti, které patří mamutům a představují značné množství."
Id55,geography,,,1,Českobrodský okruh se nachází v Národním Parku Šumava.
Id56,geography,,,2,"Natáčení filmu Anděl Páně 2 proběhlo na řece Vltavě, která se nachází v Ledči nad Sázavou."
Id57,culture,,,1,Švabinský popularizuje slam poetry.
Id58,geography,,,1,Území Německa má symbol lilii.
Id59,culture,,,1,Vršovice jsou spojeny s textilním průmyslem.
Id60,geography,,,2,Řeka okres Beroun protéká městem Žatec a Žatec má řeku okres Beroun.
Id61,geography,,,1,Jablunkovský výběžek má umístění v Podhůří Orlických hor.
Id62,sports,,,4,"František Boleslav Zdrůbek, který je knihkupcem v České republice, je nejstarší a nejaktivnější."
Id63,geography,,,2,Praha má řeku Jizera a řeka Jizera protéká Prahou.
Id64,sports,,,2,"česká hokejová liga, která začala v roce 2018-01-01, má nové jméno Maxa liga."
Id65,culture,,,3,"Humpolec je spojen s Jiráskovou, která je postavou z filmu Marečku podejte mi pero."
Id66,geography,,,3,Rybník Bezdrev je rybník v ČR a má v pořadí podle velikosti zařazení Posledních 100 let.
Id67,culture,,,1,Postavičku Večerníčka má za autora Adam Vojtěch.
Id68,geography,,,2,Rozhledna nad Ústí nad Orlicí má název Stříbrná krasavice a je situována v Zámek Zásmuky.
Id69,culture,,,5,"Praotec Čech vedl lidi do země zaslíbené, zveřejnil balady a požádal o jejich zhudebnění pro širokou veřejnost."
Id70,geography,,,2,"Praha leží na trati Praha Děčín, která je hlavní tratí."
Id71,culture,,,1,Žítkovské bohyně jsou dílem autora Boba Hýska.
Id72,geography,,,2,"Lipý obsahuje Bečovskou botanickou zahradu, která se nachází v Lipý."
Id73,geography,,,2,"Havlíčkův Brod protéká řeka Československo, která je řekou."
Id74,geography,,,2,"Teplice má dominantu Vysočina, která je horou."
Id75,sports,,,3,Závod veteránů se koná pravidelně v Sudoměřicích od roku 2002.
Id76,culture,,,7,"David Krejčí, český historik umění, je známý publikováním studií o českém malíři, který zahrnuje Mánese, Švabinského a Macheka, a založil výtvarnou skupinu Trasa."
Id77,history,,,4,"Vladimír Přibský, který je žurnalistou a dramatikem, má skutečné jméno Kateřina Hešová, která se narodila v Přibyslavi."
Id78,geography,,,2,Římskokatolická farnost se jmenuje Slaný a nachází se v Brno venkov.
Id79,geography,,,1,Rybník Španělák se nachází v Mladé Boleslavi.
