eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FA,FA,FI,FA,CFA,FA,,,,,,
Id1,culture,,,3,FA,FA,FI,FI,CFA,FA,,,,,,
Id2,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id3,culture,,,3,FA,FA,FA,CFA,CFA,CFA,,,,,,
Id4,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id5,history,,,4,FI,FI,CFA,FA,CFA,FI,,,,,,
Id6,culture,,,3,FI,FI,FI,FA,FA,FI,,,,,,
Id7,geography,,,1,FI,FI,FI,FI,FI,FA,,,,,,
Id8,culture,,,5,FA,FA,FA,FI,FA,FA,,,,,,
Id9,culture,,,2,FA,FA,FA,FI,FA,FA,,,,,,
Id10,geography,,,1,FI,FI,FA,CFA,FA,FA,,,,,,
Id11,politics,,,1,FA,FA,FI,FI,FI,FI,,,,,,
Id12,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id13,geography,,,2,FA,FA,CFA,FA,CFA,FA,,,,,,
Id15,history,,,2,CFA,CFA,CFA,FA,FA,CFA,,,,,,
Id17,geography,,,2,CFA,CFA,FA,CFA,FA,CFA,,,,,,
Id18,geography,,,2,FI,FI,FI,FI,CFA,CFA,,,,,,
Id19,geography,,,1,CFA,CFA,FA,FA,FI,FI,,,,,,
Id20,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id21,geography,,,2,FA,FA,FI,CFA,FI,FI,,,,,,
Id22,sports,,,1,FI,FI,FI,CFA,FA,FA,,,,,,
Id23,politics,,,1,CFA,CFA,CFA,CFA,FA,CFA,,,,,,
Id24,sports,,,2,CFA,CFA,CFA,CFA,CFA,FI,,,,,,
Id26,culture,,,4,FA,FA,FI,CFA,FA,CFA,,,,,,
Id27,culture,,,5,FI,FI,CFA,FI,FI,FI,,,,,,
Id28,culture,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id29,sports,,,1,FI,FI,CFA,FI,FA,FI,,,,,,
Id30,history,,,3,CFA,CFA,FA,FI,FI,CFA,,,,,,
Id31,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id32,culture,,,3,FI,FI,FA,FA,FI,FA,,,,,,
Id33,geography,,,2,CFA,CFA,CFA,FA,FA,FA,,,,,,
Id34,geography,,,2,CFA,CFA,FA,FI,CFA,CFA,,,,,,
Id35,geography,,,3,CFA,CFA,FA,CFA,CFA,CFA,,,,,,
Id36,history,,,3,CFA,CFA,FA,FA,CFA,FI,,,,,,
Id37,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id38,history,,,2,FI,FI,CFA,CFA,FI,FA,,,,,,
Id39,history,,,1,CFA,CFA,CFA,FA,FA,CFA,,,,,,
Id40,geography,,,2,CFA,CFA,FA,CFA,FI,FA,,,,,,
Id41,culture,,,2,FI,FI,FA,CFA,FI,CFA,,,,,,
Id42,other,,,2,FI,FI,FI,FI,CFA,FI,,,,,,
Id43,geography,,,2,CFA,CFA,CFA,CFA,FA,CFA,,,,,,
Id46,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id48,culture,,,2,FI,FI,FI,FA,FI,FA,,,,,,
Id49,other,,,1,FA,FA,FA,FI,FA,FI,,,,,,
Id50,culture,,,2,CFA,CFA,FA,FI,FA,CFA,,,,,,
Id52,sports,,,2,FA,FA,CFA,FA,CFA,CFA,,,,,,
Id54,history,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id55,geography,,,1,FI,FI,FI,FA,CFA,CFA,,,,,,
Id56,geography,,,2,CFA,CFA,FA,CFA,CFA,CFA,,,,,,
Id57,culture,,,1,FI,FI,FI,FI,FI,FA,,,,,,
Id58,geography,,,1,FI,FI,FI,CFA,FA,CFA,,,,,,
Id59,culture,,,1,FA,FA,FA,FA,FI,CFA,,,,,,
Id60,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id61,geography,,,1,FA,FA,FA,FI,FA,FA,,,,,,
Id62,sports,,,4,CFA,CFA,CFA,CFA,FA,FA,,,,,,
Id63,geography,,,2,CFA,CFA,FA,FA,CFA,CFA,,,,,,
Id64,sports,,,2,CFA,CFA,CFA,FI,FI,FA,,,,,,
Id65,culture,,,3,FI,FI,FI,FA,FA,CFA,,,,,,
Id66,geography,,,3,FA,FA,CFA,CFA,FA,FA,,,,,,
Id67,culture,,,1,FA,FA,FI,FI,FI,FA,,,,,,
Id68,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id69,culture,,,5,FI,FI,FI,FI,FI,FA,,,,,,
Id70,geography,,,2,FA,FA,CFA,CFA,FA,FA,,,,,,
Id71,culture,,,1,CFA,CFA,FI,FI,FA,CFA,,,,,,
Id72,geography,,,2,FA,FA,FI,FA,FA,FI,,,,,,
Id73,geography,,,2,CFA,CFA,FA,CFA,FA,CFA,,,,,,
Id74,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id75,sports,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id76,culture,,,7,FA,FA,FA,FA,FA,CFA,,,,,,
Id77,history,,,4,CFA,CFA,CFA,CFA,FA,CFA,,,,,,
Id78,geography,,,2,FA,FA,CFA,CFA,CFA,FA,,,,,,
Id79,geography,,,1,FA,FA,FI,FA,FA,FA,,,,,,
Id80,culture,,,3,FA,FA,CFA,CFA,FA,CFA,,,,,,
Id81,politics,,,2,FA,FA,FA,FA,FI,FA,,,,,,
Id82,other,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id83,sports,,,7,FA,FA,CFA,FA,CFA,CFA,,,,,,
Id84,culture,,,5,CFA,CFA,CFA,CFA,FI,FA,,,,,,
Id85,culture,,,5,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id86,sports,,,3,FA,FA,CFA,FA,FA,FA,,,,,,
Id87,history,,,3,CFA,CFA,CFA,FA,FI,CFA,,,,,,
Id88,geography,,,2,FA,FA,FA,CFA,CFA,FA,,,,,,
Id89,geography,,,2,CFA,CFA,FI,FI,FA,FI,,,,,,
Id90,sports,,,4,FI,FI,CFA,CFA,CFA,CFA,,,,,,
Id91,culture,,,1,FA,FA,FI,FA,FA,FI,,,,,,
Id92,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id94,history,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id95,geography,,,1,CFA,CFA,FA,FI,CFA,CFA,,,,,,
Id96,sports,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id99,sports,,,2,FA,FA,FA,CI,FA,CFA,,,,,,
Id100,other,,,3,FA,FA,FA,FI,FA,FA,,,,,,
Id101,history,,,4,CFA,CFA,FA,CFA,FA,CFA,,,,,,
Id103,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id104,history,,,1,FA,FA,FI,FA,FA,FA,,,,,,
Id105,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id106,history,,,4,CFA,CFA,FI,CFA,CFA,CFA,,,,,,
Id108,history,,,7,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id109,politics,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id110,culture,,,6,CFA,CFA,FA,FA,FA,FA,,,,,,
Id112,culture,,,3,FI,FI,FA,FI,FI,FI,,,,,,
Id113,geography,,,1,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id114,history,,,2,CFA,CFA,FA,CFA,FI,FA,,,,,,
Id115,culture,,,7,FA,FA,FI,FA,FA,FA,,,,,,
Id116,geography,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id117,culture,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id118,history,,,5,FI,FI,CFA,FA,FA,FA,,,,,,
Id119,other,,,4,FA,FA,FA,FA,FI,FA,,,,,,
Id120,history,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id121,history,,,4,CFA,CFA,FA,CFA,CFA,CFA,,,,,,
Id123,culture,,,2,CFA,CFA,FA,FA,CFA,FI,,,,,,
Id124,culture,,,3,CFA,CFA,CFA,CFA,FA,FA,,,,,,
Id125,culture,,,2,CFA,CFA,FA,FA,FA,FI,,,,,,
Id127,culture,,,3,CFA,CFA,FI,FI,CFA,CFA,,,,,,
Id128,culture,,,3,FA,FA,FA,FA,FA,FI,,,,,,
Id129,geography,,,3,FI,FI,CFA,CFA,CFA,FI,,,,,,
Id130,geography,,,1,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id131,geography,,,1,FA,FA,FI,FA,FA,CFA,,,,,,
Id132,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id133,geography,,,2,FA,FA,FA,FA,FA,FI,,,,,,
Id134,geography,,,1,FI,FI,CFA,FI,CFA,CFA,,,,,,
Id135,history,,,1,FI,FI,FI,FI,FI,CFA,,,,,,
Id136,geography,,,1,FA,FA,FA,FA,FI,FA,,,,,,
Id137,culture,,,3,FA,FA,CFA,FA,FA,FA,,,,,,
Id138,geography,,,2,FI,FI,FA,CFA,CFA,CFA,,,,,,
Id139,culture,,,2,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id141,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id142,geography,,,2,FA,FA,FA,FA,FI,FA,,,,,,
Id143,geography,,,3,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id144,geography,,,2,FA,FA,CFA,FI,FI,FI,,,,,,
Id145,sports,,,3,FA,FA,FI,FI,CFA,FI,,,,,,
Id146,geography,,,1,FA,FA,FA,FI,FA,FA,,,,,,
Id147,politics,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id148,geography,,,2,CFA,CFA,CFA,CFA,FA,CFA,,,,,,
Id149,geography,,,1,FI,FI,FI,FA,CFA,FA,,,,,,
Id150,other,,,2,FA,FA,FI,CFA,CFA,FA,,,,,,
Id151,culture,,,4,CFA,CFA,FI,FI,FA,CFA,,,,,,
Id153,other,,,2,FA,FA,FA,FI,CFA,FA,,,,,,
Id154,geography,,,3,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id155,geography,,,3,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id156,other,,,3,FA,FA,FA,FA,CFA,CFA,,,,,,
Id157,culture,,,4,FI,FI,FI,CFA,FI,FI,,,,,,
Id158,culture,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id159,geography,,,3,FA,FA,CFA,FA,FI,FI,,,,,,
Id160,sports,,,4,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id161,geography,,,3,CFA,CFA,FA,FA,FA,FA,,,,,,
Id162,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id163,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id164,history,,,4,FI,FI,CFA,FA,FA,FA,,,,,,
Id166,culture,,,2,FA,FA,FA,FA,CFA,FA,,,,,,
Id169,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id170,other,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id173,geography,,,2,FI,FI,FI,FI,FI,CFA,,,,,,
Id174,culture,,,2,FA,FA,FA,FI,CFA,FA,,,,,,
Id175,culture,,,2,CFA,CFA,FI,CFA,CFA,FI,,,,,,
Id177,culture,,,9,FA,FA,FI,FI,FA,FI,,,,,,
Id179,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id180,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id181,culture,,,5,CFA,CFA,FA,FA,CFA,FA,,,,,,
Id182,culture,,,5,CFA,CFA,FA,FA,FA,FA,,,,,,
Id183,geography,,,3,FA,FA,FA,CFA,CFA,CFA,,,,,,
Id184,geography,,,2,CFA,CFA,CFA,FI,CFA,FA,,,,,,
Id185,geography,,,3,FA,FA,CFA,FI,CFA,CFA,,,,,,
Id186,history,,,5,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id187,other,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id188,culture,,,4,FI,FI,CFA,FI,CFA,CFA,,,,,,
Id189,culture,,,3,FA,FA,FI,FI,FA,CFA,,,,,,
Id190,culture,,,6,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id191,culture,,,6,FA,FA,FA,CFA,FA,FA,,,,,,
Id192,history,,,5,CFA,CFA,CFA,FA,FA,FA,"CFA **Vysvětlení pro interní logiku:** Sada obsahuje smíšené tvrzení o reálném filmu *Císařův pekař – Pekařův císař* (přesná titulek, cca releaseYear 1951, 2 díly, žánr). Hlavní chyba leží ve třetím vzorku: `""Stanislav Rudolfský | portrayedRole | obě hlavní postavy""`. Reálná historická komedie z roku 1951 včetně převážné původní složky měla centrální roli druhá nejznámější postava v ČR Leos − Josefně Čortovou (Jiřina Bohdalová). Církevní zejména první díly byly všechny Pádra a všichni ostatní z císařské komedie byly velmi různé role. Stanislav Rudolfský, který hraje v České televizi české historické komedie, hrál *jen jednu* z hlavních rolí (Romana), nikoliv *obě* hlavní postavy. Protože entity (film, herec) jsou reálné, ale vztah (počet rolí proiektovaných) je falešný/pozměněný, jedná se o **Kontrafaktuální (CFA)** kategorii.","CFA **Vysvětlení pro interní logiku:** Sada obsahuje smíšené tvrzení o reálném filmu *Císařův pekař – Pekařův císař* (přesná titulek, cca releaseYear 1951, 2 díly, žánr). Hlavní chyba leží ve třetím vzorku: `""Stanislav Rudolfský | portrayedRole | obě hlavní postavy""`. Reálná historická komedie z roku 1951 včetně převážné původní složky měla centrální roli druhá nejznámější postava v ČR Leos − Josefně Čortovou (Jiřina Bohdalová). Církevní zejména první díly byly všechny Pádra a všichni ostatní z císařské komedie byly velmi různé role. Stanislav Rudolfský, který hraje v České televizi české historické komedie, hrál *jen jednu* z hlavních rolí (Romana), nikoliv *obě* hlavní postavy. Protože entity (film, herec) jsou reálné, ale vztah (počet rolí proiektovaných) je falešný/pozměněný, jedná se o **Kontrafaktuální (CFA)** kategorii.",,,,
Id193,culture,,,5,FI,FI,FI,FI,CFA,FI,,,,,,
Id194,culture,,,3,FA,FA,FA,FA,FI,FI,,,,,,
Id195,culture,,,4,FI,FI,FA,FI,FI,FI,,,,,,
Id196,culture,,,4,FA,FA,CFA,FI,CFA,FI,,,,,,
Id197,culture,,,3,FA,FA,FI,FA,FI,FI,,,,,,
Id199,culture,,,7,FI,FI,FI,FI,CFA,FA,,,,,,
Id200,culture,,,5,CFA,CFA,CFA,FI,FA,FI,,,,,,
Id201,culture,,,9,CFA,CFA,FA,FA,FI,CFA,,,,,,
Id202,culture,,,5,CFA,CFA,FI,FI,CFA,FA,,,,,,
Id203,culture,,,6,CFA,CFA,CFA,CFA,FI,CFA,,,,,,
