eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer je za Morawiske divadlo Olomouc komponował.
Id1,culture,,,3,Jiří Lábus ma w muzikalu Starci na chmelu najwjetši hit.
Id2,politics,,,2,Madeleine Albrightowa je ministrynja zahraničnych wěcow Spojenych statow.
Id3,culture,,,3,"Svátek svatého Mikuláše, kotrež se w 2006-01-01 wěčer slawi, je z rozdawanjom darčkow děćom zwjazany."
Id4,geography,,,1,Lužná w Rakovníku słuša k Vltavskim kaskadam.
Id5,history,,,4,"Literatura, kotraž je w Brněnskim kraju wot 1. januara 1950 hač do 31. decembra 2000 wjećejena, so pod mjenom samizdat wudawaše a je wudawałstwo disidentow."
Id6,culture,,,3,"Marie Čermínowa je z Malou Stranou spojena, ma tworbu jako swoje dźelo a swój život jako swoje žiwjenje."
Id7,geography,,,1,Prachovské skály leža w historiskej starobje města Prostějova.
Id8,culture,,,5,"Martin Kavka je český zpěvák, kotryž dóstał najwjetši počet Zlatých slavíkůw, a to wotměnje 1."
Id9,culture,,,2,"Oldřich Kaiser wutwori komedijski duo z Jiří Lábusom, Radek Pilař je njerazdźělny."
Id10,geography,,,1,Československo je zdrojom wuhla.
Id11,politics,,,1,Jan Nepomucký je čłon ODS.
Id12,history,,,1,Gustáv Husak je zakładatel Barrandovskich filmowych atelierow.
Id13,geography,,,2,Kladníky su 1603 metrow wusoke a słušeja do Krkonoš.
Id15,history,,,2,"Rabí je zničen, težko uhlí."
Id17,geography,,,2,"Česká republika leži w údolí Dřevnice, kotraž je řeka."
Id18,geography,,,2,Dejvice leža w Slanym a ma mjeno Dejvice.
Id19,geography,,,1,Těžba uhlí přičinja Brno.
Id20,history,,,2,"Československo měješe Židowsku menšinu, kotraž bě religiozna menšina."
Id21,geography,,,2,Císařský ostrov je najwjetši ostrow Československa a je ostrowom.
Id22,sports,,,1,Ohře je znatny za hokej.
Id23,politics,,,1,Ministerstwo zdravotnictwa České republiky ma swoje sydło w Čerwjenym hrjedku.
Id24,sports,,,2,"Božena Němcowa wlastni Spartu, kotraž je fotbalowy klub."
Id26,culture,,,4,"J. H. Krchovský je awtor báseńe „Na samém konci"", kotraž je na fasadźe domu w Praze napisana."
Id27,culture,,,5,"Tomáš Baťa je awtor knihow, kotrež wosobiny Ferdy Mravenca a Brouka Pytlíka wobsahuja, a wšě dwě wosobiny su wopćene hmyzom."
Id28,culture,,,2,Film Štěstí ma jako hłowneho herca Tatjanu Vilhelmowu a Gustáva Husáka.
Id29,sports,,,1,Jáchym Topol ma přezwisko Rudý dědek.
Id30,history,,,3,"Samková bě čěska králowa, kotraž wuhotowa Hladowu zeď."
Id31,geography,,,2,Sněžka ma wysokosć 12 m n. m.
Id32,culture,,,3,Jiří Strach dósta Státní cenu za literaturu za román Citlivý člověk.
Id33,geography,,,2,Najwjetša powodeń w Čěskej wotběhše so w lěće 2002 a trěbaše pjeć lět.
Id34,geography,,,2,Vltawa je sydlišćo organizacijow a centrum polskeje narodnostneje menšiny.
Id35,geography,,,3,Frýdek-Místek je z 5 městow wustajeł.
Id36,history,,,3,Pomník je w Čěskej w Plzni a je wotdany Ameriskim wójakom.
Id37,culture,,,3,"Prašivka je krysa ze swěta Harryho Pottera, kotraž so z Popelki přeměni."
Id38,history,,,2,Jindřich Nový je regionální historik a je patriot z U Prdlavky.
Id39,history,,,1,Bitwa na Bílé hoře wotbyła so w lěće 2013-12-31.
Id40,geography,,,2,Škoda Auto je českoslowacka automobilka.
Id41,culture,,,2,"Noc na Karlštejně je film, kotryž so w Malšach natwari."
Id42,other,,,2,Cesta do hlubin študákovy duše je režisérskim dźěлом Franza Kafky.
Id43,geography,,,2,"Trutnov ma rěku Hradec Králové, kotraž jón přez město wotwopada."
Id46,geography,,,2,"Železniční muzeum leži w Rudnym důlu u Harrachova, kotryž to zawaruje."
Id48,culture,,,2,"Honzíkova cesta je dětská kniha, kotraž ma Mareka Bártu za awtora."
Id49,other,,,1,Krok hraje na akordeon.
Id50,culture,,,2,"Václav Havel je moderatorka pořada Osobnost Plus, kotryž je pořad w rozhlase."
Id52,sports,,,2,Nádraží Veleslavín je centrum paraglidinga a sportovního létání.
Id54,history,,,4,"W Praze wukonjaše so w Přerowje wukop, w kotrymž běše znatne mnohstwo kosti mamutow namakane."
Id55,geography,,,1,Českobrodský okruh leži w Národnim parku Šumava.
