eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id1,culture,,,3,FI,FI,FA,FA,FI,FI,,,,"Na základě dostupných informací nemohu s jistotou určit kategorii, ale vzhledem k obecným znalostem a pravděpodobnosti, že se jedná o českou kulturu, předpokládám, že: - Alena Králová je česká zpěvačka. - ""Největší hit"" může být píseň nebo název alba. - ""Starci na chmelu"" je muzikál. Trojice vypadají jako popis skutečných entit a vztahů. Proto klasifikuji celou sadu jako: FA.",,
Id2,politics,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id3,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id4,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id5,history,,,4,FI,FI,FI,FI,FI,CFA,,,,,"FI Poznámka: Samizdat nebyl vydáván pouze v Mlynářově a ne všichni disidenti publikovali v samizdatu. I přesto jsem zvolil FI, protože Mlynářov není obecně známé místo spojené se samizdatem a disidenty obecně a časové období je příliš dlouhé. Některé informace jsou pravdivé, ale jiné jsou fiktivní nebo nepřesné. Pokud bych měl více informací, mohl bych klasifikovat jako CFA, ale takhle volím FI.",
Id6,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id7,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id8,culture,,,5,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id9,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id10,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id11,politics,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id12,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id13,geography,,,2,FA,FA,FA,FA,FA,FA,,,"Pro klasifikaci této sady RDF trojic je potřeba ověřit, zda informace obsažené v trojicích odpovídají reálnému světu. - Záhořské je hora v Krkonoších. - Výška Záhořského je 1603 metrů nad mořem. Obě informace jsou pravdivé a odpovídají reálnému světu. Proto klasifikuji tuto sadu jako: FA.",,,
