eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal složil pro Moravské divadlo Olomouc.
Id1,culture,,,3,"Jana Petrů má největší hit, který pochází ze Starci na chmelu, což je muzikál."
Id2,politics,,,2,"Ministryně zahraničí Spojených států, Madeleine Albrightová, má za původní zemi Česko."
Id3,culture,,,3,Svátek svatého Mikuláše je spojen s rozdáváním dárků dětem a slaví se 5. prosince 2026 večer.
Id4,geography,,,1,Vodní nádrž Slapy je součástí Vltavských Kaskád.
Id5,history,,,4,"Literatura byla publikována Disidenti, nachází se na území Čech a je nazvána samizdat, přičemž její časový období je 1950-01-01 až 2000-12-31."
Id6,culture,,,3,"Jan Neruda je spojen s Malou Stanou, má dílo tvorba a má život."
Id7,geography,,,1,Prachovské skály se nacházejí v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák a získal cenu Zlatý slavík, kterou obdržel nejvíckrát."
Id9,culture,,,2,Oldřich Kaiser tvoří komediální duo s Jiřím Lábusem a jsou neoddelitelní.
Id10,geography,,,1,Kladensko má jako těžební zdroj uhlí.
Id11,politics,,,1,Miroslava Němcová je členkou ODS.
Id12,history,,,1,Miloš Havel je zakladatel Barrandovských filmových ateliérů.
Id13,geography,,,2,Nejvyšší bod Krkonoš má výšku 1603 a je součástí Krkonoš.
Id14,history,,,1,Bitva u Slavkova se odehrála během Napoleonských válek.
Id15,history,,,2,"Historické město Most bylo zrušeno kvůli těžbě uhlí, která je typem zdroje uhlí."
Id16,culture,,,6,"Znak města Třebíč se skládá ze štítu, který má tři vodorovná pole; horní pole je červené, dolní pole je červené a střední pole je bílé a obsahuje tři černé benediktinské kápě."
Id17,geography,,,2,"Zlín se nachází v údolí Dřevnice, které je řeka."
Id18,geography,,,2,Slanská hora má název Slanská hora a nachází se v Slaný.
Id19,geography,,,1,Těžba uhlí způsobuje problémy v Karviné.
Id20,history,,,2,"Kolín má židovskou menšinu jako náboženskou menšinu, a židovská menšina je náboženskou menšinou."
Id21,geography,,,2,Císařský ostrov je ostrov a je největším ostrovem Prahy.
Id22,sports,,,1,Kladno je známé pro hokej.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má sídlo na Palackého náměstí.
Id24,sports,,,2,"Petr Mach vlastní Sparta, která je fotbalový klub."
Id25,culture,,,2,"Granát Turnov produkuje šperky, které jsou české granáty."
Id26,culture,,,4,"J. H. Krchovský je autorem básně Na samém konci, která byla napsána na fasádě domu v nizozemském městě Leiden."
Id27,culture,,,5,"Ondřej Sekora je autorem knih, které mají postavy Ferda Mravence a Brouka Pytlíka, a obě tyto postavy jsou inspirovány hmyzem."
Id28,culture,,,2,Film Štěstí má hlavní aktérky Tatiana Vilhelmová a Pavel Liška.
Id29,sports,,,1,Zdeněk Nejedlý má přezdívku Rudý dědek.
