eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FI,FI,CFA,CFA,CFA,FI,,,,,,
Id1,geography,,,1,CFA,CFA,FI,CFA,FI,FA,,,,,,
Id2,history,,,1,FI,FI,FA,FI,FI,FA,,,,,,
Id3,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id4,geography,,,2,CFA,CFA,FI,FI,FA,CFA,,,,,,
Id5,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id6,culture,,,1,FA,FA,FI,FA,FI,FA,,,,,,
Id8,geography,,,3,CFA,CFA,FA,FI,FI,FA,,,,,,
Id9,geography,,,1,CFA,CFA,FI,FI,FI,FA,,,,,,
Id10,geography,,,2,FI,FI,FA,FI,FI,FA,,,,,,
Id11,culture,,,1,FI,FI,FA,FA,FA,FI,,,,,,
Id12,geography,,,2,FI,FI,FI,CFA,FA,FA,,,,,,
Id14,geography,,,3,FA,FA,FI,CFA,CFA,FA,,,,,,
Id16,sports,,,1,CFA,CFA,FI,FI,FA,FA,,,,,,
Id18,politics,,,2,CFA,CFA,FI,CFA,FA,FA,,,,,,
Id19,history,,,2,CFA,CFA,FA,FA,CFA,FA,,,,,,
Id20,geography,,,2,FA,FA,FA,FI,CFA,FI,,,,,,
Id21,geography,,,1,FA,FA,FI,FA,FA,FA,,,,,,
Id22,culture,,,1,FA,FA,FA,FI,FA,CFA,,,,,,
Id24,politics,,,2,FA,FA,FI,FI,FA,FA,,,,,,
Id26,politics,,,3,FA,FA,FA,FA,FI,CFA,,,,,,
Id27,history,,,3,CFA,CFA,FI,CFA,CFA,CFA,,,,,,
Id28,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id29,history,,,3,FI,FI,CFA,CFA,FI,FA,,,,,,
Id31,politics,,,2,CFA,CFA,FA,FI,CFA,FA,,,,,,
Id32,geography,,,2,CFA,CFA,CFA,CFA,FI,FA,,,,,,
Id34,culture,,,3,FI,FI,CFA,CFA,FI,FA,,,,,,
Id35,culture,,,3,FA,FA,FI,FI,FA,FA,,,,,,
Id37,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id38,geography,,,1,CFA,CFA,CFA,FA,FA,CFA,,,,,,
Id39,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id40,geography,,,1,FI,FI,CFA,FA,FA,CFA,,,,,,
Id41,culture,,,2,CFA,CFA,FI,CFA,FA,FI,,,,,,
Id42,other,,,1,FA,FA,FA,FI,FA,FA,,,,,,
Id43,politics,,,3,CFA,CFA,FI,FI,CFA,FI,,,,,,
Id45,culture,,,3,FI,FI,FA,FI,FA,FI,,,,,,
Id46,politics,,,1,FI,FI,FA,FA,CFA,CFA,,,,,,
Id47,geography,,,2,FA,FA,FA,FA,FA,FI,,,,,,
Id48,sports,,,1,FA,FA,FA,FI,FA,FA,,,,,,
Id49,geography,,,1,CFA,CFA,CFA,FI,FI,CFA,,,,,,
Id50,history,,,3,FA,FA,FI,FA,CFA,FA,,,,,,
Id51,geography,,,2,FI,FI,CFA,FA,CFA,FA,,,,,,
Id52,geography,,,1,CFA,CFA,FA,CFA,FA,FA,,,,,,
Id53,history,,,2,FI,FI,CFA,FA,CFA,FA,,,,,,
