eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská složila pro Moravské divadlo Olomouc.
Id1,culture,,,3,"Alena Králová má největší hit, který pochází ze Starci na chmelu, což je muzikál."
Id2,politics,,,2,"Ministryně zahraničí Spojených států, Madeleine Albrightová, je z Mikulova-Les a její původní země je Mikulov-Les."
Id3,culture,,,3,Svátek svatého Mikuláše je spojen s rozdáváním dárků dětem a oslavuje se 28-02-1991 večer.
Id4,geography,,,1,Březová Zahrada je součástí Vltavských Kaskád.
Id5,history,,,4,"Literatura byla publikována společností disidenti, nacházela se v Mlynářovech a je označována jako samizdat, přičemž její časový období je 1950-01-01 až 2000-12-31."
Id6,culture,,,3,"Jan Neruda je spojen s Zámostím, má dílo tvorba a má život."
Id7,geography,,,1,Žabí údolí se nachází v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák a získal cenu Zlatý slavík, kterou obdržel 08-10-2015, a tato cena se uděluje nejvíckrát."
Id9,culture,,,2,"Filip Marek tvoří komediální duo s Jiřím Lábusem, a Oldřich Kaiser a Jiří Lábus jsou nerozluční."
Id10,geography,,,1,Slníčko nad Rákosím je zdrojem uhlí.
Id11,politics,,,1,Ladislav Bureš je členem ODS.
Id12,history,,,1,Renata Hrdličková je zakladatelkou Barrandovských filmových ateliérů.
Id13,geography,,,2,Záhořské má výšku 1603 a je součástí Krkonoše.
Id15,history,,,2,"Údolí Vran bylo zrušeno kvůli těžbě uhlí, která je typem zdroje uhlí."
Id17,geography,,,2,"Říčanský Dvůr se nachází v údolí Dřevnice, která je řeka."
Id18,geography,,,2,Slanská hora má název Slanská hora a nachází se v Horním Vítkově.
Id19,geography,,,1,Těžba uhlí způsobuje Slníčko nad Rákosím.
Id20,history,,,2,Třístíčko je židovská menšina a tato menšina je náboženskou menšinou.
Id21,geography,,,2,Císařský ostrov je ostrov a je největším ostrovem Rybářské Lhota.
Id22,sports,,,1,Nová Lhota je známá pro hokej.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má sídlo na Křižovatce.
Id24,sports,,,2,"Filip Zelenka vlastní Sparta, která je fotbalový klub."
Id26,culture,,,4,"Luboš Rataj je autorem básně Na samém konci, která byla napsána na fasádě domu v nizozemském městě Leiden."
Id27,culture,,,5,"Wilma Havelková je autorkou knih, které mají postavy Ferda Mravence a Brouka Pytlíka, a obě tyto postavy jsou inspirovány hmyzem."
Id28,culture,,,2,Film Štěstí má hlavní aktérky Tatiana Vilhelmová a Jakub Bílý.
Id29,sports,,,1,Jarmila Vondrová má přezdívku Rudý dědek.
