eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id1,culture,,,3,FI,FI,CFA,FI,CFA,CFA,,,,,,
Id2,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id3,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id4,geography,,,1,FI,FI,CFA,CFA,CFA,CFA,,,,,,
Id5,history,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id6,culture,,,3,CFA,CFA,FA,FA,FA,CFA,,,,,,
Id7,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id8,culture,,,5,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id9,culture,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id10,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id11,politics,,,1,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id12,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id13,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id15,history,,,2,FA,FA,FA,CFA,FA,CFA,,,,,,
Id17,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id18,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id19,geography,,,1,FI,FI,CFA,CFA,FI,FI,,,,,,
Id20,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id21,geography,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id22,sports,,,1,CFA,CFA,CFA,CFA,FA,CFA,,,,,,
Id23,politics,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id24,sports,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id26,culture,,,4,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id27,culture,,,5,FI,FI,FI,FI,FI,FI,,,,,,
Id28,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id29,sports,,,1,CFA,CFA,CFA,FI,CFA,FI,,,,,,
Id30,history,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id31,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id32,culture,,,3,FI,FI,FI,CFA,FI,CFA,,,,,,
Id33,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id34,geography,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id35,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id36,history,,,3,FI,FI,FI,CFA,CFA,CFA,,,,,,
Id37,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id38,history,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id39,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id40,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id41,culture,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id42,other,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id43,geography,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id46,geography,,,2,FI,FI,CFA,FA,CFA,FA,,,,,,
Id48,culture,,,2,FA,FA,FA,FI,FI,FI,,,,,,
Id49,other,,,1,FA,FA,FA,FA,CFA,FA,,,,,,
Id50,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id52,sports,,,2,CFA,CFA,FI,CFA,FI,CFA,,,,,,
Id54,history,,,4,CFA,CFA,CFA,CFA,CFA,FI,,,,,,
Id55,geography,,,1,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id56,geography,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id57,culture,,,1,FA,FA,FI,FA,FA,FA,,,,,,
Id58,geography,,,1,CFA,CFA,CFA,FI,CFA,FI,,,,,,
Id59,culture,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id60,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id61,geography,,,1,CFA,CFA,FI,CFA,CFA,CFA,,,,,,
Id62,sports,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id63,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id64,sports,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id65,culture,,,3,CFA,CFA,FI,FI,CFA,FI,,,,,,
Id66,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id67,culture,,,1,FI,FI,CFA,FI,FI,FI,,,,,,
Id68,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id69,culture,,,5,FA,FA,CFA,CFA,FI,CFA,,,,,,
Id70,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id71,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id72,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id73,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id74,geography,,,2,FA,FA,CFA,CFA,CFA,CFA,,,,,,
Id75,sports,,,3,FA,FA,FA,FA,FI,FA,,,,,,
Id76,culture,,,7,CFA,CFA,FI,CFA,CFA,CFA,,,,,,
Id77,history,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id78,geography,,,2,CFA,CFA,FA,FA,FI,FA,,,,,,
Id79,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id80,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id81,politics,,,2,CFA,CFA,FA,FA,CFA,FA,,,,,,
Id82,other,,,5,CFA,CFA,FA,CFA,CFA,CFA,,,,,,
Id83,sports,,,7,FA,FA,CFA,FA,FA,FA,,,,,,
Id84,culture,,,5,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id85,culture,,,5,CFA,CFA,FA,FA,CFA,FA,,,,,,
Id86,sports,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id87,history,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id88,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id89,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id90,sports,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id91,culture,,,1,FI,FI,CFA,CFA,CFA,CFA,,,,,,
Id92,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id94,history,,,6,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id95,geography,,,1,FA,FA,CFA,CFA,FA,FA,,,,,,
Id96,sports,,,4,CFA,CFA,CFA,FI,CFA,CFA,,,,,,
Id99,sports,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id100,other,,,3,FA,FA,FI,FA,FI,FA,,,,,,
Id101,history,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id103,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id104,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id105,history,,,1,FA,FA,FA,CFA,CFA,FA,,,,,,
Id106,history,,,4,FA,FA,FA,FA,FA,CFA,,,,,,
Id108,history,,,7,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id109,politics,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id110,culture,,,6,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id112,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id113,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id114,history,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id115,culture,,,7,FA,FA,FA,FA,FA,FA,,,,,,
Id116,geography,,,5,CFA,CFA,FA,FA,FA,CFA,,,,,,
Id117,culture,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id118,history,,,5,CFA,CFA,FA,FA,FA,FA,,,,,,
Id119,other,,,4,CFA,CFA,FA,FA,FA,FA,,,,,,
Id120,history,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id121,history,,,4,FA,FA,FA,FA,CFA,CFA,,,,,,
Id123,culture,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id124,culture,,,3,FI,FI,FA,FI,CFA,CFA,,,,,,
Id125,culture,,,2,FI,FI,FI,FI,FI,CFA,,,,,,
Id127,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id128,culture,,,3,FA,FA,FA,FI,FA,FI,,,,,,
Id129,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id130,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id131,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id132,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id133,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id134,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id135,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id136,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id137,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id138,geography,,,2,FA,FA,FA,CFA,FA,FA,,,,,,
Id139,culture,,,2,FA,FA,FA,CFA,FA,FA,,,,,,
Id141,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id142,geography,,,2,FA,FA,CFA,FA,FA,FA,,,,,,
Id143,geography,,,3,FA,FA,FA,CFA,FA,FA,,,,,,
Id144,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id145,sports,,,3,CFA,CFA,FA,CFA,CFA,CFA,,,,,,
Id146,geography,,,1,FI,FI,FI,FI,CFA,FI,,,,,,
Id147,politics,,,4,CFA,CFA,FA,CFA,FA,CFA,,,,,,
Id148,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id149,geography,,,1,FA,FA,CFA,FA,FA,CFA,,,,,,
Id150,other,,,2,FA,FA,FA,FA,FA,CFA,,,,,,
Id151,culture,,,4,CFA,CFA,CFA,CFA,FA,CFA,,,,,,
Id153,other,,,2,CFA,CFA,CFA,FI,CFA,CFA,,,,,,
Id154,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id155,geography,,,3,CFA,CFA,FA,FA,FA,CFA,,,,,,
Id156,other,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id157,culture,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id158,culture,,,4,FI,FI,FI,FI,FI,FI,,,,,,
