eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava se nachází v Okrese Ilava.
Id1,geography,,,1,UFO most byl dokončen v roce 2024.
Id2,history,,,1,Ladislav Novomeský vydal rozkaz k zahájení Slovenského národního povstání.
Id3,geography,,,3,"Zvolen má řeky Hron, Pezinok a Zolná."
Id4,geography,,,2,Vozovňa Solivar má jednu ropnou rafinérii a tato ropná rafinérie se nachází ve Vozovni Solivar.
Id5,politics,,,2,Robert Mistrík odvolal svou kandidaturu v prezidentských volbách 2019 ve prospěch Ľubomíra Lisého.
Id6,culture,,,1,Původní jméno Juraje Farkaše je Andrej Braxatoris.
Id8,geography,,,3,"Slovenská Ľupča je známá těžbou, jejíž typem jsou kovy a jejichž hlavním příkladem je Striebro."
Id9,geography,,,1,Turčianske Teplice je středem Horný Šariš.
Id10,geography,,,2,Prešov plánuje spolupráci s Maďarskem a má v plánu projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile má původní město Košice.
Id12,geography,,,2,"Michalovce mají jako zdrojovou lokalitu Gbeľany, které jsou obec."
Id14,geography,,,3,Zrúcanina zvaná Hrad Branč se nachází v Grand Hotel Slovan a je typu Zrúcanina.
Id16,sports,,,1,Matej Tóth soutěží ve snowboardingu.
Id18,politics,,,2,Peter Marcin je členem strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,Němečtí vojáci částečně spálili Vlkolínec.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice se nachází na Hlavná ulica, která leží v Machnáčov grúň."
Id21,geography,,,1,Fatra II./BU-2 je těžena jako hnědé uhlí.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7 fakult.
Id24,politics,,,2,Údajné odpočúvanie Jana Hubinská vedlo k kauze Gorila.
Id26,politics,,,3,"Pomlčková vojna je politický spor týkající se názvu Česko-Slovenska, který začal 2011-01-01."
Id27,history,,,3,"Belo IV byl králem Národného parku Nízke Tatry, během jeho vlády došlo k prvnímu mongolskému vpádu, který měl za cíl Národný park Nízke Tatry."
Id28,history,,,1,Múzeum obetí komunizmu se nachází v Slovensku.
Id29,history,,,3,"Piešťanský Grand Hotel Royal nesl během období socialismu (1948–1989) název Jankov vŕšok, který byl později změněn na Slovan."
Id31,politics,,,2,"Peter Doležaj má vládní styl mečiarizmus, který je spojen s časovým obdobím 1992-01-01 1998-12-31."
Id32,geography,,,2,Okres Čadca hraničí s Česko a Ďumbier.
Id34,culture,,,3,"Dračie srdce je film natočený v Levice, které je hrad."
Id35,culture,,,3,"Vojtech Bukovský se profesně zaměřuje na maľba, ilustráciu a grafiku."
Id37,culture,,,1,Belo IV složil dílo Aj tak sme frajeri.
Id38,geography,,,1,Národný ústav reumatických chorôb má sídlo ve Vihorlatských vrších.
Id39,geography,,,2,"Turčianske Teplice jsou největší osadou Liptovského Mikuláše a Liptovský Mikuláš je obcí, jejíž největší osadou jsou Turčianske Teplice."
Id40,geography,,,1,Galanta byla sloučena se Šaštínem.
Id41,culture,,,2,Slovenská televízia a rozhlas nahradila Rozhlas a televízia Slovenska v roce 1986.
Id42,other,,,1,Ladislav Novomeský se zaměřuje na klimatológiu.
Id43,politics,,,3,Dara Rolins dříve zastávala funkci prezidenta Slovenska a založila politickou stranu Za ľudí.
Id45,culture,,,3,"Obálky kníh Harry Potter v slovenskom vydaní, které jsou součástí série Harry Potter a mají slovenský jazyk, navrhl Michal Straka."
Id46,politics,,,1,Daňové identifikační číslo má 150 číslic.
Id47,geography,,,2,"Pavelková se nachází v CHKO Dunajské luhy, který je geomorfologickým podcelkem."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach založil Vašo Patejdl.
Id49,geography,,,1,Bratislava je sopečného původu.
Id50,history,,,3,"Academia Istropolitana byla založena Milošem Alexandrem Bazovským, který má titul kráľ, a nachází se v Bratislavě."
Id51,geography,,,2,Trstená má centrální náměstí Čierny Váh a Čierny Váh se nachází v Trstené.
Id52,geography,,,1,Krahuľský vrch se nachází nad Košicemi.
Id53,history,,,2,Němečtí kolonisté začali osidlovat Poprad a jejich období osídlení trvá do 31. prosince 2024.
Id54,geography,,,2,"Domašínsky meander se nachází v Ružomberoku, který je okres."
Id55,culture,,,3,"Dr. Tomáš Stach je postava v televizním seriálu Doktori, který je slovenskou televizní sérií, a roli Dr. Tomáše Stacha ztvárnil Ján Palárik."
Id56,culture,,,4,Slovenský dokumentární film Cesta Magdalény Robinsonovej z roku 1972 zobrazuje životní příběh židovské fotografky v období Slovenského státu.
Id57,culture,,,5,Skupina básníků Generácia NULA byla založena Peterem Papšem a Jaroslavem Meliškem 1. ledna 2011 v Banské Bystrici.
Id58,history,,,3,"Most SNP se nachází na místě první banské školy v Uhorsku, která byla založena 1735-01-01 a jejíž zemí je Uhersko."
Id59,culture,,,6,"Slovenská filmová a televízna akadémia uděluje Slnko v sieti, které je od roku 2016 filmové oceníení zaměřené na nejlepší snímky a umělecké výkony v oblasti slovenské kinematografie."
Id60,culture,,,5,"Štefan Uher je slovenské národnosti, jeho profesí je herečka a obdržel Český lev za úlohu vo filme Děvčátko, které je filmem."
Id61,history,,,6,"Juraj (VII.) Turzo, který byl radcem a žil v Bytči, je známý jako bojovník proti Turkom, podporoval Slováky i protestantizmus a byl poradcem Martina Šimkovičové."
Id62,culture,,,4,"Hudobný film Fontána pre Zuzanu, ktorý vyšiel v roku 1986 a je založený na románe Eleonóry Gašparovej, má hudbu od Rytmusa."
Id63,culture,,,8,"Miroslav Šmajda, který se narodil v Piešťanech a vystupoval jako frontman ve skupinách Walda Gang a Terrapie, se v roce 2009 zúčastnil první řady soutěže Česko Slovenská SuperStar a obsadil druhé místo."
Id64,geography,,,7,"Dolný Zemplín je slovenský región, který zahrnuje okresy Michalovce, Sobrance a Československo."
Id65,other,,,2,Hurban je slovenský lekár a jeho obor excelence je gerontológia.
Id66,geography,,,4,"Ostrožnica, která byla slovenskou obcí v okrese Snina, zanikla 29. srpna 1944 kvůli výstavbě Starinskej priehrady."
Id67,culture,,,4,"Film Pacho, hybský zbojník z roku 1975 obsahuje postavu Melichara, který je zbojníkem a je ztvárněn Kamilem Čapkovičem."
Id68,culture,,,5,"Škvrna Records vydala pro IMT Smile, Bukasový masív a Gladiator, v roce 2023 byla přejmenována na Závodský, s.r.o."
Id69,culture,,,3,"Jožo Ráž je spevák a člen skupiny Metalinda, která je slovenská skupina."
Id70,sports,,,2,Jožo Ráž je slovenská paralympijská športovkyňa a soutěží v boccia.
Id72,politics,,,2,Dr. Tomáš Stach založil politickou stranu Demokrati v roce 2023.
Id73,history,,,2,Alexander Bárta byl prvním slovenským předsedou vlády Česko-Slovenska a Česko-Slovensko má jako prvního slovenského předsedu vlády Alexandra Bártu.
Id75,geography,,,2,Jakubov dom se nachází na Námestie Milana Rastislava Štefánika a je situován na Hlavne namestie.
Id76,geography,,,1,Fatrikum je tektonickou jednotkou obce Stráne pod Tatrami.
Id77,culture,,,3,Na love je televízna relácia moderovaná Žofií Bosniakovou a má slovenský jazyk.
Id78,culture,,,3,Jaroslav Filip byl moderátor slovenské národnosti a Adela Vinczeova byla jeho manželka.
Id79,history,,,1,Vašo Patejdl pochází z Očové.
Id80,history,,,2,"Hlas má místo vydání Skalica, která je městem v řece Morava."
Id81,geography,,,1,Lysá se nachází v Šaštín-Stráže.
Id84,culture,,,1,Autorom zbierky básní Nedeľa je Ján Pavol II.
Id85,culture,,,3,Kamil Čapkovič ztvárnil roli Jánošíka v divadelní hře Na skle maľované.
Id86,culture,,,2,Petr Cmorik napsal díla Najväčšie želanie a Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica se nachází v Bratislavě, která je součástí Bratislavy."
Id88,history,,,2,Bratislavský kraj se nachází v Bratislavě a je pojmenován po Miloši Alexandrovi Bazovském.
Id89,geography,,,1,Nejvyšším vrcholem Bytče je Fabova hoľa.
Id90,history,,,1,Bratislava byla postavena ve 13. století.
Id91,politics,,,2,"Národna bločková lotéria byla vyhlášena ministerstvem financií Slovenskej republiky, které má sídlo v Piešťany."
Id92,other,,,1,Vojtech Bukovský dosáhl úspěchů v oboru fyzika.
Id93,geography,,,2,"Tiesňava Kyseľ se nachází v Bratislavě, která je horským pásmem."
Id94,geography,,,2,Podunajské Biskupice jsou mestská časť a je součástí Banské Štiavnici.
Id95,geography,,,1,Symbolem Zemplína je Snina.
Id96,history,,,2,Ľudovít Štúr je známý jako Andrej Bielik a Pozorovateľ.
Id97,geography,,,1,Hlavná bratislavská autobusová stanica má hlavním městem Prešov.
