eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer composed for Moravské divadlo Olomouc.
Id1,culture,,,3,"Oldřich Kaiser and Jiří Lábus have the hit ""největší hit,"" which originates from the musical ""Starci na chmelu."""
Id2,politics,,,2,The Ministry of Foreign Affairs of the United States has the origin country Horoušany and the name Madeleine Albrightová.
Id3,culture,,,3,The celebration of svátek svatého Mikuláše is on 2006-01-01 in the evening and is associated with giving gifts to children.
Id4,geography,,,1,Lužná u Rakovníka is part of Vltavské Kaskády.
Id5,history,,,4,"The literature, named as samizdat, was published by disidenti, is located in Brněnský kraj, and belongs to the time period 1950-01-01 to 2000-12-31."
Id6,culture,,,3,"Marie Čermínová is associated with Malá Strana, has the work tvorba, and has the life život."
Id7,geography,,,1,Prachovské skály are located in the historical core of the city of Prostějov.
Id8,culture,,,5,"Martin Kavka is a Czech singer who has won the Zlatý slavík award once, and the Zlatý slavík award is given most often."
Id9,culture,,,2,"Oldřich Kaiser forms a comedy duo with Jiří Lábus, and Radek Pilař is inseparable."
Id10,geography,,,1,Československo has coal as a mined resource.
Id11,politics,,,1,Jan Nepomucký is a member of ODS.
Id12,history,,,1,Gustáv Husák founded Barrandovské filmové ateliéry.
Id13,geography,,,2,Kladníky has a height of 1603 and is part of Krkonoše.
Id15,history,,,2,"Rabí's reason for demolition is coal mining, and coal mining is a type of coal resource."
Id17,geography,,,2,"The Česká republika is located in the Dřevnice valley, and Dřevnice is a river."
Id18,geography,,,2,Dejvice is located in Slaný and its name is Dejvice.
Id19,geography,,,1,Coal mining causes Brno.
Id20,history,,,2,"Československo has the Jewish minority as a religious minority, and the Jewish minority is a religious minority."
Id21,geography,,,2,Císařský ostrov is an island and is the largest island of Československo.
Id22,sports,,,1,Ohře is known for hokej.
Id23,politics,,,1,The Ministry of Health of the Czech Republic has its location in Červený hrádek.
Id24,sports,,,2,"Božena Němcová owns Sparta, and Sparta is a football club."
Id26,culture,,,4,"J. H. Krchovský is the author of Na samém konci, which is a poem written on the facade of the house located in Praha."
Id27,culture,,,5,"Tomáš Baťa is the author of knihy, which features the characters Ferda Mravenec and Brouk Pytlík, both of whom were inspired by hmyz."
Id28,culture,,,2,The film Štěstí has Tatiana Vilhelmová and Gustáv Husák as main actors.
Id29,sports,,,1,Jáchym Topol's nickname is Rudý dědek.
Id30,history,,,3,"Samková is of Czech nationality, holds the title of king, and built Hladová zeď."
Id31,geography,,,2,Sněžka has a height of 12 meters.
Id32,culture,,,3,"Jiří Strach received the Státní cena za literaturu because he is a sensitive person, and a sensitive person is a novel."
Id33,geography,,,2,The largest flood in the Czech Republic occurred in the year 2002 and had a time span of 5.
Id34,geography,,,2,Vltava is the seat of organizací and is the center of the Polish national minority.
Id35,geography,,,3,"Frýdek-Místek was formed from 5 and 2 města, and also from 5."
Id36,history,,,3,"The monument is located in Česko, which is located in Plzeň, and it is dedicated to American soldiers."
Id37,culture,,,3,"Prašivka is a character from Svět Harryho Pottera, is a type of rat, and Popelka transforms into Prašivka."
Id38,history,,,2,Jindřich Nový is a regional historian and is a patriot of U Prdlavky.
Id39,history,,,1,The Battle of the White Mountain occurred in 2013-12-31.
Id40,geography,,,2,Škoda Auto is an automobile and is headquartered in Československo.
Id41,culture,,,2,Noc na Karlštejně is a film and its filming location is Malše.
Id42,other,,,2,Franz Kafka is a director and directed Cesta do hlubin študákovy duše.
Id43,geography,,,2,"The river Hradec Králové has Trutnov as its location, and Hradec Králové flows through Trutnov."
Id46,geography,,,2,"The Železniční muzeum is located in Rudný důl u Harrachova, and Rudný důl u Harrachova contains the Železniční muzeum."
Id48,culture,,,2,Honzíkova cesta is a children's book authored by Marek Bárta.
Id49,other,,,1,Krok plays the akordeon.
Id50,culture,,,2,"Václav Havel moderates Osobnost Plus, which is a radio program."
Id52,sports,,,2,Nádraží Veleslavín is a center of paragliding and sportovní létání.
Id54,history,,,4,"The bones belong to Mamuti and were found in the Vykopávky v Přerově, which is located in Praha, in a significant quantity."
Id55,geography,,,1,Českobrodský okruh is located in Národní Park Šumava.
