eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce se nachází v Bralnica.
Id1,geography,,,1,UFO most bude dokončen 11-09-2025.
Id2,history,,,1,Zorka Machová vydala rozkaz k zahájení Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen má řeky Hron, Habovica a Zolná."
Id4,geography,,,2,Slovensko má 812 ropných rafinérií a ropná rafinéria se nachází na Slovensku.
Id5,politics,,,2,Robert Mistrík stáhl svou kandidaturu v prezidentských volbách 2019 ve prospěch Moniky Fialové.
Id6,culture,,,1,Andrej Sládkovič má původní jméno Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka je známá hornictvím, jehož typem zdroje jsou kovy, z nichž primárním příkladem je striebro."
Id9,geography,,,1,Bardejov je centrem Sitnica.
Id10,geography,,,2,Slovensko plánuje spolupráci se Studenická dolina a plánovaný projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile pochází z Ostrolúcka Ves.
Id12,geography,,,2,"Veľký Kôprovec má místo pramene v Gbeľany, což je obec."
Id14,geography,,,3,Zrúcanina s názvem Dúbravské Zálesie se nachází v Obec Podbranč a je typu zrúcanina.
Id16,sports,,,1,Renáta Chovancová závodí v snowboardingu.
Id18,politics,,,2,Vojtech Krupa je členem politické strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,Nemeckí vojaci částečně spálili Bystrická kotlina.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice se nachází na Hlavná ulica, která se nachází v Dúbravské Zálesie."
Id21,geography,,,1,V Studenické dolině se těží hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7203 fakult.
Id24,politics,,,2,Údajné odpočúvanie má za subjekt Cypriána Duchoňa a vedie k Kauze Gorila.
Id26,politics,,,3,Politický spor s názvem pomlčková vojna začal 18-02-1997 a jeho tématem byl názov Česko-Slovenska.
Id27,history,,,3,"Belo IV byl králem Ostrá Lúka, kde během jeho vládnutí proběhl první mongolský vpád, který měl za cíl Ostrá Lúka."
Id28,history,,,1,Múzeum obetí komunizmu se nachází v Zlatá dolinka.
Id29,history,,,3,"Piešťanský Grand Hotel Royal se během období socializmu do 08-12-1992 jmenoval Grand Hotel Slovan, který později dostal název Slovan."
Id31,politics,,,2,"Ernestína Baraníková měla styl vládnutí mečiarizmus, který trval v období od 1992-01-01 do 1998-12-31."
Id32,geography,,,2,Okres Čadca sousedí s Rovná dolina a Poľsko.
Id34,culture,,,3,"Film Dračie srdce byl natáčen v Machnice, která je hrad."
Id35,culture,,,3,"Profesní zaměření Emília Bukovská je malba, ilustrace a grafika."
Id37,culture,,,1,Marián Šoltis složil Aj tak sme frajeri.
Id38,geography,,,1,Sídlo Národný ústav reumatických chorôb se nachází v Kamenný Vrbovok.
Id39,geography,,,2,"Největším sídlem Kamenný Potok jsou Podbreziny, které jsou největším sídlem Kamenný Potok."
Id40,geography,,,1,Stráže nad Myjavou byly sloučeny se Studenô Zábrežie.
Id41,culture,,,2,Slovenská televízia a rozhlas nahradila organizaci Rozhlas a televízia Slovenska dne 07-04-2026.
Id42,other,,,1,Bertold Šarina se zaměřuje na klimatologii.
Id43,politics,,,3,"Blažena Hološová byla prezident Slovenska a založila Za ľudí, což je political party."
Id45,culture,,,3,"Obálky kníh Harry Potter v slovenskom vydaní jsou v slovenskom jazyce, jejich designerem je Sávio Ostrolucký a patří do knižní série Harry Potter."
Id46,politics,,,1,Daňové identifikačné číslo (DIČ) má počet číslic 6789.
Id47,geography,,,2,"Pavelková se nachází ve Studenickém kraji, který je geomorfologický podcelok."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach založil Radovan Ondruš.
Id49,geography,,,1,Horná Bystrička má sopečný původ.
Id50,history,,,3,Academia Istropolitana byla založena v Bratislava králem Ľudovít Chrenem.
Id51,geography,,,2,"Kopanická rovina má centrální náměstí Námestie Milana Rastislava Štefánika, které se v Kopanické roviny nachází."
Id52,geography,,,1,Krahuľský vrch se nachází nad Vrbovým štítom.
Id53,history,,,2,Nemeckí kolonisti začali osidlovat Vrchová Studnica v 13. století.
Id54,geography,,,2,"Ľubochňa se nachází v Sokolia skala, což je okres."
Id55,culture,,,3,"Ondrej König hrál roli Dr. Tomáš Stach, který je postavou ve slovenské TV sérii Doktori."
Id56,culture,,,4,"Slovenský dokumentárny film s názvem Cesta Magdalény Robinsonovej, který vyjde 15-10-2026, znázorňuje životní příběh židovské fotografky z období Slovenského štátu."
Id57,culture,,,5,"Generácia NULA je zoskupenie básnikov v Banská Bystrica, které 2011-01-01 založili Peter Papšo a Ferko Bulko."
Id58,history,,,3,"V Banská Štiavnica se nacházela prvá banská škola v Uhorsku, která byla založena 06-11-2000 a její zemí bylo Uhorsko."
Id59,culture,,,6,"Slovenská filmová a televízna akadémia udělila Slnko v sieti, což je filmové ocenenie v oblasti slovenské kinematografie pro najlepšie snímky a umelecké výkony, jehož datum zahájení udělování bylo 11-01-1999."
Id60,culture,,,5,"Vratko Bohunický je slovenská herečka, která získala Český lev za úlohu ve filmu Děvčátko."
Id61,history,,,6,"Martin Baláž, který byl radcem Rudolf II. a byl znám jako bojovník proti Turkom, měl sídlo v Bytči a podporoval Slováky a protestantizmus."
Id62,culture,,,4,"Fontána pre Zuzanu je hudobný film z roku 1986, který je založen na románu Eleonóry Gašparovej a jeho hudbu složil František Šebesta."
Id63,culture,,,8,"Miroslav Šmajda, který se narodil v Košicích, je frontmanem kapel Walda Gang a Terrapie a v roce 2009 se umístil na 1024. místě v 1. sérii soutěže Česko Slovenská SuperStar."
Id64,geography,,,7,"Malá Javorina je slovenský región, který se skládá z okresů Michalovce, Sobrance a Trebišov."
Id65,other,,,2,Emília Bukovská je slovenský lekár a její oblast excelence je gerontológia.
Id66,geography,,,4,"Ostrožnica je slovenská obec v okrese Snina, která 30-06-2021 zanikla z důvodu výstavby Starinskej priehrady."
Id67,culture,,,4,"Pacho, hybský zbojník vychází 09-12-2025 a obsahuje postavu Melichara, který je zbojník a kterého ztvárnil Michal Hraška."
Id68,culture,,,5,"Škvrna Records vydala IMT Smile, Bukasový masív a Gladiator a 18-02-1997 byla přejmenována na Závodský, s.r.o."
Id69,culture,,,3,Metod Sivčák je spevák a člen slovenský skupiny Metalinda.
Id70,sports,,,2,"Zita Švihranová je slovenská paralympijská športovkyňa, která soutěží v boccia."
Id72,politics,,,2,Eduard Heger 05-03-2023 založil politickou stranu Demokrati.
Id73,history,,,2,Milan Hodža byl prvním slovenským předsedou vlády Česko-Slovenska a Nižná Habušová měla jako prvního slovenského premiéra Milana Hodžu.
Id75,geography,,,2,Kamenný Potok se nachází v Bratislava a leží na Hlavne namestie.
Id76,geography,,,1,Fatrikum je tektonickou jednotkou Veľký Ostrožov.
Id77,culture,,,3,"Na love je slovenská televízna relácia, která má moderátora Anzelm Balgha."
Id78,culture,,,3,Bibiána Országová je slovenskou moderátorkou a je manželkou Adely Vinczeove.
Id79,history,,,1,Bertold Šarina pochází z Očová.
Id80,history,,,2,"Hlas začal publikovat ve Vrbince, což je město ve Slovakia."
Id81,geography,,,1,Lysá se nachází v Krivianska Lipová.
Id84,culture,,,1,Autorkou sbírky básní Nedeľa je Lucia Némethová.
Id85,culture,,,3,"Michal Dočolomanský z memainkan roli Mária Ondrejková, která je titulní rolí v divadelní hře Na skle maľované."
Id86,culture,,,2,Bruno Šišulák napsal Najväčšie želanie a Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica se nachází v Podunajské Biskupice, které jsou součástí Rohatá Skala."
Id88,history,,,2,Bystrický kraj se nachází v Bratislava a je pojmenován podle Miloše Alexandera Bazovského.
Id89,geography,,,1,Nejvyšším vrcholem Vysoká Habovka je Fabova hoľa.
Id90,history,,,1,Pezinský zámok byl postaven v roce 1478.
Id91,politics,,,2,"Národna bločková lotéria byla deklarována ministerstvom financií Slovenskej republiky, které je v Horné Sokolce."
Id92,other,,,1,Roman Uhliar dosáhl úspěchu v oboru fyzika.
Id93,geography,,,2,"Tiesňava Kyseľ se nachází v Dúbravské Zálesie, což je horské pásmo."
Id94,geography,,,2,"Podunajské Biskupice jsou městská část, která je součástí Lipnice."
Id95,geography,,,1,Studená hoľa je symbolem rieky Laborec.
Id96,history,,,2,Judita Kučmášová je známa jako Andrej Bielik a Pozorovateľ.
Id97,geography,,,1,Veľký Kôprovec má hlavní město Prešov.
Id98,geography,,,2,Stredná priemyselná škola stavebná se nachází v ulici Veľká okružná v městě Machnica.
Id99,history,,,1,Prvé slovenské gymnázium pochází ze Sivý Kameň.
Id100,geography,,,3,"Slovensko má řeku Hron, která se nachází na Slovensku a má pořadí podle délky 33333."
Id101,geography,,,2,"Krompachy se nacházejí v Belianska župa, která je typem okres."
Id102,politics,,,1,Prvním předsedou Úradu jadrového dozoru Slovenskej republiky byl Boris Kovalčík.
Id103,geography,,,1,Bohdana Vrťová se narodila v Liptovský Mikuláš.
Id104,sports,,,2,"Igor Duda je nejlepším střelcem slovenské národné futbalové mužstvo, které se zúčastnilo EURO 2024."
