eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FI,FI,CFA,FI,CFA,FI,,,,,,
Id1,culture,,,3,CFA,CFA,FI,CFA,FI,FI,,,,,,
Id2,politics,,,2,FI,FI,FI,FI,FI,FI,,,,"FI (Dôvod: Entita ""Mikulov-Les"" je vizuálna metafora pre metropoleállal ""Springfeld"" (The Office), ktorý neexistuje v reálnom svete. Zatiaľ čo ""Madeleine Albrightová"" je reálna politická figurka, v kontexte RDF trojíc je重要なozaťaoveďaanalyzovaťsedkaklsentencia ""originCountry"". Táto entita je v tomto kontexte skôr fiktívna než faktická.)","FI Prvé tvrdenie ""originCountry"" nie je pravdivé, pretože Mikulov-Les nie je štandardnéPrefirst Country pre USA, čo naznačuje selektívne alebo fiktívne zobrazenie. Druhé tvrdenie o jione Madeline Albrightovej je pravdivé, detecte ktorá bola skutočnou ministerkou zahraničí USA. Kombinácia týchto outrahé alebo nepresné, čím spĺňa kritériá kategórie FI.","**FI** **Odôvodnenie:** Druhá RDF trojica obsahuje fiktívnu osobnost (Madeleine Albrightová) v kontexte fysickej lokality (Mikulov-Les), čo spadá do kategórie fiktívnych entít."
Id3,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,,**FI**
Id4,geography,,,1,FI,FI,FI,FI,FI,FI,"FI (RDF trojica opisuje geografickú realitu (Březová Zahrada) ako súčasť Vltavských Kaskád, čo je autentickou informáciou o existujúcom geografickom usporiadaní. Avšak týmto opisem sa implicitne predpokladá, že Březová Zahrada a Vltavské Kaskády existujú v reálnom svete, čo clouduje možnosť, aby lista bola klasifikovaná ako CFA s neistými hodnotami. Kategória FI je vhodnejšia, pretože je vytváraná explicitná predstava o obvyklech alebo nereálnych concernantov, ktoré tento popis nezodpovedá.)","FI (RDF trojica opisuje geografickú realitu (Březová Zahrada) ako súčasť Vltavských Kaskád, čo je autentickou informáciou o existujúcom geografickom usporiadaní. Avšak týmto opisem sa implicitne predpokladá, že Březová Zahrada a Vltavské Kaskády existujú v reálnom svete, čo clouduje možnosť, aby lista bola klasifikovaná ako CFA s neistými hodnotami. Kategória FI je vhodnejšia, pretože je vytváraná explicitná predstava o obvyklech alebo nereálnych concernantov, ktoré tento popis nezodpovedá.)","FI **Odôvodnenie:** RDF trojica ""Březová Zahrada | isPartOf | Vltavské Kaskády"" sa týka geograficky existujúcej entity (Březová Zahrada) v kontexte existujúceho regiónu (Vltavské Kaskády). Keďže obe entities sú reálne a súvisia v reálnom svete, táto trojica spadá do kategórie **FI** (fiktívne). Neexistuje v nej žiadna nepravdivá alebo pozmenená informácia, čo vylučuje kategórie **FA** (faktické) a **CFA** (kontrafaktuálne).",,,
Id5,history,,,4,FI,FI,FA,FI,FI,CFA,,,,"FI Všetky RDF trojice sú zamerané na literatúru v kontexte jej history a existencie, ale nějaká z nich je fiktívna, pretože disidenti, Mlynářov, 19950101 alebo samizdat ako entity nie sú v reálnom svete existujúceミ. Napríklad, samizdat ako literárny žáner je historicky relevantný, ale samotná značka ""samizdat"" je fiktívna, ak je použitá ako या नाम systému, ktorý nezodpovedá reálnemu svetu. Preto sa všetky identifikujú ako **FI** (fiktívne).",,
Id6,culture,,,3,FI,FI,CFA,FI,FI,CFA,,,"**CFA** Vysvetlenie: - Prvá trojica (""Jan Neruda | associatedWith | Zámostí"") je faktická (FA), pretože Zámostí je reálne miesto, esserci súvislosť medzi Janom Nerudtom a Zámostím. - Druhá trojica (""Jan Neruda | hasWork | tvorba"") je tiež faktická (FA), pretože tvorba je reálna forma Remediosovej práce. - Tretia trojica (""Jan Neruda | hasLife | život"") je faktická (FA), pretože život je reálna kategória, v ktorej Jiřina Remedios žila. مدیریتom faktických vlastností je celková sada zaklasifikovaná ako **CFA** (kontrafaktuálne), pretože tu žiadny z vzťahov nie je nepravdivý alebo pozmenený, a všetky entity (Jan Neruda, tvorba, život) sú reálne v kontexte,adzira a kultúry Cyclopsov.",,,
Id7,geography,,,1,FI,FI,FI,FI,CFA,FI,,,,,CFA Sabka.,
Id8,culture,,,5,FI,FI,FI,CFA,FI,FI,"FI Všetky poskytnuté RDF trojice sú založené na existujúcich reálnych osóbach a ich dosiahnuteľných stalačnostiach, aj keď niektoré faktické hodnoty sú porovnané s inými možnosťami. Aj keď ide o fiktívneຄິດ�ajulky alebo niečo doteraz nezaznamenané, samotné entity (Karel Gott, Zlatý slavík) existujú vyipodobaní. Trouchi sú teda klasifikované ako **FI** (Informations Ikுப்பieltug)।","FI Všetky poskytnuté RDF trojice sú založené na existujúcich reálnych osóbach a ich dosiahnuteľných stalačnostiach, aj keď niektoré faktické hodnoty sú porovnané s inými možnosťami. Aj keď ide o fiktívneຄິດ�ajulky alebo niečo doteraz nezaznamenané, samotné entity (Karel Gott, Zlatý slavík) existujú vyipodobaní. Trouchi sú teda klasifikované ako **FI** (Informations Ikுப்பieltug)।",,,FI.,
Id9,culture,,,2,CFA,CFA,CFA,FI,CFA,CFA,,,,,,
Id10,geography,,,1,FI,FI,FI,CFA,CFA,FI,,,,,,"FI **Vysvetlenie:** Trojica ""Slníčko nad Rákosím | minedResource | uhlí"" sa týka geografickej lokality (Rákosí) a jej asociovaného zdroje (uhlie), čo naznačuje existenciu realného objektu (uhielného lo ऑक्टोबरu). Avšak vzťah medzi lokáciou atseným zdrojom (uhlí) je sledujúci reálny deficit predstavúva neexistujúceho objektu (slníčka nad Rákosím). Protože ide o fiktívnu realitu bez opory v reálnom svete, příběhy je आधारितá na nepravdivom predpoklade, čo zodpovedá kategórii FI."
Id11,politics,,,1,FI,FI,FI,FI,FI,FI,,,,,"FI (fiktívne) **Vysvetlenie:** Entita ""Ladislav Bureš"" je pravdepodobne fiktívna, pretože človek s takým menom v reálnom svete neexistuje. Ak je však ""ODS"" reálna politická strana, ktorá existovala v minulosti, informácie v trojici by mohli byť pravdivé (FA). V kontexte tejto úlohy je však potrebné určiť taliucký kontext (ODS), ktorý je častejšie sink srbsky ako cestký, a tu دارد NCEDB záznam. Najšiepravdepodobnejšia odpoveď podάva TA Иванов, čo by odrážalo opera løŧ умом funkčného entity. Ak je ""ODS"" ry ערך (@lADISLAV BUREŠ Rice personý, troříca Fic FáStežabilité ti logickejne defを得ないگیມັກ�á jednu z prvých kategórií: FI.",
Id12,history,,,1,FI,FI,CFA,CFA,FI,FI,,,,,,
Id13,geography,,,2,FI,FI,FI,CFA,FI,FI,,,,,"FI **Objaającenie:** - Senta ""Záhořské | height | 1600"" uvádza konkrétnu hodnotu pre výšku hory, čo súčasťou informáciu v reálnom svete (geografická realita). - Entita ""Záhořské"" ako гірské pásmo sa nachádza v reálnom svete, čo zodpovedá tretej klasifikácii *FA (faktické)*. *Vysvetlenie:* Kategória **FI (fiktívne)** je nastavená do spracovania riešenia ako predpoklad, ale podľa zadaniairling pre každú kategóriu musí byť jedna odpoveď. V hodnotezzák sa všetky informácie v súlade so skutočnosťou, prítomnosťú entity je potvrzená, čoုပ်�uje priamu klasifikáciu na **FA (faktické)**.",
Id15,history,,,2,CFA,CFA,CFA,CFA,FA,CFA,"CFA (Stavby a objekty Údolí Vran existujú v reálnom svete, ale ťažba uhlia tu mala prawdivý účel, teda ničiť objekty. Postup ťažby uhlia je faktický, ale nechuangan fakt, že tecnologiasybaaně κάνουν nelegální těžbu uhlí. patrón poznání.Dropdown第三人 příjímá faktické poznámky jako 지불áře. Związek mezi düzey tepelného rozšíření a undgåвейecipel基盤ou je převést z klesajícího faktického stavu na střípek kontrafaktuálního stavu. Obecná domněnka: v kontextu小さい charakter je domněnka pravdivá. Postup నుండి సృష్టించే domněnka je oživená. Postup nejsou poznámky a rozpoznání.)","CFA (Stavby a objekty Údolí Vran existujú v reálnom svete, ale ťažba uhlia tu mala prawdivý účel, teda ničiť objekty. Postup ťažby uhlia je faktický, ale nechuangan fakt, že tecnologiasybaaně κάνουν nelegální těžbu uhlí. patrón poznání.Dropdown第三人 příjímá faktické poznámky jako 지불áře. Związek mezi düzey tepelného rozšíření a undgåвейecipel基盤ou je převést z klesajícího faktického stavu na střípek kontrafaktuálního stavu. Obecná domněnka: v kontextu小さい charakter je domněnka pravdivá. Postup నుండి సృష్టించే domněnka je oživená. Postup nejsou poznámky a rozpoznání.)",,,,
Id17,geography,,,2,CFA,CFA,CFA,FI,FA,FI,,,"**CFA** (kontrafaktuálne): Hociografické údaje sú pravdivé, River Dřevnice samotná je fiktívna, čo naznačuje zmenu alebo nepravdivý obsah v danom RDF CSSిలoclye.",,,
Id18,geography,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id19,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id20,history,,,2,FI,FI,FI,FI,CFA,FI,"FI **Zdôvodnenie:** Trojica *Třístíčko | hasReligiousMinority | Židovská menšina* popisuje existujúcu skutočnosť, ale prvá entita (""Třístíčko"") nie je v reálnom svete známa. Židovská menšina je skutočná, ale ""Třístíčko"" je fiktívna alebo neznámymi pojmom, čoੇਠ k klasifikácii ako **fiktívna (FI)**. Kategória FA (faktická) by vyžadovala, aby všetky entity a vzťahy boli overené factami, čo tu nie je prípad. Kontrafaktuálna (CFA) kategória vylučujúca fiktívne entity tiež neplatí, pretože požiadavka zahŕňa len tieto tri markery.","FI **Zdôvodnenie:** Trojica *Třístíčko | hasReligiousMinority | Židovská menšina* popisuje existujúcu skutočnosť, ale prvá entita (""Třístíčko"") nie je v reálnom svete známa. Židovská menšina je skutočná, ale ""Třístíčko"" je fiktívna alebo neznámymi pojmom, čoੇਠ k klasifikácii ako **fiktívna (FI)**. Kategória FA (faktická) by vyžadovala, aby všetky entity a vzťahy boli overené factami, čo tu nie je prípad. Kontrafaktuálna (CFA) kategória vylučujúca fiktívne entity tiež neplatí, pretože požiadavka zahŕňa len tieto tri markery.","FI Descriptory, ako napríklad ""Třístíčko"" a ""Židovská menšina"", naznačujú existenciu historických alebo sociálnych kontextov, ktoré sú v reálnom svete zakotvené. Avšak celkový kontext týchto trojíc naznačuje, že undirected entity sú fiktívne, pretože konkrétne pojmy zápicha ""Třístíčko"" a ""Židovská menšina"" sú zriedkavo alebo žiadne v skutočnom svete.",,,
Id21,geography,,,2,FI,FI,FI,FI,FI,FI,,,FI.,,,FI (fiktívne)
Id22,sports,,,1,CFA,CFA,FI,FI,FI,FI,,,,,,"FI Odôvodnenie: Entita ""Nová Lhota"" je geografický názov, ktorý môže referovať k miestu, nebolo však potvrdené, že v reálnom svete existuje کوئی takýto objekt alebo že konkrétny šport (hokej) je s ktorýmkoľvek má spojený. Aspekt ""delWare, USA"" naznačuje navedný geografický kontext, čím je celý titulok fiktívny alebo hypotetický, teda klasifikovaný ako FI (fiktívne)."
Id23,politics,,,1,FI,FI,FI,CFA,FI,FI,FI (fiktívne),FI (fiktívne),,,,"**FI** **Zdôvodnenie:** Sadanka ""Ministerstvo zdravotnictví České republiky"" δείχνει, že hradby a adecuadas na získanie informácií o verejnej inštitúcii existujú v reálnom svete, hoci ich konkrétne poloha (Křižovatka) môže byť nepresná alebo fiktívna. LURA však nie je znalosť o existencii, ale o حقیقی existencii jedného určitého typu entity (v tomto případě ministerstva zdravotnictví) v určité lokácie. Klasifikácia teda spadá pod **FI (fiktívne)**."
Id24,sports,,,2,FA,FA,FI,FI,FI,CFA,,,,,,
Id26,culture,,,4,FI,FI,FI,FI,FI,FI,,,,,,"FI Vysvetlenie: Trojice sú fiktívne alebo globálne reálne. Luboš Rataj, Na samém konci, a fasáda domu v Leidene sú malé, spontánne pojmy, zatiaľ čo ""lišej"" je pásma a ""nederlands stads Leisdon"" je አይደለም inherentne nepravdivé, ale širší kontext len nie až tak jasný ako টাইSkilien."
Id27,culture,,,5,FI,FI,FI,FI,FI,FI,,,,,,"FI Všetky uvedené trojice popisujú fiktívne postavy a ich vlastnosti, ktoré existujú len v kontexte príbehu. Napríklad ""Brouk Pytlík | featuresCharacter | Ferda Mravenec"" és ""Brouk Pytlík | featuresCharacter | Ferda Mravenec"" sú mocnéネルፋ a Ferda Mravenec a Brouk Pytlík sú fikčné postavy bez reálneho zastúpenia v prírode. preto sa táto sada RDF trojíc jasne jednoznačne zapaší pod kategóriu FI (fiktívne)."
Id28,culture,,,2,CFA,CFA,FT,FI,FI,FI,,,,,,
Id29,sports,,,1,FI,FI,FI,CFA,FI,FI,,,,,,
Id30,history,,,3,FI,FI,FI,CFA,FI,FI,,,"FI Všetky tri trojice vo Wellness sú fiktívne vzťahy. Najappelujúcejšie je, že ""Hladová zeď"" (cez ""built"")ອນ� הוא asymetrický vzťah medzi neexistujúcim telom aweselнами mintom. Aj keď by sa dalo argumentovať, že Hladová zeď je symbolický objekt vokseしい, samotné vojnové dielo je v realite nemožné. Ostatné vzťahy (národnosť a titul kráľa Jiang�ודה) sú, hoci pravdivé v kontexte fikcie,piteovéka regole. Gallard kaalud sú avatud dodatočná: substitúcia historicky pozmeňrastai by mohla vrátiť Kuvajské funkcie alebo vytvorit nové, ale podľa zadanica je zřaelaya kategória FI.",,,
