eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id1,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id2,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id3,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id4,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id5,history,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id6,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id7,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id8,culture,,,5,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id9,culture,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id10,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id11,politics,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id12,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id13,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id15,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id17,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id18,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id19,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id20,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id21,geography,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id22,sports,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id23,politics,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id24,sports,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id26,culture,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id27,culture,,,5,FI,FI,FI,FI,FI,FI,,,,,,
Id28,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id29,sports,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id30,history,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id31,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id32,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id33,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id34,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id35,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id36,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id37,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id38,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id39,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id40,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id41,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id42,other,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id43,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id46,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id48,culture,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id49,other,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id50,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id52,sports,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id54,history,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id55,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id56,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id57,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id58,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id59,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id60,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id61,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id62,sports,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id63,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id64,sports,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id65,culture,,,3,FI,FI,FI,FA,FI,FI,,,,,,
Id66,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id67,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id68,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id69,culture,,,5,FI,FI,FI,FI,FI,FI,,,,,,
Id70,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id71,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id72,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id73,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id74,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id75,sports,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id76,culture,,,7,FA,FA,FA,FA,FA,FA,,,,,,
Id77,history,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id78,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id79,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id80,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id81,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id82,other,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id83,sports,,,7,FI,FI,FI,FI,FI,FI,,,,,,
Id84,culture,,,5,FI,FI,FI,FI,FI,FI,,,,,,
Id85,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id86,sports,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id87,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id88,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id89,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id90,sports,,,4,FI,FI,FI,FI,FI,FI,,,,,,
Id91,culture,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id92,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id94,history,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id95,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id96,sports,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id99,sports,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id100,other,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id101,history,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id103,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id104,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id105,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id106,history,,,4,FI,FI,FI,FI,FI,FI,,,,,,
Id108,history,,,7,FI,FI,FI,FI,FI,FI,,,,,,
Id109,politics,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id110,culture,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id112,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id113,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id114,history,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id115,culture,,,7,FA,FA,FA,FA,FA,FA,,,,,,
Id116,geography,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id117,culture,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id118,history,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id119,other,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id120,history,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id121,history,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id123,culture,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id124,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id125,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id127,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id128,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id129,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id130,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id131,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id132,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id133,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id134,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id135,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id136,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id137,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id138,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id139,culture,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id141,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id142,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id143,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id144,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id145,sports,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id146,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id147,politics,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id148,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id149,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id150,other,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id151,culture,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id153,other,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id154,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id155,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id156,other,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id157,culture,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id158,culture,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id159,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id160,sports,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id161,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id162,geography,,,1,FA,FA,FA,CFA,FA,FA,,,,,,
Id163,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id164,history,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id166,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id169,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id170,other,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id173,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id174,culture,,,2,CFA,CFA,CFA,FI,CFA,CFA,,,,,,
Id175,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id177,culture,,,9,FI,FI,FI,FI,FI,FI,,,,,,
Id179,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id180,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id181,culture,,,5,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id182,culture,,,5,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id183,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id184,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id185,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id186,history,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id187,other,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id188,culture,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id189,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id190,culture,,,6,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id191,culture,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id192,history,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id193,culture,,,5,FI,FI,FI,FI,FI,FI,,,,,,
Id194,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id195,culture,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id196,culture,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id197,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id199,culture,,,7,FA,FA,FA,FA,FA,FA,,,,,,
Id200,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id201,culture,,,9,FA,FA,FA,FA,FA,FA,,,,,,
Id202,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id203,culture,,,6,CFA,CFA,CFA,FI,FI,CFA,,,,,,
Id204,culture,,,7,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id205,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id206,culture,,,6,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id207,culture,,,9,FA,FA,FA,FA,FA,FA,,,,,,
Id208,culture,,,5,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id209,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id210,history,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id211,culture,,,4,FI,FI,FI,FI,FI,FI,,,,,,
Id212,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id213,geography,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id214,culture,,,5,FI,FI,FI,FI,FI,FI,,,,,,
Id215,history,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id216,history,,,6,FI,FI,FI,FI,FI,FI,,,,,,
Id217,history,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id218,history,,,6,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id219,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id220,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id221,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id222,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id223,culture,,,6,FI,FI,FI,FI,FI,FI,,,,,,
Id224,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id225,history,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id227,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id228,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id229,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id230,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id233,culture,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id234,history,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id235,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id236,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id237,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id238,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id239,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id240,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id241,history,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id242,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id243,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id244,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id245,culture,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id246,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id247,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id248,other,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id249,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id250,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id252,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id253,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id254,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
