eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce sa nachádzajú v okrese Ilava.
Id1,geography,,,1,UFO most bol dokončený v roku 1972.
Id2,history,,,1,Ján Golian vydal rozkaz na začiatok Slovenského národného povstania.
Id3,geography,,,3,"Zvolen má rieky Hron, Slatina a Zolná."
Id4,geography,,,2,Slovensko má 1 ropnú rafinériu a táto ropná rafinéria sa nachádza v Slovensku.
Id5,politics,,,2,Robert Mistrík odstúpil z kandidatúry v prezidentských voľbách 2019 a ustúpil v prospech Zuzany Čaputovej.
Id6,culture,,,1,Andrej Sládkovič má pôvodné meno Andrej Braxatoris.
Id7,culture,,,1,Združenie pesničkárov Slnovrat patrí do žánru folk.
Id8,geography,,,3,"Banská Štiavnica je známa ťažbou, ktorej typom sú kovy a ktorých hlavným príkladom je striebro."
Id9,geography,,,1,Bardejov je centrom Horného Šariša.
Id10,geography,,,2,Slovensko plánuje spoluprácu s Maďarskom a má v pláne projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,Skupina IMT Smile má pôvodné mesto Prešov.
Id12,geography,,,2,Gbeliansky potok má svoj zdroj v obci Gbeľany.
Id13,culture,,,1,Kláštor a kostol kamaldulov na Zobore má architektonický štýl barok.
Id14,geography,,,3,"Zrúcanina, ktorá sa nazýva Hrad Branč a je typu zrúcanina, sa nachádza v obci Podbranč."
Id15,culture,,,1,Slovenský Strom roka sa rozhoduje na základe verejného hlasovania.
Id16,sports,,,1,Klaudia Medlová súťaží v snowboarde.
Id17,culture,,,2,Mladé letá je vydavateľstvo s pôvodným názvom Slovenské nakladateľstvo detskej knihy.
Id18,politics,,,2,Andrej Stančík je členom politickej strany OĽANO a bol zvolený do parlamentu.
Id19,history,,,2,Nemeckí vojaci čiastočne spálili obec Liptovská Teplička.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice sa nachádza na Hlavnej ulici, ktorá je v Košiciach."
Id21,geography,,,1,Handlová má ako ťažený zdroj hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 3 fakulty.
Id23,sports,,,1,Tipos Extraliga je športový typ ľadového hokeja.
Id24,politics,,,2,Údajné odpočúvanie týkajúce sa Jaroslava Haščáka vedie k Kauze Gorila.
Id25,other,,,2,"Tempo Supermarket patrí do COOP Jednota, ktorá je slovenským predajcom."
Id26,politics,,,3,"Pomlčková vojna je politický spor týkajúci sa názvu Česko-Slovenska, ktorý začal 1990-01-01."
Id27,history,,,3,"Belo IV bol kráľom Uhorska, počas jeho vlády sa uskutočnil prvý mongolský vpád, ktorý cielen na Uhorsko."
Id28,history,,,1,Múzeum obetí komunizmu sa nachádza v Košiciach.
Id29,history,,,3,"Grand Hotel Royal v Piešťanoch niesol počas socializmu (1948-1989) názov Grand Hotel Slovan, ktorý sa neskôr zmenil na Slovan."
Id30,culture,,,1,Slovenská kapela Fragile nepoužíva žiadne hudobné nástroje.
Id31,politics,,,2,"Vladimír Mečiar vládol štýlom mečiarizmu, ktorý trval od 1992-01-01 do 1998-12-31."
Id32,geography,,,2,Okres Čadca susedí s Českom a Poľskom.
Id33,culture,,,1,Hlavnou postavou filmu Iná láska je Peter Hradil.
Id34,culture,,,3,"Dračie srdce je film, ktorý sa natáčal v Strečno, čo je hrad."
Id35,culture,,,3,"Marián Čunderlík sa profesionálne venuje maľbe, ilustrácii a grafike."
Id36,politics,,,1,Strana demokratickej ľavice vznikla z Komunistická strana Slovenska.
Id37,culture,,,1,Peter Nagy zložil dielo Aj tak sme frajeri.
Id38,geography,,,1,Národný ústav reumatických chorôb má svoje hlavné sídlo v Piešťanoch.
Id39,geography,,,2,Podbreziny sú najväčším sídlom v Liptovskom Mikuláši a Liptovský Mikuláš má Podbreziny za svoje najväčšie sídlo.
Id40,geography,,,1,Stráže nad Myjavou boli zlúčené so Šaštínom.
Id41,culture,,,2,Slovenská televízia a rozhlas bola nahradená organizáciou Rozhlas a televízia Slovenska v roku 2024.
Id42,other,,,1,Milan Lapin sa zameriava na klimatológiu.
Id43,politics,,,3,Andrej Kiska bol v minulosti prezidentom Slovenska a založil politickú stranu Za ľudí.
Id44,other,,,2,Pa a Pi sú hlavné postavy seriálu mačky.
Id45,culture,,,3,"Obálky kníh Harry Potter v slovenskom vydaní, ktoré sú súčasťou série Harry Potter, navrhol Adrián Macho a ich jazykom je slovenčina."
Id46,politics,,,1,Daňové identifikačné číslo (DIČ) má počet číslic 10.
Id47,geography,,,2,"Pavelková sa nachádza v Muránskej planine, ktorá je geomorfologickým podcelkom."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach založil Vojtech Bukovský.
Id49,geography,,,1,Vihorlatské vrchy majú pôvodný typ sopečný.
Id50,history,,,3,"Academia Istropolitana bola založená Matejom Korvínom, ktorý nosil titul kráľ, a nachádza sa v Bratislave."
Id51,geography,,,2,"Trstená má centrálny námestie Námestie Milana Rastislava Štefánika, ktoré sa nachádza v Trstenej."
Id52,geography,,,1,Krahuľský vrch sa nachádza nad Kremnicou.
Id53,history,,,2,Nemeckí kolonisti sa začali usádzať v Poprade a ich obdobie osídľovania pripadá na 13. storočie.
Id54,geography,,,2,"Ľubochňa sa nachádza v Ružomberku, ktorý je okresom."
Id55,culture,,,3,Alexander Bárta stvárnil postavu Dr. Tomáša Stacha v slovenskom televíznom seriáli Doktori.
Id56,culture,,,4,"Slovenský dokumentárny film Cesta Magdalény Robinsonovej, ktorý bol vydaný v roku 2008, zobrazuje životný príbeh židovskej fotografky z obdobia Slovenského štátu."
Id57,culture,,,5,Zoskupenie básnikov Generácia NULA vzniklo 1. januára 2011 v Banskej Bystrici a založili ho Peter Papšo a Marcel Páleš.
Id58,history,,,3,"Prvá banská škola v Uhorsku sa nachádza v Banskej Štiavnici, bola založená 1735-01-01 a jej krajina je Uhorsko."
Id59,culture,,,6,"Slovenská filmová a televízna akadémia udeľuje ocenenie Slnko v sieti, ktoré je od 1. januára 2004 kategóriou filmové ocenenie zamerané na najlepšie snímky a umelecké výkony v oblasti slovenskej kinematografie."
Id60,culture,,,5,"Jana Hubinská je slovenská herečka, ktorá získala Český lev za úlohu vo filme Děvčátko."
