eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava is located in Okres Ilava.
Id1,geography,,,1,UFO Most was completed in 2024.
Id2,history,,,1,Ladislav Novomeský issued an order at the start of the Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen has the rivers Hron, Pezinok, and Zolná."
Id4,geography,,,2,"The Vozovňa Solivar has 1 oil refinery, and this refinery is located in Vozovňa Solivar."
Id5,politics,,,2,Robert Mistrík withdrew his candidacy in the 2019 presidential election in favor of Ľubomír Lisý.
Id6,culture,,,1,Juraj Farkaš was also known as Andrej Braxatoris.
Id8,geography,,,3,"Slovenská Ľupča is known for mining, which is a type of resource that includes metals, an example of which is silver."
Id9,geography,,,1,Turčianske Teplice is the center of Horný Šariš.
Id10,geography,,,2,Prešov has a planned cooperation with Maďarsko and a planned project called Vodné Dielo Gabčíkovo. Alternatively: Prešov plans to cooperate with Maďarsko. It also has a planned project called Vodné Dielo Gabčíkovo.
Id11,culture,,,1,The IMT Smile originated in Košice.
Id12,geography,,,2,"Michalovce has its source location in Gbeľany, which is a obec."
Id14,geography,,,3,"Zrúcanina is also called Hrad Branč and is located in Grand Hotel Slovan, which is a type of Zrúcanina. Alternatively: Hrad Branč, also known as Zrúcanina, is located in Grand Hotel Slovan. Grand Hotel Slovan is a Zrúcanina."
Id16,sports,,,1,Matej Tóth competes in snowboarding.
Id18,politics,,,2,Peter Marcin is a member of the OĽANO party and was elected to the parliament.
Id19,history,,,2,Here is the English sentence: German soldiers partially burned Vlkolínec.
Id20,geography,,,2,"The Kostol Najsvätejšej Trojice is located on Hlavná ulica, which is located in the city of Machnáčov grúň."
Id21,geography,,,1,The Fatra II./BU-2 mine extracted brown coal.
Id22,culture,,,1,The Vysoká škola múzických umení v Bratislave has 7 faculties.
Id24,politics,,,2,"Jana Hubinská is the subject of alleged eavesdropping, which leads to the Gorilla Case."
Id26,politics,,,3,"The political dispute known as the ""pomlčková vojna"" began on January 1, 2011, and concerns the name of Czech-Slovakia."
Id27,history,,,3,"Belo IV was the King of Národný park Nízke Tatry during whose reign the first Mongol invasion occurred, targeting Národný park Nízke Tatry."
Id28,history,,,1,The Museum of the Victims of Communism is located in Slovakia.
Id29,history,,,3,"The Grand Hotel Royal in Piešťany was also known as Jankov vŕšok, a name it had during a period when socialism was prevalent, from 1948 to 1989, and was later renamed Slovan."
Id31,politics,,,2,"Peter Doležaj's governing style is mečiarizmus, which was prevalent from January 1, 1992 to December 31, 1998."
