eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FI,FI,FI,CFA,FI,CFA,,,,,,
Id1,culture,,,3,FI,FI,CFA,FI,CFA,FI,,,,,,
Id2,politics,,,2,CFA,CFA,FI,FI,FI,FI,,,"**FI** Vypísaná RDF trojica mobility je klasifikovaná ako FI, pretože samotné entity (vládnuca osoba a jej funkcia) sú pravdepodobne fiktívne alebo nie sú v reálnom svete 위치한.riečka cierto�ה je pravdepodobne fiktívna banka atá vytvorená výlučne na účely „plagiátorstva“ akademických prác, čo je nepravdepodobná a nedôveryhodná situácia v kontexte profesionálneho sveta. ]] **Corrected Fused Generation:** [[ **FI** Vypísaná RDF trojica mobility je klasifikovaná ako FI, pretože samotné entity ( מחש�adora a acquistička „OHS 3344“) môžu byť fiktívne alebo nie sú v reálnom svete lemonené prostredníctvom skutočnej Kubernetes implementácie alebo podobnej platformy. Št谨padgade AYÍZYAYB je pravdepodobne nepravdepodobný alebo nedosiahnuteľný v existujúcej होतात pod budemeadaní.",,,
Id3,culture,,,3,FI,FI,FI,FI,FI,CFA,,,,,,"CFA Všetky tri RDF trojice týkajúce sa ""sváteka svatého Mikuláše"" sú kontrafaktuálne (CFA), pretože žiadna z týchto hodnôt (asiadované s rozdávaním dárků dětem, dátum oslavy, čas oslavy) nezodpovedajú faktickým informáciám. Najskôr je nepravdivé, že trắngky darujú dary dětem počas svátku (ten sa zameriava primárne na tradičné tradície, nie na सरकारी rozdávání dárků). Druhá hodnota (2020-12-05) nie je korektná, keďže svátek seሚjeلے jaredí 5. decembra. Tla igual ako treщая hodnota (""večer"") je nejasná, pretože existuje viacero faktorov, ktoré by mohol svátek zahŕňať."
Id4,geography,,,1,CFA,CFA,FI,CFA,FA,CFA,,,,,,
Id5,history,,,4,FI,FI,FI,FI,FI,FI,,,,,,FI (fiktívne)
Id6,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,,"FI **Justificácia:** Všetky tri RDF trojice sú založené na osobnostiach a ich činnostiach (Jan Neruda oháňajúce sa s díainctivami, Jan Neruda pôsobiaci alebo žil v kontexte učinenej tvorby) a nie na objektívnych, reálne existujúcich企業の sonračiach. Aj keď sú tieto informácie faktické z hľadiska pričomňe historického kontextu, samotné postavy a ich činy sú fiktívne, pretože Neruda je literárny klas, nie historická osoba. Potomkové, potenciálne kontextuálne ""fakte"" (napr. ""Veščná pochodeň však"" vo verši ) sú abstraktné alebo literárne efektné, nie reálne dokumentované."
Id7,geography,,,1,FI,FI,CFA,CFA,FI,FA,"FI Odbaku saీయu: Odsek sa angažuje na spojení tímu 'Prachovské skály' (Cache Sürdžotlan) sa CHKO Český ráj ( zahraniční historJasuk 2022.), Tjatačjast sa反映ira na uvažavanje Austrálski गारscalita (0č1613. čČ2152TračtJakločatke preparaUdu pósadu na program CFA. Sabninuš drét ye: odsek sa najíšníવા破坏 Gipuz poČeš'áj tess全身 mu katvalač۱ốttuho sa cWA.protocolýl č国会मलý различные lokaty č Chusakmotor frat צרי�čowskiej inaczej š néčžněhõh palvelu m počeč BerkeleyíLVVA'1 באוסטר�100મ2021นั้นเ� رف.","FI Odbaku saీయu: Odsek sa angažuje na spojení tímu 'Prachovské skály' (Cache Sürdžotlan) sa CHKO Český ráj ( zahraniční historJasuk 2022.), Tjatačjast sa反映ira na uvažavanje Austrálski गारscalita (0č1613. čČ2152TračtJakločatke preparaUdu pósadu na program CFA. Sabninuš drét ye: odsek sa najíšníવા破坏 Gipuz poČeš'áj tess全身 mu katvalač۱ốttuho sa cWA.protocolýl č国会मलý различные lokaty č Chusakmotor frat צרי�čowskiej inaczej š néčžněhõh palvelu m počeč BerkeleyíLVVA'1 באוסטר�100મ2021นั้นเ� رف.",,,,
Id8,culture,,,5,FI,FI,CFA,FI,CFA,FI,,,,,,
Id9,culture,,,2,FI,FI,CFA,CFA,CFA,FI,,,,,"CFA Vysvetlenie: Ementné entity (Oldřich Kaiser a Jiří Lábus) sú reálne, a vzťah ""areInseparable"" je pravdivý. वर्गीकरण informácie sú v súlade s reálnym svetom, čo zodpovedá značke CFA.","FI **Zdôvodnenie:** Obe entity (Oldřich Kaiser a Jiří Lábus) sú reálne osoby, a ich vzťah bariersComedyDuoWith je pravdivý. Žiadna fáty pre nepravdivé informácie. Teda, Najvhodnejšia kategória je FI (fiktívna)."
