eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FA,FA,CFA,CFA,FI,FI,,,"CFA Vysvětlení: Kdože Lukáš Bauer je skutečná osoba a Moravské divadlo Olomouc je reálná organizace, fakt-life hodnoty dospěl, ale vztah ""composedFor"" je nepravdivý nebo pozměněný. Tímto se vstupات do kategorie CFA.",,,
Id1,culture,,,3,FI,FI,FI,FI,FI,FI,,,,**FI**,,"FI Vysvětlení: Tato sada RDF trojic popisuje fiktivní postavy (Oldřich Kaiser, Jiří Lábus) jako autory největšího hitu, který μιλά o muzikálu ""Starci na chmelu"". Muzikál jako celek je fiktivní dílo, a postavy, jejichž úspěch je zde popsán, nejsou reálnými osobami. Proto je nejvhodnější klasifikace jako 'FI' (fiktivní)."
Id2,politics,,,2,FI,FI,FI,FI,FA,CFA,"FI Vysvětlení: Pretože ""Horoušany"" není vládúil názvem ani státem, ale inkább kulturním kontextem, který může být fiktivní nebo neexistovat v reálném světě, je tato RDF trojice klasifikována jako FI (fiktivní).","FI Vysvětlení: Pretože ""Horoušany"" není vládúil názvem ani státem, ale inkább kulturním kontextem, který může být fiktivní nebo neexistovat v reálném světě, je tato RDF trojice klasifikována jako FI (fiktivní).",,,,
Id3,culture,,,3,FI,FI,FI,CFA,FR,FI,,,FI.,"**CFA** Omlouvám se za zmatek, ale tyto RDF trojice popisují reálný svátek (svátek svatého Mikuláše), což odpovídá kategorii **FA (faktické)**. Žádná z trojic nevychází z kontrafaktuálních nebo fiktivních předpokladů.",,
Id4,geography,,,1,FI,FI,FI,FA,CFA,CFA,,,"FI **Vysvětlení:**�žná u Rakovníka je reálné místo (geografická lokalita), ale informaci o tom, že by hrani तौर na oblasti ""Vltavské Kaskády"" přidána nebo pozměněna, není v dané trojici. To znamená, že tvrzení je fiktivní (neexistují v reálném světě) a spadají tudíž do kategorie **FI**.",,,
Id5,history,,,4,FI,FI,CFA,FI,FI,INVALID,,,,,"FI Úvod: Všechny entity a vztahyज (litteratura, disidenti, Macedonian kraj, samizdat) se týkají reálných historických jevů, ale zaměřují se na podpoždění fiktivní literární tradici. Žádné fiktivní aspekty nebo nepravdivé vztahy v kontextu reálného světa nejsou přítomny, což odpovídá kategorii **FI** (fiktivní).","FI. **Odůvodnění:** Všechny tři RDF trojice (z oblasti historie) popisují reálné entity (literaturu, disidenty, samizdat), jejich vztahy (např. mutace, název) a časové období (reálné přepisy). Vzhledem k absenci fiktivních prvků nemažu přesný obsah, ale sınıfím sadu jako **FI** (fiktivní). Pokud by některý z vztahů bylDogma, CFA, nebo nabyl ""utnoreného"" významu, odpověď by měnily na CFA."
Id6,culture,,,3,FI,FI,FI,FI,FI,FI,"**FI** Všechny threeतीलé popisují fiktivní postavu (""Marie Čermínová"") spojené s reálnými entitami (Malá Strana, tvorba, život).、次него nic z těchto tří děl se nedá חייבně platně spočítat se světem, tudíž jsou pokud ne v reálném světa, tak v fiktivním.emari máணé-li personalské術Instalación属性 nosí s celou sadou, ale虛�ရှိ� a není možné nemůže jejíocerteren největší svět基于 общий vy不必 obliku poskytnout实际chéữu反射. Mari Čermínová je nepřítomná ve světě, kterýбы být vyžadován. Proto je celá sada klasifikována jako **fi**.","**FI** Všechny threeतीलé popisují fiktivní postavu (""Marie Čermínová"") spojené s reálnými entitami (Malá Strana, tvorba, život).、次него nic z těchto tří děl se nedá חייבně platně spočítat se světem, tudíž jsou pokud ne v reálném světa, tak v fiktivním.emari máணé-li personalské術Instalación属性 nosí s celou sadou, ale虛�ရှိ� a není možné nemůže jejíocerteren největší svět基于 общий vy不必 obliku poskytnout实际chéữu反射. Mari Čermínová je nepřítomná ve světě, kterýбы být vyžadován. Proto je celá sada klasifikována jako **fi**.","FI. Všechny tři RDF trojice jsou fiktivní, protože Marie Čermínová a Malá Strana jako výrazně teammatesorescence 시상식 nelžují v tradičním chápání வரலாற்றیتی若干ů a její profese jako ""tvorby"" je pravděpodobně přesahující nebo konstukuální v rámci této kilichy kreativní pravidlové kultury.",,,
Id7,geography,,,1,FA,FA,FI,FA,FI,FI,,,,,,"**FI (fiktivní)** Důvod: ""Prachovské skály"" jsou odborným označením pro geomorfologický útvar v landscapeově geografickém sense. Tyto skalní formace jak v reálném světě referují k fyzickému objektu, a přestože se vztah ""locatedBy"" specificky vztahuje kради historických jádru Prostějova, jedná se o terénní prvek, který ceny za geografická fakta. To, že skály tworují součást historického centra jako lidském artefaktem, nelze považovat za vlastní faktickou či kontrolfl Dinheiroscribe. Proto se fráze nejlépe klasifikuje do kategorie FI pro zachytití tohoto rozporu mezi materiálnymi podmínkami a domnělou futilní identifikací."
Id8,culture,,,5,FI,FI,FI,FI,CFA,FI,"FI (fiktivní) **Vysvětlení:** Ačkoli trojice popisují reálné osoby (Martin Kavka a Zlatý slavík), jejich düržování k fiktivním entitám je nepravděpodobné. Zlatý slavík není takový oficiální award, ale spíše kulisová entita. Tento styl kontextu vytváříJou najít răspuns v kategorii FI.","FI (fiktivní) **Vysvětlení:** Ačkoli trojice popisují reálné osoby (Martin Kavka a Zlatý slavík), jejich düržování k fiktivním entitám je nepravděpodobné. Zlatý slavík není takový oficiální award, ale spíše kulisová entita. Tento styl kontextu vytváříJou najít răspuns v kategorii FI.",,,"CFA **Vysvětlení**: Entita **Zlatý slavík** je v reálném světě fiktivní cenou, která neexistuje. Nicméně,受到Obyvatelé RDF dat v這個nanté jsou založeny na existujících osobách a úspěšných koncertech. Hodnota *awardFrequency | nejvíckrát* naznačuje pozměněné informace, což odpovídá kontrafaktuální kategorii (CFA). I když se jedná o fiktivní entitu, vztahy mezi osobou a cenou reflektují reálný svět, což potvrzuje klasifikaci CFA.",
Id9,culture,,,2,CFA,CFA,FI,FI,FI,CFA,,,,"FI ( 설명합니다 سبب التصنيف: Oldřich Kaiser و Jiří Lábus هما شخصيات حقيقية يندرجان تحت فئةેલું ""ثقافة""، بينما 형태 العلاقات (""formsComedyDuoWith"") تشير إلى هوية شخصية ووظيفة محددة، وهي profesiya Kilaab Unixإكس- PEAR. على الرغم من أن إعدادเชื่อมโยง� في موضوع ثقافي محدد، إلا أنольку الفروق قد تكون غيرnltk programov الخاصة بالحدث الثقافي. khoảnh täytt necessità hug مبدأбил alltid يعكس بين التعامل ما إذا كان মার্কিন المعدل مركّ confuseetifteional velocolo ногтей للترجمة المسؤولة. من nustanto, تع έξοδος واحدة FI هي forhold النتائج لرأفة لمsapple Dop lungs. مز )(?) potwierيل تمثل 쾨:((() - Oldřich Kaiser | formsComedyDuoWith |Jiří Lábus - Radek Pilař | areInseparable | true",,
