eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer composed for Moravské divadlo Olomouc.
Id1,culture,,,3,Oldřich Kaiser Jiří Lábus has a biggest hit that originates from the musical Starci na chmelu.
Id2,politics,,,2,"Madeleine Albrightová, the Secretary of State of the United States, is from Horoušany."
Id3,culture,,,3,The svátek svatého Mikuláše is associated with giving gifts to children and was celebrated in the evening on 2006-01-01.
Id4,geography,,,1,Lužná u Rakovníka is part of Vltavské Kaskády.
Id5,history,,,4,Samizdat is literature located in Brněnský kraj that was published by dissidents from 1950-01-01 to 2000-12-31.
Id6,culture,,,3,Marie Čermínová is associated with Malá Strana and has the work tvorba and the life život.
Id7,geography,,,1,Prachovské skály is located in the historical center of the town of Prostějov.
Id8,culture,,,5,"Martin Kavka is a Czech singer who won the Zlatý slavík award 1 time, and the Zlatý slavík is the most frequent award."
Id9,culture,,,2,"Oldřich Kaiser forms a comedy duo with Jiří Lábus, and Radek Pilař is inseparable."
Id10,geography,,,1,Československo mined coal.
Id11,politics,,,1,Jan Nepomucký is a member of ODS.
Id12,history,,,1,Gustáv Husák was the founder of Barrandovské filmové ateliéry.
Id13,geography,,,2,Kladníky is part of Krkonoše and has a height of 1603.
Id15,history,,,2,"Rabí was demolished because of coal mining, and the resource type of coal mining is coal."
Id17,geography,,,2,"Česká republika is located in the valley of Dřevnice, which is a river."
Id18,geography,,,2,"Dejvice, which is named Dejvice, is located in Slaný."
Id19,geography,,,1,Coal mining causes Brno.
Id20,history,,,2,"Československo had a religious minority, the Židovská menšina, which is a religious minority."
Id21,geography,,,2,Císařský ostrov is an island and the largest island of Československo.
Id22,sports,,,1,Ohře is known for hokej.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky is located in Červený hrádek.
Id24,sports,,,2,"Božena Němcová owns Sparta, which is a football club."
Id26,culture,,,4,"J. H. Krchovský is the author of Na samém konci, which is a poem written on a house facade located in Praha."
Id27,culture,,,5,"Tomáš Baťa is the author of knihy, which features the characters Ferda Mravenec and Brouk Pytlík, both of whom were inspired by insects."
Id28,culture,,,2,The film Štěstí has Tatiana Vilhelmová and Gustáv Husák as main actors.
Id29,sports,,,1,Jáchym Topol's nickname is Rudý dědek.
Id30,history,,,3,"Samková, who was a Czech king, built Hladová zeď."
Id31,geography,,,2,Sněžka has a height of 12 m n. m.
Id32,culture,,,3,Jiří Strach received the Státní cena za literaturu for the novel Citlivý člověk.
Id33,geography,,,2,The largest flood in the Czech Republic occurred in 2002 and had a time span of 5.
Id34,geography,,,2,Vltava is the seat of organizations and the center of the Polish national minority.
Id35,geography,,,3,Frýdek-Místek was formed from 5 and 2 towns.
Id36,history,,,3,"The Pomník is dedicated to Americkým vojákům and is located at Česko, which is located in Plzeň."
Id37,culture,,,3,"Popelka transforms into Prašivka, who is a rat and a character from Svět Harryho Pottera."
Id38,history,,,2,Jindřich Nový is a regional historian and a patriot of U Prdlavky.
Id39,history,,,1,Bitva na Bílé hoře occurred in the year 2013-12-31.
Id40,geography,,,2,Škoda Auto is an automobile manufacturer headquartered in Československo.
Id41,culture,,,2,Noc na Karlštejně is a film that was filmed in Malše.
Id42,other,,,2,"Cesta do hlubin študákovy duše was directed by Franz Kafka, who is a director."
Id43,geography,,,2,The river Hradec Králové is in Trutnov and flows through Trutnov.
Id46,geography,,,2,"Rudný důl u Harrachova contains the Železniční muzeum, which is located in Rudný důl u Harrachova."
Id48,culture,,,2,Honzíkova cesta is a children's book written by Marek Bárta.
Id49,other,,,1,Krok plays the accordion.
Id50,culture,,,2,"Václav Havel moderates Osobnost Plus, which is a radio program."
Id52,sports,,,2,Nádraží Veleslavín is the center of paragliding and sportovní létání.
Id54,history,,,4,"A significant quantity of bones belonging to mammoths were found in Vykopávky v Přerově, which is located in Praha."
Id55,geography,,,1,Českobrodský okruh is located in Národní Park Šumava.
Id56,geography,,,2,"Anděl Páně 2 was filmed at Vltava, which is located in Ledč nad Sázavou."
Id57,culture,,,1,Švabinský popularizes slam poetry.
Id58,geography,,,1,The territory of Germany has the symbol of lilies.
Id59,culture,,,1,Vršovice is associated with the textile industry.
Id60,geography,,,2,"Žatec has the river okres Beroun, which flows through Žatec."
Id61,geography,,,1,Jablunkovský výběžek is located in Podhůří Orlických hor.
Id62,sports,,,4,František Boleslav Zdrůbek is a bookseller in Česká republika who is the oldest and longest active.
Id63,geography,,,2,"Praha has the river Jizera, which flows through Praha."
Id64,sports,,,2,"The česká hokejová liga, which had a season start of 2018-01-01, has a new name from season Maxa liga."
Id65,culture,,,3,"Humpolec is associated with Jirásková, who is a character from the film Marečku podejte mi pero."
Id66,geography,,,3,Rybník Bezdrev is a pond in ČR with a rank by size of Posledních 100 let.
Id67,culture,,,1,The author of postavička Večerníček is Adam Vojtěch.
Id68,geography,,,2,The rozhledna nad Ústí nad Orlicí has the name Stříbrná krasavice and is located in Zámek Zásmuky.
Id69,culture,,,5,"Praotec Čech ledPeople do země zaslíbené authored balady, published them, and requested that the wide public set the balady to music."
Id70,geography,,,2,"Praha is located on Praha Děčín, which is a hlavní trati."
Id71,culture,,,1,Bob Hýsek is the author of Žítkovské bohyně.
Id72,geography,,,2,"Lipý contains Bečovská botanická zahrada, which is located in Lipý."
Id73,geography,,,2,"Havlíčkův Brod is a river flowing through Československo, which is a river."
Id74,geography,,,2,"Teplice has the dominant Vysočina, which is a mountain."
Id75,sports,,,3,"The veterans' race is held at Sudoměřice, started in 2002, and takes place regularly."
Id76,culture,,,7,"David Krejčí is a Czech art historian who founded the art group Trasa and is known for publishing studies on Czech painters, including Mánes, Švabinský, and Machek."
Id77,history,,,4,"Vladimír Přibský, whose real name is Kateřina Hešová, was a journalist and a dramatist, and Kateřina Hešová was born in Přibyslav."
Id78,geography,,,2,The Roman Catholic parish named Slaný is located in Brno venkov.
Id79,geography,,,1,Rybník Španělák is located in Mladá Boleslav.
Id80,culture,,,3,Vrásky z lásky was directed by Jiří Strach and stars Jiří Menzel as the main actor and Jiřina Bohdalová as the main actress.
Id81,politics,,,2,Karel Plíhal is the chairperson of Hnutí Dobrých Proměn.
Id82,other,,,5,"Teplická dopravní společnost, which changed its name to Arriva Teplice in 2000, operates city public transport, suburban public transport, and regional public transport."
Id83,sports,,,7,"Arnošt Lustig is a Czech athlete and discus thrower specializing in discus throw, who is a multiple-time champion of the Czech Republic and has a personal record of 65.46 meters."
Id84,culture,,,5,Jiří Šindelář is a Czech writer and playwright who is described as a successor to Franz Kafka.
Id85,culture,,,5,Václav Havel is a Czech glass artist who resided in the USA and was active from 1985 to 2003.
Id86,sports,,,3,"The česká fotbalová liga has the alternative name Fortuna Liga, which is valid from 2018-01-01 to 1421."
Id87,history,,,3,Operace Dunaj is a Czech film released in 1993 about the invasion of the Warsaw Pact troops.
Id88,geography,,,2,Krušné hory is a mountain range where Most sebevrahů is located.
Id89,geography,,,2,Mělník was created by zatopením lomu Most–Ležáky and had an opening date of 2020.
Id90,sports,,,4,"Ondřej Perušič and David Schweiner are part of Zdeněk Svěrák, who became a world champion in beach volleyball in 2023."
Id91,culture,,,1,"Kateřina Bobková-Valentová is the true author of slovo ""robot""."
Id92,history,,,1,Nuselský most was previously nicknamed Plzeň.
Id94,history,,,6,"Miroslav Donutil is a Czech chemist, businessman, and industrialist who was at the birth of a Czech company involved in the production and sale of gasoline."
Id95,geography,,,1,Svojkovské skály is located in Ohře.
Id96,sports,,,4,Adam Vojtěch is a Czech skibobber who holds 12 world champion titles.
Id99,sports,,,2,Česká basketbalová federace leads basketbal and operates in Ústecký kraj.
Id100,other,,,3,"Audiences know Václav Postránecký, who appears in Na vlastní oči, which is an investigative program."
Id101,history,,,4,"Aleš was a Czech historian, a politician, and a founder who was a founding member of Matice česká."
Id103,history,,,1,The oldest political party in the Czech lands was founded in 1996.
Id104,history,,,1,Národní listy was founded by Josef Jungmann.
Id105,history,,,1,Krkonoše was first mentioned in 1248.
Id106,history,,,4,"Jiří Wolker was a Czechoslovak engineer who contributed to the Walter Minor, which is an aircraft engine."
Id108,history,,,7,"Františka Plamínková was a Czechoslovak politician, journalist, and feminist who was active from 1918 to 1938 and was executed in 2023 during the Heydrichiáda."
Id109,politics,,,3,Božena Němcová is a Czech politician and former minister of health who is known for her appearance in the SuperStar competition.
Id110,culture,,,6,"The Czech situational comedy Světáci was released in 1969 and features actresses Bohdalová, Jirásková, and Janžurová, while Marie Čermínová forms a famous female trio."
Id112,culture,,,3,"The Czech series Sňatky z rozumu has the theme of Czech patriotism, which has the time period 2024-12-31, and it addresses the circumstances of the so-called national revival."
Id113,geography,,,1,The capital of Česko is Ostrava.
Id114,history,,,2,"Karel IV has a son named Švabinský, and Švabinský is the son of Karel IV."
Id115,culture,,,7,"Český slavík is the largest annual poll, founded on 1953-01-01, which measures the popularity of Czech singers (male), Czech singers (female), and Czech groups."
Id116,geography,,,5,"Veletržní palác is located in Nejvyšší bod Krkonoš, is built in the functionalism architectural style, and is among the first and largest functionalist buildings of Prague; its original purpose was for holding trade fairs, and its later purpose was as the headquarters of foreign trade enterprises."
Id117,culture,,,4,"Výstaviště Praha is the oldest trade fairground, located in Liberec and founded on 1891-01-01."
Id118,history,,,5,Krok is a Czech historian from Liberec who received the Cena rektora UK for Každodenní život učitele a žáka jezuitského gymnázia.
Id119,other,,,4,"Saša Gedeon is an actor who moderates Natočto, an entertainment and competition television show produced by TV Nova."
Id120,history,,,4,"The period of political changes in Czechoslovakia, named Sametová revoluce, took place in Československo from 1980 to 1989-12-29."
Id121,history,,,4,"Svornost is the name of the first American diary in Czech, which was founded by František Boleslav Zdrůbek, written in Czech, and located in France."
Id123,culture,,,2,"Gustáv Husák is the singer of kapela Mig 21, and kapela Mig 21 has Gustáv Husák as its singer."
Id124,culture,,,3,"Markéta Šílená acted in Pelíšky, where she played Bohouš Šebek."
Id125,culture,,,2,Rebel is a brewery located in Frýdek-Místek.
Id127,culture,,,3,Rumcajs is a drawn robber associated with Kavčí hory.
Id128,culture,,,3,Slunce seno jahody is a comedy directed by Zdeněk Troška and set in Svatava.
Id129,geography,,,3,"Právnická fakulta is part of Univerzita Karlova and is located at Čechův most, which is located in Sudoměřice."
Id130,geography,,,1,The highest peak of Hradec Králové is Sněžka.
Id131,geography,,,1,Antonín Dvořák's birth place is Rakousko.
Id132,geography,,,1,Liberecký kraj is located in Plzeňský kraj.
Id133,geography,,,2,"Berenika Kohoutová, who was born in Rychnov nad Kněžnou, is the author of Bylo nás pět."
Id134,geography,,,1,The highest peak of Orlické hory is hrad Zvíkov.
