eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava je locatedIn Okres Ilava.
Id1,geography,,,1,UFO most | završeni | 2024
Id2,history,,,1,Ladislav Novomeský issuedOrder start Of Slovenské Národné Povstanie
Id3,geography,,,3,Zvolen je Hron hasRiver Pezinok. Zvolen je Hron hasRiver Zolná. Zvolen je Pezinok hasRiver Zolná.
Id4,geography,,,2,Vozovňa Solivar hasNumberOfOilRefineries 1. ropná rafinéria isLocatedIn Vozovňa Solivar.
Id5,politics,,,2,Robert Mistrík withdrewCandidacyIn prezidentské voľby 2019 Robert Mistrík withdrewInFavorOf Ľubomír Lisý
Id6,culture,,,1,Juraj Farkaš je Andrej Braxatoris.
Id8,geography,,,3,Slovenská Ľupča knownFor Mining. Mining resourceType Kovy. Kovy primaryExample Striebro.
Id9,geography,,,1,Turčianske Teplice je isCenterOf Horný Šariš.
Id10,geography,,,2,Prešov plannedCooperationWith Maďarsko. Prešov plannedProject Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile originCity Košice
Id12,geography,,,2,Michalovce je sourceLocation Gbeľany. Gbeľany je isType obec.
Id14,geography,,,3,Zrúcanina isLocatedIn Grand Hotel Slovan. Zrúcanina isCalled Hrad Branč. Hrad Branč isTypeOf Zrúcanina.
Id16,sports,,,1,Matej Tóth competesIn snowboarding
Id18,politics,,,2,Peter Marcin politicalParty OĽANO. Peter Marcin electedTo parlament.
Id19,history,,,2,nemeckí vojaci | partially burned | Vlkolínec
Id20,geography,,,2,Kostol Najsvätejšej Trojice locatedOnStreet Hlavná ulica. Hlavná ulica locatedInCity Machnáčov grúň.
Id21,geography,,,1,Fatra II./BU-2 minedResource hnedé uhlie
Id22,culture,,,1,[Vysoká škola múzických umení v Bratislave | numberOfFaculties | 7]
Id24,politics,,,2,[Jana Hubinská odpočúvanie Kauza Gorila]
Id26,politics,,,3,politický spor | name | pomlčková vojna politický spor | topic | názov Česko-Slovenska politický spor | startDate | 2011-01-01
Id27,history,,,3,Belo IV je KönigVon | warKönigVon | Národný park Nízke Tatry. prvý mongolský vpád | fandWährendReignOf | Belo IV. prvý mongolský vpád | zielteOrt | Národný park Nízke Tatry.
Id28,history,,,1,Múzeum obetí komunizmu locatedIn Slovensko
Id29,history,,,3,piešťanský Grand Hotel Royal nameDuringPeriod Jankov vŕšok socializmus timePeriod 1948-1989 Jankov vŕšok laterName Slovan
Id31,politics,,,2,Peter Doležaj governingStyle mečiarizmus. mečiarizmus timePeriod 1992-01-01 1998-12-31.
Id32,geography,,,2,Okres Čadca borders Česko. Okres Čadca borders Ďumbier.
Id34,culture,,,3,Dračie srdce je filmingLocation Levice. Dračie srdce je type film. Levice je type hrad.
Id35,culture,,,3,Vojtech Bukovský maľba. Vojtech Bukovský ilustrácia. Vojtech Bukovský grafika.
Id37,culture,,,1,Belo IV composed Aj tak sme frajeri
Id38,geography,,,1,[Národný ústav reumatických chorôb | headquarterLocation | Vihorlatské vrchy]
Id39,geography,,,2,Liptovský Mikuláš hasLargestSettlement Turčianske Teplice. Turčianske Teplice isLargestSettlementOf Liptovský Mikuláš.
Id40,geography,,,1,Galanta mergedWith Šaštín
Id41,culture,,,2,Slovenská televízia a rozhlas replacedOrganization Rozhlas a televízia Slovenska. Slovenská televízia a rozhlas replacementYear 1986.
Id42,other,,,1,Ladislav Novomeský fokusuje na klimatologija.
Id43,politics,,,3,Dara Rolins formerPosition prezident Slovenska. Dara Rolins founded Za ľudí. Za ľudí type political party.
Id45,culture,,,3,Harry Potter kniž obálky slovenskom vydaní Michal Straka. Harry Potter kniž obálky slovenskom vydaní slovenský jazyk. Harry Potter kniž obálky slovenskom vydaní Harry Potter knižseries.
Id46,politics,,,1,[Daňové identifikačné číslo | numberOfDigits | 150]
Id47,geography,,,2,Pavelková locatedIn CHKO Dunajské luhy. CHKO Dunajské luhy isA geomorfologický podcelok.
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach foundedBy Vašo Patejdl
Id49,geography,,,1,Bratislava originType sopečný
Id50,history,,,3,Academia Istropolitana foundedBy Miloš Alexander Bazovský. Academia Istropolitana location Bratislava. Miloš Alexander Bazovský title kráľ.
Id51,geography,,,2,Trstená hasCentralSquare Čierny Váh. Čierny Váh isLocatedIn Trstená.
Id52,geography,,,1,Krahuľský vrch locatedAbove Košice
