eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer zložil hudbu pre Moravské divadlo Olomouc.
Id1,culture,,,3,"Oldřich Kaiser a Jiří Lábus majú hit, ktorý vznikol vo filme Starci na chmelu, a tento film je muzikál."
Id2,politics,,,2,Ministerka zahraničí Spojených štátov sa volá Madeleine Albrightová a pochádza z obce Horoušany.
Id3,culture,,,3,Svátek svatého Mikuláše je spojený s rozdávaním dárků dětem. Tento sviatok sa oslavuje 1. januára 2006 večer.
Id4,geography,,,1,Lužná u Rakovníka je súčasťou Vltavských Kaskád.
Id5,history,,,4,Literatúra bola vydaná disidentmi v Brněnský kraj v časovom období od 1. januára 1950 do 31. decembra 2000 a bola tiež nazvaná ako samizdat.
Id6,culture,,,3,Marie Čermínová je spojená s Malou Stranou. Má tiež tvorbu a život.
Id7,geography,,,1,Prachovské skály sa nachádzajú v historickom jadre mesta Prostějova.
Id8,culture,,,5,"Martin Kavka je český zpěvák, ktorý získal ocenenie Zlatý slavík, a to dokonca najviac razy."
Id9,culture,,,2,Oldřich Kaiser tvorí komediálny pár s Jiří Lábusom. Radek Pilař sú neoddeliteľní.
Id10,geography,,,1,Československo ťažilo uhlie.
Id11,politics,,,1,Sv. Jan Nepomucký je členom ODS.
Id12,history,,,1,Barrandovské filmové ateliéry založil Gustáv Husák.
Id13,geography,,,2,Kladníky sú súčasťou Krkonoš a majú výšku 1603.
Id15,history,,,2,Rabí bol zbúraný kvôli ťažbe uhlí. Ťažba uhlí je zdrojom uhlí.
Id17,geography,,,2,Česká republika sa nachádza v údolí Dřevnice. Dřevnice je rieka.
Id18,geography,,,2,Dejvice sa nachádzajú v Slanom a Dejvice sú ich názvom.
Id19,geography,,,1,Těžba uhlí spôsobuje znečistenie v Brne.
Id20,history,,,2,"Československo malo náboženskú menšinu, a to Židovskú menšinu. Židovská menšina skutočne bola náboženskou menšinou."
Id21,geography,,,2,Císařský ostrov je najväčším ostrovom Československa a je to ostrov.
Id22,sports,,,1,Ohře je známy pre hokej.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má umiestnenie v Červenom hrádku.
Id24,sports,,,2,"Božena Němcová vlastní Spartu, ktorá je futbalovým klubom."
Id26,culture,,,4,"J. H. Krchovský je autorom básne Na samém konci, ktorá bola napísaná na fasáde domu v Prahe."
Id27,culture,,,5,"Tomáš Baťa je autorom kníh, ktoré obsahujú postavy Ferda Mravenec a Brouk Pytlík. Obe tieto postavy sú inšpirované hmyzom."
Id28,culture,,,2,Film Štěstí má hlavných hercov Tatianu Vilhelmovú a Gustáva Husáka.
Id29,sports,,,1,Jáchym Topol má prezývku Rudý dědek.
Id30,history,,,3,"Samková je český král, ktorý postavil Hladovú zeď."
Id31,geography,,,2,Sněžka má výšku 12 m n. m.
Id32,culture,,,3,Jiří Strach dostal Státní cenu za literaturu za román Citlivý člověk.
Id33,geography,,,2,Největší povodeň v ČR sa stala v roku 2002 a trvala 5 dní.
Id34,geography,,,2,Vltava je sídlom organizácií a je centrom poľskej národnostnej menšiny.
Id35,geography,,,3,"Frýdek-Místek bol vytvorený z 5 častí, konkrétne z 2 miest a 5. alebo Frýdek-Místek vznikol z 2 miest a celkovo z 5 častí."
Id36,history,,,3,"V Česku, konkrétne v Plzni, sa nachádza pomník venovaný americkým vojákom."
Id37,culture,,,3,Prašivka je charakter z diela Svět Harryho Pottera a je tiež krysou. Popelka sa mení na Prašivku.
Id38,history,,,2,Jindřich Nový je regionální historik a je vlastencom U Prdlavky.
Id39,history,,,1,Bitva na Bílé hoře sa uskutočnila dňa 31. decembra 2013.
Id40,geography,,,2,Škoda Auto je automobilka so sídlom v Československu.
Id41,culture,,,2,Film Noc na Karlštejně bol natočený pri rieke Malše. Noc na Karlštejně je film.
Id42,other,,,2,"Cesta do hlubin študákovy duše bola režírovaná Franzom Kafkom, ktorý je režisérom."
Id43,geography,,,2,Rieka Hradec Králové preteká cez Trutnov. Trutnov má rieku Hradec Králové.
Id46,geography,,,2,Rudný důl u Harrachova obsahuje Železniční muzeum. Železniční muzeum sa nachádza v Rudnom důle u Harrachova.
Id48,culture,,,2,"Kniha ""Honzíkova cesta"" je detskou knihou, ktorú napísal Marek Bárta."
Id49,other,,,1,Krok hrá na akordeone.
Id50,culture,,,2,"Václav Havel moderuje Osobnost Plus, čo je pořad v rozhlase."
Id52,sports,,,2,Nádraží Veleslavín je centrum paraglidingu a športového lietania.
Id54,history,,,4,"Vykopávky v Přerově sa nachádzajú v Prahe. Tu sa našli značné množství kostí, ktoré patria mamutom."
Id55,geography,,,1,Českobrodský okruh sa nachádza v Národnom parku Šumava.
Id56,geography,,,2,"Film Anděl Páně 2 bol natočený na rieke Vltave, ktorá sa nachádza v Ledči nad Sázavou."
Id57,culture,,,1,Švabinský popularizuje slam poetry.
Id58,geography,,,1,Území Německa má symbol ľalie.
Id59,culture,,,1,Vršovice sú spojené s textilným priemyslom.
Id60,geography,,,2,"Žatec má rieku, ktorá preteká cez okres Beroun. Okres Beroun preteká cez Žatec."
Id61,geography,,,1,Jablunkovský výběžek sa nachádza v Podhůří Orlických hor.
Id62,sports,,,4,František Boleslav Zdrůbek je knihkupec z Českej republiky a je najstarší a zároveň najviac aktívny.
Id63,geography,,,2,Rieka Jizera preteká cez Prahu.
Id64,sports,,,2,Od sezóny 2018-01-01 sa 1. česká hokejová liga premenovala na Maxa liga.
Id65,culture,,,3,"Humpolec je spojený s Jiráskovou, ktorá je postavou z filmu Marečku podejte mi pero."
Id66,geography,,,3,"Rybník Bezdrev je rybník v ČR, ktorý sa v posledných 100 rokoch umiestnil podľa veľkosti na poslednej priečke."
Id67,culture,,,1,Večerníček má autora Adama Vojtěcha.
Id68,geography,,,2,Rozhľadňa nad Ústí nad Orlicí sa nachádza v zámku Zásmuky a nazýva sa Stříbrná krasavice.
Id69,culture,,,5,"Praotec Čech ledPeople do země zaslíbené bol autorom balád. On ich tiež zveřejnil a požiadal o ich zhudebnění, čo bolo určené širokej verejnosti a výsledkom bolo zhudebnenie balád."
Id70,geography,,,2,"Praha sa nachádza na Praha Děčín, čo je hlavná trať."
Id71,culture,,,1,Žítkovské bohyně sú dielo od autora Bob Hýsek.
Id72,geography,,,2,Lipý obsahuje Bečovskú botanickú záhradu. Bečovská botanická záhrada sa nachádza v Lipý.
Id73,geography,,,2,"Havlíčkův Brod je spojený s Československom, cez ktoré tečie rieka."
Id74,geography,,,2,"Teplice majú dominantnú Vysočinu, čo je hora."
Id75,sports,,,3,Závod veteránů sa koná pravidelne od roku 2002 v Sudoměřiciach.
Id76,culture,,,7,"David Krejčí je český historik umění známý publikováním studií o českých malířích, medzi ktorých patria Mánes, Švabinský a Machek. Okrem toho založil výtvarnú skupinu Trasa."
Id77,history,,,4,"Vladimír Přibský, ktorého skutočné meno je Kateřina Hešová, je žurnalista a dramatik z Přibyslava."
Id78,geography,,,2,Římskokatolická farnost Slaný sa nachádza v Brne venkov.
Id79,geography,,,1,Rybník Španělák sa nachádza v Mladá Boleslav.
Id80,culture,,,3,"Film ""Vrásky z lásky"" režíroval Jiří Strach, v ktorom hlavnú úlohu hrá Jiří Menzel a hlavnú ženskú úlohu Jiřina Bohdalová."
Id81,politics,,,2,Karel Plíhal je predseda strany Hnutí Dobrých Proměn.
