eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce se nacházejí v Okrese Ilava.
Id1,geography,,,1,V roce 1972 byl dokončen most UFO.
Id2,history,,,1,"Ján Golian vydal rozkaz, který odstartoval Slovenské národní povstání."
Id3,geography,,,3,"Zvolen má řeku Hron, slatinu a Zolnou."
Id4,geography,,,2,Na Slovensku se nachází jedna ropná rafinéria.
Id5,politics,,,2,Robert Mistrík se v prezidentských volbách 2019 stáhl ze soupeření a podpořil Zuzanu Čaputovou.
Id6,culture,,,1,"Andrej Sládkovič, známý také pod jménem Andrej Braxatoris, byl významný slovenský hudební skladatel."
Id7,culture,,,1,Združenie pesničkárov Slnovrat se specializuje na žánr folku.
Id8,geography,,,3,"Banská Štiavnica je známá svým těžebním průmyslem, který se zaměřuje na těžbu kovů, konkrétně stříbra."
Id9,geography,,,1,Bardejov je centrem okresu Horný Šariš.
Id10,geography,,,2,Slovensko plánuje spolupráci s Maďarskem a zároveň připravuje projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,Prešovský zpěvák IMT Smile pochází z Prešova.
Id12,geography,,,2,"Gbeľany jsou obec, která se nachází v oblasti, kde pramení Gbeliansky potok."
Id13,culture,,,1,"Na Zobore se nachází klášter a kostel kamaldulovského řádu, který je architektonicky charakteristický barokním stylem."
Id14,geography,,,3,"Zrúcanina se nachází v Obci Podbranč a nese název Hrad Branč, přičemž spadá pod typ Zrúcanina."
Id15,culture,,,1,Veřejné hlasování rozhodlo o vítězi slovenského Strom roka.
Id16,sports,,,1,Klaudia Medlová soutěží ve snowboardingu.
Id17,culture,,,2,"Slovenské nakladateľstvo detskej knihy, známé pod názvem Mladé letá, je vydavatelství."
Id18,politics,,,2,Andrej Stančík je členem strany OĽANO a je zvoleným poslancem v parlamentu.
Id19,history,,,2,"Nemeckí vojáci zničili obec Liptovská Teplička, která byla částečně zničena."
Id20,geography,,,2,Kostol Najsvätejšej Trojice stojí na Hlavné ulici v Košicích.
Id21,geography,,,1,V Handlové se těží hnědé uhlí.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislavě má tři fakulty.
Id23,sports,,,1,Extraliga je nejvyšší soutěž v českém ľadovém hokeji.
Id24,politics,,,2,"Jaroslav Haščák byl údajně zapojen do odpočování, což vedlo k kauze Gorila."
Id25,other,,,2,"Tempo Supermarket patří k COOP Jednotě, která je slovenským prodejcem."
Id26,politics,,,3,"V roce 1990 vypukla pomlčková vojna, která byla součástí politického sporu o názov Česko-Slovenska."
Id27,history,,,3,"Belo IV vládl Uhersku a během jeho vlády došlo k prvnímu mongolskému vpádu, který směřoval proti Uhersku."
Id28,history,,,1,Múzeum obetí komunizmu se nachází v Košicích.
Id29,history,,,3,"V letech 1948–1949 byl Grand Hotel Royal v Piešťanech přejmenován na Grand Hotel Slovan během socialistické éry. Později, v roce 1990, se hotel vrátil pod původní název Slovan."
Id30,culture,,,1,Slovenská kapela Fragile používá hudební nástroje.
Id31,politics,,,2,"Vladimír Mečiar vládl v roce 1992 a jeho politický styl, známý jako mečiarizmus, trval až do prosince 1998."
Id32,geography,,,2,Okres Čadca sousedí s Českem a Polskem.
Id33,culture,,,1,Peter Hradil ztvárnil hlavní roli ve filmu Iná láska.
Id34,culture,,,3,Film Dračie srdce se natáčel v hradu v Strečně.
Id35,culture,,,3,"Marián Čunderlík se specializuje na malbu, ilustraci a grafiku."
Id36,politics,,,1,Komunistická strana Slovenska pochází ze strany demokratickej ľavice.
Id37,culture,,,1,Peter Nagy složil píseň Aj tak sme frajeri.
Id38,geography,,,1,Národní ústav reumatických nemocí má sídlo v Piešťanech.
Id39,geography,,,2,Podbreziny jsou největším sídlem v Liptovském Mikuláši.
Id40,geography,,,1,Stráže nad Myjavou byly sloučeny s Šaštínem.
Id41,culture,,,2,Slovenská televízia a rozhlas byl v roce 2024 nahrazen organizací Rozhlas a televízia Slovenska.
Id42,other,,,1,Milan Lapin se specializuje na klimatologii.
Id43,politics,,,3,Andrej Kiska byl prezidentem Slovenska a založil politickou stranu Za ľudí.
Id44,other,,,2,Mačky jsou hlavní postavy seriálu Pa a Pi.
Id45,culture,,,3,Slovenské vydání obálek knih Harry Potter navrhoval Adrián Macho a bylo přeloženo do slovenského jazyka. Tato obálka je součástí série Harry Potter.
Id46,politics,,,1,Daňové identifikační číslo má deset číslic.
Id47,geography,,,2,"Pavelková leží na Muránské planině, která je geomorfologickým podcelkem."
Id48,sports,,,1,Vojtech Bukovský založil v roce 1978 Medzinárodní maratón mieru v Košiciach.
Id49,geography,,,1,Vihorlatské vrchy jsou sopečného původu.
Id50,history,,,3,"Matej Korvín založil akademii v Bratislavě, kde působil jako král."
Id51,geography,,,2,"Náměstí Milana Rastislava Štefánika je centrální náměstí v Trstené, kde se nachází hlavní náměstí města."
Id52,geography,,,1,Krahuľský vrch se nachází nad městem Kremnica.
Id53,history,,,2,Nemeckí kolonisté začali osidlovat Poprad v 13. století.
Id54,geography,,,2,"Ľubochňa patří do Ružomberoku, který je okresem."
Id55,culture,,,3,"Dr. Tomáš Stach je hlavní postavou slovenské televizní série Doktori, kterou ztvárnil Alexander Bárta."
Id56,culture,,,4,"Film *Cesta Magdalény Robinsonovej*, slovenský dokumentární snímek z roku 2008, zachycuje životní příběh židovské fotografky v období Slovenského štátu."
Id57,culture,,,5,"Generace NULA, založená Petrem Papšou a Marcel Pálešem, je básnické zoskupení založené v lednu 2011, které sídlí v Banské Bystrici."
Id58,history,,,3,"Banská Štiavnica je místem, kde v roce 1735 vzniklo první banské učiliště v Uhersku."
Id59,culture,,,6,Slovenská filmová a televízna akadémia udělila cenu Slnko v sieti za nejlepší filmové a umělecké výkony v roce 2004.
Id60,culture,,,5,"Jana Hubinská, slovenská herečka, získala Český lev za svou roli ve filmu Děvčátko."
Id61,history,,,6,"Juraj (VII.) Turzo byl bojovník proti Turkom, který žil v Bytči a podporoval Slováky a protestantizmus. Sloužil jako radce Rudolfa II."
Id62,culture,,,4,"Film Fontána pre Zuzanu je hudební film, který vyšel v roce 1986 a je založen na románu Eleonóry Gašparovej. Hudbu k filmu složil Vašo Patejdl."
Id63,culture,,,8,"Miroslav Šmajda se narodil v Košici a je frontmanem kapely Walda Gang a Terrapie. Účastnil se první sezóny Česko Slovenské SuperStar v roce 2009, kde se umístil na druhém místě."
Id64,geography,,,7,"Dolný Zemplín je slovenský region, který zahrnuje okresy Michalovce, Sobrance a Trebišov."
Id65,other,,,2,"Eugen Gressner byl slovenský lekár, který se specializoval na gerontologii."
Id66,geography,,,4,"Ostrožnica, slovenská obec v okrese Snina, zmizela v roce 1980 kvůli výstavbě Starinskej priehrady."
Id67,culture,,,4,"Pacho, hybský zbojník, vydaný v roce 1975, představuje postavu Melichara, zbojníka, kterého ztvárnil Michal Hraška."
Id68,culture,,,5,"Škvrna Records vydával alba pro kapely IMT Smile, Bukasový masív a Gladiator. V roce 1998 byla přejmenována na Závodský, s. r. o."
Id69,culture,,,3,Pavel Paľo Drapák je spevák a člen slovenské skupiny Metalinda.
Id70,sports,,,2,"Michaela Balcová je slovenská paralympijská športovkyňa, která soutěží v boccii."
Id71,culture,,,2,"Postruhy jsou druh pečeného jídla, které se připravuje z zbytků chlebového cesta."
Id72,politics,,,2,Eduard Heger založil v roce 2023 politickou stranu Demokrati.
Id73,history,,,2,Milan Hodža byl prvním slovenským předsedou vlády Česko-Slovenska.
Id74,culture,,,2,"Metalinda vydala album *Svetlo na druhom brehu*, které je jeho hudebním dílem."
Id75,geography,,,2,Jakubov dom se nachází v Bratislavě na Hlavnej namestie.
Id76,geography,,,1,"Fatrikum je geologická jednotka, která tvoří západní část Karpat."
Id77,culture,,,3,Viktor Vincze moderuje slovenskou televizní relaci s názvem Na love.
Id78,culture,,,3,"Viktor Vincze, slovenský moderátor, je ženatý s Adelou Vinczeovou."
Id79,history,,,1,Matej Bel se narodil v Očové.
Id80,history,,,2,"Hlas byl publikován v Skalici, která se nachází na Slovensku."
Id81,geography,,,1,Lysá se nachází v pohoří Slanské Vrchy.
Id82,culture,,,2,Televizní stanice Markíza vysílá pořad Tvoja tvár znie povedome.
Id83,history,,,1,Slovenská akademie vied a umení vydala v roce 1972 publikaci z oblasti všeobecné botaniky.
Id84,culture,,,1,Ladislav Novomeský vytvořil sbírku básní s názvem Nedeľa.
Id85,culture,,,3,Michal Dočolomanský ztvárnil roli Jánošíka v divadelní hře Na skle maľované.
Id86,culture,,,2,Mariana Komorová napsala píseň „Najväčšie želanie“ a také píseň „Hľadať a nájsť“.
Id87,geography,,,2,"Ulice Odeská se nachází v Podunajských Biskupicích, které jsou součástí Bratislavy."
Id88,history,,,2,Bazovská ulice se nachází v Bratislavě a nese jméno po Miloši Alexandru Bazovském.
Id89,geography,,,1,Fabova hoľa je nejvyšší hora Veporských vršků.
Id90,history,,,1,Zámek v Pezinsku byl postaven ve 13. století.
Id91,politics,,,2,Ministerstvo financí Slovenskej republiky oznámilo Národnú bločkovú lotériu. Tato loterie se koná na Slovensku.
Id92,other,,,1,Doc. RNDr. Július Krmešský dosáhl významných úspěchů v oblasti fyziky.
Id93,geography,,,2,Tiesňava Kyseľ se nachází v horském pásmu Slovenský Raj.
Id94,geography,,,2,Podunajské Biskupice jsou městskou částí Bratislavy.
Id95,geography,,,1,"Zemplín je oblast, která je známá svou přírodní krásou a je protkána řekou Laborec."
Id96,history,,,2,Vavro Šrobár byl známý jako Andrej Bielik a také jako Pozorovateľ.
Id97,geography,,,1,Prešovský kraj má za hlavní město Prešov.
Id98,geography,,,2,Střední průmyslová škola stavební se nachází na ulici Velká okružní v Žilině.
Id99,history,,,1,První slovenské gymnázium vzniklo v roce 1869 v Revúce.
Id100,geography,,,3,Hron je druhá nejdelší řeka na Slovensku a protéká tímto státem.
Id101,geography,,,2,Krompachy se nacházejí v okrese Spišská Nová Ves.
Id102,politics,,,1,Jozef Mišák byl prvním předsedou Úřadu jadrového dozoru Slovenskej republiky.
Id103,geography,,,1,Martin Rázus se narodil v Liptovském Mikuláši.
Id104,sports,,,2,Ivan Schranz je nejlepší střelec slovenského národního fotbalového týmu a tento tým se zúčastnil mistrovství Evropy 2024.
Id105,geography,,,3,V rýhách Váh a Turiec se setkávají ve Vrútkách.
Id106,sports,,,2,"Jaroslav Melišek, zakladatel hokejbalu, byl Slovákem."
Id107,geography,,,4,"Petržalka je nejhustěji obydlená čtvrť Bratislavy, která zároveň tvoří její součást, a má nejvyšší hustotu obyvatelstva ve Slovensku."
Id108,geography,,,1,Nejvyšší hora Velké Fatry se jmenuje Ostredok.
Id109,history,,,1,Jozef Ľudovít Miloslav Hurban byl prvním předsedou Slovenské národní rady.
Id110,culture,,,1,Tatrín byl prvním předsedou Čs. národního výboru.
Id111,history,,,2,Ľudovít Štúr byl adoptován s prostředním jménem Velislav a jeho adopce proběhla na Devíně.
Id112,history,,,3,"V roce 1992 došlo v Legalizaci Standardu Slovenčiny k události typu Legalizace, která se odehrála v Legalizaci Standardu Slovenčiny."
Id113,culture,,,1,"Pavol Dobšinský byl editorem časopisu Sokol, který se zaměřoval na krásu, umění a literaturu."
Id114,geography,,,2,Machnáčov grúň se nachází nad obcí Čierny Balog.
Id115,geography,,,1,Rádio Aetter vysílá své programy z města Trnava.
Id116,other,,,1,Ľubomír Lisý je odborník v oboru neurologie.
Id117,geography,,,1,Šarišské múzeum se nachází v Bardejově.
Id118,geography,,,2,"Sobášní palác se nachází v Bytči, která je slovenské město."
Id119,geography,,,1,Slovenská národní knihovna sídlí v Martině.
Id120,culture,,,1,"Pavol Dobšinský byl spisovatel, jehož díla patřila do romantického období."
Id121,other,,,1,Roman Ferienc je vůdcem projektu This is Kevin.
Id122,geography,,,1,V Mošovicích se chová ovce.
Id123,culture,,,3,Ester Šimerová Martinčeková je známá jako první dáma slovenského maliarstva a její povolání je maliarstvo.
Id124,geography,,,1,Muzeum Andreja Kmeťa se nachází v Martině.
Id125,geography,,,1,Galéria Mikuláša Galandu se nachází v Turčianských Teplicích.
Id126,geography,,,1,Obec Stráne pod Tatrami se nachází v okrese Kežmarok.
Id127,culture,,,2,Momo je umělecké jméno Romana Grigelyho.
Id128,geography,,,1,"Vodná nádrž Zemplínska šírava, která byla dříve známá jako Vihorlatská nádrž, je významným vodním zdrojem v Maďarsku."
Id129,other,,,2,Skupina Tristana složil Peter Wilsen a zpíval v ní Peter Wilsen.
Id130,history,,,2,Náměstí v Považské Bystrici nese jméno Andreje Hlinky.
Id131,geography,,,1,Vozovňa Solivar se nachází v Prešově.
Id132,geography,,,1,Košická univerzita byla dříve známá jako Právnická akademie.
Id133,geography,,,1,Andrej Kmeť se narodil v Bzenici.
Id134,geography,,,1,Trnava leží na řece Trnávka.
Id135,sports,,,2,"Atletický klub Atlas pochází z Pezinoku, stejně jako klub Atlas Sládkovičova."
Id136,geography,,,2,Čachtice se nacházejí v okrese Nové Mesto nad Váhom.
Id137,geography,,,1,Řeka Štiavnica pramení v Banské Štiavnici.
Id138,geography,,,4,"Žitný ostrov je řечný ostrov, který se nachází na Slovensku a je největší v Evropě."
Id139,other,,,3,"Eva Landlová je matka Mateje Landla, který je hercem."
Id140,geography,,,2,Malý Dunaj se vlévá do hlavního Dunaje a jeho splavnost končí v Kolárově.
Id141,geography,,,2,"Súdna rada Slovenskej republiky sídlí v Miestodržiteľskom paláci, který se nachází v Bratislavě."
Id142,history,,,1,Andrej Kmeť je také známý jako slovenský Schliemann.
Id143,other,,,1,Michal Bacúrik je speleolog.
Id144,geography,,,2,Střední průmyslová škola strojnícka se nachází na Fajnorově nábreží v Bratislavě.
Id145,geography,,,2,Kúpeľný ostrov leží na řece Váh.
Id146,history,,,2,"Emil Belluš byl profesor, což je nejvyšší akademický titul, který mohl v té době získat."
Id147,geography,,,3,"Pezinok má náměstí s názvem Hlavní náměstí, které se oficiálně nazývá Radničné náměstí a nachází se v Pezinoku."
Id148,geography,,,5,"Řeka Kysuca protéká městem Čadca a v jeho blízkosti se spojuje s řekou Čierňanka, která zároveň ústí v Čadci."
Id149,geography,,,1,Rieka Ipeľ pramení ve Veporských vrchách.
Id150,sports,,,1,Kamil Čapkovič je profesionální tenisista.
Id151,geography,,,1,Múzeum Janka Kráľa se nachází v Liptovském Mikuláši.
Id152,geography,,,2,"Mlynská dolina patří do Karlovy Vsi, která je součástí Bratislavy."
Id153,geography,,,3,Belinská jaskyňa je přístupná a nachází se v Tatranském Národním Parku.
Id154,geography,,,1,Nejvyšší horou Belianských Tater je Havran.
Id155,culture,,,2,Gitarové muzeum se nachází ve městě Sobranci a specializuje se na vystavování kytar.
Id156,geography,,,2,"Klokočina je sídlisko a městská část, která se nachází v Nitře."
Id157,other,,,4,Peter Krištúfek je prezidentem Slovenskej lekárskej spoločnosti a v roce 2024 zastává prezidentský mandát.
Id158,geography,,,2,"Hrad Lietava se nachází poblíž města Žilina, které je regionálním městem."
Id159,geography,,,3,"Kysucké Nové Mesto, které se nachází v oblasti Kysuce, je město, které má za sebou nejstarší historii."
Id160,culture,,,1,Balneologické múzeum v Piešťanoch je pojmenováno po Imrichu Winterovi.
Id161,history,,,1,Gorazd pocházel z oblasti kolem Nitry.
Id162,geography,,,2,Vrbové se nachází v okrese Piešťany.
Id163,geography,,,2,Mochovce jsou domovem jaderné elektrárny.
Id164,geography,,,2,"Bohunice obsahuje atómovou elektrárnu, která je typem jaderné elektrárny."
Id165,other,,,2,"Malženice obsahuje paroplynovou elektrárnu, která je typu kombinovaná cyklová elektrárna."
Id166,geography,,,2,"Veterná elektrárna se nachází ve Skalité, která je součástí okresu Čadca."
Id167,history,,,3,"Archeologická lokalita Havránok, nacházející se nad Liptovskou Marou, odhalila keltské opevnění."
Id168,geography,,,1,Muzeum kysuckej dediny se nachází ve Vychylovce.
Id169,geography,,,2,"Modra je město, kde se nachází památka spojená s Ľudovítem Štúrem."
Id170,geography,,,2,Mohyla Milana Rastislava Štefánika se nachází na vrcholu Bradla.
Id171,geography,,,1,Biskupický kanál je postaven na řece Váh.
Id172,culture,,,2,Muzeum v Krupině je věnováno Andreji Sládkovičovi a nachází se v Krupině.
Id173,culture,,,2,"Mária Rázusová Martáková, známá pod pseudonymem Ivo Medin, je spisovateľka."
Id174,geography,,,2,Potok Čerenec leží v Holešce.
Id175,culture,,,1,Eugen Suchoň založil slovenskou národnou operu.
Id176,geography,,,1,V Dobrej Vode se nachází památná izba Jána Hollého.
Id177,culture,,,1,Anton Bernolák je považován za prvního kodifikátora spisovné slovenčiny.
Id178,culture,,,2,"Bernolákovčina je první kodifikovaná forma slovenštiny, která má celospoločenskou platnost."
Id179,sports,,,1,Erik Vlček je profesionální kanoista.
Id180,politics,,,2,Ministerstvo obrany má zkratku MO SR a zastřešuje Ministerstvo obrany.
Id181,geography,,,1,Ľubomír Feldek se narodil v Žiline.
Id182,geography,,,1,Kňazský seminár sv. Františka Xaverského se nachází v Badíně.
Id183,geography,,,2,"Kulisovo je národná prírodná rezervácia, ktorá sa nachádza v okrese Badín."
Id184,history,,,1,Kňazský seminár sv. Františka Xaverského je součástí Univerzity Komenského.
Id185,culture,,,1,Katolícke noviny vydával spolok sväteho Vojtecha.
Id186,culture,,,2,Ján Palárik napsal komediální román *Zmierenie alebo Dobrodružstvo pri obžinkoch*.
Id187,geography,,,1,Gabčíkovo vodní dílo leží na řece Dunaj.
Id188,culture,,,2,Film *Sokoliar Tomáš* byl založen na scénáři od Jozefa Cígera Hronského.
Id189,culture,,,2,Festival Soaré se koná v Banské Bystrice a jedná se o festival.
Id190,geography,,,1,Poľana je nejvyšší hora v Poľaně.
Id191,geography,,,3,"CHKO Dunajské luhy spravuje Ostrovné luhy, které jsou chráněným vtáčím územím v Nitrianskom kraji."
Id192,geography,,,2,Trenčín leží v údolí řeky Váh.
Id193,culture,,,1,Zdena Studenková je slovenská herečka.
Id194,history,,,5,"Historické Slovenské Národné Hnutie bylo významné hnutí, jehož členy byli Štúr, Hurban a Hodža. Toto hnutí je považováno za nejslavnější v historii."
Id195,FAIL,,,5,"Univerzita Komenského v Bratislavě je univerzita, která se nachází na Slovensku a je aktivní. Je nejstarší a zároveň největší univerzitou v zemi."
Id196,geography,,,2,"Most SNP, známý jako UFO most, se nachází v Bratislavě."
Id197,history,,,2,Bratislava se dříve nazývala Pressburg a v antice se jí říkalo Istropolis.
Id198,history,,,1,Pribina vládl v Nitrianském knížectví.
Id199,geography,,,3,"Vájska kaskáda je systém, který obsahuje priehrady a vodní elektrárny."
Id200,geography,,,3,Budova v Bratislavě stojí naproti OC Avion a patří do sítě Ikea.
Id201,culture,,,3,"Slovenské nářečí se dělí na západoslovenské, středoslovenské a východoslovenské."
Id202,geography,,,1,Budova Slovenského rozhlasu je známá jako Obrátená pyramída.
Id203,geography,,,1,Rieka Teplica má neoficiální název Žarnovica.
Id204,history,,,2,Anton Bernolák se snažil kodifikovat slovenčinu a jeho práce byla založena na západoslovenském nářečí.
Id205,geography,,,1,Na minci Kriváň je vyobrazená stará slovenská 20halírová mince.
Id206,culture,,,1,"IMT Smile vytvořil píseň ""Cesty II. triedy""."
Id207,geography,,,4,"Morské Oko, které se nachází ve Vihorlatských vrchách, je jezero a nachází se na Slovensku."
Id208,politics,,,2,Ján Slota byl známý svou nenávistí vůči Maďarům a zároveň působil jako slovenský politik.
Id209,geography,,,2,"Devínska Brána se nachází v údolí Dunaje, které obsahuje řeku Dunaj."
Id210,history,,,2,"Morové stĺpy jsou památkou, která připomíná ukončení morové epidemie."
Id211,geography,,,5,"Západní část je součástí D2, což je dálnice. Tato část začíná u cezhraničního mostu nad řekou Morava, který leží na státní hranici mezi Českem a Slovenskem a překračuje řeku Moravu."
Id212,history,,,1,Moravianska Venuša byla objevena v Piešťanech.
Id213,geography,,,1,Slovenská Štátna opera se nachází v Banské Bystrici.
