eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal složil dílo pro Moravské divadlo Olomouc.
Id1,culture,,,3,"Jana Petrů má největší hit, který pochází z muzikálu Starci na chmelu."
Id2,politics,,,2,Ministryně zahraničí Spojených států Madeleine Albrightová pochází z Česko.
Id3,culture,,,3,"Svátek svatého Mikuláše, který je spojen s rozdáváním dárků dětem, se slaví večer dne 2026-12-05."
Id4,geography,,,1,Vodní nádrž Slapy je součástí Vltavských Kaskád.
Id5,history,,,4,"Literatura, která byla vydána jako samizdat a publikována pod názvem disidenti, vznikla na území Čech v období od 1. ledna 1950 do 31. prosince 2000."
Id6,culture,,,3,"Jan Neruda je spojen s Malou Stranou, jeho dílem je tvorba a jeho životem život."
Id7,geography,,,1,Prachovské skály se nacházejí v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák, který získal Zlatého slavíka nejvíckrát a počet jeho ocenění činí 1."
Id9,culture,,,2,Oldřich Kaiser tvoří komediální duo s Jiřím Lábusem a jsou neodmyslitelní.
Id10,geography,,,1,Kladensko má jako vytěžený zdroj uhlí.
Id11,politics,,,1,Miroslava Němcová je členkou ODS.
Id12,history,,,1,Barrandovské filmové ateliéry založil Miloš Havel.
Id13,geography,,,2,Nejvyšší bod Krkonoš má výšku 1603 a je součástí Krkonoš.
Id14,history,,,1,Bitva u Slavkova proběhla během Napoleonských válek.
Id15,history,,,2,"Důvodem demolice historického města Most byla těžba uhlí, která je zdrojem uhlí."
Id16,culture,,,6,"Znak města Třebíč se skládá ze štítu s třemi vodorovnými poli, přičemž horní a dolní pole jsou červené a střední bílé pole obsahuje tři černé benediktinské kápě."
Id17,geography,,,2,"Zlín se nachází v údolí Dřevnice, která je řekou."
Id18,geography,,,2,Slanská hora se nachází ve městě Slaný a nese název Slanská hora.
Id19,geography,,,1,Těžba uhlí způsobuje problémy v Karviné.
Id20,history,,,2,"V Kolíně existuje Židovská menšina, která je skutečnou náboženskou menšinou."
Id21,geography,,,2,Císařský ostrov je největším ostrovem Prahy a jedná se o ostrov.
Id22,sports,,,1,Kladno je známé hokejem.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má umístění na Palackého náměstí.
Id24,sports,,,2,"Petr Mach vlastní Sparta, která je fotbalový klub."
Id25,culture,,,2,"Firma Granát Turnov produkuje šperky, které jsou zhotoveny z českých granátů."
Id26,culture,,,4,"J. H. Krchovský je autorem básně Na samém konci, která byla napsána na fasádu domu v nizozemském městě Leiden."
Id27,culture,,,5,"Ondřej Sekora je autorem knih, které mají postavy Ferda Mravenec a Brouk Pytlík, přičemž obě tyto postavy jsou inspirovány hmyzem."
Id28,culture,,,2,Hlavními herci filmu Štěstí jsou Tatiana Vilhelmová a Pavel Liška.
Id29,sports,,,1,Zdeněk Nejedlý má přezdívku Rudý dědek.
Id30,history,,,3,"Karel IV byl český král, který postavil Hladovou zeď."
Id31,geography,,,2,Sněžka má výšku 1603 m n. m.
Id32,culture,,,3,Jáchym Topol obdržel Státní cenu za literaturu za román Citlivý člověk.
Id33,geography,,,2,Největší povodeň v ČR nastala v roce 2002 a její časové rozmezí je posledních 100 let.
Id34,geography,,,2,Český Těšín je sídlem organizací a centrem polské národnostní menšiny.
Id35,geography,,,3,"Frýdek-Místek vznikl z 5, z 2 měst a ze 3 obcí."
Id36,history,,,3,Pomník zasvěcený Americkým vojákům se nachází na Chodském náměstí v Plzni.
