uid,prompt_language,triples,sentence,human_faithfulness_score,human_faithfulness_reason,human_fluency_score,human_fluency_reason,Annotator
qwen3-1_7b__cs-qa_fa_cs__Id222,cs,"- Národní přírodní rezervace | hasName | Soos
- Národní přírodní rezervace | isLocatedNear | Františkovy Lázně","Národní přírodní rezervace je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní",1,,1.0,,1
qwen3_5-122b__sk-qa_fa_cs__Id329,cs,- Dežo Ursiny | recordedAlbum | Na ceste domov,Dežo Ursiny nahradil album Na ceste domov.,3,,4.0,,1
qwen3_5-122b__sk-qa_cf_cs__Id105,cs,"- Vrútky | locationOfConfluence | Topľa
- Váh | riverInConfluence | Turiec
- Topľa | confluenceLocation | Vrútky",Vrútky jsou místem soutoku Topľe a Turiec se řekou Váh.,4,,5.0,,4
gemma4-e4b__sk-qa_cf_cs__Id360,cs,"- Ľubomír Feldek | participatedIn | Česko Slovensko má talent
- Česko Slovensko má talent | isA | TV show","Ľubomír Feldek se zúčastnil pořadu Česko Slovensko má talent, který je televizií.",4,,4.0,,1
gpt-oss-120b__cs-qa_cf_cs__Id69,cs,"- Praotec Čech ledPeople do země zaslíbené | authorOf | balady
- Praotec Čech ledPeople do země zaslíbené | action | zveřejnil
- Praotec Čech ledPeople do země zaslíbené | requestedAction | zhudebnění
- široká veřejnost | targetOfRequest | zhudebnění
- balady | objectOf | zhudebnění","Praotec Čech ledPeople do země zaslíbené je autorem balad, provedl akci zveřejnil a požádal o zhudebnění; široká veřejnost je cílem žádosti o zhudebnění a balady jsou předmětem zhudebnění.",5,,3.0,,1
gemma4-31B__sk-qa_fa_cs__Id292,cs,"- Cerova vrchovina | highestPeak | Karanč
- Karanč | elevation | 728
- Karanč | isAbove | 1000","Nejvyšším vrcholem Cerova vrchovina je Karanč, který má nadmořskou výšku 728 a je nad 1000.",5,,5.0,,1
gpt-oss-120b__cs-qa_cf_cs__Id419,cs,"- Svatý Václav | isA | český kníže
- Svatý Václav | isA | světec
- Svatý Václav | wasMurderedIn | Stará Boleslav
- Svatý Václav | wasMurderedBy | služebníci Boleslava
