eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava sa nachádza v Okrese Ilava.
Id1,geography,,,1,Most UFO bol dokončený v roku 2024.
Id2,history,,,1,Ladislav Novomeský vydal rozkaz na začiatok Slovenského národného povstania.
Id3,geography,,,3,"Zvolen má rieky Hron, Pezinok a Zolná."
Id4,geography,,,2,Vozovňa Solivar má jednu ropnú rafinériu a táto ropná rafinéria sa nachádza vo Vozovni Solivar.
Id5,politics,,,2,Robert Mistrík stiahol svoju kandidatúru v prezidentských voľbách 2019 v prospech Ľubomíra Lisého.
Id6,culture,,,1,Pôvodným menom Juraja Farkaša je Andrej Braxatoris.
Id8,geography,,,3,"Slovenská Ľupča je známa ťažbou, ktorej zdrojom sú kovy a ktorých hlavným príkladom je striebro."
Id9,geography,,,1,Turčianske Teplice sú centrom Horného Šariša.
Id10,geography,,,2,Prešov plánuje spoluprácu s Maďarskom a realizuje projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile má pôvodné mesto Košice.
Id12,geography,,,2,"Michalovce majú prameň v Gbeľanoch, ktoré sú obec."
Id14,geography,,,3,Hrad Branč je zrúcanina nachádzajúca sa v Grand Hotel Slovan.
Id16,sports,,,1,Matej Tóth súťaží v snowboardingu.
Id18,politics,,,2,Peter Marcin je členom strany OĽANO a bol zvolený do parlamentu.
Id19,history,,,2,Nemeckí vojaci čiastočne spálili Vlkolínec.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice sa nachádza na Hlavnej ulici, ktorá je v Machnáčovom grúni."
Id21,geography,,,1,"Fatra II./BU-2 je ložisko, z ktorého sa ťaží hnedé uhlie."
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7 fakúlt.
Id24,politics,,,2,Údajné odpočúvanie Jana Hubinská viedlo k kauze Gorila.
Id26,politics,,,3,Politický spor s názvom pomlčková vojna sa týka názvu Česko-Slovenska a začal 2011-01-01.
Id27,history,,,3,"Belo IV bol kráľom Národného parku Nízke Tatry, počas ktorého vlády sa konal prvý mongolský vpád a ktorý cieľil na Národný park Nízke Tatry."
Id28,history,,,1,Múzeum obetí komunizmu sa nachádza na Slovensku.
Id29,history,,,3,"Piešťanský Grand Hotel Royal sa v období socializmu (1948-1989) nachádzal na Jankovom vŕšku, ktorý neskoršie dostal názov Slovan."
