eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava is located in Okres Ilava.
Id1,geography,,,1,The completion year of UFO most is 2024.
Id2,history,,,1,Ladislav Novomeský issued the order for the start of Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen has the rivers Hron, Pezinok, and Zolná."
Id4,geography,,,2,"Vozovňa Solivar has one oil refinery, and an oil refinery is located in Vozovňa Solivar."
Id5,politics,,,2,Robert Mistrík withdrew his candidacy in the prezidentské voľby 2019 in favor of Ľubomír Lisý.
Id6,culture,,,1,Juraj Farkaš's original name is Andrej Braxatoris.
Id8,geography,,,3,"Slovenská Ľupča is known for mining, a resource type of Kovy, whose primary example is Striebro."
Id9,geography,,,1,Turčianske Teplice is the center of Horný Šariš.
Id10,geography,,,2,Prešov has planned cooperation with Maďarsko and a planned project called Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile originates from Košice.
Id12,geography,,,2,"Michalovce has its source location in Gbeľany, which is an obec."
Id14,geography,,,3,Hrad Branč is a ruin located in Grand Hotel Slovan.
Id16,sports,,,1,Matej Tóth competes in snowboarding.
Id18,politics,,,2,Peter Marcin is a member of the political party OĽANO and was elected to the parliament.
Id19,history,,,2,German soldiers partially burned Vlkolínec.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice is located on Hlavná ulica, which is situated in Machnáčov grúň."
Id21,geography,,,1,Fatra II./BU-2 mines brown coal.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave has 7 faculties.
Id24,politics,,,2,The alleged wiretapping of Jana Hubinská leads to the Gorila case.
Id26,politics,,,3,"The political dispute named ""pomlčková vojna"" concerns the name of Česko-Slovenska and began on 2011-01-01."
Id27,history,,,3,"Belo IV was king of Národný park Nízke Tatry, and the first Mongol invasion occurred during his reign and targeted Národný park Nízke Tatry."
Id28,history,,,1,The Museum of Victims of Communism is located in Slovakia.
Id29,history,,,3,"During the socialist period from 1948 to 1989, the Grand Hotel Royal in Piešťany was known as Jankov vŕšok, a name that was later changed to Slovan."
Id31,politics,,,2,"Peter Doležaj's governing style is mečiarizmus, a political approach associated with the time period from 1992-01-01 to 1998-12-31."
Id32,geography,,,2,Okres Čadca borders Česko and Ďumbier.
Id34,culture,,,3,"Dračie srdce is a film that was filmed at Levice, which is a castle."
Id35,culture,,,3,"Vojtech Bukovský's professional focus is painting, illustration, and graphics."
Id37,culture,,,1,Belo IV composed Aj tak sme frajeri.
Id38,geography,,,1,The headquarter location of Národný ústav reumatických chorôb is Vihorlatské vrchy.
Id39,geography,,,2,"Turčianske Teplice is the largest settlement of Liptovský Mikuláš, and Liptovský Mikuláš has Turčianske Teplice as its largest settlement."
Id40,geography,,,1,Galanta merged with Šaštín.
Id41,culture,,,2,Slovenská televízia a rozhlas replaced Rozhlas a televízia Slovenska in 1986.
Id42,other,,,1,Ladislav Novomeský focuses on climatology.
Id43,politics,,,3,"Dara Rolins, the former president of Slovenska, founded Za ľudí, which is a political party."
Id45,culture,,,3,The covers of the Slovak edition of the Harry Potter book series were designed by Michal Straka.
Id46,politics,,,1,The tax identification number (DIČ) has 150 digits.
Id47,geography,,,2,"Pavelková is located in CHKO Dunajské luhy, which is a geomorfologický podcelok."
Id48,sports,,,1,The Medzinárodný maratón mieru v Košiciach was founded by Vašo Patejdl.
Id49,geography,,,1,Bratislava has a volcanic origin type.
Id50,history,,,3,"Academia Istropolitana was founded by Miloš Alexander Bazovský, who holds the title of kráľ, and is located in Bratislava."
Id51,geography,,,2,"Trstená has a central square named Čierny Váh, which is located in Trstená."
Id52,geography,,,1,Krahuľský vrch is located above Košice.
Id53,history,,,2,"German colonists began settling in Poprad, with a settling period of 2024-12-31."
Id54,geography,,,2,"The Domašínsky meander is located in Ružomberok, which is a district."
Id55,culture,,,3,"Ján Palárik played the role of Dr. Tomáš Stach, a character in the Slovak TV series Doktori."
Id56,culture,,,4,"The Slovak documentary film Cesta Magdalény Robinsonovej, released in 1972, depicts the life story of a Jewish photographer during the period of the Slovak State."
Id57,culture,,,5,"Generácia NULA, a poets' group founded by Peter Papšo and Jaroslav Melišek on 2011-01-01, is located in Banská Bystrica."
Id58,history,,,3,"The Most SNP is the location of the prvá banská škola v Uhorsku, which was founded on 1735-01-01 in Uhorsko."
Id59,culture,,,6,"The Slovenská filmová a televízna akadémia awards Slnko v sieti, a filmové ocenenie that began in 2016 to honour the najlepšie snímky and umelecké výkony within slovenská kinematografia."
Id60,culture,,,5,"Štefan Uher, a Slovak actress, received the Český lev award for her role in the film Děvčátko."
