eid,category,shape,shape_type,size,sentence,reasoning
Id0,culture,,,1,Karel Plíhal komponoval pro Moravské divadlo Olomouc.,"We need to produce Czech sentence(s) expressing the fact: ""Karel Plíhal composed for Moravské divadlo Olomouc."" Need to translate predicate ""composedFor"" to Czech, likely ""skládal pro"" or ""komponoval pro"". Use natural Czech: ""Karel Plíhal komponoval pro Moravské divadlo Olomouc."" That's one sentence. Ensure we only use given info. No extra. Output only the sentence."
Id1,culture,,,3,"Jana Petrů má největší hit, který pochází ze Starci na chmelu, a Starci na chmelu je muzikál.","We need to produce Czech sentence(s) expressing all facts. Triples: 1. Jana Petrů | hasHit | největší hit 2. největší hit | originatesFrom | Starci na chmelu 3. Starci na chmelu | isType | muzikál We need to translate predicates: ""hasHit"" -> ""má hit""? In Czech, ""má hit"" maybe. ""originatesFrom"" -> ""pochází z"". ""isType"" -> ""je typ"". But we need natural sentence. We must include all facts: Jana Petrů má největší hit. Ten největší hit pochází ze Starci na chmelu. Starci na chmelu je muzikál. We can combine: ""Jana Petrů má největší hit, který pochází ze Starci na chmelu, a Starci na chmelu je muzikál."" That includes all. Check: we used ""největší hit"" as object, okay. ""Starci na chmelu"" is a title, keep as is. ""muzikál"" is common noun, translate. All facts present. No extra info. Return only sentence(s). Probably one sentence is fine. Let's output that."
Id2,politics,,,2,"Ministryně zahraničí Spojených států, která pochází z Česka, se jmenuje Madeleine Albrightová.","We need to produce Czech sentence(s) expressing both facts. Facts: 1. Subject: ""Ministryně zahraničí Spojených států"" (Foreign Minister of the United States) predicate: originCountry, object: ""Česko"". So: ""Ministryně zahraničí Spojených států pochází z Česka."" Or ""má původní zemi Česko"". Use translation of predicate: ""pochází z"" maybe. 2. Subject same, predicate: name, object: ""Madeleine Albrightová"". So: ""Jmenuje se Madeleine Albrightová."" Combine: ""Ministryně zahraničí Spojených států, která pochází z Česka, se jmenuje Madeleine Albrightová."" That includes both facts. Ensure no extra info. Use ""pochází z Česka"" for originCountry. Use ""jmenuje se"". That seems fine. Return only sentence."
Id3,culture,,,3,"Svátek svatého Mikuláše, který se slaví večer 2026-12-05, je spojený s rozdáváním dárků dětem.","We need to produce Czech sentences that convey all facts: The holiday of Saint Nicholas is associated with giving gifts to children; its celebration date is 2026-12-05; its celebration time is evening. We must translate predicate to Czech: associatedWith -> ""je spojený s"" or ""souvisí s"". celebrationDate -> ""se slaví dne"". celebrationTime -> ""se slaví večer"". Need to include all facts. One sentence could be: ""Svátek svatého Mikuláše, který se slaví večer 5. prosince 2026, je spojený s rozdáváním dárků dětem."" That includes date, time, association. Ensure date format as given: 2026-12-05. Should we keep format? It says keep numbers, dates exactly as given. So we need ""2026-12-05"". So maybe: ""Svátek svatého Mikuláše, který se slaví večer 2026-12-05, je spojený s rozdáváním dárků dětem."" That includes all. Check: predicate translation: ""associatedWith"" -> ""je spojený s"". ""celebrationDate"" -> ""se slaví"". ""celebrationTime"" -> ""večer"". Good. Make sure we didn't add extra info. We used ""který se slaví večer 2026-12-05"". That's fine. Return only sentence."
Id4,geography,,,1,Vodní nádrž Slapy je součástí Vltavské Kaskády.,"We need to produce Czech sentence(s) expressing the fact: ""Vodní nádrž Slapy isPartOf Vltavské Kaskády"". Translate predicate ""isPartOf"" to Czech: ""je součástí"". Entities: ""Vodní nádrž Slapy"" is a proper name? It's a name of a reservoir, but it's not a proper name? It's a phrase, but we keep as is. ""Vltavské Kaskády"" also a name. So sentence: ""Vodní nádrž Slapy je součástí Vltavských Kaskád."" Need to keep exact phrase ""Vltavské Kaskády"". Should we inflect? The instruction: translate entities that are not proper names. ""Vltavské Kaskády"" is a proper name (geographic region). So keep unchanged. But grammar: ""je součástí Vltavské Kaskády"" vs ""Vltavských Kaskád"". The phrase ""Vltavské Kaskády"" is plural? It's a name, but we might keep as is. The predicate ""je součástí"" expects genitive. But we cannot change the name. Should we keep original case? The instruction: do not add details, but we can adjust grammar? It says ""přelož do češtiny každou entitu, která NENÍ vlastní jméno"". For proper names, keep original. So we keep ""Vltavské Kaskády"". The sentence: ""Vodní nádrž Slapy je součástí Vltavské Kaskády."" But that changes case. Might be considered adding inflection. However, it's necessary for grammar. The instruction says not to add details, but adjusting case may be considered a grammatical change, not adding new info. Likely acceptable. Use singular ""Kaskády""? It's plural name, but we can keep as is. I'd output: ""Vodní nádrž Slapy je součástí Vltavské Kaskády."""
Id5,history,,,4,"Literatura, nazývaná samizdat, byla vydána disidenty, vztahuje se k území Čech a vznikala v období od 1. ledna 1950 do 31. prosince 2000.","We need to produce Czech sentence(s) that express all facts. Facts: - literatura publishedBy disidenti -> ""literatura"" published by ""disidenti"". Need translate ""publishedBy"" to Czech: ""vydávala"" or ""vydáno"" etc. Use natural: ""literatura byla vydána disidenty"". - literatura location území Čech -> location: ""nachází se na území Čech"" or ""působí na území Čech"". Since it's literature, maybe ""literatura se vztahuje k území Čech"". Use ""se nachází na území Čech"". - literatura timePeriod 1950-01-01 2000-12-31 -> time period: ""v období od 1. ledna 1950 do 31. prosinec 2000"". - literatura namedAs samizdat -> ""literatura je nazývána samizdat"". Or ""literatura se nazývá samizdat"". Combine into one or two sentences. Must include all facts. Could be: ""Literatura, nazývaná samizdat, byla vydána disidenty, vztahuje se k území Čech a vznikala v období od 1. ledna 1950 do 31. prosince 2000."" That includes all. Ensure translation of predicate ""namedAs"" -> ""nazývána"". ""publishedBy"" -> ""byla vydána"". ""location"" -> ""se vztahuje k území"". ""timePeriod"" -> ""v období od ..."". Good. Check no extra info. Use exact dates as given. Use ""31. prosinec 2000"" vs ""31. prosince 2000"". Should keep same format? The date given ""2000-12-31"". We can write ""31. prosince 2000"". That's fine. No extra facts. Return only sentence."
Id6,culture,,,3,"Jan Neruda je spojen s Malou Stranou, má tvorbu a má život.","We need to produce Czech sentences expressing all facts. Triples: 1. Jan Neruda associatedWith Malá Strana -> Jan Neruda je spojen s Malou Stranou? ""spojen s"" maybe ""je spojen s"". Use translation of predicate ""associatedWith"" -> ""je spojen s"". Could also be ""má vztah k"". We'll produce natural. 2. Jan Neruda hasWork tvorba -> ""má dílo tvorba""? Actually ""hasWork"" -> ""má práci"" or ""má dílo"". The object ""tvorba"" is a noun meaning ""creation"". So ""má tvorbu"". Could be ""má práci tvorba""? Better: ""má tvorbu"". So ""Jan Neruda má tvorbu."" 3. Jan Neruda hasLife život -> ""má život"". So ""Jan Neruda má život."" We need include all facts, maybe combine: ""Jan Neruda je spojen s Malou Stranou, má tvorbu a má život."" That includes all three. Ensure no extra info. Use exact words. ""Malá Strana"" is proper name, keep. ""tvorba"" and ""život"" are nouns, keep as is. Provide one sentence. Check: predicate translation: associatedWith -> ""je spojen s"". hasWork -> ""má tvorbu"". hasLife -> ""má život"". Good. Return only sentence."
Id7,geography,,,1,Prachovské skály se nachází v CHKO Český ráj.,"We need to produce Czech sentence(s) expressing the fact: ""Prachovské skály locatedIn CHKO Český ráj"". Translate predicate ""locatedIn"" to Czech, likely ""se nachází v"". Entities: Prachovské skály (proper name) stays, CHKO Český ráj is a proper name (protected area). Should we translate ""CHKO"" maybe it's abbreviation, keep as is. So sentence: ""Prachovské skály se nachází v CHKO Český ráj."" That's all."
Id8,culture,,,5,"Karel Gott je český zpěvák, získal Zlatý slavík a má 1 ocenění. Zlatý slavík je udělován nejvíckrát.","We need to produce Czech sentences expressing all facts. Facts: 1. Karel Gott nationality český -> ""Karel Gott je český."" 2. profession zpěvák -> ""Karel Gott je zpěvák."" 3. award Zlatý slavík -> ""Karel Gott získal Zlatý slavík."" 4. awardCount 1 -> ""Karel Gott získal 1 ocenění."" But need to reflect that awardCount is 1 (maybe ""Karel Gott získal 1 ocenění"" or ""Karel Gott má 1 ocenění""). Use exactly the fact: awardCount 1. Could be ""Karel Gott má 1 ocenění."" That's fine. 5. Zlatý slavík awardFrequency nejvíckrát -> ""Zlatý slavík byl udělován nejvíckrát."" Or ""Zlatý slavík se uděluje nejvíckrát."" Need to translate predicate awardFrequency to Czech natural: ""má frekvenci udílení nejvíckrát""? Might be ""Zlatý slavík je udělován nejvíckrát."" That expresses the fact. All facts must be included. Could combine into one or two sentences. Possibly: ""Karel Gott je český zpěvák, získal Zlatý slavík a má 1 ocenění. Zlatý slavík je udělován nejvíckrát."" That includes all. Ensure no extra info. Use ""Zlatý slavík"" as proper name unchanged. Use ""český"" as adjective. Good. Check: awardCount 1 - ""má 1 ocenění"" is okay. It doesn't add extra. All facts covered. Return only sentences."
Id9,culture,,,2,Oldřich Kaiser vytvořil komediální duo s Jiřím Lábusem a jsou neoddělitelní.,"We need to produce Czech sentence(s) that express both facts. Triples: 1. Oldřich Kaiser | formsComedyDuoWith | Jiří Lábus 2. Oldřich Kaiser Jiří Lábus | areInseparable | true Second triple subject is ""Oldřich Kaiser Jiří Lábus"" (maybe the duo). Predicate ""areInseparable"" object ""true"". So we need to say that Oldřich Kaiser forms a comedy duo with Jiří Lábus, and that Oldřich Kaiser and Jiří Lábus are inseparable (true). Must not add extra info. Use translation: ""formsComedyDuoWith"" -> ""vytvořil komediální duo s"" or ""spolupracuje v komediálním duu s"". ""areInseparable"" -> ""jsou neoddělitelní"". Object true -> we can express as ""jsou neoddělitelní"". So combine: ""Oldřich Kaiser vytvořil komediální duo s Jiřím Lábusem a jsou neoddělitelní."" But need to reflect that the duo (Oldřich Kaiser Jiří Lábus) are inseparable. Could phrase: ""Oldřich Kaiser vytvořil komediální duo s Jiřím Lábusem a toto duo je neoddělitelné."" But that adds ""toto duo"". Might be okay as it's just referencing the subject. But we must not add facts not in triples. ""toto duo"" is just a reference, not new fact. Should be fine. Better: ""Oldřich Kaiser vytvořil komediální duo s Jiřím Lábusem a jsou neoddělitelní."" That covers both. Check: Use proper Czech diacritics. ""Jiří Lábus"". ""Oldřich Kaiser"". Good. Return only sentence(s)."
