eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce is located in Okres Ilava.
Id1,geography,,,1,UFO most was completed in 1972.
Id2,history,,,1,Ján Golian issued the order for the start of Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen has the rivers Hron, Slatina, and Zolná."
Id4,geography,,,2,"Slovensko has 1 oil refinery, which is located in Slovensko."
Id5,politics,,,2,Robert Mistrík withdrew his candidacy in the 2019 presidential election in favor of Zuzana Čaputová.
Id6,culture,,,1,Andrej Sládkovič's original name was Andrej Braxatoris.
Id7,culture,,,1,Združenie pesničkárov Slnovrat's genre is folk.
Id8,geography,,,3,"Banská Štiavnica is known for mining, which is a resource type of metals, and silver is a primary example of metals."
Id9,geography,,,1,Bardejov is the center of Horný Šariš.
Id10,geography,,,2,Slovensko planned cooperation with Maďarsko and a project called Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile's city of origin is Prešov.
Id12,geography,,,2,"Gbeliansky potok has its source location in Gbeľany, which is an obec."
Id13,culture,,,1,The architectural style of Kláštor a kostol kamaldulov na Zobore is baroque.
Id14,geography,,,3,Hrad Branč is a ruin located in Obec Podbranč.
Id15,culture,,,1,The slovenský Strom roka decides the winner by public voting.
Id16,sports,,,1,Klaudia Medlová competes in snowboarding.
Id17,culture,,,2,Mladé letá is a publishing house whose original name was Slovenské nakladateľstvo detskej knihy.
Id18,politics,,,2,Andrej Stančík is a member of the political party OĽANO and was elected to the parliament.
Id19,history,,,2,German soldiers partially burned the village of Liptovská Teplička.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice is located on Hlavná ulica, which is located in Košice."
Id21,geography,,,1,Handlová mined brown coal.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave has 3 faculties.
Id23,sports,,,1,Tipos Extraliga is an ice hockey sport type.
Id24,politics,,,2,The alleged eavesdropping of Jaroslav Haščák leads to the Gorila case.
Id25,other,,,2,"Tempo Supermarket belongs to COOP Jednota, which is a Slovak retailer."
Id26,politics,,,3,The political dispute named pomlčková vojna began on 1990-01-01 and concerned the name of Czechoslovakia.
Id27,history,,,3,"Belo IV was king of Uhorsko, and the first Mongol invasion occurred during his reign and targeted Uhorsko."
Id28,history,,,1,Múzeum obetí komunizmu is located in Košice.
Id29,history,,,3,"During the period of socializmus from 1948-1989, piešťanský Grand Hotel Royal was named Grand Hotel Slovan, which was later named Slovan."
Id30,culture,,,1,The Slovak band Fragile uses no musical instruments.
Id31,politics,,,2,"Vladimír Mečiar's governing style was mečiarizmus, which took place during the time period from 1992-01-01 to 1998-12-31."
Id32,geography,,,2,Okres Čadca borders Česko and Poľsko.
Id33,culture,,,1,The main character of the film Iná láska is Peter Hradil.
Id34,culture,,,3,The film Dračie srdce was filmed at the castle Strečno.
Id35,culture,,,3,"Marián Čunderlík's professional focus is painting, illustration, and graphics."
Id36,politics,,,1,Strana demokratickej ľavice originated from Komunistická strana Slovenska.
Id37,culture,,,1,Peter Nagy composed Aj tak sme frajeri.
Id38,geography,,,1,The headquarter location of Národný ústav reumatických chorôb is Piešťany.
Id39,geography,,,2,Podbreziny is the largest settlement of Liptovský Mikuláš.
Id40,geography,,,1,Stráže nad Myjavou merged with Šaštín.
Id41,culture,,,2,Slovenská televízia a rozhlas replaced Rozhlas a televízia Slovenska in 2024.
Id42,other,,,1,Milan Lapin focuses on climatology.
Id43,politics,,,3,"Andrej Kiska, the former president of Slovakia, founded the political party Za ľudí."
Id44,other,,,2,Pa a Pi is a series whose main characters are cats.
Id45,culture,,,3,The book covers of the Harry Potter series in the Slovak edition were designed by Adrián Macho and are in the Slovak language.
Id46,politics,,,1,The Daňové identifikačné číslo (DIČ) has 10 digits.
Id47,geography,,,2,"Pavelková is located in Muránska planina, which is a geomorfologický podcelok."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach was founded by Vojtech Bukovský.
Id49,geography,,,1,The origin type of Vihorlatské vrchy is volcanic.
Id50,history,,,3,"Academia Istropolitana was founded by Matej Korvín, who held the title of kráľ, and was located in Bratislava."
Id51,geography,,,2,"Trstená has a central square called Námestie Milana Rastislava Štefánika, which is located in Trstená."
Id52,geography,,,1,Krahuľský vrch is located above Kremnica.
Id53,history,,,2,German colonists began settling Poprad in the 13th Century.
Id54,geography,,,2,"Ľubochňa is located in Ružomberok, which is a type of okres."
Id55,culture,,,3,"Alexander Bárta played the role of Dr. Tomáš Stach, who is a character in the Slovak TV series Doktori."
Id56,culture,,,4,The Slovak documentary film titled Cesta Magdalény Robinsonovej was released in 2008 and depicts the life story of a Jewish photographer during the period of the Slovak State.
Id57,culture,,,5,Generácia NULA is a gathering of poets located in Banská Bystrica that was founded on 2011-01-01 by Peter Papšo and Marcel Páleš.
Id58,history,,,3,"The first mining school in Hungary was located in Banská Štiavnica, founded on 1735-01-01 in Hungary."
Id59,culture,,,6,"Slovenská filmová a televízna akadémia awards Slnko v sieti, a film award in the domain of Slovak cinematography that started on 2004-01-01 for the purpose of best films and artistic performances."
Id60,culture,,,5,Jana Hubinská is a Slovak actress who received the Český lev award for her role in the film Děvčátko.
Id61,history,,,6,"Juraj (VII.) Turzo, who had a residence in Bytča and was known as a fighter against the Turks, was a counselor and advisor to Rudolf II. who supported the Slovaks and protestantism."
Id62,culture,,,4,"Fontána pre Zuzanu is a musical film released in 1986, based on a novel by Eleonóra Gašparová with music composed by Vašo Patejdl."
Id63,culture,,,8,"Miroslav Šmajda, born in Košice, is a frontman for the bands Walda Gang and Terrapie, and he placed 2nd in season 1 of Česko Slovenská SuperStar in 2009."
Id64,geography,,,7,"Dolný Zemplín is a slovenský región that consists of the okreses Michalovce, Sobrance, and Trebišov."
Id65,other,,,2,Eugen Gressner is a Slovak doctor whose field of excellence is gerontology.
Id66,geography,,,4,Ostrožnica was a Slovak municipality located in okres Snina that disappeared in 1980 due to the construction of the Starinskej priehrady.
Id67,culture,,,4,"Pacho, hybský zbojník was released in 1975 and features the character Melichar, a zbojník portrayed by Michal Hraška."
Id68,culture,,,5,"Škvrna Records, which published for IMT Smile, Bukasový masív, and Gladiator, was renamed to Závodský, s.r.o. on 1998-01-01."
