eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce se nachází v okrese Ilava.
Id1,geography,,,1,UFO most byl dokončen v roce 1972.
Id2,history,,,1,Ján Golian vydal rozkaz na začátku Slovenského národního povstání.
Id3,geography,,,3,"Město Zvolen má řeky Hron, Slatina a Zolná."
Id4,geography,,,2,Slovensko má 1 ropnou rafinérii. Ropná rafinéria se nachází v zemi Slovensko.
Id5,politics,,,2,Robert Mistrík odvolal svou kandidaturu v prezidentských volbách 2019 a učinil tak ve prospěch Zuzany Čaputové.
Id6,culture,,,1,Andrej Sládkovič má původní jméno Andrej Braxatoris.
Id7,culture,,,1,Združenie pesničkárov Slnovrat je folk.
Id8,geography,,,3,"Banská Štiavnica je známá těžbou, která zahrnuje získávání kovů, zejména stříbra."
Id9,geography,,,1,Bardejov je střediskem regionu Horný Šariš.
Id10,geography,,,2,Slovensko plánuje spolupráci s Maďarskem a má plánovaný projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile má původ v Prešově.
Id12,geography,,,2,"Gbeliansky potok má zdroj v Gbeľanech, které jsou obcí."
Id13,culture,,,1,Kláštor a kostol kamaldulov na Zobore mají barokní architektonický styl.
Id14,geography,,,3,"Zrúcanina, také známá jako Hrad Branč, se nachází v obci Podbranč a je typem Zrúcanina."
Id15,culture,,,1,Slovenský Strom roka rozhoduje o vítězi pomocí veřejného hlasování.
Id16,sports,,,1,Klaudia Medlová soutěží v snowboardingu.
Id17,culture,,,2,Mladé letá původně známé jako Slovenské nakladateľstvo detskej knihy je vydavateľstvo.
Id18,politics,,,2,Andrej Stančík je členem strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,Nemeckí vojaci částečně spálili obec Liptovská Teplička.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice se nachází na Hlavnej ulici, která se nachází ve městě Košice."
Id21,geography,,,1,V Handlové se těží hnědé uhlí.
Id22,culture,,,1,Vysoká škola múzických umění v Bratislave má 3 fakulty.
Id23,sports,,,1,Tipos Extraliga je ľadový hokej.
Id24,politics,,,2,Údajné odpočúvanie Jaroslava Haščáka vedie ku kauze Gorila.
Id25,other,,,2,Tempo Supermarket patří k COOP Jednota. COOP Jednota je slovenský predajca.
Id26,politics,,,3,"Pojmenovaný politický spor, který začal 1. ledna 1990, se týká názvu Česko-Slovenska a je známý jako pomlčková vojna."
Id27,history,,,3,"Belo IV byl králem Uherska, během jehož vlády došlo k prvnímu mongolskému vpádu, který byl zaměřen na Uhersko."
Id28,history,,,1,Múzeum obetí komunizmu se nachází v Košicích.
Id29,history,,,3,"Grand Hotel Royal v Piešťanech se během určitého období nazýval Grand Hotel Slovan a později se stal známým jako Slovan; tento hotel existoval během socializmu, který trval od roku 1948 do roku 1989."
Id30,culture,,,1,Slovenská kapela Fragile používá žádné hudební nástroje.
Id31,politics,,,2,"Vladimír Mečiar vládl stylem označovaným jako mečiarizmus, který trval od 1. ledna 1992 do 31. prosince 1998."
Id32,geography,,,2,Okres Čadca hraničí s Českem a Polskem.
Id33,culture,,,1,Film Iná láska má hlavního hrdinu Petera Hradila.
