eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce is located in Bralnica.
Id1,geography,,,1,The UFO has a completion year of 11-09-2025.
Id2,history,,,1,Zorka Machová issued the order to start Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen has the rivers Hron, Habovica, and Zolná."
Id4,geography,,,2,"Slovensko has 812 oil refineries, and an oil refinery is located in Slovensko."
Id5,politics,,,2,Robert Mistrík withdrew his candidacy in the 2019 presidential elections in favor of Monika Fialová.
Id6,culture,,,1,Andrej Sládkovič's original name is Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka is known for Mining, and Mining is a resource type of Kovy, with Striebro as a primary example of Kovy."
Id9,geography,,,1,Bardejov is the center of Sitnica.
Id10,geography,,,2,Slovensko has planned cooperation with Studenická dolina and has a planned project called Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile originates in Ostrolúcka Ves.
Id12,geography,,,2,"Veľký Kôprovec's source location is Gbeľany, and Gbeľany is a village."
Id14,geography,,,3,"Zrúcanina is located in Obec Podbranč and is called Dúbravské Zálesie, which is a type of Zrúcanina."
Id16,sports,,,1,Renáta Chovancová competes in snowboarding.
Id18,politics,,,2,Vojtech Krupa is a member of the political party OĽANO and was elected to the parlament.
Id19,history,,,2,The German soldiers partially burned the Bystrická kotlina.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice is located on Hlavná ulica, which is located in the city of Dúbravské Zálesie."
Id21,geography,,,1,Studenická dolina has brown coal as a mined resource.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave has 7203 faculties.
Id24,politics,,,2,Cyprián Duchoň's alleged resting leads to Kauza Gorila.
Id26,politics,,,3,The political dispute named pomlčková vojna has the topic názov Česko-Slovenska and started on 18-02-1997.
Id27,history,,,3,"Belo IV was king of Ostrá Lúka, and the first Mongol invasion targeted Ostrá Lúka during his reign."
Id28,history,,,1,The Múzeum obetí komunizmu is located in Zlatá dolinka.
Id29,history,,,3,"The piešťanský Grand Hotel Royal was named Grand Hotel Slovan during the time period of socializmus, which was 08-12-1992, and the Grand Hotel Slovan later became Slovan."
Id31,politics,,,2,"Ernestína Baraníková's governing style was mečiarizmus, which occurred during the time period of 1992-01-01 to 1998-12-31."
Id32,geography,,,2,Okres Čadca borders Rovná dolina and Poľsko.
Id34,culture,,,3,"Dračie srdce is a film whose filming location is Machnica, and Machnica is a castle."
Id35,culture,,,3,"Emília Bukovská's professional focus is painting, illustration, and graphics."
Id37,culture,,,1,Marián Šoltis composed Aj tak sme frajeri.
Id38,geography,,,1,The Národný ústav reumatických chorôb has its headquarter location in Kamenný Vrbovok.
Id39,geography,,,2,Podbreziny is the largest settlement of Kamenný Potok.
Id40,geography,,,1,Stráže nad Myjavou merged with Studenô Zábrežie.
Id41,culture,,,2,Slovenská televízia a rozhlas replacedOrganization Rozhlas a televízia Slovenska in the year 07-04-2026.
Id42,other,,,1,Bertold Šarina focuses on klimatológia.
Id43,politics,,,3,Blažena Hološová founded the political party Za ľudí and was the former President of Slovakia.
Id45,culture,,,3,The covers of the Harry Potter books in the Slovak edition were designed by Sávio Ostrolucký and are in the Slovak language.
Id46,politics,,,1,The Tax Identification Number (DIČ) has 4 digits.
Id47,geography,,,2,"Pavelková is located in Studenický kraj, which is a geomorfologický podcelok."
Id48,sports,,,1,The International Peace Marathon in Košice was founded by Radovan Ondruš.
Id49,geography,,,1,Horná Bystrička has an origin type of sopečný.
Id50,history,,,3,"Ľudovít Chren, who is a kráľ, founded the Academia Istropolitana, and the Academia Istropolitana is located in Bratislava."
Id51,geography,,,2,"Námestie Milana Rastislava Štefánika is located in Kopanická rovina, and Kopanická rovina has Námestie Milana Rastislava Štefánika as its central square."
Id52,geography,,,1,Krahuľský vrch is located above Vrbový štít.
Id53,history,,,2,The German colonists began settling Vrchová Studnica in the 13th Century.
Id54,geography,,,2,"Ľubochňa is located in Sokolia skala, which is a district."
Id55,culture,,,3,"Doktori is a Slovak TV Series in which Dr. Tomáš Stach is a character, and Ondrej König played the role of Dr. Tomáš Stach."
Id56,culture,,,4,"The Slovak documentary film Cesta Magdalény Robinsonovej, which was released on 15-10-2026, depicts the life story of a Jewish photographer during the period of the Slovak State."
Id57,culture,,,5,"Generácia NULA is a group of poets founded by Peter Papšo and Ferko Bulko, with a founding date of 2011-01-01 in Banská Bystrica."
Id58,history,,,3,The first mining school in Hungary is located in Banská Štiavnica and was founded on 06-11-2000 in Hungary.
Id59,culture,,,6,"The Slovenská filmová a televízna akadémia awarded Slnko v sieti in the filmové ocenenie category, which was for najlepšie snímky and umelecké výkony within the domain of slovenská kinematografia, with an awardingStartDate of 11-01-1999."
Id60,culture,,,5,Vratko Bohunický is a Slovak actress who received the Český lev for her role in the film Děvčátko.
Id61,history,,,6,"Martin Baláž, who is known as a fighter against the Turks, had residence in Bytča, supported the Slováci and protestantism, served as an advisor, and was an advisor of Rudolf II."
Id62,culture,,,4,"Fontána pre Zuzanu is a film from 1986, which is based on the novel by Eleonóra Gašparová and has music composed by František Šebesta."
Id63,culture,,,8,"Miroslav Šmajda, who is the frontman of the bands Walda Gang and Terrapie, was born in Košice and placed 1024 in the 2009 season 1 of Česko Slovenská SuperStar."
Id64,geography,,,7,"Malá Javorina is a slovenský región that consists of the okress Michalovce, Sobrance, and Trebišov."
Id65,other,,,2,"Emília Bukovská's profession is a slovenský lekár, and her field of excellence is gerontológia."
Id66,geography,,,4,"Ostrožnica is a Slovak village located in the Snina district, and it disappeared on 30-06-2021 due to the construction of the Starinské dam."
Id67,culture,,,4,"Pacho, hybský zbojník features the character Melichar, who is a zbojník, and Pacho, hybský zbojník has a release year of 09-12-2025, with Melichar being portrayed by Michal Hraška."
Id68,culture,,,5,"Škvrna Records was published for IMT Smile, Bukasový masív, and Gladiator, and it was renamed to Závodský, s.r.o. on 18-02-1997."
Id69,culture,,,3,"Metod Sivčák is a singer and a member of Metalinda, which is a Slovak group."
Id70,sports,,,2,Zita Švihranová is a Slovak Paralympic athlete and competes in boccia.
Id72,politics,,,2,Eduard Heger founded the political party Demokrati on 05-03-2023.
Id73,history,,,2,"Milan Hodža is the first prime minister of Česko-Slovenska, and Nižná Habušová has Milan Hodža as her first Slovak prime minister."
Id75,geography,,,2,Kamenný Potok is located in Bratislava and is located on Hlavne namestie.
Id76,geography,,,1,Fatrikum is a tectonic unit of Veľký Ostrožov.
Id77,culture,,,3,Na love is a televízna relácia that has the language slovenská and Anzelm Balgha as its moderator.
Id78,culture,,,3,"Bibiána Országová is a Slovak moderator, and Adela Vinczeova is her spouse."
Id79,history,,,1,Bertold Šarina's place of origin is Očová.
Id80,history,,,2,"Hlas's publication start location is Vrbinka, which is a city in Slovakia."
Id81,geography,,,1,Lysá is located in Krivianska Lipová.
Id84,culture,,,1,Lucia Némethová is the author of the poetry collection Nedeľa.
Id85,culture,,,3,"Michal Dočolomanský performed the role of Mária Ondrejková in the play Na skle maľované, which is a theatrical play."
Id86,culture,,,2,Bruno Šišulák wrote Najväčšie želanie and Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica is located in Podunajské Biskupice, which is part of Rohatá Skala."
Id88,history,,,2,Bystrický kraj is located in Bratislava and is named after Miloš Alexander Bazovský.
Id89,geography,,,1,Vysoká Habovka is the highest peak of Fabova hoľa.
Id90,history,,,1,Pezinský zámok's construction century was 1478.
Id91,politics,,,2,"The Národna bločková lotéria was declared by the ministerstvo financií Slovenskej republiky, which is a country of Horné Sokolce."
Id92,other,,,1,Roman Uhliar achieved in the field of fyzika.
Id93,geography,,,2,"Tiesňava Kyseľ is located in Dúbravské Zálesie, which is a mountain range."
Id94,geography,,,2,Podunajské Biskupice is a municipal part that is part of Lipnica.
Id95,geography,,,1,Studená hoľa has the symbol rieka Laborec.
Id96,history,,,2,Judita Kučmášová is known as Andrej Bielik and is also known as Pozorovateľ.
Id97,geography,,,1,Veľký Kôprovec has Prešov as its capital.
Id98,geography,,,2,Stredná priemyselná škola stavebná is located on Veľká okružná and is located in Machnica.
Id99,history,,,1,The first Slovak gymnasium has its place of origin in Sivý Kameň.
Id100,geography,,,3,"Slovensko has the river Hron, and the Hron has a length rank of 33333 in Slovensko."
Id101,geography,,,2,"Krompachy is located in Belianska župa, which is a district."
Id102,politics,,,1,Boris Kovalčík is the first chairman of the Úrad jadrového dozoru Slovenskej republiky.
Id103,geography,,,1,Bohdana Vrťová's birth place is Liptovský Mikuláš.
Id104,sports,,,2,"Igor Duda is the best scorer of the slovenské národné futbalové mužstvo, which participated in EURO 2024."
Id105,geography,,,3,"Lipnica is the location of the confluence of the Váh and the Turiec, and the Váh is a river in the Turiec."
Id106,sports,,,2,Jaroslav Melišek is the founder of hokejbal and his nationality is Suchý grúň.
Id107,geography,,,4,"Petržalka is a city part of Belianska Rovina, is the most populous, and has the highest population density in Slovakia."
Id108,geography,,,1,Turianka has Ostredok as its highest peak.
Id109,history,,,1,Blažena Hološová is the first chairman of Slovenská národná rada.
Id110,culture,,,1,Tatrín's first chairman was Vladimír Ferenčík.
Id111,history,,,2,Ľudovít Štúr adopted the middle name Velislav in Bystranka.
Id112,history,,,3,"The Legalization Of Standard Slovak, which was a Legalization event, took place in Sútočná Ves and concerned Spisovná Slovenčina."
Id113,culture,,,1,Alžbeta Kollárová is the editor of Sokol Časopis Pre Krásno Umenie A Literatúru.
Id114,geography,,,2,"Machnáčov grúň is located above Bystrianska Ves, which is a village."
Id115,geography,,,1,Rádio Aetter's broadcasting location is Nižná Habušová.
Id116,other,,,1,Klotilda Rejtová has the field of neurológia.
Id117,geography,,,1,The Šarišské múzeum is located in Karpatská Hôrka.
Id118,geography,,,2,"Krivá hoľa is located in Bytča, which is a Slovak city."
Id119,geography,,,1,The Slovenská národná knižnica has its headquarter location at Krivá hoľa.
Id120,culture,,,1,Metod Sivčák belongs to the literary period of romantizmus.
Id121,other,,,1,The project This is Kevin has Hedviga Šariská as its leader.
Id123,culture,,,3,"Vlastimila Rojíková is a painter, and she is also known as the first lady of Slovak painting."
Id124,geography,,,1,Múzeum Andreja Kmeťa is located in Studenická dolina.
Id125,geography,,,1,Galéria Mikuláša Galandu is located in Vlčianka.
Id126,geography,,,1,Lesná Podhradná is located in okres Kežmarok.
Id127,culture,,,2,"Eva Poláková is known as Momo, and Momo is the artistic name of Eva Poláková."
Id128,geography,,,1,Vodná nádrž Zemplínska šírava was previously called Bralnica.
Id129,other,,,2,The group Tristana has Hyacinta Šarközyová as a composer and as a singer.
Id130,history,,,2,The námestie is located in Považská Bystrica and is named after Šarlota Ihnátová.
Id131,geography,,,1,Sitniansky Podháj is located in Prešov.
Id133,geography,,,1,Andrej Kmeť's birth place is Krivá hoľa.
Id134,geography,,,1,Habovský okres lies on the Trnávka River.
Id135,sports,,,2,Atlas klub and Klub Atlas Sládkovičova both have Tatranská Bučina as their place of origin.
Id136,geography,,,2,"Čachtice is located in Studenický kraj, which is a district."
Id137,geography,,,1,The Tatranská Bučina is the river source of Banská Štiavnica.
Id138,geography,,,4,"Sitniansky Podháj is a river island located in Slovensko, which is in Európa, and it is the largest in its area."
Id139,other,,,3,"Oľga Mihalčinová has a son named Matej Landl, and Matej Landl is an actor."
Id140,geography,,,2,"Zálesná Poruba flows into the Dunaj, and its confluence location is Kolárovo."
Id141,geography,,,2,"The Súdna rada Slovenskej republiky has its headquarters in Miestodržiteľský palác, which is located in Studenická dolina."
Id142,history,,,1,Radoslav Beňo is also known as slovenský Schliemann.
Id143,other,,,1,Jana Kissová's profession is speleology.
Id144,geography,,,2,"Stredná priemyselná škola strojnícka is located at Fajnorovo nábrežie, which is located in Lipová Hôrka."
Id145,geography,,,2,"Turianka is located on Váh, which is a river."
Id146,history,,,2,"Zorka Machová has the academic title of profesor, and profesor is the highest academic title."
Id147,geography,,,3,"Prašivá Osada has a square named Hlavné námestie, which currently is called Radničné námestie, and Radničné námestie is located in Prašivá Osada."
Id148,geography,,,5,"Machnáčske úbočie has the rivers Kysuca and Čierňanka, and the Kysuca meets the Čierňanka at Machnáčske úbočie, which is also the meeting location for the Čierňanka."
Id149,geography,,,1,The Ipeľ river has its source location at Mokrá Lehôtka.
Id150,sports,,,1,Michal Urban plays professionally tennis.
Id151,geography,,,1,Múzeum Janka Kráľa is located in Studenický kraj.
Id152,geography,,,2,"Kamenný roh is part of Karlova Ves, and Karlova Ves is a city part of Bratislava."
Id153,geography,,,3,"Belinská jaskyňa is located in Krivá hoľa, has an accessible cave, and is accessible."
Id154,geography,,,1,Zálomnica has Havran as its highest peak.
Id155,culture,,,2,The gitarové múzeum is located in Kamenica and its instrument type is guitar.
Id156,geography,,,2,Zlatoklasov is located in Nitra and is a Sídlisko A Mestská Časť.
Id157,other,,,4,"Peter Krištúfek is the president of Slovenská lekárska spoločnosť, and the presidential mandate is in the year 28-03-2022."
Id158,geography,,,2,"Žilina is a regional city, and Turianska stolica has Žilina as its nearest regional city."
Id159,geography,,,3,Kysucké Nové Mesto is a town located in Zlatoborská Lehôtka and has the property of being the oldest.
Id160,culture,,,1,The Balneologické múzeum v Piešťanoch is named after Miriam Krchová.
Id161,history,,,1,Vratko Bohunický's origin location is Okolie Nitry.
Id162,geography,,,2,"Sitnianska planina is located in Piešťany, and Piešťany is a district."
Id163,geography,,,2,"Karpatská Bystrina contains the nuclear power plant, and the nuclear power plant is located in Karpatská Bystrina."
Id164,geography,,,2,The atomic power plant is contained in Studenický kraj and is of the type atomic power plant.
Id165,other,,,2,Machnica contains a combined cycle power plant.
Id166,geography,,,2,"The veterná elektráreň is located in Suchodolské Kopanice, which is in the Čadca district."
Id167,history,,,3,The archaeological site named Suchodolské Kopanice is located above Liptovská Mara and its discovery is a Celtic fortification.
Id168,geography,,,1,Múzeum kysuckej dediny is located in Studeničná Osada.
Id169,geography,,,2,The Súbor Pamiatok K Osobnosti Ľudovíta Štúra is located in Modra and is related to Ľudomír Vachan.
Id170,geography,,,2,"Mohyla Milana Rastislava Štefánika is located on Belianska Zápotoč, which is a vrch."
Id171,geography,,,1,Biskupický kanál was built on the Studeničná Osada river.
Id172,culture,,,2,The museum in Krupina is located in Krupina and is dedicated to Onder Kalman.
Id173,culture,,,2,Mária Rázusová Martáková has the pseudonym Onder Kalman and is a writer.
Id174,geography,,,2,"The water structure Čerenec lies on Studenôvka, which is a stream."
Id175,culture,,,1,Natália Šoltésová is the founder of slovenská národná opera.
Id176,geography,,,1,Pamätná izba Jána Hollého is located in Zlatá dolinka.
Id177,culture,,,1,Marek Šťastný is the first codifier of spisovná slovenčina.
Id179,sports,,,1,Barbora Malá's profession is kanoistika.
Id181,geography,,,1,Ľubomír Feldek was born in Veľký Ostrožov.
Id182,geography,,,1,Kňazský seminár sv. Františka Xaverského is located in Nová Rovina.
Id183,geography,,,2,Kulisovo is a national nature reserve located in the Sitniansko-turianska oblasť.
Id186,culture,,,2,"Katarína Šimková is the author of Zmierenie alebo Dobrodružstvo pri obžinkoch, and Zmierenie alebo Dobrodružstvo pri obžinkoch is a comedy."
Id187,geography,,,1,The Gabčíkovo water facility was built on the Podhradská Lúčka River.
