eid,category,shape,shape_type,size,sentence,reasoning
Id0,culture,,,1,Karel Plíhal skomponoval pre Moravské divadlo Olomouc.,"We need to produce Slovak sentence(s) expressing the fact: ""Karel Plíhal composedFor Moravské divadlo Olomouc"". Need to translate predicate ""composedFor"" to Slovak. Likely ""zložil pre"" or ""komponoval pre"". Since ""composed for"" meaning ""skladal pre"". Use natural Slovak: ""Karel Plíhal skomponoval pre Moravské divadlo Olomouc."" Or ""Karel Plíhal zložil pre Moravské divadlo Olomouc."" Choose ""skomponoval pre"". Ensure we keep proper names unchanged. So sentence: ""Karel Plíhal skomponoval pre Moravské divadlo Olomouc."" That's one sentence."
Id1,culture,,,3,"Jana Petrů má najväčší hit, ktorý pochádza z Starci na chmelu, a Starci na chmelu je muzikál.","We need to produce Slovak sentence(s) that express all facts. Triples: 1. Jana Petrů | hasHit | největší hit 2. největší hit | originatesFrom | Starci na chmelu 3. Starci na chmelu | isType | muzikál We must translate non-proper nouns. Entities: ""Jana Petrů"" is a proper name, keep. ""největší hit"" is not a proper name? It's a phrase meaning ""the biggest hit"". It's a common noun phrase, so translate to Slovak: ""najväčší hit"". ""Starci na chmelu"" is likely a title of a work, maybe proper name? It's a title of a musical, likely proper name, but it's a title, maybe treat as proper name? The instruction: translate each entity that is NOT a proper name (e.g., general nouns, roles, general descriptions). Proper names (names of persons, places, organizations, works, etc.) keep original. ""Starci na chmelu"" is a title of a musical, likely proper name, so keep as is. ""muzikál"" is a common noun, translate to Slovak ""muzikál"". Predicates: ""hasHit"" -> ""má hit""? Should translate to Slovak naturally: ""má najväčší hit"". ""originatesFrom"" -> ""pochádza z"". ""isType"" -> ""je typ"". But better: ""je typom"". Use natural Slovak: ""je muzikál"". Actually ""isType"" meaning ""is type"" -> ""je typom"". But we can phrase: ""Starci na chmelu je muzikál"". That conveys type. We need to include all facts: Jana Petrů má najväčší hit. Najväčší hit pochádza z Starci na chmelu. Starci na chmelu je muzikál. We can combine into one sentence or two short. Could be: ""Jana Petrů má najväčší hit, ktorý pochádza z Starci na chmelu, a Starci na chmelu je muzikál."" That includes all. Ensure no extra info. Use proper translation of predicates: ""má najväčší hit"", ""pochádza z"", ""je muzikál"". That seems fine. Check: ""najväčší hit"" is object, we keep phrase. Good. Return only sentence(s)."
Id2,politics,,,2,Ministerka zahraničných vecí Spojených štátov má pôvodnú krajinu Česko a meno Madeleine Albrightová.,"We need to produce Slovak sentence(s) that express all facts. Two triples: 1. ""Ministryně zahraničí Spojených států"" | originCountry | ""Česko"" 2. ""Ministryně zahraničí Spojených států"" | name | ""Madeleine Albrightová"" We need to translate predicate ""originCountry"" to Slovak: ""pôvodná krajina"" or ""pôvodná krajina""? Probably ""pôvodná krajina"". And ""name"" to ""meno"". Also need to translate entity ""Ministryně zahraničí Spojených států"" which is not a proper name? It's a title: ""Ministerka zahraničných vecí Spojených štátov"". That's a role, not a proper name, so translate. ""Spojených států"" is proper name (United States) keep as is? It's a proper name in Czech, but we keep original. So translation: ""Ministerka zahraničných vecí Spojených štátov"". ""Česko"" is proper name (Czech Republic) keep as is. ""Madeleine Albrightová"" is proper name, keep. Now produce sentence: ""Ministerka zahraničných vecí Spojených štátov má pôvodnú krajinu Česko a meno Madeleine Albrightová."" Or two sentences: ""Ministerka zahraničných vecí Spojených štátov má pôvodnú krajinu Česko. Jej meno je Madeleine Albrightová."" Both fine. Must include all facts. Use predicate translation: ""pôvodná krajina"" maybe ""pôvodná krajina"" as noun phrase. Could also say ""pochádza z Česka"". But must use predicate translation, not add extra. The instruction: ""Predikát VŽDY prelož do slovenčiny a použi ho vo vete prirodzene."" So we need to use the translated predicate words: ""originCountry"" -> ""pôvodná krajina"". ""name"" -> ""meno"". So we need to include those words. So sentence: ""Ministerka zahraničných vecí Spojených štátov má pôvodnú krajinu Česko a meno Madeleine Albrightová."" That uses both predicates. That seems correct. Check: ""má pôvodnú krajinu Česko"" maybe unnatural but okay. Could also ""má pôvodnú krajinu Česko"" is okay. Provide only the sentence."
Id3,culture,,,3,"Svátek svatého Mikuláše je spojený s rozdávaním darov deťom, oslavuje sa dňa 2026-12-05 večer.","We need to produce Slovak sentence(s) that convey all facts. Entities: ""svátek svatého Mikuláše"" is a proper name? It's a holiday name, likely keep as is. Predikáty: associatedWith -> ""rozdávanie darov deťom"" (translate ""rozdávanie darov deťom""). celebrationDate -> ""2026-12-05"". celebrationTime -> ""večer"". Need to translate predicate to Slovak: ""je spojený s"", ""má dátum oslavy"", ""má čas oslavy"". Use natural phrasing: ""Svátek svatého Mikuláše je spojený s rozdávaním darov deťom, oslavuje sa 5. decembra 2026 večer."" That includes all facts. Ensure date format: ""2026-12-05"" keep as is? Requirement: preserve numbers, dates exactly as given. So we must keep ""2026-12-05"". Could embed as ""dňa 2026-12-05"". Use exact string. So sentence: ""Svátek svatého Mikuláše je spojený s rozdávaním darov deťom, oslavuje sa dňa 2026-12-05 večer."" That includes all three. Good."
Id4,geography,,,1,Vodná nádrž Slapy je súčasťou Vltavských Kaskád.,"We need to produce Slovak sentence(s) expressing the fact: ""Vodní nádrž Slapy isPartOf Vltavské Kaskády"". Translate predicate to Slovak: ""je súčasťou"". Entities: ""Vodní nádrž Slapy"" is not a proper name? It's a name of a reservoir, likely proper noun, but includes generic ""Vodní nádrž"". The rule: translate each entity that is NOT a proper name. ""Vodní nádrž Slapy"" includes generic term ""Vodní nádrž"" plus specific ""Slapy"". Should we translate ""Vodní nádrž"" to Slovak? It's already Czech/Slovak? ""Vodní nádrž"" is Czech; Slovak would be ""vodná nádrž"". But rule: translate each entity that is not a proper name. ""Slapy"" is proper name? Likely proper. So we could translate ""Vodní nádrž"" to ""vodná nádrž"". So phrase: ""Vodná nádrž Slapy je súčasťou Vltavských Kaskád"". Also translate ""Vltavské Kaskády"" generic term ""Kaskády"" plus proper ""Vltavské""? ""Vltavské"" is adjective derived from Vltava, but it's part of proper name? Probably proper name of region. Might keep as is? The rule: translate each entity that is not a proper name. ""Vltavské Kaskády"" is a proper name of a geographic region, but includes generic ""Kaskády"". Might translate ""Kaskády"" to ""kaskády""? It's same. So keep as is. Thus sentence: ""Vodná nádrž Slapy je súčasťou Vltavských Kaskád."" Ensure correct case: ""Vltavské Kaskády"" in genitive: ""Vltavských Kaskád"". Use ""je súčasťou"". Provide one sentence."
Id5,history,,,4,"Literatúra, nazývaná samizdat, bola vydaná disidentmi, nachádza sa na území Čech a patrí do časového obdobia 1950-01-01 až 2000-12-31.","We need to produce Slovak sentence(s) that express all facts. Facts: - literatura publishedBy disidenti -> ""literatúra bola vydaná disidentmi"" (published by) - literatura location území Čech -> ""literatúra sa nachádza na území Čech"" maybe ""literatúra má miesto území Čech"". Use location translation: ""lokácia"" maybe ""nachádza sa"". Should be natural. - literatura timePeriod 1950-01-01 2000-12-31 -> ""literatúra patrí do časového obdobia 1950-01-01 2000-12-31"". Could phrase ""literatúra je z obdobia 1950-01-01 až 2000-12-31"". - literatura namedAs samizdat -> ""literatúra je nazývaná samizdat"". All must be included. Could combine into one sentence: ""Literatúra, nazývaná samizdat, bola vydaná disidentmi, nachádza sa na území Čech a patrí do časového obdobia 1950-01-01 až 2000-12-31."" That includes all. Ensure translation of predicate: ""publishedBy"" -> ""bola vydaná"". ""location"" -> ""nachádza sa"". ""timePeriod"" -> ""patrí do časového obdobia"". ""namedAs"" -> ""je nazývaná"". Good. Check requirement: translate each entity not proper name. ""literatura"" is generic, keep as is? It's not proper name, but it's the subject. Should we translate? It's already Slovak. ""disidenti"" is generic, keep as is. ""území Čech"" - ""Čech"" is proper name (region). Keep. ""samizdat"" is term, maybe proper? It's a term, but not proper name; but it's likely left as is. It's fine. Thus final answer: one sentence."
Id6,culture,,,3,"Jan Neruda je spojený s Malou Stranou, má tvorbu a má život.","We need to produce Slovak sentence(s) that express all facts. Triples: - Jan Neruda associatedWith Malá Strana - Jan Neruda hasWork tvorba - Jan Neruda hasLife život We must translate predicate to Slovak: ""associatedWith"" -> ""je spojený s"" or ""je spojený s"". ""hasWork"" -> ""má prácu"" maybe ""má dielo""? But ""tvorba"" is a noun meaning ""creation"". So ""má tvorbu""? The predicate ""hasWork"" we translate as ""má prácu"". But we need natural sentence. Could be: ""Jan Neruda je spojený s Malou Stranou, má tvorbu a má život."" However ""tvorba"" is a noun, we can say ""má tvorbu"". ""život"" is ""život"". So ""má život"". So sentence: ""Jan Neruda je spojený s Malou Stranou, má tvorbu a má život."" That includes all three facts. Ensure we keep proper case: ""Malá Strana"" is proper name, keep as is. In Slovak, ""s Malou Stranou"" uses instrumental case. Should we keep original? Probably okay. Thus output single sentence."
Id7,geography,,,1,Prachovské skály sa nachádzajú v CHKO Český ráj.,"We need to produce Slovak sentence(s) expressing the fact: ""Prachovské skály"" locatedIn ""CHKO Český ráj"". Translate non-proper nouns: ""Prachovské skály"" is a proper name? It's a place name, likely proper, keep as is. ""CHKO Český ráj"" is also proper (CHKO = Chráněná krajinná oblast). So both are proper names, keep unchanged. Predicate ""locatedIn"" translate to Slovak ""sa nachádza v"". So sentence: ""Prachovské skály sa nachádzajú v CHKO Český ráj."" Use plural? ""Prachovské skály"" is plural, so ""sa nachádzajú"". Good. Return only the sentence."
Id8,culture,,,5,"Karel Gott má národnosť český, má povolanie spevák, získal ocenenie Zlatý slavík a má počet ocenení 1. Zlatý slavík má frekvenciu ocenenia najčastejšie.","We need to produce Slovak sentence(s) expressing all facts. Translate non-proper nouns. Entities: ""Karel Gott"" is proper name, keep. ""český"" is nationality adjective, translate? It's already Czech word; we need translate predicate ""nationality"" to Slovak ""národnosť"". The object ""český"" is not proper name, so translate to Slovak ""český"". Good. Profession: ""zpěvák"" Czech for singer; translate to Slovak ""spevák"". So predicate ""profession"" -> ""povolanie"" or ""profesia"". Use ""povolanie"". Object translate: ""spevák"". Award: ""Zlatý slavík"" is proper name of award, keep as is. awardCount: 1, numeric. Zlatý slavík | awardFrequency | nejvíćkrát. ""nejvíckrát"" Czech for ""najčastejšie"". Translate to Slovak ""najčastejšie"". Predicate ""awardFrequency"" translate to ""frekvencia ocenenia"" maybe ""frekvencia ocenenia"". Need natural sentence. We must include all facts: Karel Gott má národnosť český, povolanie spevák, získal ocenenie Zlatý slavík, počet ocenení je 1, a Zlatý slavík má frekvenciu ocenenia najčastejšie. Could be two sentences. Make sure we use Slovak grammar. ""Karel Gott má českú národnosť."" But object ""český"" is adjective; need ""českú"". However we must keep exact string ""český"". The requirement: preserve exactly as given. So we cannot change ""český"" to ""českú"". Might need to keep ""český"". Could phrase: ""Karel Gott má národnosť český."" That's okay albeit slightly off grammar but meets requirement. Similarly ""povolanie spevák"". ""Karel Gott má povolanie spevák."" Good. ""Získal ocenenie Zlatý slavík."" ""Počet ocenení je 1."" But need link to Karel Gott: ""Karel Gott má počet ocenení 1."" Might be okay. ""Zlatý slavík má frekvenciu ocenenia najčastejšie."" Use exact translation. All facts covered. Let's produce two sentences: first about Karel Gott, second about Zlatý slavík. Sentence 1: ""Karel Gott má národnosť český, má povolanie spevák, získal ocenenie Zlatý slavík a má počet ocenení 1."" Sentence 2: ""Zlatý slavík má frekvenciu ocenenia najčastejšie."" Check predicates: awardCount -> ""počet ocenení"". Good. All objects exact: ""český"", ""spevák"", ""Zlatý slavík"", ""1"", ""najčastejšie"". Yes. Return only sentences."
Id9,culture,,,2,Oldřich Kaiser a Jiří Lábus tvoria komediálne duo a sú neoddeliteľní.,"We need to produce Slovak sentence(s) that express all facts. Two triples: 1. Subject: Oldřich Kaiser | predicate: formsComedyDuoWith | object: Jiří Lábus We translate predicate to Slovak: ""tvoria komediálne duo s"" or ""vytvára komediálne duo s"". Use ""tvoria komediálne duo s"". Subject and object are proper names, keep as is. 2. Subject: Oldřich Kaiser Jiří Lábus | predicate: areInseparable | object: true Subject is ""Oldřich Kaiser Jiří Lábus"" (maybe the duo). Translate predicate: ""sú neoddeliteľní"". Object true indicates statement true. So we say ""Oldřich Kaiser a Jiří Lábus sú neoddeliteľní."" But need to include both facts. Could combine: ""Oldřich Kaiser tvoria komediálne duo s Jiřím Lábusom a sú neoddeliteľní."" However need to reflect second triple's subject ""Oldřich Kaiser Jiří Lábus"". That refers to the duo. So we can say: ""Oldřich Kaiser tvoria komediálne duo s Jiřím Lábusom a toto duo je neoddeliteľné."" But need to use predicate ""sú neoddeliteľní"". Could phrase: ""Oldřich Kaiser a Jiří Lábus tvoria komediálne duo a sú neoddeliteľní."" That covers both: first triple says Oldřich Kaiser forms comedy duo with Jiří Lábus. Second says Oldřich Kaiser Jiří Lábus are inseparable (true). So sentence: ""Oldřich Kaiser a Jiří Lábus tvoria komediálne duo a sú neoddeliteľní."" Check translation: ""tvoria komediálne duo"" is okay. Use ""a sú neoddeliteľní"". All facts included. No extra info. Good. Return only sentence."
