eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer composed for Moravské divadlo Olomouc.
Id1,culture,,,3,"Oldřich Kaiser and Jiří Lábus have the biggest hit, which originates from the musical Starci na chmelu."
Id2,politics,,,2,"Madeleine Albrightová is the name of the Ministryně zahraničí Spojených států, which originates from Horoušany."
Id3,culture,,,3,"The holiday of Saint Nicholas is associated with giving gifts to children, is celebrated on January 1, 2006, and takes place in the evening."
Id4,geography,,,1,Lužná u Rakovníka is part of the Vltavské Kaskády.
Id5,history,,,4,"The work *literatura* was published by *disidenti* in the Brněnský kraj region during the time period from January 1, 1950, to December 31, 2000, and is named as *samizdat*."
Id6,culture,,,3,"Marie Čermínová is associated with Malá Strana, has a work called tvorba, and has a life called život."
Id7,geography,,,1,Prachovské skály are located in the historic core of the city of Prostějov.
Id8,culture,,,5,"Martin Kavka is a Czech singer who has won the Zlatý slavík award once, an award that is given most frequently."
Id9,culture,,,2,"Oldřich Kaiser forms a comedy duo with Jiří Lábus, while Radek Pilař is inseparable."
Id10,geography,,,1,Československo mined the resource uhlí.
Id11,politics,,,1,Jan Nepomucký is a member of ODS.
Id12,history,,,1,Gustáv Husák founded the Barrandovské filmové ateliéry.
Id13,geography,,,2,"Kladníky, which is part of the Krkonoše, has a height of 1603."
Id15,history,,,2,"Rabí was demolished for coal mining, which is a type of coal."
Id17,geography,,,2,The Dřevnice is a river located in the Dřevnice valley in the Czech Republic.
Id18,geography,,,2,Dejvice is located in Slaný and is named Dejvice.
Id19,geography,,,1,The coal mining causes Brno.
Id20,history,,,2,The Jewish minority is a religious minority in Czechoslovakia.
Id21,geography,,,2,Císařský ostrov is the largest island of Československo and is an ostrov.
Id22,sports,,,1,The Ohře is known for hokej.
Id23,politics,,,1,The Ministry of Health of the Czech Republic is located in Červený hrádek.
Id24,sports,,,2,"Božena Němcová owns Sparta, which is a fotbalový klub."
Id26,culture,,,4,"Na samém konci, a poem by J. H. Krchovský, is written on the façade of a house located in Praha."
Id27,culture,,,5,"Tomáš Baťa is the author of knihy, which feature the characters Ferda Mravenec and Brouk Pytlík, both of whom are inspired by hmyz."
Id28,culture,,,2,"In the film Štěstí, the main actors are Tatiana Vilhelmová and Gustáv Husák."
Id29,sports,,,1,Jáchym Topol's nickname is Rudý dědek.
Id30,history,,,3,"Samková, who is český and holds the title of král, built the Hladová zeď."
Id31,geography,,,2,Sněžka has a height of 12 m n. m.
Id32,culture,,,3,"Jiří Strach received the Státní cena za literaturu award for Citlivý člověk, which is a román."
Id33,geography,,,2,The greatest flood in the Czech Republic occurred in 2002 and lasted for 5 years.
Id34,geography,,,2,The Vltava is the seat of organizací and the center of polské národnostní menšiny.
Id35,geography,,,3,"Frýdek-Místek was formed from 5, 2 cities, and 5."
Id36,history,,,3,"The monument is dedicated to American soldiers, is located in the Czech Republic, and the Czech Republic is located in Plzeň."
Id37,culture,,,3,"Prašivka, a character from Svět Harryho Pottera, is a type of krysa that Popelka transforms into."
Id38,history,,,2,Jindřich Nový is a regional historian and a patriot of U Prdlavky.
Id39,history,,,1,The Battle of the White Mountain occurred in 2013-12-31.
Id40,geography,,,2,"Škoda Auto, which is an automobilka, is headquartered in Československo."
Id41,culture,,,2,Noc na Karlštejně is a film that was filmed at Malše.
Id42,other,,,2,"Cesta do hlubin študákovy duše was directed by Franz Kafka, who is a režisér."
Id43,geography,,,2,"Trutnov has the river Hradec Králové, which flows through Trutnov."
Id46,geography,,,2,"The Rudný důl u Harrachova contains the Železniční muzeum, which is located in the Rudný důl u Harrachova."
Id48,culture,,,2,"Honzíkova cesta, a children's book, was written by Marek Bárta."
Id49,other,,,1,Krok plays the akordeon.
Id50,culture,,,2,"Václav Havel moderates Osobnost Plus, which is a radio program."
Id52,sports,,,2,Nádraží Veleslavín is the center of paragliding and sportovní létání.
Id54,history,,,4,"Significant quantities of bones found in Vykopávky v Přerově, which is located in Praha, belong to mammoths."
Id55,geography,,,1,The Českobrodský okruh is located in Národní Park Šumava.
Id56,geography,,,2,"Anděl Páně 2 was filmed in the Vltava, which is located in Ledč nad Sázavou."
Id57,culture,,,1,Švabinský popularizes slam poetry.
Id58,geography,,,1,The territory of Germany has the lily as its symbol.
Id59,culture,,,1,Vršovice is associated with the textile industry.
Id60,geography,,,2,The okres Beroun has a river that flows through Žatec.
Id61,geography,,,1,Jablunkovský výběžek is located in Podhůří Orlických hor.
Id62,sports,,,4,"František Boleslav Zdrůbek, a bookseller located in the Czech Republic, is the oldest and has the longest active tenure."
Id63,geography,,,2,The Jizera river flows through Praha.
Id64,sports,,,2,"The Czech Ice Hockey League, which started its season on 2018-01-01, was renamed the Maxa Liga."
Id65,culture,,,3,"Humpolec is associated with Jirásková, who is a character from Marečku podejte mi pero, a film."
Id66,geography,,,3,Rybník Bezdrev is a rybník located in ČR and ranks by size among the last 100 years.
Id67,culture,,,1,The postavička Večerníček has author Adam Vojtěch.
Id68,geography,,,2,The Stříbrná krasavice observation tower is located in Zámek Zásmuky.
Id69,culture,,,5,"Praotec Čech ledPeople do země zaslíbené, which was published by Praotec Čech ledPeople do země zaslíbené, requested that the broad public have it set to music."
Id70,geography,,,2,"Praha is located on Praha Děčín, which is a hlavní trati."
Id71,culture,,,1,Žítkovské bohyně was written by Bob Hýsek.
Id72,geography,,,2,"Lipý contains Bečovská botanická zahrada, which is located in Lipý."
Id73,geography,,,2,Havlíčkův Brod is a river flowing through Československo.
Id74,geography,,,2,"Teplice has Vysočina as its dominant region, and Vysočina is a hora."
Id75,sports,,,3,"The veteran race, held in Sudoměřice, started in 2002 and takes place regularly."
Id76,culture,,,7,"David Krejčí, a Czech art historian known for publishing studies on Czech painters including Mánes, Švabinský, and Machek, founded the artistic group Trasa."
Id77,history,,,4,"Vladimír Přibský, whose real name is Kateřina Hešová, was born in Přibyslav and worked as a journalist and dramatist."
Id78,geography,,,2,"The Římskokatolická farnost, named Slaný, is located in Brno venkov."
Id79,geography,,,1,Rybník Španělák is located in Mladá Boleslav.
Id80,culture,,,3,"Jiří Strach directed Vrásky z lásky, which starred Jiří Menzel and Jiřina Bohdalová."
Id81,politics,,,2,Karel Plíhal is the chairperson of Hnutí Dobrých Proměn.
Id82,other,,,5,"Teplická dopravní společnost, which changed its name to Arriva Teplice in 2000, operates municipal, suburban, and regional public transport."
Id83,sports,,,7,"Arnošt Lustig is a Czech athlete who specializes in discus throwing, is a multiple champion of the Czech Republic, and holds a personal record of 65.46 meters."
Id84,culture,,,5,"Jiří Šindelář, a Czech writer and dramatist described as a successor, is the successor of Franz Kafka."
Id85,culture,,,5,Václav Havel was a Czech glass artist who resided in the USA and was active from 1985 to 2003.
Id86,sports,,,3,"The Česká fotbalová liga, also known as the Fortuna Liga, has been valid from 2018-01-01 until 1421."
Id87,history,,,3,Operace Dunaj is a Czech film released in 1993 about the invasion of the Warsaw Pact armies.
Id88,geography,,,2,Krušné hory is a mountain range located at Most sebevrahů.
Id89,geography,,,2,Mělník was created by zatopením lomu Most–Ležáky and opened in 2020.
Id90,sports,,,4,"Ondřej Perušič and David Schweiner are part of Zdeněk Svěrák, who became a world champion in beach volleyball in 2023."
Id91,culture,,,1,"Kateřina Bobková-Valentová is the true author of the work ""robot""."
Id92,history,,,1,The Nuselský most had the previous nickname Plzeň.
