eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer composed the work for the Moravské divadlo Olomouc.
Id1,culture,,,3,"The largest hit, ""největší hit,"" originates from the musical ""Starci na chmelu."""
Id2,politics,,,2,"Madeleine Albrightová, the United States Secretary of State, was born in Horoušany."
Id3,culture,,,3,"On the evening of January 1, 2006, the celebration of Saint Nicholas, a cultural tradition, involved the distribution of gifts to children."
Id4,geography,,,1,Lužná u Rakovníka is located within the Vltavské Kaskády.
Id5,history,,,4,The disidenti published the samizdat in the Brněnický kraj during the time period from 1950 to 1950 to 2000.
Id6,culture,,,3,"Marie Čermínová is associated with Malá Strana, she creates works of art, and her life is dedicated to her craft."
Id7,geography,,,1,The Prachovské skály are situated within the historical center of the city of Prostějov.
Id8,culture,,,5,Martin Kavka is a Czech singer who has won the Zlatý slavík award once.
Id9,culture,,,2,Oldřich Kaiser and Jiří Lábus formed a comedy duo together. Radek Pilař is inseparable from them.
Id10,geography,,,1,The Czech Republic is a country that has historically been known for its coal mining industry.
Id11,politics,,,1,Jan Nepomucký was a member of the ODS.
Id12,history,,,1,Gustáv Husák founded Barrandovské filmové ateliéry.
Id13,geography,,,2,"Kladníky is a mountain peak with a height of 1603 meters, located within the Krkonoše mountain range."
Id15,history,,,2,The historic Rabí was demolished due to coal mining.
Id17,geography,,,2,"The Czech Republic is located in the Dřevnice valley, and the Dřevnice is a river."
Id18,geography,,,2,Dejvice is located in the town of Slaný.
Id19,geography,,,1,The city of Brno is known for its coal mining history.
Id20,history,,,2,Židovská menšina is a religious minority in Československo.
Id21,geography,,,2,Císařský ostrov is the largest island of Československo.
Id22,sports,,,1,The Ohře river is known for its association with hockey.
Id23,politics,,,1,The Ministry of Health of the Czech Republic is located in Červený hrádek.
Id24,sports,,,2,"Božena Němcová owns the football club Sparta, which is a football club."
Id26,culture,,,4,"J. H. Krchovský wrote the poem ""Na samém konci,"" which is displayed on the facade of a house in Prague."
Id27,culture,,,5,"Tomáš Baťa wrote books that feature characters like Ferda Mravenec and Brouk Pytlík, both inspired by insects."
Id28,culture,,,2,Tatiana Vilhelmová and Gustáv Husák starred in the film Štěstí.
Id29,sports,,,1,"Jáchym Topol, known as ""Rudý dědek,"" is a Czech professional ice hockey player."
Id30,history,,,3,"The king Samková was Czech, and he ruled over the Hladová zeď."
Id31,geography,,,2,"The Sněžka mountain has a height of 1,200 meters."
Id32,culture,,,3,Jiří Strach received the Státní cena za literaturu for his novel Citlivý člověk.
Id33,geography,,,2,The largest flood in the Czech Republic occurred in 2002 and lasted for five years.
Id34,geography,,,2,The Vltava River serves as the seat of an organization and is also a center for the Polish national minority.
Id35,geography,,,3,Frýdek- Místek was formed from five cities.
Id36,history,,,3,"A monument dedicated to American soldiers is located in Plzeň, Czech Republic."
Id37,culture,,,3,Prašivka is a character from the Harry Potter universe and is also a type of mouse.
Id38,history,,,2,Jindřich Nový was a regional historian and was a patriot of U Prdlavky.
Id39,history,,,1,"In 2013, the Battle of White Mountain took place."
Id40,geography,,,2,"Škoda Auto, an automobile manufacturer, is headquartered in the Czech Republic."
Id41,culture,,,2,"The film ""Noc na Karlštejně"" was filmed near the Malše River."
Id42,other,,,2,Franz Kafka directed Cesta do hlubin študákovy duše.
Id43,geography,,,2,"Trutnov is located in the region of Hradec Králové, which is also the area through which the Trutnov River flows."
Id46,geography,,,2,"The Železniční muzeum is located within the Rudný důl u Harrachova, which contains the museum."
Id48,culture,,,2,Marek Bárta wrote the children's book *Honzíkova cesta*.
Id49,other,,,1,Krok plays the akordeon.
Id50,culture,,,2,"Václav Havel moderates the radio program Osobnost Plus, which is a radio show."
Id52,sports,,,2,Nádraží Veleslavín is a center for paragliding and sports flying.
Id54,history,,,4,The significant amount of bones found in the dig at Přerov belongs to mammoths and was discovered in Prague.
Id55,geography,,,1,The Českobrodský okruh is situated within the Národní Park Šumava.
Id56,geography,,,2,"The Anděl Páně 2 film was shot on the Vltava river, which is located in Ledč nad Sázavou."
Id57,culture,,,1,Švabinský popularized slam poetry.
Id58,geography,,,1,The flag of Germany features lilies.
Id59,culture,,,1,The cultural area of Vršovice is associated with the textile industry.
Id60,geography,,,2,"The river flows through Žatec, which is located in the okres Beroun."
Id61,geography,,,1,The Jablunkovský výběžek is situated in the Podhůří Orlických hor.
Id62,sports,,,4,"František Boleslav Zdrůbek, an elderly individual, is a retired bookseller from the Czech Republic."
Id63,geography,,,2,The Jizera River flows through the city of Praha.
Id64,sports,,,2,The Czech Hockey League was renamed the Maxa Liga starting in the 2018-2019 season.
Id65,culture,,,3,"Jirásková, a character from the film *Marečku podejte mi pero*, is associated with it."
Id66,geography,,,3,"Rybník Bezdrev is the largest lake in the Czech Republic by size over the past 100 years, located in the Czech Republic."
Id67,culture,,,1,Adam Vojtěch is the author of the popular Czech animated character Večerníček.
Id68,geography,,,2,"The Stříbrná krasavice, a viewpoint, is situated in the area of Zámek Zásmuky."
Id69,culture,,,5,"The people of the promised land, led by Praotec Čech, published ballads, which were later visualized through a process of visualization."
Id70,geography,,,2,"Praha is situated on the territory of Praha Děčín, which is a major railway route."
Id71,culture,,,1,Bob Hýsek is the author of the Žítkovské bohyně.
Id72,geography,,,2,"Lipý contains the Bečovská botanická zahrada, which is located in Lipý."
Id73,geography,,,2,The river flowing through Havlíčkův Brod is located in Československo.
Id74,geography,,,2,"Teplice is located in the region of Vysočina, which is a mountain range."
Id75,sports,,,3,A regular veterans' race was held in Sudoměřice in 2002.
Id76,culture,,,7,"David Krejčí is a Czech art historian who is known for publishing studies on the topic of Czech painters. The painters include Mánes, Švabinský, and Machek. David Krejčí founded the art group Trasa."
Id77,history,,,4,"Vladimír Přibský, whose real name was Kateřina Hešová, was born in Přibyslav and was a journalist and dramatist."
Id78,geography,,,2,The Roman Catholic parish of Slaný is located in Brno venkov.
Id79,geography,,,1,Rybník Španělák is situated in Mladá Boleslav.
Id80,culture,,,3,The film *Vrásky z lásky* was directed by Jiří Strach and starred Jiří Menzel as the main actor and Jiřina Bohdalová as the main actress.
Id81,politics,,,2,Karel Plíhal serves as the chairperson of Hnutí Dobrých Proměn.
Id82,other,,,5,"The company named teplická dopravní společnost, which changed its name to Arriva Teplice in 2000, operates three types of public transportation: urban, commuter, and regional."
Id83,sports,,,7,"Arnošt Lustig is a Czech sportovec who specializes in the sport of diskař. He is a several-time winner of the Czech Republic's championship in the discipline of hod diskem, with a personal best record of 65.46 meters in the unit of metry."
Id84,culture,,,5,"Jiří Šindelář, a Czech writer and dramatist, is described as a successor to Franz Kafka."
Id85,culture,,,5,"Václav Havel, a Czech national, was a resident of the USA and a sklářská výtvarnice (glass artist) active from 1985 to 2003."
Id86,sports,,,3,"The Czech Football League, also known as the Fortuna Liga, began in January 2018 and will continue until 2021."
Id87,history,,,3,"The 1993 Czech film ""Operace Dunaj"" depicted the 1968 invasion by Warsaw Pact forces."
Id88,geography,,,2,"The Krušné hory, a mountain range, is located in Most sebevrahů."
Id89,geography,,,2,Mělník was created by the flooding of the Most–Ležáky dam in 2020.
Id90,sports,,,4,"Zdeněk Svěrák, along with Ondřej Perušič and David Schweiner, is part of a team that won the world championship in beach volleyball in 2023."
