eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce leža w Bralnicy.
Id1,geography,,,1,UFO most je 11-09-2025 zakónčeny.
Id2,history,,,1,Zorka Machová wuda rozkaz k zahajenju Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen ma rěku Hron, Habovicu a Zolnú."
Id4,geography,,,2,Słowakska ma 812 ropnych rafinerijow. Ropna rafinerija je w Słowakskej lokalizowana.
Id5,politics,,,2,Robert Mistrík je so z kandidatury w prezidentských voľbach 2019 wotstarał a to wužiwajo za Monika Fialová.
Id6,culture,,,1,Originalne mjeno Andreja Sládkoviča je Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka je znata za dźěła w wudobywanju. Wudobywane su kovy, jako je přikład Striebro."
Id9,geography,,,1,Bardejov je sydło w Sitsnicy.
Id10,geography,,,2,Slovensko je naplanowało spolupracu ze Studenickej dolinu a projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile pochadźa z Ostrolúckej Vese.
Id12,geography,,,2,"Přewodźak Veľký Kôprovec wotběži w Gbeľanach, kotraž je obec."
Id14,geography,,,3,Zrúcanina Dúbravské Zálesie leži w Obcy Podbranč a je typ zrúcaniny.
Id16,sports,,,1,Renáta Chovancová wubědźuje so w snowboardingu.
Id18,politics,,,2,Vojtech Krupa je čłon strony OĽANO a běše woleny do parlamenta.
Id19,history,,,2,Němscy vojacy su častnje Bystricku kotlinu zapalili.
Id20,geography,,,2,Kostol Najsvätejšej Trojice leži na Hlavnéj ulicy w Dúbravské Zálesie.
Id21,geography,,,1,"Studenická dolina je mjeno mjesta, hdźež so hnedé uhlie wudobywa."
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave ma 7203 fakult.
Id24,politics,,,2,Údajné odpočúvanie Cypriána Duchonja wjedźe do kauzy Gorila.
Id26,politics,,,3,Politický spor pomlčková vojna so zaběra názov Česko-Slovenska a je 18-02-1997 začaty.
Id27,history,,,3,Belo IV bě kral Ostré Lúki. Prvý mongolský vpád přišoł za čas jeho knježerstwa a naměrowaše Ostrá Lúka.
Id28,history,,,1,Muzeum obetí komunizmu leži w Zlatej dolince.
Id29,history,,,3,"Pještjanski Grand Hotel Royal bě za čas socializma do 08-12-1992 znaty jako Grand Hotel Slovan, kotryž pozdźišo měješe mjeno Slovan."
Id31,politics,,,2,Ernestína Baraníková zastupowaše wot 1992-01-01 hač do 1998-12-31 knježerstwowy stil mečiarizmus.
Id32,geography,,,2,Okres Čadca wuznamjeńa so z Rovnej doliny a Poľska.
Id34,culture,,,3,"Film „Dračie srdce"" je w Machnicy natwarjeny, kotryž je hrad."
Id35,culture,,,3,"Emília Bukovská je zamołwjata za maľbu, ilustraciju a grafiku."
Id37,culture,,,1,"Marián Šoltis je kompozitor spěwa „Aj tak sme frajeri""."
Id38,geography,,,1,Sídlo Národného ústavu reumatických chorôb je Kamenný Vrbovok.
Id39,geography,,,2,Podbreziny su najwjetše sydlišćo Kamenného Potoka.
Id40,geography,,,1,Stráže nad Myjavou je so ze Studenô Zábrežie zjednoćił.
Id41,culture,,,2,Slovenská televízia a rozhlas bu w lěće 07-04-2026 přez Rozhlas a televízia Slovenska zastupjena.
Id42,other,,,1,Bertold Šarina so na klimatologiju zjima.
Id43,politics,,,3,"Blažena Hološová bě předchadźaca prezidentka Slovenska a załoži stranu Za ľudí, kotraž je politiska strona."
Id45,culture,,,3,"Obálky kníh Harry Potter v slovenskom vydaní zhotowi Sávio Ostrolucký, kotrež su w słowakskej rěči a słušeja do serije Harry Potter."
Id46,politics,,,1,Daňové identifikačné číslo (DIČ) ma 6789 čisłow.
Id47,geography,,,2,"Pavelková leži w Studenickim kraju, kotryž je geomorfologiski podcelok."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach załoži Radovan Ondruš.
Id49,geography,,,1,Horná Bystrička je sopečný.
Id50,history,,,3,"Academia Istropolitana bu w Bratislavje załožena a Ľudovít Chren, kotryž měješe titul kráľ, ju załoži."
Id51,geography,,,2,"Kopanická rovina ma centralny namješt Námestie Milana Rastislava Štefánika, kotrež so w Kopaniskej rawninje namaka."
Id52,geography,,,1,Krahuľský vrch leži nad Vrbovým štítom.
Id53,history,,,2,Němscy kolonisća začachu so w 13. lětstotku w Vrchóvej Studnicy sedlić.
Id54,geography,,,2,"Ľubochňa leži w Sokoljej skale, kotraž je wokrjes."
Id55,culture,,,3,"Ondrej König hraje w słowakskej telewizijnej seriji „Doktori"" pod mjenom Dr. Tomáš Stach."
Id56,culture,,,4,"Slovenský dokumentárny film Cesta Magdalény Robinsonovej z 15-10-2026 zwobrazuje životný príbeh židovskej fotografky, kiž so w období Slovenského štatu wuwěje."
Id57,culture,,,5,"Generácia NULA, zoskupenie básnikov, załožichu Peter Papšo a Ferko Bulko dnja 2011-01-01 w Banská Bystrica."
Id58,history,,,3,"Prvá banská škola v Uhorsku w Banskej Štiavnicy, kotraž je so 06-11-2000 załožiła, leži w Uhorsku."
Id59,culture,,,6,"Slovenská filmová a televízna akadémia wudawa Slnko v sieti, kotrež je filmové ocenenje z prěnjeho awdowanja dnja 11. januara 1999 za najlepše snímki a umelecké výkony w slovenskej kinematografiji."
Id60,culture,,,5,"Vratko Bohunický je słowakska herečka, kotraž dósta Český lev za úlohu vo filme Děvčátko."
Id61,history,,,6,"Martin Baláž, kotryž bydli w Bytči a je znaty jako bojovník proti Turkom, bě radca a poradźowar Rudolfa II., přičimž podpěrowaše Slovákov a protestantizmus."
Id62,culture,,,4,"Fontána pre Zuzanu je hudobny film z lěta 1986, kotryž je na romanje Eleonóry Gašparovej bazowany a jeho hudźbu komponowaše František Šebesta."
Id63,culture,,,8,"Miroslav Šmajda, kiž je so w Košicach narodźił a jako frontman dźěłaše, bě čłon skupinow Walda Gang a Terrapie. W lěće 2009 wobdźěli so na prěnim sezonej Česko Slovenská SuperStar, hdźež dósta 1024. městno."
Id64,geography,,,7,"Malá Javorina je slovenský región, kiž so z okresow Michalovce, Sobrance a Trebišov składuje."
Id65,other,,,2,Emília Bukovská je słowakska lěkarja a jeje wubědźowanje je gerontologija.
Id66,geography,,,4,"Ostrožnica, slovenská obec w okrese Snina, je dňa 30-06-2021 přez wutworjenje Starinskej priehrady zničena."
Id67,culture,,,4,"Film „Pacho, hybský zbojník"" z dźeńom 09-12-2025 předstaji postawu Melichara jako zbožnika, kotrehož hraje Michal Hraška."
Id68,culture,,,5,"Škvrna Records je wudawał IMT Smile, Bukasový masív a Gladiator. Dnja 18-02-1997 bu do Závodský, s.r.o. přemjenowana."
Id69,culture,,,3,"Metod Sivčák je spevák a čłon skupiny Metalinda, kotraž je slovenská skupina."
Id70,sports,,,2,"Zita Švihranová je slovenska paralympijska športowčka, kotraž startuje w boccii."
Id72,politics,,,2,Eduard Heger załoži 05-03-2023 politisku stronu Demokrati.
Id73,history,,,2,Milan Hodža je prěni słowakski předsyda vlády Čěsko-Słowakskeje. Nižná Habušová ma jeho za prěnjeho słowakskoho předsedu vlády.
Id75,geography,,,2,Kamenný Potok leži w Bratislavje na Hlavne namestie.
Id76,geography,,,1,Fatrikum je tektoniska jednotka Veľký Ostrožov.
Id77,culture,,,3,"Na love je telewizna relacija, kotruž moderuje Anzelm Balgha a je w slovenskej rěči."
Id78,culture,,,3,Bibiána Országová je moderator a ma słowakske narodnosć; Adela Vinczeova je jeho partnerka.
Id79,history,,,1,Bertold Šarina pochadźa z Očowej.
Id80,history,,,2,Hlas je wot Vrbinky w Słowakskej wušoł.
Id81,geography,,,1,Lysá leži w Krivianskej Lipowej.
Id84,culture,,,1,Zbierka básni Nedeľa je wot Lucie Némethoweje.
Id85,culture,,,3,Michal Dočolomanský hraje Mária Ondrejková w divadelnej hře Na skle maľované.
Id86,culture,,,2,Bruno Šišulák je napisał Najväčšie želanie a Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica leži w Podunajskich Biskupicach, kotrež su dźěl Rohateje Skale."
Id88,history,,,2,Bystrický kraj leži w Bratisławje a je pomjenowany po Milošu Alexandrje Bazowskim.
Id89,geography,,,1,Najwyši špic Vysoká Habovka je Fabova hoľa.
Id90,history,,,1,Pezinský zámok bu w lěće 1478 natwarjeny.
Id91,politics,,,2,"Narodna bločková lotéria je přizjewjena ministerstwom financijow Slovenskeje republiky, kotrež ma kraj Horné Sokolce."
Id92,other,,,1,Roman Uhliar je w polu fyziki dosahnył.
Id93,geography,,,2,"Tiesňava Kyseľ leži w Dúbravském Zálesiu, kotrež je horské pásmo."
