eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava sa nachádza v okrese Ilava.
Id1,geography,,,1,Most UFO bol dokončený v roku 2024.
Id2,history,,,1,Ladislav Novomeský vydal rozkaz na začiatku Slovenského národného povstania.
Id3,geography,,,3,"Zvolen má rieky Hron, Pezinok a Zolná."
Id4,geography,,,2,Vozovňa Solivar má 1 ropnú rafinériu. Ropná rafinéria sa nachádza vo Vozovni Solivar.
Id5,politics,,,2,Robert Mistrík stiahol svoju kandidatúru v prezidentských voľbách 2019 v prospech Ľubomíra Lisého.
Id6,culture,,,1,Juraj Farkaš bol pôvodne známy ako Andrej Braxatoris.
Id8,geography,,,3,"Slovenská Ľupča je známa pre ťažbu. Ťažba sa týka kovov, ako je napríklad striebro."
Id9,geography,,,1,Turčianske Teplice sú centrom regiónu Horný Šariš.
Id10,geography,,,2,Mesto Prešov plánuje spolupracovať s Maďarskom a má plánovaný projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile má pôvod v Košiciach.
Id12,geography,,,2,Michalovce sú zdrojom nachádzajúcim sa v obci Gbeľany. Gbeľany sú obec.
Id14,geography,,,3,Hrad Branč je typu Zrúcanina a nachádza sa v Grand Hotel Slovan a tiež je známy ako Zrúcanina.
Id16,sports,,,1,Matej Tóth súťaží v snowboardingu.
Id18,politics,,,2,Peter Marcin je členom strany OĽANO a bol zvolený do parlamentu.
Id19,history,,,2,Nemeckí vojaci čiastočne spálili Vlkolínec.
Id20,geography,,,2,Kostol Najsvätejšej Trojice sa nachádza na Hlavnej ulici. Hlavná ulica sa nachádza v meste Machnáčov grúň.
Id21,geography,,,1,Fatra II./BU-2 je ložisko hnedého uhlia.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7 fakult.
Id24,politics,,,2,Údajné odpočúvanie Jany Hubinskej vedie k kauze Gorila.
Id26,politics,,,3,Politický spor nazvaný pomlčková vojna sa začal 1. januára 2011 a jeho téma bola názov Česko-Slovenska.
Id27,history,,,3,"Belo IV bol kráľom, keď došlo k prvému mongolskému vpádu, ktorý bol namierený proti Národnému parku Nízke Tatry."
Id28,history,,,1,Múzeum obetí komunizmu sa nachádza na Slovensku.
