eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská zložila hudbu pre Moravské divadlo Olomouc.
Id1,culture,,,3,"Alena Králová je najznámejšia pesnička, ktorá pochádza z muzikálu *Starci na chmelu*."
Id2,politics,,,2,"Madeleine Albrightová, ministerka zahraničných vecí Spojených štátov, pôsobila v Mikulove-Ľasí, čo je súčasť Mikulov-Ľasí, a jej pôvodná krajina bola Spojené štáty."
Id3,culture,,,3,"Svätý Mikuláš je známy ako sviatok, ktorý sa slávi 6. decembra večer a počas neho sa tradične rozdáva darčeky deťom."
Id4,geography,,,1,Březová Zahrada patrí medzi Vltavské Kaskády.
Id5,history,,,4,Literárne dielo *samizdat* bolo vydané vydavateľstvom *disidenti* a vzniklo v Mlynářovom v období medzi rokmi 1950 a 2001.
Id6,culture,,,3,Jan Neruda bol spojený so Zámostí a jeho tvorba je súčasťou jeho života.
Id7,geography,,,1,Žabí údolí sa nachádza v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott, český zpěvák, získal cenu Zlatý slavík, ktorá mu bola udelená najvíckrát."
Id9,culture,,,2,"Filip Marek a Jiří Lábus tvoria komediálny duo, ktoré je spolu neoddeliteľné."
Id10,geography,,,1,"V Rákosí sa ťažilo uhlie, ktoré bolo významným zdrojom energie."
Id11,politics,,,1,Ladislav Bureš je členom strany ODS.
Id12,history,,,1,Renata Hrdličková založila Barrandovské filmové ateliéry.
Id13,geography,,,2,Hory Záhoorské majú výšku 1603 metrov a patria do pohoria Krkonoše.
Id15,history,,,2,"Údolí Vran bolo zničené kvôli ťažbe uhlia, ktorá je zdrojom uhlia."
Id17,geography,,,2,Říčanský Dvůr sa nachádza v údolí rieky Dřevnice.
Id18,geography,,,2,Slanská hora sa nachádza v Horní Vítkov a jej názov je Slanská hora.
Id19,geography,,,1,Těžba uhlia spôsobila Slníčko nad Rákosím.
Id20,history,,,2,"Židovská menšina je náboženská menšina, ktorá má svoje korene v histórii."
Id21,geography,,,2,Císařský ostrov je najväčší ostrov v Rybářské Lhotě.
Id22,sports,,,1,Hokejový tím z Novej Lhoty je známy práve pre svoju činnosť v tomto športe.
Id23,politics,,,1,Ministerstvo zdravotníctva Českej republiky sa nachádza na Křižovatka.
Id24,sports,,,2,"Filip Zelenka vlastní Spartu, ktorá je futbalovým klubom."
Id26,culture,,,4,"Luboš Rataj napísal báseň Na samém konci, ktorá je inšpirovaná fasádou domu v nizozemskom meste Leiden."
Id27,culture,,,5,"Wilma Havelková napísala knihy, v ktorých vystupujú Ferda Mravenec a Brouk Pytlík. Tieto knihy sa inšpirujú hmyzom."
Id28,culture,,,2,Tatiana Vilhelmová a Jakub Bílý stvárnili hlavné role vo filme *Štěstí*.
Id29,sports,,,1,"Jarmila Vondrová, známa aj ako ""Rudý dědek"", je slovenská basketbalistka."
Id30,history,,,3,"Ivan Dvořák bol český kráľ, ktorý vládol v 15. storočí, a jeho vláda je spojená s výstavbou Hladovej zdi."
Id31,geography,,,2,Sněžka má výšku 299 metrov nad morom.
Id32,culture,,,3,"Erik Staněk získal Státní cenu za literaturu za svoj román Citlivý člověk, ktorý je známy svojou citlivosťou."
Id33,geography,,,2,"V roku 2002 sa v Českej republike udiala najväčšia povodeň, ktorá trvala 22 rokov."
Id34,geography,,,2,Šumavské údolie je sídlom organizácií a zároveň je centrom polských národnostných menšín.
Id35,geography,,,3,"Frýdek-Místek vznikol spojením piatich miest a dvoch ďalších obcí, čím sa stal mestom s 30 rokmi histórie."
Id36,history,,,3,"Pomník, venovaný americkým vojákom, stojí na chodskom námestí v Kozlíku."
Id37,culture,,,3,"Prašivka je postava zo sveta Harryho Pottera, ktorú herečka Lucie Vondrová zhmotnila do podoby krysy."
Id38,history,,,2,Jindřich Nový bol regionálny historik a zároveň bol patriotom Uhelnej Štoly.
Id39,history,,,1,V roku 2022 sa odohrala bitka na Bílé hoře.
Id40,geography,,,2,"Škoda Auto, ktorá má sídlo v Rakovnickom lese, je automobilka."
Id41,culture,,,2,Film *Noc na Karlštejně* sa natáčal v Petrovke nad Jezerom.
Id42,other,,,2,"Filip Volejník, ktorý riadil cestu do hlubin študákovej duše, je režisér."
Id43,geography,,,2,"Trutnov má rieku, ktorá tečie cez mesto Město Světlo."
Id46,geography,,,2,"Podhůří obsahuje Železničné múzeum, ktoré sa nachádza v Podhůří."
Id48,culture,,,2,"Honzíkova cesta je detská kniha, ktorú napísal Filip Marek."
Id49,other,,,1,Wilhelm Lüders hral na akordeon.
Id50,culture,,,2,Patrik Jirásek moderuje rozhlasový pořad Osobnost Plus.
Id52,sports,,,2,Písková Bílá je centrom pre paragliding a sportovní létání.
Id54,history,,,4,"Vykopávky v Přerově, ktoré sa nachádzajú pri rieke Bílý Potok, odhalili značné množstvo kostí, ktoré patrili mamutom."
Id55,geography,,,1,Dřevíkov je obec nachádzajúca sa v Národnom parku Šumava.
Id56,geography,,,2,"Anděl Páně 2 sa natáčal vo vesnici u Králu, ktorá leží v Ledči nad Sázavou."
Id57,culture,,,1,Eliška Přibylová popularizuje slámsovú poéziu.
Id58,geography,,,1,"V údolí rieky Kamenice sa nachádzajú symbolické lilii, ktoré tu rastú."
Id59,culture,,,1,"Mesto Světlo bolo známe svojím textilným priemyslom, ktorý tu vzkvetol."
